  I     	  II     	  CH1     	  CH1'		  AO     	  AO'		
  5.80   	-50.05   	  6.45   	   0.00		102.89   	 518.82		
  6.71   	-42.11   	  6.45   	  -5.09		104.96   	 137.33		
  7.32   	-31.43   	  6.43   	  -5.09		105.51   	-111.90		
  8.54   	-26.25   	  6.41   	   0.00		105.07   	-198.37		
 10.38   	-28.99   	  6.41   	  -5.09		104.27   	-183.11		
 11.90   	-35.40   	  6.39   	   0.00		103.54   	 -20.35		
 11.90   	-38.76   	  6.39   	  -5.09		103.46   	 300.10		
 10.38   	-35.40   	  6.37   	   0.00		104.66   	 625.63		
  8.54   	-25.94   	  6.37   	  -5.09		107.16   	 793.49		
  8.54   	-14.34   	  6.35   	   0.00		110.34   	 895.22		
 11.29   	 -4.88   	  6.35   	   0.00		113.92   	 905.39		
 16.17   	  0.31   	  6.35   	  -5.09		117.54   	 752.79		
 21.97   	 -0.61   	  6.33   	   0.00		120.55   	 544.25		
 25.63   	 -6.10   	  6.33   	   0.00		122.73   	 361.14		
 26.86   	-13.12   	  6.33   	   5.09		124.17   	 178.03		
 26.25   	-15.56   	  6.35   	   0.00		124.88   	  10.17		
 25.63   	-10.68   	  6.35   	   0.00		124.92   	-101.73		
 26.55   	  1.22   	  6.35   	   5.09		124.52   	-122.07		
 28.69   	 15.26   	  6.37   	   5.09		124.03   	 -71.21		
 31.43   	 27.47   	  6.39   	   5.09		123.74   	 -15.26		
 34.18   	 36.32   	  6.41   	   5.09		123.68   	  81.38		
 37.23   	 42.72   	  6.43   	   5.09		124.01   	 198.37		
 41.81   	 47.91   	  6.45   	   5.09		124.80   	 284.84		
 47.91   	 53.10   	  6.47   	   5.09		125.94   	 330.62		
 53.41   	 58.59   	  6.49   	   5.09		127.26   	 320.45		
 57.07   	 67.44   	  6.51   	   5.09		128.54   	 274.67		
 58.90   	 82.09   	  6.53   	   5.09		129.64   	 203.46		
 59.51   	101.93   	  6.55   	   0.00		130.46   	 116.99		
 60.73   	122.38   	  6.55   	   5.09		130.93   	  20.35		
 63.48   	137.02   	  6.57   	   5.09		131.01   	 -61.04		
 67.14   	144.04   	  6.59   	   0.00		130.76   	-116.99		
 72.02   	148.32   	  6.59   	   5.09		130.29   	-157.68		
 76.90   	157.78   	  6.61   	   0.00		129.66   	-183.11		
 81.79   	176.09   	  6.61   	   0.00		128.93   	-188.20		
 86.06   	201.42   	  6.61   	   0.00		128.18   	-193.29		
 90.33   	226.14   	  6.61   	  -5.09		127.41   	-178.03		
 94.30   	243.53   	  6.59   	   0.00		126.69   	-147.51		
 97.35   	252.99   	  6.59   	   0.00		126.10   	-101.73		
 98.88   	258.48   	  6.59   	  -5.09		125.70   	 -55.95		
 97.66   	263.67   	  6.57   	   0.00		125.47   	 -35.61		
 94.30   	269.78   	  6.57   	  -5.09		125.33   	 -35.61		
 90.03   	274.05   	  6.55   	   0.00		125.19   	 -61.04		
 87.28   	272.83   	  6.55   	  -5.09		124.94   	-111.90		
 86.98   	262.76   	  6.53   	  -5.09		124.50   	-183.11		
 87.59   	243.53   	  6.51   	   0.00		123.76   	-249.24		
 86.06   	218.81   	  6.51   	  -5.09		122.77   	-289.93		
 78.74   	193.48   	  6.49   	  -5.09		121.61   	-320.45		
 66.22   	172.12   	  6.47   	   0.00		120.33   	-350.97		
 52.19   	154.72   	  6.47   	  -5.09		118.92   	-381.48		
 40.59   	139.77   	  6.45   	   0.00		117.40   	-391.66		
 33.57   	124.21   	  6.45   	  -5.09		115.83   	-396.74		
 29.91   	108.03   	  6.43   	   0.00		114.24   	-417.09		
 26.55   	 92.77   	  6.43   	  -5.09		112.57   	-437.43		
 22.58   	 78.74   	  6.41   	   0.00		110.82   	-473.04		
 17.40   	 64.70   	  6.41   	   0.00		108.93   	-508.65		
 11.60   	 50.96   	  6.41   	  -5.09		106.90   	-544.25		
  5.80   	 39.98   	  6.39   	   0.00		104.72   	-569.68		
  1.53   	 33.87   	  6.39   	   0.00		102.44   	-559.51		
 -0.61   	 32.35   	  6.39   	   0.00		100.20   	-503.56		
  0.31   	 32.35   	  6.39   	   0.00		 98.19   	-412.00		
  2.44   	 31.13   	  6.39   	   0.00		 96.54   	-289.93		
  4.88   	 29.30   	  6.39   	   0.00		 95.38   	-152.59		
  5.80   	 29.91   	  6.39   	   0.00		 94.77   	 -30.52		
  5.80   	 31.43   	  6.39   	   0.00		 94.65   	  71.21		
  4.58   	 30.21   	  6.39   	   5.09		 94.93   	 147.51		
