  I     	  II     	  CH1     	  CH1'		  LV     	  LV'		
 -9.16   	-159.30   	  6.82   	   0.00		 12.00   	 111.90		
 -9.46   	-158.69   	  6.82   	   0.00		 12.45   	 559.51		
 -9.77   	-163.88   	  6.82   	   0.00		 14.69   	 707.02		
-10.38   	-176.39   	  6.82   	   5.09		 17.52   	1002.03		
-10.68   	-191.65   	  6.84   	   0.00		 21.53   	1225.83		
-10.99   	-201.42   	  6.84   	   0.00		 26.43   	 976.60		
-11.90   	-201.11   	  6.84   	   5.09		 30.34   	 508.65		
-13.43   	-193.18   	  6.86   	   0.00		 32.37   	 101.73		
-14.65   	-183.72   	  6.86   	   5.09		 32.78   	-330.62		
-15.56   	-179.14   	  6.88   	   0.00		 31.45   	-610.37		
-15.87   	-180.05   	  6.88   	   5.09		 29.01   	-600.20		
-15.56   	-182.50   	  6.90   	   0.00		 26.61   	-595.11		
-14.95   	-183.72   	  6.90   	   5.09		 24.23   	-534.08		
-14.95   	-183.41   	  6.92   	   0.00		 22.10   	-259.41		
-15.26   	-183.41   	  6.92   	   5.09		 21.06   	  50.86		
-16.17   	-184.94   	  6.94   	   0.00		 21.26   	 310.27		
-17.09   	-187.07   	  6.94   	  10.17		 22.50   	2426.24		
-21.67   	-191.96   	  6.98   	   0.00		 32.21   	 427.26		
-23.80   	-204.47   	  6.98   	   5.09		 33.92   	-1978.63		
-23.80   	-210.88   	  7.00   	   0.00		 26.00   	-930.82		
-24.41   	-214.54   	  7.00   	  -5.09		 22.28   	-818.92		
-25.02   	-215.76   	  6.98   	   0.00		 19.00   	-696.84		
-25.02   	-211.49   	  6.98   	   0.00		 16.22   	-284.84		
-24.72   	-201.72   	  6.98   	   0.00		 15.08   	 172.94		
-24.41   	-191.96   	  6.98   	   0.00		 15.77   	 228.89		
-24.41   	-188.90   	  6.98   	   0.00		 16.68   	 401.83		
-24.41   	-196.53   	  6.98   	   0.00		 18.29   	 686.67		
-24.72   	-211.18   	  6.98   	   0.00		 21.04   	 615.46		
-24.41   	-224.91   	  6.98   	   0.00		 23.50   	 503.56		
-23.80   	-229.80   	  6.98   	   5.09		 25.51   	 595.11		
-22.58   	-224.00   	  7.00   	   0.00		 27.89   	 401.83		
-21.06   	-213.32   	  7.00   	   5.09		 29.50   	  91.56		
-19.23   	-205.08   	  7.02   	   0.00		 29.87   	-127.16		
-17.70   	-204.16   	  7.02   	   5.09		 29.36   	-325.53		
-16.48   	-207.82   	  7.04   	   5.09		 28.06   	-264.50		
-15.87   	-210.88   	  7.06   	   5.09		 27.00   	-178.03		
