  I     	  II     	  PW     	  PW'		  LV     	  LV'		
 -1.22   	-72.33   	 24.84   	 -71.21		 20.87   	 -35.61		
 -2.14   	-70.19   	 24.56   	 -71.21		 20.73   	 -35.61		
 -2.44   	-62.26   	 24.27   	 -76.30		 20.59   	 -30.52		
 -2.14   	-53.71   	 23.97   	 -71.21		 20.47   	 -35.61		
 -1.83   	-49.44   	 23.68   	 -66.12		 20.33   	 -25.43		
 -2.14   	-50.66   	 23.42   	 -71.21		 20.22   	 -30.52		
 -4.27   	-55.24   	 23.13   	 -71.21		 20.10   	 -25.43		
 -7.32   	-59.20   	 22.85   	 -66.12		 20.00   	 -30.52		
 -8.54   	-56.15   	 22.58   	 -66.12		 19.88   	 -30.52		
 -6.10   	-37.54   	 22.32   	 -61.04		 19.76   	 -20.35		
 -0.31   	  7.93   	 22.08   	 -66.12		 19.67   	 -15.26		
  4.88   	 91.55   	 21.81   	 -61.04		 19.61   	   0.00		
  6.41   	223.69   	 21.57   	 -61.04		 19.61   	  40.69		
  6.10   	410.46   	 21.32   	 -61.04		 19.78   	 101.73		
 11.29   	644.53   	 21.08   	 -55.95		 20.18   	 162.77		
 31.13   	892.03   	 20.85   	 -61.04		 20.83   	 218.72		
 66.22   	1095.58   	 20.61   	 -55.95		 21.71   	 254.32		
104.37   	1192.32   	 20.39   	 -55.95		 22.73   	 274.67		
127.56   	1150.21   	 20.16   	 -55.95		 23.82   	 289.93		
120.54   	989.69   	 19.94   	 -55.95		 24.98   	 310.27		
 83.01   	772.09   	 19.72   	 -55.95		 26.23   	 330.62		
 28.38   	563.35   	 19.49   	 -61.04		 27.55   	 361.14		
-26.25   	399.78   	 19.25   	 -55.95		 28.99   	 432.35		
-67.44   	284.42   	 19.02   	 -66.12		 30.72   	 534.08		
-89.11   	203.25   	 18.76   	 -66.12		 32.86   	 666.32		
-92.16   	140.38   	 18.49   	 -76.30		 35.52   	 844.35		
-79.96   	 87.59   	 18.19   	 -81.38		 38.90   	1103.76		
-57.07   	 38.76   	 17.86   	 -86.47		 43.32   	1419.12		
-29.91   	 -7.93   	 17.52   	 -86.47		 48.99   	1658.18		
 -6.71   	-47.30   	 17.17   	 -86.47		 55.63   	1770.08		
  5.80   	-68.36   	 16.83   	 -76.30		 62.71   	1820.95		
  7.93   	-67.14   	 16.52   	 -66.12		 69.99   	1907.42		
  3.66   	-51.27   	 16.26   	 -50.86		 77.62   	1948.11		
 -0.31   	-36.62   	 16.05   	 -30.52		 85.41   	1632.75		
 -1.22   	-33.57   	 15.93   	   0.00		 91.94   	 737.54		
  0.61   	-41.81   	 15.93   	  25.43		 94.89   	-279.75		
  3.36   	-53.41   	 16.03   	  45.78		 93.77   	-574.77		
  4.88   	-61.34   	 16.22   	  66.12		 91.47   	 -86.47		
  5.80   	-63.17   	 16.48   	  66.12		 91.13   	 345.88		
  6.10   	-60.12   	 16.74   	  55.95		 92.51   	 457.78		
  5.80   	-53.10   	 16.97   	  30.52		 94.34   	 528.99		
  5.49   	-45.47   	 17.09   	   0.00		 96.46   	 569.68		
  5.19   	-40.89   	 17.09   	 -35.61		 98.74   	 590.03		
  5.80   	-42.11   	 16.95   	 -71.21		101.10   	 467.95		
  7.93   	-48.52   	 16.66   	 -91.56		102.97   	 157.68		
 11.29   	-55.85   	 16.30   	-106.82		103.60   	-183.11		
 14.04   	-60.12   	 15.87   	-101.73		102.87   	-473.04		
