  I     	  II     	  AOp     	  AOp'		  CH2     	  CH2'		
 21.97   	 78.13   	 61.08   	 -50.86		 62.81   	 -40.69		
 27.47   	 73.55   	 60.87   	 -50.86		 62.64   	 -35.61		
 33.57   	 64.39   	 60.67   	 -50.86		 62.50   	 -40.69		
 39.37   	 53.41   	 60.47   	 -45.78		 62.34   	 -35.61		
 44.25   	 44.56   	 60.28   	 -50.86		 62.20   	 -35.61		
 46.69   	 40.28   	 60.08   	 -50.86		 62.05   	 -35.61		
 47.00   	 40.28   	 59.88   	 -45.78		 61.91   	 -35.61		
 46.69   	 42.42   	 59.69   	 -50.86		 61.77   	 -30.52		
 48.83   	 42.11   	 59.49   	 -45.78		 61.65   	 -30.52		
 55.24   	 35.71   	 59.31   	 -40.69		 61.53   	 -35.61		
 65.92   	 24.41   	 59.15   	 -40.69		 61.38   	 -25.43		
 76.60   	 13.73   	 58.98   	 -40.69		 61.28   	 -30.52		
 82.70   	 10.68   	 58.82   	 -35.61		 61.16   	 -30.52		
 80.57   	 16.48   	 58.68   	 -30.52		 61.04   	 -25.43		
 69.89   	 24.72   	 58.56   	 -25.43		 60.94   	 -30.52		
 52.49   	 24.72   	 58.45   	 -20.35		 60.81   	 -25.43		
 32.96   	 10.38   	 58.37   	 -20.35		 60.71   	 -30.52		
 15.26   	-15.56   	 58.29   	 -20.35		 60.59   	 -30.52		
  1.53   	-41.50   	 58.21   	 -15.26		 60.47   	 -30.52		
 -7.63   	-56.46   	 58.15   	 -20.35		 60.35   	 -30.52		
-11.60   	-57.07   	 58.07   	 -25.43		 60.22   	 -35.61		
-12.21   	-47.91   	 57.97   	 -25.43		 60.08   	 -40.69		
-11.60   	-37.54   	 57.86   	 -30.52		 59.92   	 -35.61		
-11.29   	-33.26   	 57.74   	 -30.52		 59.78   	 -40.69		
-12.51   	-35.40   	 57.62   	 -40.69		 59.61   	 -40.69		
-14.95   	-40.28   	 57.46   	 -45.78		 59.45   	 -40.69		
-16.78   	-43.64   	 57.27   	 -45.78		 59.29   	 -45.78		
-17.40   	-43.03   	 57.09   	 -45.78		 59.10   	 -40.69		
-17.40   	-40.59   	 56.91   	 -50.86		 58.94   	 -40.69		
-17.40   	-38.15   	 56.70   	 -50.86		 58.78   	 -45.78		
