  I     	  II     	  LV     	  LV'		  FA     	  FA'		
-24.72   	-37.23   	  4.48   	-203.46		 91.98   	-178.03		
-26.86   	-42.42   	  3.66   	-157.68		 91.27   	-167.85		
-28.69   	-47.30   	  3.03   	-106.82		 90.60   	-162.77		
-29.30   	-48.83   	  2.60   	 -45.78		 89.95   	-147.51		
-27.77   	-44.25   	  2.42   	  -5.09		 89.36   	-142.42		
-24.72   	-35.71   	  2.40   	  30.52		 88.79   	-132.25		
-22.28   	-29.60   	  2.52   	  45.78		 88.26   	-127.16		
-21.67   	-29.60   	  2.71   	  40.69		 87.75   	-122.07		
-22.89   	-35.40   	  2.87   	  30.52		 87.26   	-116.99		
-25.33   	-42.72   	  2.99   	  10.17		 86.80   	-111.90		
-27.16   	-46.39   	  3.03   	 -10.17		 86.35   	-101.73		
-27.16   	-45.47   	  2.99   	 -25.43		 85.94   	-101.73		
-25.63   	-42.72   	  2.89   	 -35.61		 85.53   	-101.73		
-24.41   	-41.50   	  2.75   	 -35.61		 85.13   	 -91.56		
-24.11   	-42.42   	  2.60   	 -30.52		 84.76   	 -91.56		
-25.63   	-45.17   	  2.48   	 -20.35		 84.39   	 -86.47		
-27.77   	-47.61   	  2.40   	  -5.09		 84.05   	 -86.47		
-28.99   	-48.83   	  2.38   	   5.09		 83.70   	 -86.47		
-28.99   	-48.22   	  2.40   	  15.26		 83.36   	 -81.38		
-27.47   	-45.47   	  2.46   	  20.35		 83.03   	 -81.38		
-25.63   	-41.81   	  2.54   	  25.43		 82.71   	 -76.30		
-24.72   	-39.67   	  2.64   	  25.43		 82.40   	 -76.30		
-25.63   	-39.67   	  2.75   	  20.35		 82.10   	 -81.38		
-27.77   	-41.50   	  2.83   	  20.35		 81.77   	 -71.21		
-30.52   	-44.25   	  2.91   	  20.35		 81.48   	 -76.30		
-32.04   	-47.30   	  2.99   	  35.61		 81.18   	 -71.21		
-32.96   	-50.35   	  3.13   	  45.78		 80.89   	 -71.21		
-32.65   	-52.80   	  3.32   	  61.04		 80.61   	 -66.12		
-32.35   	-53.10   	  3.56   	  86.47		 80.35   	 -66.12		
-31.74   	-50.35   	  3.91   	  91.56		 80.08   	 -61.04		
-31.43   	-45.47   	  4.27   	  91.56		 79.84   	 -66.12		
-30.82   	-41.20   	  4.64   	  76.30		 79.57   	 -55.95		
-30.21   	-39.67   	  4.94   	  50.86		 79.35   	 -61.04		
-29.60   	-41.50   	  5.15   	  20.35		 79.10   	 -61.04		
-28.99   	-43.64   	  5.23   	  -5.09		 78.86   	 -55.95		
-28.69   	-43.64   	  5.21   	 -30.52		 78.64   	 -55.95		
-28.08   	-39.98   	  5.09   	 -45.78		 78.41   	 -61.04		
-26.55   	-32.65   	  4.90   	 -40.69		 78.17   	 -50.86		
-24.11   	-23.50   	  4.74   	 -30.52		 77.97   	 -55.95		
-20.14   	-14.65   	  4.62   	 -20.35		 77.74   	 -55.95		
-14.95   	 -6.71   	  4.54   	  -5.09		 77.52   	 -50.86		
 -9.46   	 -0.61   	  4.52   	  10.17		 77.31   	 -50.86		
 -3.66   	  3.97   	  4.56   	  20.35		 77.11   	 -45.78		
  1.83   	  7.02   	  4.64   	  25.43		 76.93   	 -45.78		
  7.32   	  9.16   	  4.74   	  25.43		 76.74   	 -45.78		
 12.51   	 10.38   	  4.84   	  25.43		 76.56   	 -40.69		
 17.09   	  9.16   	  4.94   	  20.35		 76.40   	 -45.78		
 18.62   	  4.58   	  5.03   	  20.35		 76.22   	 -40.69		
 16.78   	 -3.97   	  5.11   	  10.17		 76.05   	 -40.69		
 12.82   	-15.56   	  5.15   	  15.26		 75.89   	 -40.69		
  9.77   	-27.77   	  5.21   	  20.35		 75.73   	 -40.69		
 11.60   	-38.76   	  5.29   	  20.35		 75.56   	 -40.69		
 18.62   	-47.00   	  5.37   	  25.43		 75.40   	 -40.69		
 29.30   	-52.80   	  5.47   	  30.52		 75.24   	 -40.69		
 38.76   	-56.15   	  5.60   	  35.61		 75.08   	 -45.78		
 43.64   	-57.98   	  5.74   	  40.69		 74.89   	 -40.69		
 43.64   	-59.20   	  5.90   	  35.61		 74.73   	 -40.69		
 40.89   	-59.20   	  6.04   	  35.61		 74.57   	 -40.69		
 38.76   	-57.37   	  6.19   	  35.61		 74.40   	 -40.69		
 39.06   	-50.96   	  6.33   	  35.61		 74.24   	 -40.69		
 42.42   	-40.28   	  6.47   	  45.78		 74.08   	 -30.52		
 47.00   	-28.08   	  6.65   	  61.04		 73.96   	 -35.61		
 50.96   	-19.23   	  6.90   	  76.30		 73.81   	 -25.43		
