  I     	  II     	  LVp     	  LVp'		  AO     	  AO'		
-116.88   	 17.70   	129.22   	 274.67		 66.43   	 462.87		
-118.41   	 23.19   	130.31   	 244.15		 68.28   	 483.21		
-120.54   	 28.99   	131.29   	 213.63		 70.21   	 488.30		
-123.29   	 32.65   	132.15   	 183.11		 72.17   	 493.39		
-126.34   	 33.57   	132.88   	 152.59		 74.14   	 503.56		
-129.70   	 32.35   	133.49   	 127.16		 76.15   	 508.65		
-133.36   	 30.21   	134.00   	 111.90		 78.19   	 503.56		
-137.33   	 28.38   	134.45   	  96.64		 80.20   	 508.65		
-141.91   	 28.08   	134.83   	  91.56		 82.24   	 503.56		
-146.18   	 29.91   	135.20   	  91.56		 84.25   	 498.47		
-150.15   	 33.57   	135.56   	  81.38		 86.25   	 493.39		
-153.20   	 37.23   	135.89   	  81.38		 88.22   	 488.30		
-156.25   	 40.28   	136.22   	  71.21		 90.17   	 478.13		
-159.61   	 41.20   	136.50   	  66.12		 92.09   	 467.95		
-164.18   	 39.37   	136.76   	  61.04		 93.96   	 467.95		
-169.68   	 36.01   	137.01   	  50.86		 95.83   	 452.69		
-175.48   	 31.74   	137.21   	  45.78		 97.64   	 447.61		
-180.66   	 27.77   	137.40   	  40.69		 99.43   	 432.35		
-184.63   	 24.41   	137.56   	  25.43		101.16   	 432.35		
-187.68   	 21.36   	137.66   	  10.17		102.89   	 417.09		
-189.51   	 18.62   	137.70   	 -10.17		104.56   	 406.92		
-190.43   	 16.78   	137.66   	 -30.52		106.18   	 391.66		
-190.12   	 15.56   	137.54   	 -55.95		107.75   	 381.48		
-188.60   	 14.65   	137.31   	 -81.38		109.28   	 366.22		
-185.24   	 12.51   	136.99   	-111.90		110.74   	 350.97		
-180.05   	  8.85   	136.54   	-137.33		112.15   	 330.62		
-171.81   	  3.66   	135.99   	-152.59		113.47   	 315.36		
-160.22   	 -1.83   	135.38   	-178.03		114.73   	 289.93		
-144.96   	 -5.49   	134.67   	-193.29		115.89   	 279.75		
-127.87   	 -7.02   	133.90   	-208.54		117.01   	 254.32		
-110.17   	 -7.32   	133.06   	-218.72		118.03   	 239.06		
-94.30   	 -6.71   	132.19   	-228.89		118.98   	 218.72		
-80.26   	 -6.41   	131.27   	-239.06		119.86   	 203.46		
-68.05   	 -6.41   	130.31   	-244.15		120.67   	 188.20		
-56.46   	 -7.02   	129.34   	-254.32		121.42   	 167.85		
-46.39   	 -8.85   	128.32   	-269.58		122.10   	 152.59		
-38.76   	-12.21   	127.24   	-289.93		122.71   	 137.33		
-33.87   	-17.09   	126.08   	-305.19		123.25   	 122.07		
-30.82   	-21.67   	124.86   	-330.62		123.74   	 101.73		
-27.77   	-24.72   	123.54   	-366.22		124.15   	  86.47		
-23.80   	-24.72   	122.07   	-391.66		124.50   	  71.21		
-19.84   	-22.28   	120.51   	-437.43		124.78   	  50.86		
