  I     	  II     	  AOp     	  AOp'		
-60.73   	-104.68   	 78.94   	 -61.04		
-32.65   	-79.04   	 78.70   	 -61.04		
  2.75   	-48.52   	 78.45   	 -55.95		
 34.79   	-16.48   	 78.23   	 -61.04		
 51.57   	 18.92   	 77.99   	 -66.12		
 51.88   	 68.66   	 77.72   	 -66.12		
 52.80   	147.71   	 77.46   	 -76.30		
 83.62   	265.50   	 77.15   	 -76.30		
169.98   	418.09   	 76.85   	 -76.30		
315.25   	587.16   	 76.54   	 -86.47		
498.35   	750.12   	 76.20   	 -91.56		
682.37   	890.20   	 75.83   	 -96.64		
832.52   	991.52   	 75.44   	 -96.64		
922.55   	1033.02   	 75.06   	 -96.64		
938.11   	991.52   	 74.67   	 -96.64		
881.35   	859.99   	 74.28   	-101.73		
768.74   	665.28   	 73.88   	 -96.64		
625.31   	465.70   	 73.49   	 -91.56		
474.55   	315.55   	 73.12   	 -91.56		
328.37   	229.19   	 72.76   	 -86.47		
189.51   	176.39   	 72.41   	 -81.38		
 65.00   	112.92   	 72.09   	 -76.30		
-31.43   	 20.75   	 71.78   	 -71.21		
-88.50   	-79.35   	 71.50   	 -66.12		
-107.73   	-151.37   	 71.23   	 -61.04		
-104.06   	-177.31   	 70.99   	 -55.95		
-97.66   	-169.07   	 70.76   	 -45.78		
-101.62   	-154.42   	 70.58   	 -45.78		
-115.05   	-152.89   	 70.40   	 -35.61		
-130.92   	-164.49   	 70.25   	 -30.52		
-143.13   	-179.75   	 70.13   	 -20.35		
-150.15   	-188.90   	 70.05   	  -5.09		
-153.20   	-189.82   	 70.03   	   5.09		
-155.03   	-185.85   	 70.05   	  30.52		
-156.25   	-181.27   	 70.17   	  55.95		
-156.86   	-178.22   	 70.40   	  86.47		
-156.56   	-177.61   	 70.74   	 116.99		
-157.17   	-180.05   	 71.21   	 157.68		
-159.00   	-183.11   	 71.84   	 198.37		
-161.44   	-184.63   	 72.63   	 233.98		
-163.57   	-183.11   	 73.57   	 279.75		
-164.79   	-178.83   	 74.69   	 315.36		
-165.71   	-175.48   	 75.95   	 356.05		
-169.07   	-175.78   	 77.38   	 386.57		
-174.26   	-180.05   	 78.92   	 417.09		
-177.61   	-184.02   	 80.59   	 447.61		
-175.48   	-182.50   	 82.38   	 462.87		
-168.15   	-174.56   	 84.23   	 483.21		
-159.61   	-163.57   	 86.16   	 493.39		
-154.11   	-156.25   	 88.14   	 498.47		
-153.50   	-155.33   	 90.13   	 498.47		
-154.42   	-156.56   	 92.13   	 493.39		
-152.59   	-154.42   	 94.10   	 488.30		
-146.48   	-145.87   	 96.05   	 478.13		
-138.55   	-134.89   	 97.97   	 462.87		
-132.75   	-128.17   	 99.82   	 442.52		
-130.92   	-128.78   	101.59   	 432.35		
-131.53   	-131.84   	103.32   	 406.92		
-131.84   	-128.78   	104.94   	 391.66		
-129.70   	-115.97   	106.51   	 366.22		
-125.12   	-95.83   	107.98   	 350.97		
-119.32   	-77.82   	109.38   	 335.71		
-112.00   	-69.58   	110.72   	 310.27		
-102.23   	-71.41   	111.96   	 295.01		
-90.33   	-76.90   	113.14   	 279.75		
-79.65   	-78.43   	114.26   	 264.50		
-73.24   	-72.02   	115.32   	 249.24		
-71.41   	-59.20   	116.32   	 233.98		
-70.80   	-44.25   	117.25   	 228.89		
-65.31   	-29.91   	118.17   	 208.54		
-53.41   	-17.09   	119.00   	 203.46		
-38.15   	 -4.58   	119.82   	 193.29		
-26.25   	  7.63   	120.59   	 188.20		
-21.36   	 19.23   	121.34   	 172.94		
-23.50   	 29.60   	122.03   	 172.94		
-28.38   	 40.89   	122.73   	 162.77		
-30.52   	 54.02   	123.38   	 152.59		
-28.69   	 68.66   	123.99   	 147.51		
