  I     	  II     	  AO     	  AO'		  FA     	  FA'		
 -3.97   	 46.08   	 72.21   	 -55.95		 75.18   	 -40.69		
-10.07   	 43.03   	 71.98   	 -45.78		 75.01   	 -40.69		
-16.17   	 37.84   	 71.80   	 -35.61		 74.85   	 -35.61		
-17.70   	 35.40   	 71.66   	 -30.52		 74.71   	 -35.61		
-13.73   	 37.23   	 71.54   	 -30.52		 74.57   	 -40.69		
 -4.27   	 42.11   	 71.41   	 -30.52		 74.40   	 -35.61		
  7.02   	 46.39   	 71.29   	 -40.69		 74.26   	 -40.69		
 18.01   	 46.08   	 71.13   	 -45.78		 74.10   	 -40.69		
 25.02   	 40.28   	 70.95   	 -45.78		 73.94   	 -40.69		
 26.86   	 30.52   	 70.76   	 -55.95		 73.77   	 -45.78		
 23.19   	 18.62   	 70.54   	 -55.95		 73.59   	 -40.69		
 15.26   	  5.49   	 70.32   	 -50.86		 73.43   	 -45.78		
  5.80   	 -8.54   	 70.11   	 -45.78		 73.24   	 -50.86		
 -2.44   	-23.19   	 69.93   	 -45.78		 73.04   	 -45.78		
 -7.02   	-36.93   	 69.75   	 -35.61		 72.86   	 -50.86		
 -5.80   	-44.25   	 69.60   	 -30.52		 72.65   	 -50.86		
  2.75   	-41.81   	 69.48   	 -25.43		 72.45   	 -55.95		
 17.40   	-30.21   	 69.38   	 -20.35		 72.23   	 -55.95		
 35.71   	-15.26   	 69.30   	 -20.35		 72.00   	 -50.86		
 50.96   	 -4.58   	 69.22   	 -25.43		 71.80   	 -55.95		
 57.37   	 -4.27   	 69.11   	 -30.52		 71.58   	 -55.95		
 50.96   	-16.48   	 68.99   	 -40.69		 71.35   	 -50.86		
 32.65   	-37.84   	 68.83   	 -35.61		 71.15   	 -55.95		
  7.93   	-62.87   	 68.69   	 -45.78		 70.93   	 -50.86		
-16.78   	-84.84   	 68.50   	 -40.69		 70.72   	 -50.86		
-35.40   	-97.96   	 68.34   	 -30.52		 70.52   	 -45.78		
-45.17   	-101.01   	 68.22   	 -30.52		 70.34   	 -50.86		
-46.69   	-97.05   	 68.10   	 -20.35		 70.13   	 -40.69		
-43.33   	-89.72   	 68.02   	 -10.17		 69.97   	 -45.78		
-39.67   	-83.92   	 67.98   	 -15.26		 69.79   	 -40.69		
-39.06   	-81.79   	 67.91   	 -20.35		 69.62   	 -35.61		
-42.42   	-82.70   	 67.83   	 -35.61		 69.48   	 -35.61		
-48.22   	-84.84   	 67.69   	 -61.04		 69.34   	 -35.61		
-53.71   	-86.36   	 67.45   	 -81.38		 69.20   	 -30.52		
-58.29   	-86.67   	 67.12   	-106.82		 69.07   	 -30.52		
-60.42   	-85.75   	 66.69   	-111.90		 68.95   	 -30.52		
-60.12   	-84.84   	 66.25   	-111.90		 68.83   	 -25.43		
-58.29   	-83.92   	 65.80   	 -96.64		 68.73   	 -30.52		
-56.76   	-82.70   	 65.41   	 -81.38		 68.61   	 -30.52		
-56.46   	-81.18   	 65.09   	 -55.95		 68.48   	 -25.43		
-57.37   	-79.04   	 64.86   	 -30.52		 68.38   	 -30.52		
-58.29   	-76.90   	 64.74   	  -5.09		 68.26   	 -30.52		
-57.68   	-74.46   	 64.72   	   5.09		 68.14   	 -30.52		
-55.24   	-72.02   	 64.74   	  15.26		 68.02   	 -35.61		
-51.88   	-69.58   	 64.80   	  15.26		 67.87   	 -30.52		
-48.83   	-66.83   	 64.86   	   5.09		 67.75   	 -35.61		
-48.83   	-63.48   	 64.88   	  -5.09		 67.61   	 -35.61		
-53.71   	-55.85   	 64.86   	 -20.35		 67.47   	 -35.61		
-65.31   	-39.37   	 64.78   	 -35.61		 67.32   	 -35.61		
-82.40   	-10.99   	 64.64   	 -45.78		 67.18   	 -40.69		
-97.66   	 28.69   	 64.46   	 -50.86		 67.02   	 -35.61		
-94.60   	 74.77   	 64.25   	 -50.86		 66.88   	 -40.69		
-51.57   	120.85   	 64.05   	 -55.95		 66.71   	 -40.69		
 44.25   	161.13   	 63.82   	 -50.86		 66.55   	 -40.69		
186.16   	192.26   	 63.62   	 -50.86		 66.39   	 -40.69		
342.41   	198.67   	 63.42   	 -45.78		 66.23   	 -40.69		
466.00   	147.71   	 63.23   	 -45.78		 66.06   	 -35.61		
519.41   	 12.21   	 63.05   	 -45.78		 65.92   	 -40.69		
495.91   	-197.45   	 62.87   	 -50.86		 65.76   	 -35.61		
419.62   	-424.80   	 62.67   	 -45.78		 65.62   	 -40.69		
326.54   	-592.96   	 62.48   	 -50.86		 65.45   	 -35.61		
243.23   	-663.45   	 62.28   	 -50.86		 65.31   	 -35.61		
176.70   	-666.20   	 62.08   	 -50.86		 65.17   	 -35.61		
124.21   	-669.56   	 61.87   	 -45.78		 65.03   	 -35.61		
 85.14   	-711.67   	 61.69   	 -40.69		 64.88   	 -35.61		
 65.00   	-766.60   	 61.53   	 -40.69		 64.74   	 -30.52		
 64.39   	-773.01(R)	 61.36   	 -35.61		 64.62   	 -35.61		
 73.55   	-690.61   	 61.22   	 -30.52		 64.48   	 -30.52		
 76.29   	-535.89   	 61.10   	 -25.43		 64.35   	 -35.61		
 62.56   	-364.99   	 61.00   	 -10.17		 64.21   	 -30.52		
 35.10   	-228.58   	 60.96   	   0.00		 64.09   	 -30.52		
  5.19   	-144.65   	 60.96   	   5.09		 63.97   	 -35.61		
-16.17   	-104.06   	 60.98   	  10.17		 63.82   	 -35.61		
-25.33   	-86.06   	 61.02   	   5.09		 63.68   	 -35.61		
-26.86   	-73.85   	 61.04   	   0.00		 63.54   	 -35.61		
-26.55   	-59.51   	 61.04   	  -5.09		 63.40   	 -40.69		
-27.77   	-42.11   	 61.02   	   0.00		 63.23   	 -40.69		
-30.52   	-26.55   	 61.02   	  30.52		 63.07   	 -40.69		
-33.57   	-16.78   	 61.14   	  81.38		 62.91   	 -45.78		
-35.10   	-13.73   	 61.46   	 157.68		 62.73   	 -45.78		
-35.10   	-13.43   	 62.10   	 244.15		 62.54   	 -40.69		
-34.18   	-12.51   	 63.07   	 335.71		 62.38   	 -45.78		
-33.26   	-10.99   	 64.41   	 422.18		 62.20   	 -40.69		
-33.57   	-10.07   	 66.10   	 483.21		 62.03   	 -40.69		
-33.57   	 -9.77   	 68.04   	 518.82		 61.87   	 -35.61		
-32.65   	 -8.54   	 70.11   	 518.82		 61.73   	 -35.61		
-30.82   	 -6.10   	 72.19   	 488.30		 61.59   	 -30.52		
-28.69   	 -3.36   	 74.14   	 432.35		 61.46   	 -25.43		
-26.25   	 -2.14   	 75.87   	 356.05		 61.36   	 -25.43		
-25.02   	 -2.44   	 77.29   	 284.84		 61.26   	 -15.26		
-24.72   	 -3.05   	 78.43   	 228.89		 61.20   	 -15.26		
-25.33   	 -2.14   	 79.35   	 178.03		 61.14   	   0.00		
-26.55   	  0.61   	 80.06   	 147.51		 61.14   	  10.17		
-27.47   	  4.27   	 80.65   	 122.07		 61.18   	  25.43		
-27.77   	  6.41   	 81.14   	 111.90		 61.28   	  45.78		
-27.16   	  6.10   	 81.59   	 101.73		 61.46   	  76.30		
-26.55   	  4.27   	 81.99   	 116.99		 61.77   	 106.82		
-25.94   	  3.66   	 82.46   	 162.77		 62.20   	 142.42		
-25.63   	  5.19   	 83.11   	 264.50		 62.77   	 183.11		
-25.63   	  7.93   	 84.17   	 396.74		 63.50   	 223.80		
-25.33   	 10.07   	 85.76   	 503.56		 64.39   	 264.50		
-24.41   	 10.07   	 87.77   	 549.34		 65.45   	 305.19		
-22.28   	  8.54   	 89.97   	 523.90		 66.67   	 340.79		
-19.53   	  8.24   	 92.06   	 437.43		 68.04   	 371.31		
-16.48   	  9.77   	 93.81   	 330.62		 69.52   	 406.92		
-14.04   	 12.21   	 95.14   	 213.63		 71.15   	 432.35		
-12.51   	 14.65   	 95.99   	 127.16		 72.88   	 457.78		
-11.29   	 16.48   	 96.50   	  81.38		 74.71   	 478.13		
 -9.77   	 18.31   	 96.83   	  71.21		 76.62   	 488.30		
 -7.32   	 21.36   	 97.11   	  81.38		 78.58   	 503.56		
 -4.27   	 25.02   	 97.44   	 106.82		 80.59   	 513.73		
 -1.53   	 28.38   	 97.86   	 127.16		 82.64   	 513.73		
  1.22   	 30.52   	 98.37   	 142.42		 84.70   	 513.73		
  3.66   	 31.43   	 98.94   	 172.94		 86.75   	 513.73		
  6.10   	 32.96   	 99.63   	 239.06		 88.81   	 503.56		
  8.85   	 36.32   	100.59   	 335.71		 90.82   	 498.47		
 10.99   	 40.89   	101.93   	 437.43		 92.82   	 493.39		
 13.12   	 45.17   	103.68   	 513.73		 94.79   	 473.04		
 15.87   	 47.30   	105.74   	 534.08		 96.68   	 467.95		
 18.92   	 47.61   	107.87   	 503.56		 98.56   	 452.69		
 22.58   	 47.91   	109.89   	 427.26		100.37   	 437.43		
 26.25   	 50.66   	111.60   	 325.53		102.12   	 417.09		
 29.60   	 56.76   	112.90   	 213.63		103.78   	 406.92		
 32.65   	 65.00   	113.75   	  91.56		105.41   	 391.66		
 35.40   	 72.02   	114.12   	 -35.61		106.98   	 371.31		
 39.06   	 76.90   	113.98   	-142.42		108.46   	 361.14		
 43.64   	 79.96   	113.41   	-203.46		109.91   	 335.71		
 49.74   	 82.40   	112.59   	-193.29		111.25   	 320.45		
 57.07   	 85.45   	111.82   	-116.99		112.53   	 305.19		
 65.31   	 88.81   	111.35   	  15.26		113.75   	 289.93		
 73.85   	 91.86   	111.41   	 157.68		114.91   	 264.50		
 81.79   	 93.38   	112.04   	 274.67		115.97   	 254.32		
 89.72   	 93.99   	113.14   	 356.05		116.99   	 233.98		
 96.44   	 93.38   	114.57   	 376.40		117.92   	 218.72		
102.84   	 92.77   	116.07   	 340.79		118.80   	 198.37		
108.64   	 93.69   	117.44   	 269.58		119.59   	 188.20		
114.44   	 95.52   	118.51   	 172.94		120.35   	 167.85		
120.24   	 96.74   	119.21   	  81.38		121.02   	 157.68		
126.04   	 95.83   	119.53(S)	   0.00		121.65   	 137.33		
132.14   	 92.47   	119.53   	 -61.04		122.20   	 127.16		
138.24   	 87.89   	119.29   	-111.90		122.71   	 116.99		
143.43   	 83.01   	118.84   	-147.51		123.17   	 101.73		
147.09   	 79.35   	118.25   	-162.77		123.58   	  91.56		
148.93   	 76.29   	117.60   	-167.85		123.95   	  81.38		
149.84   	 72.63   	116.93   	-142.42		124.27   	  71.21		
150.76   	 68.05   	116.36   	-116.99		124.56   	  55.95		
152.89   	 62.56   	115.89   	-106.82		124.78   	  45.78		
154.42   	 56.76   	115.46   	-101.73		124.96   	  35.61		
