  I     	  II     	  LV     	  LV'		  PW     	  PW'		
-18.62   	-39.06   	  7.14   	 -10.17		  5.57   	 -45.78		
-28.38   	-46.08   	  7.10   	 -10.17		  5.39   	 -45.78		
-28.99   	-48.83   	  7.06   	   0.00		  5.21   	 -35.61		
-25.33   	-50.05   	  7.06   	   0.00		  5.07   	 -30.52		
-22.28   	-51.27   	  7.06   	  10.17		  4.94   	 -15.26		
-20.75   	-52.80   	  7.10   	  20.35		  4.88   	 -10.17		
-21.36   	-54.93   	  7.18   	  35.61		  4.84   	  -5.09		
-24.11   	-56.76   	  7.32   	  50.86		  4.82   	  -5.09		
-28.38   	-57.98   	  7.53   	  55.95		  4.80   	  -5.09		
-33.26   	-58.59   	  7.75   	  71.21		  4.78   	  -5.09		
-36.32   	-58.29   	  8.04   	  66.12		  4.76   	   0.00		
-36.93   	-57.98   	  8.30   	  66.12		  4.76   	  10.17		
-36.32   	-58.59   	  8.57   	  55.95		  4.80   	  15.26		
-35.71   	-59.51   	  8.79   	  35.61		  4.86   	  20.35		
-35.71   	-59.20   	  8.93   	  20.35		  4.94   	  20.35		
-34.18   	-56.76   	  9.01   	   0.00		  5.03   	  25.43		
-29.30   	-53.41   	  9.01   	 -20.35		  5.13   	  20.35		
-23.19   	-51.27   	  8.93   	 -40.69		  5.21   	  20.35		
-18.62   	-51.57   	  8.77   	 -45.78		  5.29   	  25.43		
-18.92   	-53.71   	  8.59   	 -50.86		  5.39   	  20.35		
-24.72   	-54.63   	  8.38   	 -55.95		  5.47   	  30.52		
-34.18   	-48.83   	  8.16   	 -45.78		  5.60   	  25.43		
-46.69   	-32.96   	  7.98   	 -35.61		  5.70   	  35.61		
-62.56   	 -6.41   	  7.83   	 -20.35		  5.84   	  35.61		
-78.74   	 27.16   	  7.75   	 -10.17		  5.98   	  40.69		
-83.62   	 62.26   	  7.71   	   5.09		  6.14   	  45.78		
-55.85   	 94.91   	  7.73   	  15.26		  6.33   	  61.04		
 23.80   	124.51   	  7.79   	  20.35		  6.57   	  66.12		
156.25   	151.98   	  7.87   	  25.43		  6.84   	  61.04		
314.03   	167.85   	  7.98   	  25.43		  7.08   	  55.95		
450.44   	138.85   	  8.08   	  25.43		  7.30   	  35.61		
523.99   	 32.35   	  8.18   	  30.52		  7.45   	  15.26		
522.16   	-151.37   	  8.30   	  35.61		  7.51   	   0.00		
463.26   	-364.07   	  8.44   	  40.69		  7.51   	  -5.09		
381.77   	-530.09   	  8.61   	  50.86		  7.49   	   0.00		
303.65   	-600.89   	  8.81   	  61.04		  7.49   	   5.09		
238.65   	-598.45   	  9.05   	  71.21		  7.51   	  15.26		
184.63   	-591.74   	  9.34   	  91.56		  7.57   	  25.43		
141.30   	-628.97   	  9.70   	 116.99		  7.67   	  30.52		
114.75   	-693.97   	 10.17   	 132.25		  7.79   	  25.43		
106.20   	-723.27(R)	 10.70   	 162.77		  7.89   	  25.43		
108.34   	-665.89   	 11.35   	 193.29		  8.00   	  15.26		
106.51   	-527.04   	 12.13   	 228.89		  8.06   	  15.26		
 89.72   	-360.11   	 13.04   	 274.67		  8.12   	  10.17		
 59.81   	-221.56   	 14.14   	 315.36		  8.16   	   5.09		
 26.86   	-136.41   	 15.40   	 371.31		  8.18(A)	  -5.09		
  3.36   	-97.96   	 16.89   	 432.35		  8.16   	  -5.09		
 -6.71   	-83.31   	 18.62   	 498.47		  8.14   	 -15.26		
 -7.02   	-74.46   	 20.61   	 574.77		  8.08   	 -15.26		
 -7.32   	-63.78   	 22.91   	 651.07		  8.02   	 -20.35		
-13.12   	-50.66   	 25.51   	 732.45		  7.93   	 -20.35		
-23.50   	-37.54   	 28.44   	 803.66		  7.85   	 -20.35		
-33.87   	-27.77   	 31.66   	 869.78		  7.77   	 -15.26		
-38.45   	-22.28   	 35.14   	 925.73		  7.71   	 -25.43		
-36.93   	-19.53   	 38.84   	 961.34		  7.61   	 -20.35		
-33.26   	-17.70   	 42.69   	 976.60		  7.53   	 -35.61		
-31.43   	-16.17   	 46.59   	 966.43		  7.39   	 -35.61		
-32.04   	-14.65   	 50.46   	 935.91		  7.24   	 -35.61		
-32.35   	-13.43   	 54.20   	 874.87		  7.10   	 -35.61		
-30.82   	-11.29   	 57.70   	 793.49		  6.96   	 -15.26		
-28.08   	 -8.85   	 60.87   	 701.93		  6.90   	   0.00		
-26.25   	 -7.32   	 63.68   	 610.37		  6.90   	  25.43		
-25.63   	 -6.41   	 66.12   	 513.73		  7.00   	  35.61		
-26.25   	 -5.80   	 68.18   	 447.61		  7.14   	  40.69		
-27.47   	 -4.88   	 69.97   	 396.74		  7.30   	  35.61		
-28.69   	 -3.97   	 71.56   	 376.40		  7.45   	  30.52		
-30.82   	 -3.97   	 73.06   	 376.40		  7.57   	  20.35		
-32.96   	 -4.58   	 74.57   	 401.83		  7.65   	  10.17		
-32.65   	 -4.27   	 76.17   	 437.43		  7.69   	   0.00		
-28.99   	 -2.44   	 77.92   	 478.13		  7.69   	 -10.17		
-23.50   	  1.22   	 79.84   	 503.56		  7.65   	 -15.26		
-18.62   	  5.19   	 81.85   	 523.90		  7.59   	 -25.43		
-17.09   	  6.71   	 83.95   	 523.90		  7.49   	 -30.52		
-18.92   	  6.10   	 86.04   	 503.56		  7.37   	 -35.61		
-20.75   	  3.66   	 88.06   	 462.87		  7.22   	 -40.69		
-20.14   	  1.53   	 89.91   	 422.18		  7.06   	 -40.69		
-16.17   	  0.92   	 91.60   	 366.22		  6.90   	 -35.61		
-12.51   	  2.44   	 93.06   	 315.36		  6.75   	 -25.43		
-11.29   	  5.49   	 94.32   	 274.67		  6.65   	 -25.43		
-14.65   	  9.46   	 95.42   	 239.06		  6.55   	 -20.35		
-20.75   	 12.51   	 96.38   	 213.63		  6.47   	 -20.35		
-25.33   	 13.43   	 97.23   	 198.37		  6.39   	 -20.35		
-25.33   	 12.21   	 98.03   	 188.20		  6.31   	 -25.43		
-19.84   	 10.38   	 98.78   	 172.94		  6.21   	 -30.52		
-12.21   	 10.68   	 99.47   	 167.85		  6.08   	 -30.52		
 -5.19   	 13.43   	100.14   	 147.51		  5.96   	 -30.52		
 -1.83   	 17.40   	100.73   	 132.25		  5.84   	 -25.43		
 -1.53   	 20.45   	101.26   	 122.07		  5.74   	 -20.35		
 -2.44   	 21.36   	101.75   	 111.90		  5.66   	 -25.43		
 -1.53   	 21.06   	102.20   	 101.73		  5.55   	 -20.35		
  1.22   	 21.67   	102.60   	  91.56		  5.47   	 -35.61		
  4.58   	 23.80   	102.97   	  76.30		  5.33   	 -35.61		
  5.49   	 28.08   	103.28   	  71.21		  5.19   	 -45.78		
  3.66   	 33.57   	103.56   	  66.12		  5.01   	 -45.78		
  0.92   	 39.67   	103.82   	  76.30		  4.82   	 -45.78		
  0.31   	 44.86   	104.13   	  96.64		  4.64   	 -35.61		
  3.97   	 47.91   	104.52   	 116.99		  4.50   	 -20.35		
  9.77   	 49.44   	104.98   	 137.33		  4.42   	   5.09		
 14.95   	 50.96   	105.53   	 147.51		  4.44   	  25.43		
 17.70   	 54.93   	106.12   	 142.42		  4.54   	  50.86		
 18.62   	 61.34   	106.69   	 132.25		  4.74   	  66.12		
 19.23   	 68.05   	107.22   	  91.56		  5.01   	  86.47		
 21.06   	 72.33   	107.59   	  55.95		  5.35   	  96.64		
 24.72   	 73.55   	107.81(S)	   0.00		  5.74   	  96.64		
 29.60   	 73.55   	107.81   	 -55.95		  6.12   	 101.73		
 35.40   	 75.99   	107.59   	-111.90		  6.53   	  91.56		
 41.20   	 81.18   	107.14   	-157.68		  6.90   	  81.38		
 46.69   	 87.59   	106.51   	-193.29		  7.22   	  71.21		
 51.27   	 92.77   	105.74   	-223.80		  7.51   	  50.86		
 55.85   	 95.21   	104.84   	-223.80		  7.71   	  40.69		
 60.12   	 96.13   	103.95   	-213.63		  7.87   	  30.52		
 64.39   	 97.96   	103.09   	-183.11		  8.00   	  15.26		
 70.19   	102.54   	102.36   	-152.59		  8.06   	  15.26		
 77.51   	108.95   	101.75   	-111.90		  8.12   	   5.09		
 85.14   	114.14   	101.30   	 -61.04		  8.14   	   5.09		
 90.94   	115.05   	101.06   	 -20.35		  8.16   	   0.00		
 94.60   	112.00   	100.98   	  15.26		  8.16   	 -15.26		
 97.05   	106.81   	101.04   	  40.69		  8.10   	 -15.26		
101.32   	103.15   	101.20   	  50.86		  8.04   	 -20.35		
110.47   	102.54   	101.40   	  40.69		  7.96   	 -25.43		
122.68   	103.76   	101.57   	  15.26		  7.85   	 -15.26		
131.84   	102.84   	101.63   	 -20.35		  7.79   	  -5.09		
134.58   	 97.35   	101.55   	 -71.21		  7.77   	  10.17		
131.23   	 88.20   	101.26   	-122.07		  7.81   	  15.26		
126.95   	 79.04   	100.77   	-167.85		  7.87   	  15.26		
127.26   	 72.94   	100.10   	-203.46		  7.93   	  10.17		
133.36   	 70.19   	 99.29   	-233.98		  7.98   	 -10.17		
140.08   	 68.36   	 98.35   	-254.32		  7.93   	 -20.35		
141.30   	 64.09   	 97.33   	-279.75		  7.85   	 -35.61		
135.19   	 57.07   	 96.22   	-300.10		  7.71   	 -40.69		
125.12   	 47.61   	 95.01   	-320.45		  7.55   	 -35.61		
114.44   	 38.15   	 93.73   	-330.62		  7.41   	 -15.26		
104.37   	 30.21   	 92.41   	-340.79		  7.34   	  -5.09		
 93.69   	 23.80   	 91.05   	-340.79		  7.32   	  15.26		
 81.79   	 19.23   	 89.68   	-330.62		  7.39   	  25.43		
 68.97   	 14.65   	 88.36   	-315.36		  7.49   	  25.43		
 57.37   	  9.46   	 87.10   	-295.01		  7.59   	  15.26		
 47.61   	  3.05   	 85.92   	-274.67		  7.65   	   5.09		
 39.06   	 -2.75   	 84.82   	-264.50		  7.67   	 -10.17		
 29.30   	 -7.63   	 83.76   	-269.58		  7.63   	 -20.35		
 18.62   	-10.38   	 82.69   	-284.84		  7.55   	 -30.52		
  8.85   	-12.21   	 81.55   	-330.62		  7.43   	 -40.69		
  2.44   	-13.73   	 80.22   	-386.57		  7.26   	 -45.78		
  0.31   	-15.26   	 78.68   	-457.78		  7.08   	 -55.95		
  0.31   	-17.09   	 76.85   	-544.25		  6.86   	 -61.04		
 -0.31   	-19.53   	 74.67   	-615.46		  6.61   	 -71.21		
 -3.36   	-22.89   	 72.21   	-686.67		  6.33   	 -76.30		
 -7.93   	-26.86   	 69.46   	-732.45		  6.02   	 -76.30		
-13.12   	-30.52   	 66.53   	-762.97		  5.72   	 -66.12		
-17.40   	-32.35   	 63.48   	-773.14		  5.45   	 -66.12		
-19.23   	-31.13   	 60.39   	-757.88		  5.19   	 -61.04		
-20.45   	-28.08   	 57.35   	-742.62		  4.94   	 -76.30		
-21.97   	-24.41   	 54.38   	-707.02		  4.64   	 -96.64		
-23.80   	-21.06   	 51.56   	-681.58		  4.25   	-116.99		
-26.86   	-19.84   	 48.83   	-640.89		  3.78   	-132.25		
-30.21   	-20.14   	 46.27   	-605.29		  3.26   	-127.16		
-31.74   	-21.36   	 43.85   	-569.68		  2.75   	-106.82		
-31.43   	-22.28   	 41.57   	-534.08		  2.32   	 -61.04		
-29.91   	-21.97   	 39.43   	-503.56		  2.08   	 -20.35		
-27.16   	-21.36   	 37.42   	-478.13		  1.99   	  30.52		
-23.80   	-20.45   	 35.50   	-452.69		  2.12   	  55.95		
-21.36   	-20.45   	 33.69   	-437.43		  2.34   	  66.12		
-21.06   	-21.67   	 31.94   	-417.09		  2.60   	  66.12		
-23.50   	-23.19   	 30.27   	-396.74		  2.87   	  50.86		
-27.16   	-24.11   	 28.69   	-381.48		  3.07   	  30.52		
-30.21   	-24.11   	 27.16   	-366.22		  3.19   	  15.26		
-31.43   	-23.50   	 25.70   	-345.88		  3.26   	  10.17		
-30.82   	-23.50   	 24.31   	-320.45		  3.30   	  25.43		
-29.60   	-24.41   	 23.03   	-295.01		  3.40   	  50.86		
-28.69   	-24.41   	 21.85   	-269.58		  3.60   	  71.21		
-27.77   	-22.28   	 20.77   	-239.06		  3.89   	  91.56		
-25.63   	-17.70   	 19.82   	-208.54		  4.25   	 101.73		
-22.89   	-12.82   	 18.98   	-167.85		  4.66   	 101.73		
-20.45   	 -9.77   	 18.31   	-127.16		  5.07   	  81.38		
-18.62   	 -9.77   	 17.80   	 -86.47		  5.39   	  66.12		
-18.01   	-12.51   	 17.46   	 -50.86		  5.66   	  45.78		
