  I     	  II     	  LV     	  LV'		
 79.96   	 43.64   	119.25   	-142.42		
 87.28   	 45.78   	118.68   	  61.04		
 96.44   	 51.88   	118.92   	 223.80		
107.12   	 62.87   	119.82   	 366.22		
117.80   	 75.68   	121.28   	 493.39		
127.87   	 85.75   	123.25   	 544.25		
136.41   	 90.94   	125.43   	 513.73		
144.04   	 92.16   	127.49   	 442.52		
151.37   	 91.86   	129.26   	 320.45		
158.08   	 93.99   	130.54   	 198.37		
163.88   	 99.49   	131.33   	  91.56		
168.15   	106.51   	131.70   	  15.26		
169.98   	112.61   	131.76   	 -35.61		
169.07   	115.36   	131.62   	 -71.21		
165.71   	115.97   	131.33   	 -71.21		
160.22   	115.97   	131.05   	 -66.12		
152.28   	116.88   	130.78   	 -45.78		
142.82   	118.71   	130.60   	 -10.17		
133.36   	120.85   	130.56   	  25.43		
124.82   	120.54   	130.66   	  66.12		
116.58   	117.49   	130.93   	  71.21		
106.81   	111.08   	131.21   	  76.30		
 92.16   	101.93   	131.52   	  86.47		
 73.24   	 92.16   	131.86   	  45.78		
 53.10   	 83.62   	132.04   	  35.61		
 34.79   	 76.29   	132.19   	  50.86		
 20.45   	 68.36   	132.39   	  20.35		
  9.77   	 57.98   	132.47   	  10.17		
  0.61   	 44.86   	132.51   	  15.26		
 -8.54   	 31.74   	132.57   	 -10.17		
-17.40   	 22.89   	132.53   	 -50.86		
-26.25   	 19.84   	132.33   	 -76.30		
-34.18   	 21.06   	132.02   	-111.90		
-41.81   	 21.97   	131.58   	-162.77		
-48.83   	 19.84   	130.93   	-198.37		
-54.93   	 13.73   	130.13   	-203.46		
-58.59   	  7.32   	129.32   	-233.98		
-60.12   	  2.44   	128.38   	-274.67		
-61.04   	  0.00   	127.28   	-325.53		
-62.87   	 -2.44   	125.98   	-366.22		
-65.92   	 -7.93   	124.52   	-447.61		
-70.19   	-15.56   	122.73   	-564.60		
-73.85   	-21.67   	120.47   	-707.02		
-75.38   	-22.89   	117.64   	-859.61		
-74.77   	-18.31   	114.20   	-986.77		
-73.24   	-10.99   	110.25   	-1098.67		
-72.02   	 -5.49   	105.86   	-1200.40		
-72.02   	 -3.36   	101.06   	-1185.14		
-71.72   	 -3.66   	 96.32   	-1052.90		
-70.50   	 -4.58   	 92.11   	-1159.71		
-67.75   	 -5.80   	 87.47   	-1876.90		
-65.00   	 -7.63   	 79.96   	-2151.57		
-64.39   	-11.29   	 71.35   	-1963.37		
-66.53   	-15.56   	 63.50   	-2304.16		
-69.58   	-18.01   	 54.28   	-2278.73		
-70.50   	-16.48   	 45.17   	-1907.42		
-68.05   	-11.29   	 37.54   	-1648.01		
-63.17   	 -4.27   	 30.95   	-1113.93		
-59.20   	 -0.61   	 26.49   	-757.88		
-58.90   	 -2.14   	 23.46   	-584.94		
-61.34   	 -8.24   	 21.12   	-300.10		
-63.48   	-14.34   	 19.92   	-172.94		
-63.48   	-17.70   	 19.23   	-208.54		
-61.34   	-16.78   	 18.39   	-228.89		
-58.59   	-12.21   	 17.48   	-330.62		
-56.76   	 -6.10   	 16.15   	-442.52		
-55.54   	  0.92   	 14.38   	-498.47		
-54.63   	  7.02   	 12.39   	-559.51		
-53.71   	  9.46   	 10.15   	-579.86		
-52.80   	  7.32   	  7.83   	-554.42		
-52.80   	  1.53   	  5.62   	-498.47		
-53.41   	 -4.58   	  3.62   	-437.43		
-54.63   	 -7.32   	  1.87   	-366.22		
-55.54   	 -5.49   	  0.41   	-279.75		
-56.46   	 -1.83   	 -0.71   	-193.29		
-56.76   	  1.53   	 -1.49   	-127.16		
-56.15   	  3.36   	 -1.99   	 -76.30		
-54.93   	  3.05   	 -2.30   	 -35.61		
-53.71   	  0.92   	 -2.44   	   5.09		
-52.49   	 -2.14   	 -2.42   	  35.61		
-52.49   	 -5.80   	 -2.28   	  50.86		
-52.80   	 -9.77   	 -2.08   	  35.61		
-54.32   	-13.12   	 -1.93   	  35.61		
-56.46   	-14.65   	 -1.79   	  50.86		
-59.51   	-14.04   	 -1.59   	  30.52		
-61.04   	-10.99   	 -1.46   	   0.00		
-60.42   	 -6.71   	 -1.46   	 -15.26		
-58.90   	 -5.49   	 -1.53   	 -35.61		
-56.76   	 -8.85   	 -1.67   	 -35.61		
-55.54   	-15.26   	 -1.81   	  -5.09		
-55.54   	-19.84   	 -1.83   	   5.09		
-56.15   	-19.23   	 -1.81   	  10.17		
-56.46   	-14.04   	 -1.77   	  40.69		
-56.15   	 -8.24   	 -1.61   	  45.78		
-54.93   	 -6.71   	 -1.42   	  40.69		
-53.10   	 -9.46   	 -1.26   	  45.78		
-53.41   	-14.65   	 -1.08   	  40.69		
-57.68   	-19.84   	 -0.92   	  25.43		
-64.70   	-23.19   	 -0.81   	  15.26		
-70.50   	-24.11   	 -0.75   	   5.09		
-72.02   	-24.11   	 -0.73   	  -5.09		
-68.36   	-23.19   	 -0.75   	  -5.09		
-61.95   	-22.28   	 -0.77   	 -10.17		
-57.37   	-21.06   	 -0.81   	  -5.09		
-55.85   	-18.62   	 -0.83   	   5.09		
-55.85   	-15.26   	 -0.81   	   5.09		
-55.85   	-12.82   	 -0.79   	   5.09		
-55.54   	-12.82   	 -0.77   	  20.35		
-55.54   	-15.87   	 -0.69   	  20.35		
-56.46   	-19.53   	 -0.61   	  15.26		
-57.37   	-21.36   	 -0.55   	  30.52		
-57.98   	-21.36   	 -0.43   	  35.61		
-58.90   	-20.75   	 -0.28   	  25.43		
-58.59   	-19.84   	 -0.18   	  25.43		
-57.37   	-18.01   	 -0.08   	  20.35		
-54.63   	-14.95   	  0.00   	  25.43		
-51.27   	-10.68   	  0.10   	  25.43		
-48.22   	 -7.32   	  0.20   	  30.52		
-47.61   	 -7.93   	  0.33   	  15.26		
-48.83   	-10.99   	  0.39   	  10.17		
-50.05   	-13.43   	  0.43   	  20.35		
-50.66   	-14.04   	  0.51   	  15.26		
-50.96   	-13.12   	  0.57   	  10.17		
-51.27   	-13.12   	  0.61   	   0.00		
-52.19   	-14.65   	  0.61   	   5.09		
-53.71   	-17.40   	  0.63   	  10.17		
-55.24   	-19.53   	  0.67   	  10.17		
-55.24   	-21.06   	  0.71   	   5.09		
-54.02   	-21.36   	  0.73   	  20.35		
-51.57   	-21.06   	  0.81   	  25.43		
-47.61   	-18.62   	  0.92   	  25.43		
-41.81   	-10.07   	  1.02   	  15.26		
-35.71   	  5.49   	  1.08   	  25.43		
-30.21   	 26.25   	  1.18   	  15.26		
-26.25   	 46.69   	  1.24   	  15.26		
-23.19   	 61.34   	  1.30   	  15.26		
-19.53   	 66.22   	  1.36   	  25.43		
-14.04   	 61.95   	  1.46   	  15.26		
 -7.02   	 54.02   	  1.53   	   0.00		
 -1.22   	 50.35   	  1.53   	   5.09		
  1.53   	 57.37   	  1.55   	   5.09		
  1.83   	 76.60   	  1.57   	   0.00		
  2.14   	101.62   	  1.57   	  -5.09		
  4.58   	120.54   	  1.55   	   0.00		
  9.46   	123.60   	  1.55   	   5.09		
 16.17   	110.78   	  1.57   	   0.00		
 22.28   	 92.16   	  1.57   	  -5.09		
 26.86   	 79.65   	  1.55   	 -15.26		
 29.60   	 78.43   	  1.49   	  -5.09		
 28.99   	 83.01   	  1.46   	 -20.35		
 22.58   	 83.62   	  1.38   	 -15.26		
  8.85   	 74.16   	  1.32   	   0.00		
-11.60   	 55.54   	  1.32   	  10.17		
-33.57   	 31.43   	  1.36   	  25.43		
-51.57   	  5.49   	  1.46   	  40.69		
-62.26   	-20.75   	  1.63   	  45.78		
-65.92   	-43.95   	  1.81   	  55.95		
-65.31   	-59.81   	  2.03   	  55.95		
-63.48   	-65.92   	  2.26   	  61.04		
-61.04   	-63.78   	  2.50   	  71.21		
-57.98   	-57.68   	  2.79   	  61.04		
-55.24   	-53.10   	  3.03   	  61.04		
-54.93   	-50.66   	  3.28   	  61.04		
-59.20   	-45.78   	  3.52   	  50.86		
-64.39   	-29.91   	  3.72   	  55.95		
-56.46   	  5.19   	  3.95   	  50.86		
-10.07   	 65.31   	  4.15   	  66.12		
101.62   	152.59   	  4.42   	  71.21		
294.19   	266.42   	  4.70   	  66.12		
559.69   	403.75   	  4.96   	  76.30		
856.02   	556.03   	  5.27   	  71.21		
1109.01   	700.68   	  5.55   	  50.86		
1223.75(R)	792.54   	  5.76(E)	  61.04		
1123.35   	771.48   	  6.00   	  40.69		
801.39   	602.11   	  6.16   	   5.09		
347.90   	307.31   	  6.19   	   5.09		
-78.74   	-21.67   	  6.21   	  20.35		
-331.12   	-263.98   	  6.29   	  61.04		
-359.19   	-340.27   	  6.53   	 147.51		
-231.32   	-263.67   	  7.12   	 284.84		
-73.24   	-122.38   	  8.26   	 467.95		
 17.09   	-14.34   	 10.13   	 595.11		
 19.84   	 12.51   	 12.51   	 645.98		
-23.19   	-23.80   	 15.10   	 717.19		
-58.90   	-72.63   	 17.97   	 788.40		
-64.70   	-95.21   	 21.12   	 757.88		
-49.44   	-87.59   	 24.15   	 625.63		
-33.87   	-68.66   	 26.65   	 498.47		
-29.60   	-57.98   	 28.65   	 549.34		
-35.10   	-60.12   	 30.84   	 717.19		
-42.42   	-68.66   	 33.71   	 956.25		
-44.56   	-74.77   	 37.54   	1434.38		
-40.59   	-73.85   	 43.28   	1693.79		
-34.48   	-68.36   	 50.05   	2054.93		
-30.21   	-62.56   	 58.27   	2441.50		
-29.30   	-59.81   	 68.04   	2349.94		
-28.99   	-59.81   	 77.44   	2517.79		
