  I     	  II     	  RV     	  RV'		  LV     	  LV'		
-25.02   	-65.61   	 14.47   	  10.17		 15.16   	  15.26		
-21.67   	-57.98   	 14.51   	  10.17		 15.22   	  20.35		
-15.26   	-45.17   	 14.55   	   5.09		 15.30   	  15.26		
 -8.85   	-31.13   	 14.57   	  10.17		 15.36   	  10.17		
 -5.80   	-21.06   	 14.61   	   0.00		 15.40   	  10.17		
 -6.10   	-18.31   	 14.61   	   5.09		 15.44   	  10.17		
 -7.02   	-21.06   	 14.63   	   0.00		 15.48   	   5.09		
 -6.10   	-25.33   	 14.63   	   0.00		 15.50   	   5.09		
 -1.53   	-26.25   	 14.63   	  -5.09		 15.52   	   0.00		
  5.49   	-22.58   	 14.61   	  -5.09		 15.52   	   0.00		
 12.21   	-15.26   	 14.59   	  -5.09		 15.52   	   0.00		
 17.09   	 -7.32   	 14.57   	  -5.09		 15.52   	  -5.09		
 19.84   	 -0.92   	 14.55   	  -5.09		 15.50   	 -10.17		
 21.97   	  2.44   	 14.53   	 -10.17		 15.46   	  -5.09		
 25.02   	  1.53   	 14.49   	 -10.17		 15.44   	 -15.26		
 29.30   	 -4.88   	 14.45   	 -10.17		 15.38   	 -10.17		
 33.57   	-15.26   	 14.40   	 -15.26		 15.34   	 -15.26		
 37.23   	-26.86   	 14.34   	 -20.35		 15.28   	 -20.35		
 38.15   	-36.32   	 14.26   	 -15.26		 15.20   	 -15.26		
 35.71   	-41.81   	 14.20   	 -20.35		 15.14   	 -20.35		
 29.91   	-43.95   	 14.12   	 -25.43		 15.06   	 -15.26		
 20.14   	-45.78   	 14.02   	 -20.35		 14.99   	  -5.09		
  6.71   	-49.74   	 13.94   	 -15.26		 14.97   	   0.00		
 -9.77   	-57.68   	 13.88   	 -15.26		 14.97   	  10.17		
-27.77   	-69.89   	 13.81   	  -5.09		 15.02   	  20.35		
-43.03   	-83.62   	 13.79   	   5.09		 15.10   	  20.35		
-51.88   	-95.21   	 13.81   	  20.35		 15.18   	  25.43		
-51.88   	-101.62   	 13.90   	  30.52		 15.28   	  30.52		
-45.47   	-101.93   	 14.02   	  40.69		 15.40   	  25.43		
-38.15   	-100.10   	 14.18   	  45.78		 15.50   	  35.61		
-35.40   	-100.40   	 14.36   	  45.78		 15.65   	  35.61		
-37.54   	-103.76   	 14.55   	  40.69		 15.79   	  40.69		
-42.11   	-107.12   	 14.71   	  30.52		 15.95   	  40.69		
-45.17   	-107.12   	 14.83   	  25.43		 16.11   	  40.69		
-44.86   	-102.23   	 14.93   	  10.17		 16.28   	  35.61		
-41.81   	-96.13   	 14.97   	   0.00		 16.42   	  20.35		
-38.15   	-92.77   	 14.97   	 -20.35		 16.50   	   5.09		
-36.93   	-94.30   	 14.89   	 -30.52		 16.52   	 -10.17		
-37.54   	-97.05   	 14.77   	 -45.78		 16.48   	 -20.35		
-38.76   	-96.74   	 14.59   	 -45.78		 16.40   	 -25.43		
-39.06   	-91.55   	 14.40   	 -50.86		 16.30   	 -25.43		
-38.15   	-84.23   	 14.20   	 -35.61		 16.20   	 -25.43		
-36.93   	-78.74   	 14.06   	 -15.26		 16.09   	 -15.26		
-36.32   	-78.74   	 14.00   	   0.00		 16.03   	 -15.26		
-37.23   	-82.70   	 14.00(E)	  20.35		 15.97   	  -5.09		
-39.37   	-87.28   	 14.08   	  35.61		 15.95   	   0.00		
-41.81   	-88.50   	 14.22   	  55.95		 15.95   	   0.00		
-42.72   	-83.62   	 14.45   	  66.12		 15.95(E)	   5.09		
-36.62   	-72.94   	 14.71   	  76.30		 15.97   	  10.17		
-14.65   	-57.07   	 15.02   	  81.38		 16.01   	  20.35		
 30.82   	-34.79   	 15.34   	  86.47		 16.09   	  30.52		
101.32   	 -0.31   	 15.69   	  81.38		 16.22   	  40.69		
191.65   	 57.37   	 16.01   	  76.30		 16.38   	  55.95		
290.53   	144.65   	 16.32   	  55.95		 16.60   	  61.04		
380.55   	248.72   	 16.54   	  40.69		 16.85   	  66.12		
440.37   	332.34   	 16.70   	  20.35		 17.11   	  71.21		
447.39   	352.48(R)	 16.79   	   0.00		 17.40   	  71.21		
386.96   	288.09   	 16.79   	 -20.35		 17.68   	  76.30		
263.98   	157.47   	 16.70   	 -30.52		 17.99   	  86.47		
109.86   	 11.90   	 16.58   	 -35.61		 18.33   	 116.99		
-30.52   	-97.05   	 16.44   	 -35.61		 18.80   	 152.59		
-119.93   	-147.40   	 16.30   	 -30.52		 19.41   	 198.37		
-146.79   	-148.93   	 16.17   	 -25.43		 20.20   	 254.32		
-128.48   	-125.43   	 16.07   	 -15.26		 21.22   	 315.36		
-94.91   	-96.74   	 16.01   	   5.09		 22.48   	 391.66		
-68.66   	-72.63   	 16.03   	  30.52		 24.05   	 478.13		
-56.46   	-57.98   	 16.15   	  76.30		 25.96   	 569.68		
-53.41   	-53.71   	 16.46   	 122.07		 28.24   	 671.41		
-51.88   	-57.98   	 16.95   	 172.94		 30.93   	 773.14		
-49.13   	-64.09   	 17.64   	 208.54		 34.02   	 874.87		
-47.00   	-66.83   	 18.47   	 223.80		 37.52   	 971.51		
-46.69   	-65.00   	 19.37   	 233.98		 41.40   	1052.90		
-47.00   	-61.04   	 20.31   	 239.06		 45.62   	1124.11		
-47.00   	-58.29   	 21.26   	 239.06		 50.11   	1169.88		
-45.47   	-57.37   	 22.22   	 244.15		 54.79   	1200.40		
-43.03   	-55.54   	 23.19   	 249.24		 59.59   	1200.40		
-41.50   	-52.80   	 24.19   	 249.24		 64.39   	1185.14		
-42.42   	-50.96   	 25.19   	 254.32		 69.14   	1149.54		
-44.25   	-50.96   	 26.21   	 244.15		 73.73   	1103.76		
-44.86   	-50.96   	 27.18   	 239.06		 78.15   	1037.64		
-43.33   	-48.22   	 28.14   	 223.80		 82.30   	 951.17		
-40.28   	-41.50   	 29.03   	 213.63		 86.10   	 849.44		
-37.84   	-33.87   	 29.89   	 203.46		 89.50   	 742.62		
-37.54   	-28.69   	 30.70   	 178.03		 92.47   	 640.89		
-38.76   	-28.08   	 31.41   	 157.68		 95.04   	 564.60		
-39.37   	-30.82   	 32.04   	 132.25		 97.29   	 503.56		
-38.15   	-32.96   	 32.57   	 106.82		 99.31   	 478.13		
-34.79   	-31.74   	 33.00   	  81.38		101.22   	 452.69		
-30.82   	-26.55   	 33.33   	  50.86		103.03   	 437.43		
-28.38   	-20.75   	 33.53   	  35.61		104.78   	 406.92		
-28.38   	-16.48   	 33.67   	  15.26		106.41   	 376.40		
-28.99   	-13.43   	 33.73   	   0.00		107.91   	 345.88		
-29.30   	-11.90   	 33.73   	 -10.17		109.30   	 320.45		
-26.86   	-10.38   	 33.69   	 -20.35		110.58   	 300.10		
-22.28   	-10.07   	 33.61   	 -30.52		111.78   	 295.01		
-16.78   	-10.68   	 33.49   	 -35.61		112.96   	 279.75		
-11.90   	 -9.46   	 33.35   	 -45.78		114.08   	 274.67		
 -9.16   	 -4.58   	 33.16   	 -55.95		115.18   	 259.41		
 -7.63   	  4.88   	 32.94   	 -55.95		116.22   	 249.24		
 -5.49   	 16.78   	 32.72   	 -50.86		117.21   	 228.89		
 -1.83   	 26.25   	 32.51   	 -45.78		118.13   	 218.72		
  3.66   	 31.13   	 32.33   	 -35.61		119.00   	 203.46		
  8.85   	 33.26   	 32.19   	 -15.26		119.82   	 198.37		
 12.82   	 36.32   	 32.13   	  10.17		120.61   	 198.37		
 16.17   	 42.72   	 32.17   	  35.61		121.40   	 208.54		
 20.14   	 51.57   	 32.31   	  71.21		122.24   	 228.89		
 25.33   	 61.95   	 32.59   	  91.56		123.15   	 239.06		
 31.74   	 71.41   	 32.96   	 106.82		124.11   	 228.89		
 37.54   	 80.26   	 33.39   	 116.99		125.02   	 183.11		
 42.72   	 88.20   	 33.86   	 101.73		125.76   	 111.90		
 47.61   	 94.30   	 34.26   	  86.47		126.20   	  40.69		
 53.71   	 97.66   	 34.61   	  61.04		126.37   	   0.00		
 61.04   	 99.79   	 34.85   	  35.61		126.37   	   5.09		
 68.36   	102.54   	 34.99   	  20.35		126.39   	  50.86		
 73.85   	108.03   	 35.08   	  10.17		126.59   	 111.90		
 76.60   	115.97   	 35.12   	  10.17		127.04   	 167.85		
 77.82   	124.82   	 35.16   	  20.35		127.71   	 188.20		
 79.35   	133.36   	 35.24   	  40.69		128.46   	 172.94		
 82.70   	140.08   	 35.40   	  50.86		129.16   	 142.42		
 87.28   	144.35   	 35.61   	  66.12		129.72   	 106.82		
 90.64   	144.96   	 35.87   	  71.21		130.15   	  76.30		
 90.33   	141.60   	 36.15   	  66.12		130.46   	  76.30		
 87.28   	136.11   	 36.42   	  61.04		130.76   	  81.38		
 84.53   	131.23   	 36.66   	  50.86		131.09   	 101.73		
 84.23   	128.78   	 36.87   	  35.61		131.49   	 106.82		
 86.36   	128.78   	 37.01   	  30.52		131.92   	  96.64		
 87.28   	127.87   	 37.13   	  25.43		132.31   	  71.21		
 83.92   	122.99   	 37.23   	  15.26		132.59   	  35.61		
 75.07   	112.00   	 37.29   	  15.26		132.74   	   5.09		
 62.56   	 96.74   	 37.35   	  10.17		132.76(S)	 -15.26		
 49.13   	 80.87   	 37.40   	   5.09		132.70   	 -15.26		
 36.62   	 67.44   	 37.42(S)	 -10.17		132.63   	  -5.09		
 25.63   	 56.15   	 37.38   	 -15.26		132.61   	  10.17		
 17.09   	 45.47   	 37.31   	 -25.43		132.65   	  15.26		
 10.38   	 34.18   	 37.21   	 -40.69		132.72   	  10.17		
  4.58   	 22.28   	 37.05   	 -45.78		132.76   	 -15.26		
 -0.92   	 12.82   	 36.87   	 -50.86		132.70   	 -40.69		
 -6.71   	  7.02   	 36.66   	 -61.04		132.53   	 -71.21		
-12.21   	  4.58   	 36.42   	 -71.21		132.25   	-106.82		
