  I     	  II     	  LV     	  LV'		  RV     	  RV'		
-37.84   	-78.13   	 33.22   	-722.28		 17.82   	-223.80		
-38.76   	-82.70   	 30.34   	-651.07		 16.93   	-223.80		
-38.15   	-81.79   	 27.73   	-590.03		 16.03   	-228.89		
-35.71   	-75.38   	 25.37   	-534.08		 15.12   	-218.72		
-33.26   	-68.05   	 23.23   	-488.30		 14.24   	-213.63		
-31.74   	-65.31   	 21.28   	-437.43		 13.39   	-193.29		
-32.04   	-68.97   	 19.53   	-391.66		 12.61   	-167.85		
-32.96   	-75.38   	 17.97   	-345.88		 11.94   	-142.42		
-33.26   	-78.13   	 16.58   	-300.10		 11.37   	-111.90		
-32.35   	-74.16   	 15.38   	-264.50		 10.93   	 -96.64		
-30.21   	-65.00   	 14.32   	-228.89		 10.54   	 -81.38		
-28.69   	-56.46   	 13.41   	-193.29		 10.21   	 -76.30		
-28.38   	-54.63   	 12.63   	-167.85		  9.91   	 -81.38		
-28.99   	-60.73   	 11.96   	-142.42		  9.58   	 -96.64		
-28.99   	-71.11   	 11.39   	-127.16		  9.20   	-106.82		
-27.77   	-79.35   	 10.89   	-111.90		  8.77   	-116.99		
-25.02   	-82.09   	 10.44   	 -91.56		  8.30   	-122.07		
-23.19   	-79.65   	 10.07   	 -86.47		  7.81   	-111.90		
-23.19   	-75.99   	  9.73   	 -66.12		  7.37   	 -96.64		
-25.02   	-73.55   	  9.46   	 -55.95		  6.98   	 -76.30		
-27.77   	-72.94   	  9.24   	 -50.86		  6.67   	 -45.78		
-29.30   	-73.24   	  9.03   	 -35.61		  6.49   	 -15.26		
-28.99   	-73.24   	  8.89   	 -20.35		  6.43   	  15.26		
-28.38   	-73.85   	  8.81   	 -20.35		  6.49   	  35.61		
-28.08   	-74.16   	  8.73   	  -5.09		  6.63   	  50.86		
-28.99   	-72.63   	  8.71   	   0.00		  6.84   	  61.04		
-30.52   	-67.75   	  8.71   	  10.17		  7.08   	  61.04		
-31.43   	-61.34   	  8.75   	  15.26		  7.32   	  61.04		
-31.43   	-57.37   	  8.81   	  20.35		  7.57   	  50.86		
-30.82   	-59.81   	  8.89   	  25.43		  7.77   	  45.78		
-30.21   	-68.05   	  8.99   	  30.52		  7.96   	  40.69		
-29.91   	-78.13   	  9.11   	  30.52		  8.12   	  35.61		
-29.91   	-85.14   	  9.24   	  35.61		  8.26   	  30.52		
-30.21   	-86.36   	  9.38   	  40.69		  8.38   	  25.43		
-29.91   	-83.92   	  9.54   	  35.61		  8.48   	  30.52		
-29.60   	-81.18   	  9.68   	  40.69		  8.61   	  25.43		
-29.60   	-81.18   	  9.85   	  40.69		  8.71   	  30.52		
-29.91   	-83.92   	 10.01   	  40.69		  8.83   	  25.43		
-30.52   	-88.20   	 10.17   	  35.61		  8.93   	  30.52		
-31.43   	-90.94   	 10.32   	  40.69		  9.05   	  35.61		
-32.35   	-91.25   	 10.48   	  35.61		  9.20   	  35.61		
-33.26   	-89.11   	 10.62   	  35.61		  9.34   	  45.78		
-33.57   	-87.59   	 10.76   	  40.69		  9.52   	  50.86		
-32.96   	-88.50   	 10.93   	  45.78		  9.73   	  55.95		
-31.43   	-91.55   	 11.11   	  40.69		  9.95   	  61.04		
-29.91   	-95.21   	 11.27   	  45.78		 10.19   	  71.21		
-29.30   	-96.74   	 11.45   	  45.78		 10.48   	  66.12		
-30.21   	-95.21   	 11.64   	  45.78		 10.74   	  66.12		
-31.13   	-91.55   	 11.82   	  45.78		 11.01   	  66.12		
-30.21   	-87.28   	 12.00   	  45.78		 11.27   	  50.86		
-28.08   	-83.92   	 12.19   	  45.78		 11.48   	  45.78		
-25.94   	-81.79   	 12.37   	  45.78		 11.66   	  35.61		
-25.63   	-81.18   	 12.55   	  45.78		 11.80   	  20.35		
-27.77   	-81.18   	 12.74   	  50.86		 11.88   	  20.35		
-30.82   	-81.79   	 12.94   	  45.78		 11.96   	  10.17		
-32.35   	-82.09   	 13.12   	  50.86		 12.00   	  10.17		
-31.43   	-81.48   	 13.33   	  45.78		 12.04   	  15.26		
-29.60   	-80.26   	 13.51   	  45.78		 12.11   	  10.17		
-28.38   	-78.43   	 13.69   	  45.78		 12.15   	  15.26		
-27.77   	-77.21   	 13.88   	  40.69		 12.21   	  20.35		
-27.77   	-76.29   	 14.04   	  40.69		 12.29   	  20.35		
-27.47   	-75.68   	 14.20   	  40.69		 12.37   	  20.35		
-26.25   	-75.07   	 14.36   	  35.61		 12.45   	  25.43		
-24.72   	-73.24   	 14.51   	  35.61		 12.55   	  30.52		
-22.58   	-70.50   	 14.65   	  30.52		 12.68   	  35.61		
-20.14   	-66.22   	 14.77   	  30.52		 12.82   	  40.69		
-17.40   	-59.81   	 14.89   	  25.43		 12.98   	  40.69		
-14.34   	-50.35   	 14.99   	  20.35		 13.14   	  40.69		
