  I     	  II     	  RV     	  RV'		  LV     	  LV'		
-21.06   	-78.74   	 38.66   	-152.59		 64.58   	-1190.23		
-25.63   	-82.09   	 38.05   	-167.85		 59.82   	-1098.67		
-29.91   	-83.62   	 37.38   	-183.11		 55.42   	-1022.38		
-31.13   	-81.48   	 36.64   	-183.11		 51.33   	-961.34		
-28.38   	-77.21   	 35.91   	-198.37		 47.49   	-905.39		
-24.11   	-72.02   	 35.12   	-203.46		 43.87   	-844.35		
-20.75   	-67.75   	 34.30   	-203.46		 40.49   	-783.31		
-19.53   	-64.70   	 33.49   	-213.63		 37.35   	-707.02		
-20.45   	-62.56   	 32.63   	-218.72		 34.53   	-620.55		
-21.67   	-60.42   	 31.76   	-218.72		 32.04   	-534.08		
-21.67   	-58.29   	 30.88   	-223.80		 29.91   	-462.87		
-20.45   	-57.37   	 29.99   	-223.80		 28.06   	-412.00		
-18.01   	-58.90   	 29.09   	-223.80		 26.41   	-371.31		
-15.56   	-61.95   	 28.20   	-223.80		 24.92   	-350.97		
-13.43   	-65.00   	 27.30   	-218.72		 23.52   	-335.71		
-12.21   	-65.92   	 26.43   	-218.72		 22.18   	-310.27		
-11.90   	-64.09   	 25.55   	-213.63		 20.94   	-289.93		
-12.21   	-60.12   	 24.70   	-213.63		 19.78   	-249.24		
-12.51   	-55.85   	 23.85   	-203.46		 18.78   	-213.63		
-12.82   	-53.71   	 23.03   	-198.37		 17.92   	-167.85		
-13.12   	-54.63   	 22.24   	-193.29		 17.25   	-142.42		
-13.73   	-57.37   	 21.46   	-183.11		 16.68   	-116.99		
-14.95   	-59.81   	 20.73   	-167.85		 16.22   	-106.82		
-15.87   	-60.12   	 20.06   	-162.77		 15.79   	-106.82		
-16.78   	-57.98   	 19.41   	-147.51		 15.36   	-106.82		
-16.17   	-55.24   	 18.82   	-132.25		 14.93   	-101.73		
-14.95   	-54.32   	 18.29   	-122.07		 14.53   	 -96.64		
-13.12   	-56.46   	 17.80   	-106.82		 14.14   	 -81.38		
-11.90   	-60.42   	 17.38   	 -96.64		 13.81   	 -61.04		
-11.60   	-63.78   	 16.99   	 -86.47		 13.57   	 -40.69		
-11.90   	-65.61   	 16.64   	 -76.30		 13.41   	 -25.43		
-12.82   	-66.53   	 16.34   	 -66.12		 13.31   	 -15.26		
-13.12   	-66.83   	 16.07   	 -61.04		 13.25   	 -10.17		
-12.51   	-65.31   	 15.83   	 -55.95		 13.20   	  -5.09		
-11.60   	-62.56   	 15.61   	 -45.78		 13.18   	  -5.09		
-10.68   	-60.12   	 15.42   	 -35.61		 13.16   	   0.00		
-10.07   	-60.12   	 15.28   	 -30.52		 13.16   	   5.09		
-10.99   	-64.39   	 15.16   	 -25.43		 13.18   	  10.17		
-12.82   	-70.50   	 15.06   	 -15.26		 13.22   	  20.35		
-14.04   	-74.77   	 14.99   	 -15.26		 13.31   	  30.52		
-14.34   	-75.07   	 14.93   	 -10.17		 13.43   	  35.61		
-14.34   	-71.41   	 14.89   	 -10.17		 13.57   	  35.61		
-14.34   	-66.53   	 14.85   	 -10.17		 13.71   	  40.69		
-14.95   	-62.87   	 14.81   	 -10.17		 13.88   	  40.69		
-15.56   	-61.65   	 14.77   	 -10.17		 14.04   	  40.69		
-16.17   	-61.95   	 14.73   	 -15.26		 14.20   	  35.61		
-16.17   	-62.26   	 14.67   	 -15.26		 14.34   	  40.69		
-15.56   	-62.56   	 14.61   	 -20.35		 14.51   	  45.78		
-14.95   	-63.48   	 14.53   	 -10.17		 14.69   	  40.69		
-14.65   	-65.31   	 14.49   	 -15.26		 14.85   	  50.86		
-14.95   	-68.05   	 14.43   	 -10.17		 15.06   	  45.78		
-16.48   	-71.41   	 14.38   	 -10.17		 15.24   	  50.86		
-18.01   	-73.24   	 14.34   	  -5.09		 15.44   	  45.78		
-18.01   	-72.63   	 14.32   	   0.00		 15.63   	  45.78		
-16.78   	-71.41   	 14.32   	   0.00		 15.81   	  45.78		
-15.56   	-69.89   	 14.32   	   0.00		 15.99   	  40.69		
-16.17   	-68.97   	 14.32   	   5.09		 16.15   	  40.69		
-18.01   	-69.27   	 14.34   	  10.17		 16.32   	  35.61		
-19.23   	-69.27   	 14.38   	   5.09		 16.46   	  35.61		
-18.01   	-69.27   	 14.40   	  10.17		 16.60   	  30.52		
-15.26   	-69.27   	 14.45   	  10.17		 16.72   	  25.43		
-13.73   	-69.89   	 14.49   	  10.17		 16.83   	  20.35		
-14.34   	-71.11   	 14.53   	  10.17		 16.91   	  15.26		
-15.26   	-71.41   	 14.57   	  10.17		 16.97   	  15.26		
-14.65   	-69.89   	 14.61   	  15.26		 17.03   	  10.17		
-12.21   	-67.44   	 14.67   	  10.17		 17.07   	   5.09		
-10.07   	-64.70   	 14.71   	  15.26		 17.09   	   0.00		
-10.99   	-63.17   	 14.77   	  10.17		 17.09   	   0.00		
-13.73   	-63.48   	 14.81   	  10.17		 17.09   	   0.00		
-17.09   	-65.00   	 14.85   	  15.26		 17.09   	   0.00		
-18.92   	-67.44   	 14.91   	  10.17		 17.09   	   0.00		
-18.92   	-70.50   	 14.95   	  10.17		 17.09   	   5.09		
-17.40   	-73.24   	 14.99   	  10.17		 17.11   	   0.00		
-15.26   	-75.07   	 15.04   	   5.09		 17.11   	   0.00		
-13.43   	-75.07   	 15.06   	   5.09		 17.11   	   5.09		
-12.21   	-73.85   	 15.08   	  10.17		 17.13   	   5.09		
-13.12   	-71.41   	 15.12   	   5.09		 17.15   	   0.00		
-14.34   	-68.05   	 15.14   	   5.09		 17.15   	   5.09		
-14.04   	-63.17   	 15.16   	   0.00		 17.17   	   5.09		
-10.38   	-56.15   	 15.16   	   5.09		 17.19   	   0.00		
 -4.27   	-46.08   	 15.18   	   5.09		 17.19   	   5.09		
  1.83   	-32.96   	 15.20   	   5.09		 17.21   	   5.09		
  6.10   	-18.62   	 15.22   	   5.09		 17.23   	   5.09		
