  I     	  II     	  AOp     	  AOp'		
 97.35   	181.58   	132.86   	 391.66		
104.06   	186.16   	134.42   	 381.48		
104.37   	182.50   	135.95   	 366.22		
 98.57   	170.29   	137.42   	 361.14		
 90.94   	154.72   	138.86   	 345.88		
 85.14   	140.08   	140.24   	 335.71		
 80.87   	127.56   	141.59   	 320.45		
 74.46   	114.14   	142.87   	 310.27		
 64.09   	 97.35   	144.11   	 295.01		
 50.96   	 77.82   	145.29   	 284.84		
 37.54   	 56.76   	146.43   	 274.67		
 25.94   	 36.62   	147.53   	 254.32		
 16.17   	 18.92   	148.54   	 244.15		
  7.63   	  3.36   	149.52   	 233.98		
 -0.31   	 -8.85   	150.46   	 213.63		
 -7.02   	-18.01   	151.31   	 198.37		
-12.82   	-25.02   	152.11   	 183.11		
-17.70   	-29.91   	152.84   	 167.85		
-21.67   	-33.87   	153.51   	 157.68		
-24.72   	-36.93   	154.14   	 137.33		
-27.47   	-39.67   	154.69   	 122.07		
-30.82   	-42.72   	155.18   	 101.73		
-35.40   	-46.39   	155.58   	  91.56		
-40.59   	-50.35   	155.95   	  66.12		
-45.17   	-53.41   	156.22   	  55.95		
-47.00   	-54.93   	156.44   	  30.52		
-46.39   	-54.32   	156.56   	  10.17		
-44.56   	-52.80   	156.60   	  -5.09		
-43.33   	-51.57   	156.58   	 -35.61		
-43.95   	-50.66   	156.44   	 -50.86		
-45.78   	-50.05   	156.24   	 -81.38		
-47.30   	-49.44   	155.91   	-101.73		
-48.52   	-50.05   	155.50   	-132.25		
-50.35   	-52.49   	154.97   	-157.68		
-52.49   	-56.46   	154.34   	-183.11		
-54.63   	-59.81   	153.61   	-213.63		
-55.85   	-61.65   	152.76   	-239.06		
-56.15   	-61.04   	151.80   	-264.50		
-55.85   	-58.59   	150.74   	-284.84		
-54.63   	-54.93   	149.60   	-300.10		
-52.80   	-50.96   	148.40   	-320.45		
-51.88   	-48.52   	147.12   	-325.53		
-55.24   	-49.74   	145.82   	-335.71		
-64.39   	-55.85   	144.48   	-335.71		
-77.51   	-62.56   	143.13   	-335.71		
-86.98   	-61.65   	141.79   	-330.62		
-86.98   	-46.69   	140.47   	-325.53		
-77.82   	-19.53   	139.17   	-315.36		
-66.22   	 10.68   	137.90   	-310.27		
-59.20   	 32.65   	136.66   	-300.10		
-58.90   	 41.50   	135.46   	-289.93		
-61.95   	 41.81   	134.30   	-284.84		
-63.17   	 42.42   	133.16   	-279.75		
-60.12   	 49.44   	132.04   	-269.58		
-53.41   	 63.48   	130.97   	-269.58		
-46.69   	 78.74   	129.89   	-259.41		
-42.11   	 90.03   	128.85   	-259.41		
-40.28   	 96.74   	127.81   	-249.24		
-39.98   	100.40   	126.82   	-254.32		
-38.76   	101.93   	125.80   	-244.15		
-36.32   	101.01   	124.82   	-239.06		
-34.18   	 96.13   	123.87   	-239.06		
-34.18   	 86.67   	122.91   	-233.98		
-36.93   	 75.99   	121.97   	-228.89		
-40.89   	 65.92   	121.06   	-223.80		
-46.69   	 52.49   	120.16   	-218.72		
-56.76   	 29.30   	119.29   	-218.72		
-72.02   	 -7.02   	118.41   	-208.54		
-90.64   	-50.96   	117.58   	-203.46		
-105.90   	-91.25   	116.76   	-198.37		
-111.39   	-115.66   	115.97   	-193.29		
-106.51   	-121.77   	115.20   	-188.20		
-97.35   	-118.41   	114.45   	-183.11		
-92.16   	-116.27   	113.71   	-178.03		
-93.38   	-120.24   	113.00   	-172.94		
-98.57   	-127.87   	112.31   	-172.94		
-102.84   	-133.97   	111.62   	-167.85		
-103.45   	-135.19   	110.95   	-162.77		
-101.32   	-133.67   	110.29   	-157.68		
-99.18   	-132.75   	109.66   	-157.68		
-99.79   	-135.50   	109.03   	-152.59		
-101.93   	-140.08   	108.42   	-147.51		
-103.45   	-144.04   	107.83   	-152.59		
-102.23   	-144.65   	107.22   	-142.42		
-98.57   	-142.21   	106.65   	-147.51		
-93.38   	-137.63   	106.06   	-137.33		
-87.28   	-131.84   	105.51   	-142.42		
-81.18   	-126.34   	104.94   	-132.25		
-77.21   	-122.38   	104.41   	-137.33		
-78.13   	-122.07   	103.87   	-132.25		
-86.06   	-127.87   	103.34   	-127.16		
-99.49   	-140.38   	102.83   	-127.16		
-112.00   	-158.69   	102.32   	-122.07		
-114.44   	-180.05   	101.83   	-127.16		
-97.35   	-198.36   	101.32   	-116.99		
-54.63   	-202.33   	100.85   	-116.99		
 16.48   	-176.70   	100.39   	-116.99		
112.61   	-104.37   	 99.92   	-116.99		
220.34   	 21.67   	 99.45   	-111.90		
317.38   	185.24   	 99.00   	-111.90		
375.37   	343.32   	 98.56   	-111.90		
368.65   	437.01   	 98.11   	-111.90		
285.64   	419.62   	 97.66   	-111.90		
140.99   	289.00   	 97.21   	-111.90		
-25.33   	 95.52   	 96.76   	-116.99		
-161.13   	-82.40   	 96.30   	-111.90		
-227.97   	-182.50   	 95.85   	-111.90		
-220.64   	-192.87   	 95.40   	-111.90		
-168.76   	-149.54   	 94.95   	-116.99		
-114.14   	-103.15   	 94.49   	-111.90		
-85.45   	-83.92   	 94.04   	-111.90		
-83.62   	-92.16   	 93.59   	-111.90		
-92.47   	-108.34   	 93.14   	-106.82		
-97.05   	-115.66   	 92.72   	-106.82		
-93.69   	-111.08   	 92.29   	-101.73		
-87.89   	-101.62   	 91.88   	 -96.64		
-84.84   	-95.21   	 91.50   	 -91.56		
-84.53   	-93.08   	 91.13   	 -86.47		
-83.92   	-92.77   	 90.78   	 -81.38		
-80.57   	-90.33   	 90.46   	 -76.30		
-75.38   	-85.75   	 90.15   	 -71.21		
-71.41   	-81.18   	 89.87   	 -61.04		
-70.50   	-79.35   	 89.62   	 -55.95		
-72.33   	-79.96   	 89.40   	 -45.78		
-74.77   	-80.57   	 89.22   	 -30.52		
-75.68   	-79.04   	 89.09   	 -15.26		
-73.55   	-74.77   	 89.03   	   5.09		
-68.66   	-69.27   	 89.05   	  20.35		
-63.48   	-64.09   	 89.13   	  50.86		
-59.20   	-60.42   	 89.34   	  76.30		
-54.02   	-56.76   	 89.64   	 106.82		
-47.61   	-51.88   	 90.07   	 137.33		
-41.20   	-46.08   	 90.62   	 167.85		
-38.45   	-42.72   	 91.29   	 203.46		
-42.72   	-43.03   	 92.11   	 228.89		Beg---------
-52.80   	-47.61   	 93.02   	 264.50		
-62.87   	-51.57   	 94.08   	 289.93		
-65.61   	-49.74   	 95.24   	 315.36		
-59.81   	-40.89   	 96.50   	 340.79		
-49.44   	-28.38   	 97.86   	 356.05		
-39.98   	-16.48   	 99.29   	 381.48		
-34.48   	 -7.32   	100.81   	 391.66		
-30.52   	  0.92   	102.38   	 401.83		
-25.02   	 10.99   	103.99   	 412.00		
-16.17   	 24.41   	105.64   	 417.09		
 -5.49   	 40.59   	107.30   	 422.18		
  4.88   	 56.15   	108.99   	 427.26		
 13.43   	 69.58   	110.70   	 427.26		
 20.45   	 81.79   	112.41   	 422.18		
 28.08   	 93.99   	114.10   	 427.26		
 37.84   	108.03   	115.81   	 422.18		
 50.05   	123.90   	117.50   	 417.09		
 62.87   	140.38   	119.17   	 412.00		
 73.24   	155.33   	120.81   	 412.00		
 79.96   	167.85   	122.46   	 401.83		
 84.23   	177.31   	124.07   	 401.83		
 87.89   	184.33   	125.68   	 391.66		
 92.77   	189.51   	127.24   	 386.57		
 98.88   	193.18   	128.79   	 381.48		
105.90   	195.62   	130.31   	 371.31		
112.61   	196.23   	131.80   	 361.14		
117.19   	193.79   	133.24   	 356.05		
118.71   	187.38   	134.67   	 350.97		
115.97   	176.09   	136.07   	 335.71		
108.95   	159.61   	137.42   	 325.53		
 99.18   	140.99   	138.72   	 320.45		
 88.50   	121.77   	140.00   	 305.19		
 78.43   	104.06   	141.22   	 295.01		
 70.19   	 87.89   	142.40   	 279.75		
 62.56   	 72.02   	143.52   	 274.67		
 54.32   	 55.54   	144.62   	 259.41		
 44.56   	 38.76   	145.66   	 244.15		
 34.79   	 23.19   	146.63   	 233.98		
 26.25   	 10.07   	147.57   	 223.80		
 19.84   	  0.00   	148.46   	 203.46		
 14.34   	 -7.63   	149.28   	 193.29		
  9.46   	-14.65   	150.05   	 178.03		
  3.97   	-21.36   	150.76   	 162.77		
 -1.83   	-27.16   	151.41   	 147.51		
 -7.02   	-31.74   	152.00   	 132.25		
-11.29   	-35.10   	152.53   	 116.99		
-14.34   	-38.15   	153.00   	 101.73		
-17.09   	-41.50   	153.41   	  81.38		
-20.14   	-44.86   	153.73   	  66.12		
-23.19   	-47.61   	154.00   	  45.78		
-25.94   	-48.22   	154.18   	  25.43		
-25.63   	-46.69   	154.28   	  10.17		
-22.28   	-43.95   	154.32(S)	 -15.26		
-17.09   	-42.42   	154.26   	 -40.69		
-13.12   	-42.72   	154.10   	 -61.04		
-12.21   	-44.86   	153.85   	 -81.38		
-14.65   	-47.30   	153.53   	-111.90		
-18.62   	-48.52   	153.08   	-137.33		
-21.97   	-48.22   	152.53   	-162.77		
-23.50   	-47.91   	151.88   	-188.20		
-23.19   	-48.83   	151.13   	-218.72		
-22.28   	-51.57   	150.25   	-244.15		
-22.28   	-54.93   	149.28   	-264.50		
-24.72   	-58.29   	148.22   	-284.84		
-29.60   	-60.73   	147.08   	-300.10		
-34.48   	-61.34   	145.88   	-315.36		
-36.62   	-59.81   	144.62   	-325.53		
-35.10   	-56.76   	143.32   	-325.53		
-31.43   	-53.10   	142.01   	-325.53		
-26.86   	-49.13   	140.71   	-325.53		
-23.19   	-43.03   	139.41   	-320.45		
-20.45   	-32.35   	138.13   	-315.36		
-18.01   	-15.26   	136.87   	-305.19		
-15.87   	  6.71   	135.65   	-300.10		
-14.34   	 29.30   	134.45   	-289.93		
-12.82   	 47.00   	133.29   	-279.75		
-11.60   	 57.07   	132.17   	-279.75		
-10.07   	 62.26   	131.05   	-269.58		
 -7.32   	 66.22   	129.97   	-259.41		
 -3.05   	 72.63   	128.93   	-259.41		
  3.05   	 81.18   	127.89   	-254.32		
  9.46   	 89.42   	126.88   	-244.15		
 14.04   	 96.13   	125.90   	-244.15		
 15.87   	101.62   	124.92   	-239.06		
 14.95   	106.51   	123.97   	-233.98		
 13.43   	109.86   	123.03   	-233.98		
 13.43   	110.78   	122.10   	-223.80		
 13.12   	106.81   	121.20   	-223.80		
 10.99   	 98.27   	120.30   	-218.72		
  5.19   	 84.53   	119.43   	-213.63		
 -3.66   	 65.00   	118.58   	-213.63		
-12.82   	 37.54   	117.72   	-203.46		
-20.14   	  2.44   	116.91   	-203.46		
-24.41   	-36.62   	116.09   	-193.29		
-26.25   	-72.94   	115.32   	-193.29		
-26.25   	-99.49   	114.55   	-188.20		
-25.63   	-112.30   	113.79   	-178.03		
-25.94   	-114.44   	113.08   	-183.11		
-27.77   	-112.00   	112.35   	-172.94		
