  I     	  II     	  LVp     	  LVp'		
 35.71   	109.86   	 17.40   	 -35.61		
 25.63   	100.10   	 17.25   	   0.00		
 22.28   	103.45   	 17.25   	  35.61		
 25.94   	116.88   	 17.40   	  66.12		
 34.48   	132.45   	 17.66   	  96.64		
 42.72   	144.35   	 18.05   	 127.16		
 47.91   	151.67   	 18.56   	 142.42		
 51.27   	158.69   	 19.13   	 162.77		
 55.85   	169.07   	 19.78   	 183.11		
 63.48   	183.41   	 20.51   	 193.29		
 73.85   	199.89   	 21.28   	 208.54		
 84.23   	215.15   	 22.12   	 213.63		
 90.33   	227.05   	 22.97   	 223.80		
 91.25   	235.60   	 23.87   	 223.80		
 88.81   	242.00   	 24.76   	 233.98		
 86.36   	248.41   	 25.70   	 233.98		
 88.50   	258.79   	 26.63   	 233.98		
 96.74   	274.66   	 27.57   	 233.98		
109.25   	295.72   	 28.50   	 233.98		
122.07   	318.30   	 29.44   	 228.89		
132.45   	338.75   	 30.36   	 223.80		
140.69   	355.53   	 31.25   	 213.63		
148.32   	369.57   	 32.11   	 208.54		
156.86   	383.00   	 32.94   	 203.46		
165.41   	397.34   	 33.75   	 188.20		
173.03   	411.38   	 34.51   	 178.03		
177.61   	423.89   	 35.22   	 162.77		
180.36   	434.27   	 35.87   	 152.59		
183.11   	444.03   	 36.48   	 132.25		
188.29   	455.32   	 37.01   	 122.07		
196.53   	468.75   	 37.50   	  96.64		
205.38   	481.57   	 37.88   	  86.47		
211.49   	490.42   	 38.23   	  66.12		
213.62   	493.16   	 38.49   	  40.69		
213.32   	491.33   	 38.66   	  30.52		
212.71   	486.76   	 38.78   	   5.09		
211.79   	479.13   	 38.80   	 -15.26		
207.82   	466.31   	 38.74   	 -30.52		
197.75   	444.95   	 38.62   	 -50.86		
182.50   	416.26   	 38.41   	 -71.21		
166.93   	385.13   	 38.13   	 -86.47		
156.25   	355.22   	 37.78   	-106.82		
150.45   	327.76   	 37.35   	-122.07		
144.96   	299.68   	 36.87   	-142.42		
136.72   	268.86   	 36.30   	-152.59		
126.04   	236.51   	 35.69   	-172.94		
115.66   	206.30   	 34.99   	-183.11		
106.51   	178.22   	 34.26   	-198.37		
 95.83   	150.45   	 33.47   	-213.63		
 80.87   	120.24   	 32.61   	-218.72		
 62.26   	 88.20   	 31.74   	-228.89		
 46.08   	 59.51   	 30.82   	-239.06		
 37.84   	 39.37   	 29.87   	-239.06		
 36.93   	 27.77   	 28.91   	-249.24		
 36.62   	 19.23   	 27.91   	-249.24		
 31.13   	  7.93   	 26.92   	-249.24		
 20.45   	 -7.02   	 25.92   	-249.24		
  8.85   	-22.58   	 24.92   	-244.15		
  1.22   	-34.79   	 23.95   	-244.15		
 -1.83   	-43.64   	 22.97   	-239.06		
 -3.36   	-50.66   	 22.01   	-233.98		
 -7.32   	-58.29   	 21.08   	-228.89		
-13.73   	-66.22   	 20.16   	-223.80		
-20.45   	-73.85   	 19.27   	-213.63		
-25.63   	-80.26   	 18.41   	-213.63		
-29.60   	-86.67   	 17.56   	-208.54		
-33.87   	-93.69   	 16.72   	-203.46		
-38.15   	-100.10   	 15.91   	-198.37		
-41.81   	-104.98   	 15.12   	-188.20		
-43.33   	-107.12   	 14.36   	-188.20		
-41.81   	-107.12   	 13.61   	-183.11		
-38.45   	-105.90   	 12.88   	-172.94		
-36.32   	-104.68   	 12.19   	-167.85		
-36.62   	-104.68   	 11.52   	-162.77		
-39.06   	-106.51   	 10.86   	-152.59		
-42.72   	-109.25   	 10.25   	-142.42		
-45.78   	-112.30   	  9.68   	-132.25		
-47.91   	-114.44   	  9.16   	-127.16		
-49.13   	-114.14   	  8.65   	-116.99		
-48.52   	-111.08   	  8.18   	-101.73		
-46.08   	-106.81   	  7.77   	 -96.64		
-43.33   	-104.37   	  7.39   	 -91.56		
-43.64   	-106.51   	  7.02   	 -76.30		
-49.74   	-114.14   	  6.71   	 -71.21		
-60.42   	-124.82   	  6.43   	 -61.04		
-70.19   	-133.67   	  6.19   	 -61.04		
-74.16   	-136.41   	  5.94   	 -45.78		
-71.72   	-133.67   	  5.76   	 -45.78		
-66.53   	-128.78   	  5.57   	 -40.69		
-62.87   	-124.82   	  5.41   	 -35.61		
-61.34   	-122.68   	  5.27   	 -30.52		
-59.81   	-120.54   	  5.15   	 -25.43		
-56.76   	-118.41   	  5.05   	 -20.35		
-53.41   	-118.10   	  4.96   	 -15.26		
-51.88   	-120.85   	  4.90   	 -15.26		
-53.71   	-125.12   	  4.84   	 -10.17		
