  I     	  II     	  LVp     	  LVp'		
-151.67   	-122.99   	  1.40   	   0.00		
-67.44   	-101.01   	  1.40   	   0.00		
-44.86   	-78.74   	  1.40   	   0.00		
-64.39   	-67.75   	  1.40   	   0.00		
-90.94   	-67.44   	  1.40   	   0.00		
-104.68   	-74.77   	  1.40   	   5.09		
-105.90   	-86.06   	  1.42   	   0.00		
-103.76   	-96.74   	  1.42   	   0.00		
-103.45   	-101.93   	  1.42   	   0.00		
-104.37   	-101.01   	  1.42   	   0.00		
-104.06   	-94.91   	  1.42   	   0.00		
-101.93   	-88.20   	  1.42   	   0.00		
-98.88   	-84.23   	  1.42   	   0.00		
-95.83   	-83.31   	  1.42   	   5.09		
-93.38   	-83.62   	  1.44   	   0.00		
-90.64   	-83.62   	  1.44   	  -5.09		
-87.89   	-83.31   	  1.42   	   0.00		
-84.53   	-83.01   	  1.42   	   0.00		
-80.87   	-82.09   	  1.42   	   0.00		
-76.60   	-79.96   	  1.42   	   0.00		
-70.80   	-74.77   	  1.42   	   0.00		
-63.48   	-66.53   	  1.42   	   0.00		
-56.46   	-57.37   	  1.42   	   0.00		
-50.96   	-48.52   	  1.42   	  -5.09		
-47.91   	-41.81   	  1.40   	   0.00		
-45.17   	-37.54   	  1.40   	   0.00		
-40.89   	-34.18   	  1.40   	   0.00		
-34.79   	-29.91   	  1.40   	   0.00		
-27.77   	-23.50   	  1.40   	   0.00		
-21.06   	-14.65   	  1.40   	   0.00		
-15.26   	 -5.19   	  1.40   	   0.00		
 -9.77   	  3.97   	  1.40   	   0.00		
 -4.27   	 11.29   	  1.40   	   0.00		
  2.14   	 17.09   	  1.40   	   0.00		
  8.85   	 21.97   	  1.40   	   5.09		
 16.48   	 27.77   	  1.42   	   5.09		
 25.33   	 35.10   	  1.44   	   0.00		
 34.79   	 45.47   	  1.44   	   5.09		
 44.56   	 59.20   	  1.46   	   5.09		
 53.71   	 74.77   	  1.49   	   0.00		
 61.95   	 89.72   	  1.49   	   5.09		
 68.97   	101.93   	  1.51   	   5.09		
 75.38   	111.08   	  1.53   	   0.00		
 82.09   	118.71   	  1.53   	   5.09		
 88.81   	127.26   	  1.55   	   0.00		
 93.99   	136.72   	  1.55   	   0.00		
 97.66   	147.09   	  1.55   	   0.00		
100.40   	157.47   	  1.55   	  -5.09		
102.54   	167.24   	  1.53   	   0.00		
105.59   	175.78   	  1.53   	  -5.09		
108.95   	182.80   	  1.51   	   0.00		
111.69   	186.77   	  1.51   	  -5.09		
113.83   	187.38   	  1.49   	  -5.09		
114.14   	184.94   	  1.46   	  -5.09		
112.61   	180.97   	  1.44   	  -5.09		
107.42   	175.48   	  1.42   	  -5.09		
 97.35   	166.63   	  1.40   	  -5.09		
 82.09   	152.28   	  1.38   	  -5.09		
 63.48   	131.53   	  1.36   	   0.00		
 45.78   	107.73   	  1.36   	  -5.09		
 31.43   	 84.53   	  1.34   	   0.00		
 19.84   	 65.31   	  1.34   	   0.00		
  9.16   	 50.35   	  1.34   	   0.00		
 -3.36   	 35.40   	  1.34   	   0.00		
-17.40   	 18.01   	  1.34   	   0.00		
-30.52   	 -2.75   	  1.34   	   5.09		
-41.50   	-24.11   	  1.36   	   0.00		
-48.52   	-42.11   	  1.36   	   5.09		
-52.49   	-54.32   	  1.38   	   5.09		
-54.93   	-60.73   	  1.40   	   0.00		
-57.37   	-63.78   	  1.40   	   5.09		
-60.73   	-66.22   	  1.42   	   5.09		
-65.31   	-69.58   	  1.44   	   5.09		
-69.27   	-73.85   	  1.46   	   5.09		
-70.80   	-77.51   	  1.49   	   5.09		
-70.50   	-79.96   	  1.51   	   0.00		
-70.50   	-82.40   	  1.51   	   5.09		
-72.63   	-85.14   	  1.53   	   0.00		
-76.90   	-88.81   	  1.53   	   5.09		
-80.57   	-91.25   	  1.55   	   0.00		
-80.57   	-92.16   	  1.55   	   0.00		
-76.60   	-91.55   	  1.55   	   0.00		
-71.41   	-90.33   	  1.55   	   0.00		
-68.36   	-89.72   	  1.55   	  -5.09		
-68.66   	-88.81   	  1.53   	   0.00		
-70.80   	-87.59   	  1.53   	  -5.09		
-71.72   	-85.75   	  1.51   	  -5.09		
-71.11   	-83.92   	  1.49   	   0.00		
-69.89   	-83.31   	  1.49   	  -5.09		
-70.50   	-84.23   	  1.46   	  -5.09		
-72.94   	-86.67   	  1.44   	   0.00		
-75.68   	-91.86   	  1.44   	  -5.09		
-76.90   	-98.27   	  1.42   	   0.00		
-76.29   	-104.37   	  1.42   	   0.00		
-75.07   	-107.12   	  1.42   	  -5.09		
-74.46   	-105.59   	  1.40   	   0.00		
-75.07   	-101.62   	  1.40   	   0.00		
-76.29   	-98.27   	  1.40   	   5.09		
-76.60   	-97.96   	  1.42   	   0.00		
-75.38   	-100.10   	  1.42   	   0.00		
-72.63   	-101.01   	  1.42   	   0.00		
-68.36   	-97.66   	  1.42   	   0.00		
-62.56   	-89.72   	  1.42   	   5.09		
-54.32   	-78.43   	  1.44   	   0.00		
-43.64   	-63.48   	  1.44   	   0.00		
-31.13   	-45.17   	  1.44   	   5.09		
-19.53   	-25.63   	  1.46   	   0.00		
-11.60   	 -9.46   	  1.46   	   0.00		
 -9.46   	 -3.05   	  1.46   	   5.09		
-11.90   	 -7.32   	  1.49   	   0.00		
-14.65   	-17.09   	  1.49   	   0.00		
-12.51   	-22.28   	  1.49   	   0.00		
 -2.75   	-15.87   	  1.49   	   5.09		
 13.12   	  0.61   	  1.51   	   0.00		
 31.43   	 18.01   	  1.51   	   0.00		
 45.47   	 25.94   	  1.51   	   5.09		
 51.57   	 19.23   	  1.53   	   0.00		
 50.05   	 -0.31   	  1.53   	   0.00		
 42.42   	-25.63   	  1.53   	   0.00		
 32.96   	-50.66   	  1.53   	   0.00		
 24.72   	-71.72   	  1.53   	   0.00		
 18.01   	-87.59   	  1.53   	   0.00		
 11.29   	-97.96   	  1.53   	   0.00		
  2.75   	-104.06   	  1.53   	   0.00		
-10.38   	-107.12   	  1.53   	   0.00		
-28.99   	-109.86   	  1.53   	  -5.09		
-51.57   	-113.83   	  1.51   	   0.00		
-75.07   	-119.63   	  1.51   	   0.00		
