  I     	  II     	  LV     	  LV'		
 17.40   	 85.75   	121.81   	 -30.52		
 13.73   	 73.85   	121.69   	 -50.86		
 10.38   	 62.56   	121.48   	 -81.38		
  7.32   	 50.66   	121.16   	-101.73		
  4.88   	 38.15   	120.75   	-137.33		
  3.05   	 25.94   	120.20   	-167.85		
  1.22   	 16.17   	119.53   	-198.37		
 -2.14   	  9.77   	118.74   	-239.06		
 -6.41   	  7.02   	117.78   	-284.84		
-10.38   	  6.10   	116.64   	-330.62		
-13.12   	  5.19   	115.32   	-386.57		
-14.65   	  2.75   	113.77   	-437.43		
-15.87   	 -0.31   	112.02   	-508.65		
-17.09   	 -3.97   	109.99   	-564.60		
-18.62   	 -7.32   	107.73   	-640.89		
-19.53   	-11.29   	105.17   	-701.93		
-18.62   	-16.48   	102.36   	-762.97		
-17.09   	-22.28   	 99.31   	-824.00		
-15.26   	-28.38   	 96.01   	-874.87		
-13.73   	-32.96   	 92.51   	-910.47		
-12.82   	-35.40   	 88.87   	-940.99		
-11.60   	-35.71   	 85.11   	-956.25		
-10.99   	-34.18   	 81.28   	-966.43		
-10.68   	-32.35   	 77.42   	-966.43		
-11.90   	-30.82   	 73.55   	-951.17		
-14.04   	-29.91   	 69.75   	-940.99		
-15.26   	-28.69   	 65.98   	-915.56		
-14.95   	-26.86   	 62.32   	-890.13		
-12.21   	-23.80   	 58.76   	-864.70		
 -8.85   	-20.45   	 55.30   	-829.09		
 -6.41   	-18.92   	 51.98   	-793.49		
 -6.41   	-20.14   	 48.81   	-757.88		
 -7.93   	-23.80   	 45.78   	-727.36		
 -9.46   	-29.60   	 42.87   	-686.67		
-10.07   	-35.40   	 40.12   	-656.15		
 -9.77   	-39.67   	 37.50   	-620.55		
 -9.77   	-41.20   	 35.02   	-590.03		
-10.38   	-39.06   	 32.66   	-549.34		
-11.29   	-35.10   	 30.46   	-523.90		
-12.51   	-30.82   	 28.36   	-493.39		
-13.12   	-26.55   	 26.39   	-462.87		
-13.12   	-21.67   	 24.54   	-432.35		
-11.90   	-14.65   	 22.81   	-396.74		
-10.07   	 -6.10   	 21.22   	-356.05		
 -7.93   	  1.22   	 19.80   	-310.27		
 -7.02   	  4.88   	 18.56   	-269.58		
 -7.02   	  5.19   	 17.48   	-218.72		
 -8.85   	  4.58   	 16.60   	-178.03		
-12.82   	  6.41   	 15.89   	-142.42		
-18.62   	 14.34   	 15.32   	-116.99		
-23.80   	 30.21   	 14.85   	-101.73		
-22.28   	 55.24   	 14.45   	 -86.47		
 -5.80   	 90.03   	 14.10   	 -86.47		
 34.18   	134.89   	 13.75   	 -86.47		
101.93   	190.12   	 13.41   	 -76.30		
198.97   	258.48   	 13.10   	 -71.21		
324.40   	342.41   	 12.82   	 -66.12		
475.46   	432.13   	 12.55   	 -45.78		
640.26   	492.25   	 12.37   	 -35.61		
784.00   	464.17   	 12.23   	 -15.26		
846.86(R)	301.82   	 12.17(E)	   5.09		
778.20   	 23.50   	 12.19   	  25.43		
571.90   	-279.54   	 12.29   	  45.78		
285.95   	-484.31   	 12.47   	  71.21		
 19.23   	-510.86   	 12.76   	  91.56		
-150.76   	-375.98   	 13.12   	 122.07		
-215.45   	-178.83   	 13.61   	 137.33		
-228.58   	-29.60   	 14.16   	 162.77		
-250.55   	 14.34   	 14.81   	 172.94		
-302.12   	-36.62   	 15.50   	 183.11		
-357.67   	-127.87   	 16.24   	 183.11		
-378.72   	-201.42   	 16.97   	 178.03		
-347.60   	-222.47   	 17.68   	 178.03		
-278.93   	-189.82   	 18.39   	 178.03		
-202.03   	-126.04   	 19.10   	 183.11		
-140.08   	-62.26   	 19.84   	 203.46		
-100.71   	-21.36   	 20.65   	 223.80		
-79.96   	 -9.16   	 21.55   	 264.50		
-70.80   	-14.65   	 22.60   	 310.27		
-66.53   	-23.19   	 23.85   	 361.14		
-63.78   	-26.25   	 25.29   	 422.18		
-61.04   	-23.50   	 26.98   	 478.13		
-57.98   	-17.70   	 28.89   	 534.08		
-54.02   	-10.68   	 31.03   	 579.86		
-49.44   	 -3.66   	 33.35   	 625.63		
-44.25   	  2.14   	 35.85   	 656.15		
-39.67   	  5.49   	 38.47   	 686.67		
-36.62   	  4.88   	 41.22   	 701.93		
-36.32   	  0.31   	 44.03   	 717.19		
-38.76   	 -6.71   	 46.90   	 737.54		
-42.42   	-13.12   	 49.85   	 747.71		
-46.08   	-15.56   	 52.84   	 768.05		
-47.61   	-12.21   	 55.91   	 778.23		
-47.30   	 -4.58   	 59.02   	 788.40		
-45.78   	  3.97   	 62.18   	 798.57		
-44.25   	  9.77   	 65.37   	 808.75		
-43.33   	 12.51   	 68.61   	 808.75		
-43.03   	 13.12   	 71.84   	 808.75		
-42.72   	 14.04   	 75.08   	 798.57		
-42.72   	 15.56   	 78.27   	 783.31		
-43.03   	 17.40   	 81.40   	 757.88		
-43.33   	 17.70   	 84.44   	 732.45		
-44.25   	 16.78   	 87.36   	 696.84		
-45.78   	 14.95   	 90.15   	 661.24		
-47.61   	 13.73   	 92.80   	 620.55		
-49.13   	 14.04   	 95.28   	 579.86		
-49.74   	 15.87   	 97.60   	 549.34		
-50.35   	 19.84   	 99.80   	 513.73		
-51.57   	 25.02   	101.85   	 478.13		
-54.02   	 31.43   	103.76   	 452.69		
-56.76   	 38.45   	105.57   	 422.18		
-58.90   	 45.47   	107.26   	 386.57		
-60.12   	 53.41   	108.81   	 350.97		
-60.73   	 61.65   	110.21   	 315.36		
-61.04   	 69.89   	111.47   	 279.75		
-62.26   	 77.21   	112.59   	 244.15		
-64.09   	 82.40   	113.57   	 213.63		
