  I     	  II     	  AO     	  AO'		  FA     	  FA'		
-374.15   	-34.18   	 77.42   	 259.41		 90.07   	 -61.04		
-374.15   	-36.01   	 78.45   	 569.68		 89.83   	 -76.30		
-374.76   	-38.15   	 80.73   	 712.10		 89.52   	 -96.64		
-373.54   	-40.28   	 83.58   	 666.32		 89.13   	-116.99		
-372.62   	-40.28   	 86.25   	 478.13		 88.67   	-132.25		
-375.06   	-39.98   	 88.16   	 223.80		 88.14   	-137.33		
-375.37   	-41.20   	 89.05   	 -10.17		 87.59   	-132.25		
-374.15   	-38.76   	 89.01   	-142.42		 87.06   	-137.33		
-375.37   	-40.89   	 88.44   	-157.68		 86.51   	-137.33		
-374.76   	-45.17   	 87.81   	 -61.04		 85.96   	-142.42		
-373.84   	-43.03   	 87.57   	  71.21		 85.39   	-142.42		
-373.84   	-43.33   	 87.85   	 188.20		 84.82   	-132.25		
-375.37   	-42.11   	 88.61   	 223.80		 84.29   	-116.99		
-375.06   	-40.59   	 89.50   	 157.68		 83.82   	 -86.47		
-375.98   	-40.89   	 90.13   	  10.17		 83.48   	 -55.95		
-376.59   	-42.11   	 90.17   	-172.94		 83.26   	 -35.61		
-376.89   	-42.42   	 89.48   	-330.62		 83.11   	 -20.35		
-379.03   	-41.50   	 88.16   	-417.09		 83.03   	 -20.35		
-377.20   	-41.50   	 86.49   	-417.09		 82.95   	 -35.61		
-376.89   	-40.59   	 84.82   	-330.62		 82.81   	 -55.95		
-375.06   	-38.76   	 83.50   	-208.54		 82.58   	 -61.04		
-372.01   	-37.54   	 82.66   	 -71.21		 82.34   	 -71.21		
-374.76   	-35.71   	 82.38   	  30.52		 82.05   	 -66.12		
-374.76   	-33.57   	 82.50   	  91.56		 81.79   	 -50.86		
-373.84   	-32.96   	 82.87   	 106.82		 81.59   	 -40.69		
-373.54   	-34.79   	 83.30   	  81.38		 81.42   	 -30.52		
-368.04   	-32.35   	 83.62   	  40.69		 81.30   	 -15.26		
-366.52   	-30.82   	 83.78   	  10.17		 81.24   	 -15.26		
-366.21   	-31.13   	 83.82   	 -20.35		 81.18   	 -20.35		
-365.30   	-28.38   	 83.74   	 -40.69		 81.10   	 -20.35		
-366.21   	-28.99   	 83.58   	 -55.95		 81.02   	 -25.43		
-366.21   	-31.74   	 83.36   	 -66.12		 80.92   	 -35.61		
-364.69   	-30.21   	 83.09   	 -81.38		 80.77   	 -30.52		
-366.82   	-30.21   	 82.77   	-101.73		 80.65   	 -30.52		
-364.38   	-30.21   	 82.36   	-116.99		 80.53   	 -25.43		
-362.85   	-27.16   	 81.89   	-127.16		 80.43   	 -30.52		
-360.11   	-25.63   	 81.38   	-137.33		 80.30   	 -30.52		
-354.00   	-24.41   	 80.83   	-127.16		 80.18   	 -30.52		
-353.39   	-22.89   	 80.33   	-122.07		 80.06   	 -40.69		
-350.95   	-22.58   	 79.84   	-111.90		 79.90   	 -40.69		
-349.43   	-21.36   	 79.39   	-106.82		 79.74   	 -45.78		
-347.29   	-21.06   	 78.96   	 -96.64		 79.55   	 -40.69		
-339.97   	-18.92   	 78.58   	-101.73		 79.39   	 -40.69		
-327.76   	-12.82   	 78.17   	-101.73		 79.23   	 -35.61		
-313.11   	 -8.85   	 77.76   	 -96.64		 79.08   	 -25.43		
-295.72   	 -2.14   	 77.38   	 -91.56		 78.98   	 -25.43		
-276.79   	  1.53   	 77.01   	 -71.21		 78.88   	 -25.43		
-262.15   	  4.58   	 76.72   	 -50.86		 78.78   	 -25.43		
-252.99   	  6.41   	 76.52   	 -30.52		 78.68   	 -25.43		
-242.92   	  8.85   	 76.40   	 -15.26		 78.58   	 -20.35		
-241.70   	 15.26   	 76.34   	   0.00		 78.49   	 -25.43		
-241.09   	 22.28   	 76.34   	   0.00		 78.39   	 -15.26		
-233.46   	 32.65   	 76.34   	  -5.09		 78.33   	 -15.26		
-217.90   	 45.47   	 76.32   	 -10.17		 78.27   	 -15.26		
-193.48   	 53.41   	 76.28   	 -30.52		 78.21   	 -15.26		
-166.32   	 59.20   	 76.15   	 -50.86		 78.15   	 -20.35		
-156.86   	 60.12   	 75.95   	 -66.12		 78.07   	 -20.35		
-171.51   	 53.41   	 75.69   	 -81.38		 77.99   	 -25.43		
-181.88   	 59.20   	 75.36   	 -86.47		 77.88   	 -25.43		
-195.01   	 69.58   	 75.01   	 -91.56		 77.78   	 -30.52		
-188.60   	 87.59   	 74.65   	 -81.38		 77.66   	 -25.43		
-162.05   	112.00   	 74.32   	 -71.21		 77.56   	 -25.43		
-163.57   	118.41   	 74.04   	 -61.04		 77.46   	 -30.52		
-167.85   	111.69   	 73.79   	 -45.78		 77.33   	 -30.52		
-174.26   	101.93   	 73.61   	 -30.52		 77.21   	 -30.52		
-198.06   	 94.60   	 73.49   	 -20.35		 77.09   	 -30.52		
-208.74   	 96.74   	 73.41   	 -20.35		 76.97   	 -35.61		
-223.39   	 93.08   	 73.33   	  -5.09		 76.83   	 -30.52		
-253.60   	 68.36   	 73.31   	  -5.09		 76.70   	 -30.52		
-282.59   	 28.38   	 73.29   	  -5.09		 76.58   	 -30.52		
-305.48   	 -7.63   	 73.27   	   5.09		 76.46   	 -35.61		
-326.23   	-28.08   	 73.29   	   5.09		 76.32   	 -35.61		
-340.58   	-31.13   	 73.31   	   5.09		 76.17   	 -35.61		
-345.46   	-26.25   	 73.33   	  10.17		 76.03   	 -40.69		
-346.07   	-31.43   	 73.37   	   0.00		 75.87   	 -40.69		
-346.98   	-39.06   	 73.37   	   0.00		 75.71   	 -40.69		
-346.68   	-40.59   	 73.37   	  -5.09		 75.54   	 -40.69		
