  I     	  II     	  AOp     	  AOp'		  CH2     	  CH2'		
-169.98   	-72.33   	102.56   	-162.77		 76.03   	 579.86		
-172.12   	-77.82   	101.91   	-122.07		 78.35   	 620.55		
-177.00   	-83.92   	101.42   	 -81.38		 80.83   	 640.89		
-179.44   	-94.30   	101.10   	 -66.12		 83.40   	 645.98		
-183.11   	-101.62   	100.83   	 -71.21		 85.98   	 630.72		
-187.99   	-108.64   	100.55   	 -71.21		 88.50   	 620.55		
-190.73   	-117.80   	100.26   	 -71.21		 90.99   	 595.11		
-196.23   	-123.60   	 99.98   	 -61.04		 93.37   	 564.60		
-200.81   	-132.75   	 99.74   	 -55.95		 95.63   	 544.25		
-205.08   	-144.35   	 99.51   	 -76.30		 97.80   	 508.65		
-206.91   	-150.76   	 99.21   	-127.16		 99.84   	 483.21		
-210.27   	-161.44   	 98.70   	-208.54		101.77   	 447.61		
-214.84   	-170.29   	 97.86   	-289.93		103.56   	 422.18		
-216.98   	-177.31   	 96.70   	-335.71		105.25   	 391.66		
-217.90   	-187.68   	 95.36   	-345.88		106.82   	 361.14		
-215.76   	-193.18   	 93.98   	-300.10		108.26   	 335.71		
-215.15   	-199.58   	 92.78   	-203.46		109.60   	 310.27		
-212.10   	-205.69   	 91.96   	 -91.56		110.84   	 289.93		
-211.18   	-209.35   	 91.60   	  15.26		112.00   	 264.50		
-205.99   	-211.18   	 91.66   	  96.64		113.06   	 244.15		
-200.20   	-212.71   	 92.04   	 137.33		114.04   	 218.72		
-191.65   	-208.74   	 92.59   	 127.16		114.91   	 198.37		
-181.27   	-204.47   	 93.10   	  81.38		115.71   	 172.94		
-169.98   	-197.14   	 93.43   	  40.69		116.40   	 142.42		
-156.86   	-188.29   	 93.59   	  10.17		116.97   	 116.99		
-143.43   	-177.61   	 93.63   	  15.26		117.44   	  86.47		
-131.23   	-164.79   	 93.69   	  45.78		117.78   	  61.04		
-115.97   	-146.18   	 93.88   	 101.73		118.03   	  25.43		
-103.45   	-127.56   	 94.28   	 137.33		118.13   	   0.00		
-93.99   	-108.95   	 94.83   	 162.77		118.13   	 -30.52		
-79.65   	-86.98   	 95.48   	 152.59		118.01   	 -61.04		
-74.46   	-70.50   	 96.09   	 122.07		117.76   	 -81.38		
-63.78   	-49.44   	 96.58   	  76.30		117.44   	-111.90		
-54.63   	-28.08   	 96.89   	  45.78		116.99   	-137.33		
