  I     	  II     	  LVp     	  LVp'		  CH2     	  CH2'		
-444.64   	-405.58   	 77.35   	 783.31		 66.31   	 -10.17		
-385.74   	-348.21   	 80.49   	 615.46		 66.27   	  -5.09		
-327.76   	-279.85   	 82.95   	 442.52		 66.25   	 -10.17		
-274.96   	-207.52   	 84.72   	 274.67		 66.21   	 -10.17		
-231.32   	-139.77   	 85.82   	 147.51		 66.16   	 -10.17		
-199.28   	-85.75   	 86.41   	  86.47		 66.12   	 -10.17		
-179.14   	-51.27   	 86.75   	 101.73		 66.08   	 -10.17		
-166.93   	-33.87   	 87.16   	 167.85		 66.04   	 -15.26		
-159.30   	-27.47   	 87.83   	 249.24		 65.98   	 -10.17		
-152.59   	-25.02   	 88.83   	 330.62		 65.94   	 -10.17		
-146.79   	-21.97   	 90.15   	 386.57		 65.90   	 -15.26		
-142.21   	-18.62   	 91.70   	 432.35		 65.84   	 -15.26		
-139.16   	-15.56   	 93.43   	 467.95		 65.78   	 -10.17		
-137.02   	-13.43   	 95.30   	 498.47		 65.74   	 -15.26		
-134.58   	-12.51   	 97.29   	 503.56		 65.68   	 -10.17		
-132.45   	-12.21   	 99.31   	 442.52		 65.64   	 -15.26		
-130.62   	-13.43   	101.08   	 310.27		 65.57   	 -10.17		
-129.39   	-15.87   	102.32   	  91.56		 65.53   	 -10.17		
-129.39   	-18.92   	102.69   	-142.42		 65.49   	  -5.09		
-129.39   	-21.67   	102.12   	-335.71		 65.47   	  -5.09		
-130.00   	-23.80   	100.77   	-432.35		 65.45   	   0.00		
-130.62   	-25.94   	 99.04   	-422.18		 65.45   	  10.17		
-131.23   	-28.69   	 97.35   	-315.36		 65.49   	  20.35		
-131.53   	-32.35   	 96.09   	-178.03		 65.57   	  50.86		
-131.53   	-36.32   	 95.38   	 -76.30		 65.78   	  81.38		
-131.53   	-39.67   	 95.08   	 -66.12		 66.10   	 142.42		
-131.84   	-42.11   	 94.81   	-178.03		 66.67   	 213.63		
-132.45   	-44.86   	 94.10   	-381.48		 67.53   	 300.10		
-133.67   	-48.22   	 92.57   	-600.20		 68.73   	 391.66		
-135.19   	-52.49   	 90.17   	-712.10		 70.29   	 478.13		
-137.02   	-57.37   	 87.32   	-630.72		 72.21   	 544.25		
-138.55   	-61.95   	 84.80   	-310.27		 74.38   	 584.94		
-140.69   	-66.53   	 83.56   	 188.20		 76.72   	 605.29		
-143.43   	-71.72   	 84.31   	 701.93		 79.15   	 600.20		
-146.48   	-78.13   	 87.12   	1002.03		 81.55   	 579.86		
-150.45   	-85.45   	 91.13   	 925.73		 83.87   	 549.34		
-154.72   	-93.38   	 94.83   	 483.21		 86.06   	 513.73		
-159.00   	-101.62   	 96.76   	-152.59		 88.12   	 483.21		
-163.57   	-110.17   	 96.15   	-773.14		 90.05   	 447.61		
-168.46   	-119.32   	 93.06   	-1210.58		 91.84   	 417.09		
-173.34   	-128.48   	 88.22   	-1383.51		 93.51   	 386.57		
-177.31   	-136.72   	 82.69   	-1261.44		 95.06   	 366.22		
-180.05   	-144.35   	 77.64   	-925.73		 96.52   	 340.79		
-181.88   	-151.37   	 73.94   	-462.87		 97.88   	 315.36		
-183.11   	-158.39   	 72.09   	   5.09		 99.15   	 300.10		
-184.63   	-165.71   	 72.11   	 371.31		100.35   	 279.75		
-186.16   	-172.12   	 73.59   	 559.51		101.46   	 259.41		
-186.77   	-177.61   	 75.83   	 554.42		102.50   	 239.06		
-186.46   	-181.58   	 78.05   	 391.66		103.46   	 218.72		
-184.63   	-184.63   	 79.61   	 142.42		104.33   	 198.37		
-181.27   	-186.46   	 80.18   	-101.73		105.13   	 178.03		
-176.70   	-186.46   	 79.78   	-284.84		105.84   	 162.77		
-170.29   	-183.41   	 78.64   	-335.71		106.49   	 142.42		
-161.74   	-177.00   	 77.29   	-264.50		107.06   	 122.07		
-150.45   	-167.24   	 76.24   	 -76.30		107.55   	 101.73		
-137.02   	-155.33   	 75.93   	 172.94		107.95   	  81.38		
-122.38   	-142.52   	 76.62   	 406.92		108.28   	  55.95		
-108.34   	-128.78   	 78.25   	 549.34		108.50   	  30.52		
-95.21   	-113.53   	 80.45   	 559.51		108.63   	  10.17		
-82.70   	-95.21   	 82.69   	 442.52		108.67   	 -20.35		
-69.27   	-73.55   	 84.46   	 254.32		108.59   	 -40.69		
-55.24   	-50.05   	 85.47   	  66.12		108.42   	 -66.12		
-41.50   	-26.86   	 85.74   	 -35.61		108.16   	 -91.56		
-29.60   	 -5.19   	 85.59   	  20.35		107.79   	-106.82		
-20.75   	 14.34   	 85.68   	 208.54		107.36   	-132.25		
-14.04   	 32.04   	 86.51   	 462.87		106.84   	-142.42		
 -8.24   	 49.13   	 88.36   	 666.32		106.27   	-162.77		
 -2.44   	 64.70   	 91.03   	 676.50		105.62   	-178.03		
  2.44   	 78.13   	 93.73   	 488.30		104.90   	-188.20		
  6.10   	 88.50   	 95.69   	 162.77		104.15   	-193.29		
  8.24   	 96.44   	 96.34   	-167.85		103.38   	-208.54		
  9.77   	102.84   	 95.67   	-406.92		102.54   	-208.54		
 11.29   	108.64   	 94.04   	-498.47		101.71   	-213.63		
 13.43   	114.44   	 92.04   	-452.69		100.85   	-213.63		
 15.87   	119.63   	 90.23   	-330.62		100.00   	-208.54		
 18.01   	123.60   	 88.91   	-208.54		 99.17   	-213.63		
 19.53   	126.34   	 88.08   	-157.68		 98.31   	-203.46		
 20.45   	128.17   	 87.45   	-183.11		 97.50   	-198.37		
 21.36   	129.70   	 86.71   	-325.53		 96.70   	-198.37		
 21.97   	130.92   	 85.41   	-579.86		 95.91   	-188.20		
 22.89   	131.84   	 83.09   	-920.65		 95.16   	-183.11		
 23.19   	132.14   	 79.41   	-1317.39		 94.42   	-178.03		
 23.19   	131.84   	 74.14   	-1693.79		 93.71   	-167.85		
 22.58   	131.23   	 67.36   	-1968.46		 93.04   	-162.77		
 21.97   	130.31   	 59.49   	-2060.01		 92.39   	-152.59		
 21.67   	129.39   	 51.25   	-1937.94		 91.78   	-142.42		
 21.36   	128.48   	 43.50   	-1622.58		 91.21   	-137.33		
 20.75   	127.87   	 37.01   	-1169.88		 90.66   	-122.07		
 20.14   	126.95   	 32.33   	-686.67		 90.17   	-116.99		
 19.84   	126.95   	 29.58   	-269.58		 89.70   	-106.82		
 20.14   	126.65   	 28.50   	   5.09		 89.28   	-101.73		
 21.06   	126.34   	 28.52   	 106.82		 88.87   	 -91.56		
 21.67   	125.12   	 28.95   	  71.21		 88.50   	 -86.47		
 21.06   	123.60   	 29.24   	 -66.12		 88.16   	 -86.47		
 18.92   	121.46   	 28.97   	-239.06		 87.81   	 -81.38		
 16.48   	119.93   	 28.02   	-376.40		 87.49   	 -81.38		
 14.65   	119.02   	 26.51   	-452.69		 87.16   	 -76.30		
 13.73   	118.10   	 24.70   	-447.61		 86.86   	 -81.38		
 13.73   	116.88   	 22.91   	-376.40		 86.53   	 -86.47		
 14.04   	115.66   	 21.40   	-254.32		 86.18   	 -86.47		
 13.73   	113.53   	 20.39   	-142.42		 85.84   	 -91.56		
 13.12   	111.69   	 19.82   	 -50.86		 85.47   	 -96.64		
 12.21   	110.17   	 19.61   	  -5.09		 85.09   	-101.73		
 11.60   	109.56   	 19.59   	 -20.35		 84.68   	-106.82		
 11.60   	109.86   	 19.51   	 -50.86		 84.25   	-111.90		
 11.90   	110.47   	 19.31   	-111.90		 83.80   	-116.99		
 12.51   	110.47   	 18.86   	-152.59		 83.34   	-116.99		
 11.90   	109.25   	 18.25   	-178.03		 82.87   	-122.07		
 10.99   	107.42   	 17.54   	-172.94		 82.38   	-111.90		
  9.77   	105.90   	 16.85   	-142.42		 81.93   	-111.90		
  8.85   	105.29   	 16.28   	-101.73		 81.48   	-106.82		
  8.54   	105.90   	 15.87   	 -45.78		 81.06   	 -91.56		
  8.85   	107.12   	 15.69   	  -5.09		 80.69   	 -86.47		
  9.46   	108.03   	 15.67   	  20.35		 80.35   	 -76.30		
  9.77   	108.64   	 15.75   	  40.69		 80.04   	 -71.21		
 10.07   	108.64   	 15.91   	  30.52		 79.76   	 -61.04		
 10.38   	109.25   	 16.03   	  20.35		 79.51   	 -61.04		
 10.99   	109.56   	 16.11   	   0.00		 79.27   	 -50.86		
 11.90   	110.17   	 16.11   	 -15.26		 79.06   	 -50.86		
 12.82   	110.78   	 16.05   	 -20.35		 78.86   	 -45.78		
 13.73   	110.78   	 15.97   	 -20.35		 78.68   	 -45.78		
 14.34   	110.78   	 15.89   	   0.00		 78.49   	 -45.78		
 14.95   	110.47   	 15.89   	  20.35		 78.31   	 -45.78		
 15.87   	109.86   	 15.97   	  50.86		 78.13   	 -45.78		
 17.40   	109.56   	 16.17   	  71.21		 77.94   	 -50.86		
 19.23   	109.56   	 16.46   	  91.56		 77.74   	 -45.78		
 20.75   	110.17   	 16.83   	 101.73		 77.56   	 -50.86		
 21.36   	110.47   	 17.23   	  96.64		 77.35   	 -45.78		
 21.06   	110.78   	 17.62   	  96.64		 77.17   	 -45.78		
 20.45   	110.47   	 18.01   	  91.56		 76.99   	 -45.78		
 20.14   	110.17   	 18.37   	  86.47		 76.81   	 -45.78		
 21.36   	110.47   	 18.72   	  81.38		 76.62   	 -40.69		
 24.72   	111.69   	 19.04   	  96.64		 76.46   	 -40.69		
 29.91   	114.44   	 19.43   	  96.64		 76.30   	 -40.69		
 38.15   	118.10   	 19.82   	 111.90		 76.13   	 -35.61		
 49.13   	122.68   	 20.26   	 106.82		 75.99   	 -35.61		
 63.17   	127.56   	 20.69   	  91.56		 75.85   	 -30.52		
 79.04   	132.14   	 21.06   	  66.12		 75.73   	 -30.52		
 95.21   	135.80   	 21.32   	  25.43		 75.60   	 -30.52		
108.64   	138.24   	 21.42   	 -10.17		 75.48   	 -25.43		
117.49   	139.16   	 21.38   	 -40.69		 75.38   	 -30.52		
122.07   	140.38   	 21.22   	 -55.95		 75.26   	 -25.43		
123.90   	142.82   	 21.00   	 -55.95		 75.16   	 -30.52		
125.73   	148.32   	 20.77   	 -30.52		 75.04   	 -25.43		
131.53   	156.56   	 20.65   	  -5.09		 74.93   	 -30.52		
144.96   	166.63   	 20.63   	  35.61		 74.81   	 -25.43		
166.02   	176.39   	 20.77   	  55.95		 74.71   	 -25.43		
189.21   	184.02   	 21.00   	  71.21		 74.61   	 -25.43		
204.77   	187.07   	 21.28   	  71.21		 74.51   	 -30.52		
205.69   	186.77   	 21.57   	  55.95		 74.38   	 -25.43		
193.18   	185.85   	 21.79   	  30.52		 74.28   	 -25.43		
177.61   	188.90   	 21.91   	  10.17		 74.18   	 -25.43		
171.20   	199.58   	 21.95   	  -5.09		 74.08   	 -25.43		
177.61   	214.54   	 21.93   	 -10.17		 73.98   	 -25.43		
189.21   	226.75   	 21.89   	   0.00		 73.88   	 -25.43		
194.70   	229.19   	 21.89   	  15.26		 73.77   	 -20.35		
187.07   	221.56   	 21.95   	  40.69		 73.69   	 -20.35		
169.37   	210.27   	 22.12   	  61.04		 73.61   	 -25.43		
148.62   	202.64   	 22.36   	  71.21		 73.51   	 -20.35		
130.00   	198.97   	 22.64   	  86.47		 73.43   	 -20.35		
112.30   	190.43   	 22.99   	  81.38		 73.35   	 -20.35		
 91.55   	169.07   	 23.32   	  86.47		 73.27   	 -15.26		
 67.14   	135.80   	 23.66   	  81.38		 73.20   	 -20.35		
 41.81   	101.62   	 23.99   	  86.47		 73.12   	 -20.35		
 20.75   	 79.65   	 24.33   	  91.56		 73.04   	 -25.43		
  7.63   	 73.85   	 24.70   	 111.90		 72.94   	 -20.35		
  2.75   	 77.21   	 25.15   	 127.16		 72.86   	 -25.43		
  3.97   	 80.26   	 25.66   	 142.42		 72.76   	 -30.52		
  7.32   	 78.74   	 26.23   	 152.59		 72.63   	 -30.52		
 10.07   	 74.77   	 26.84   	 152.59		 72.51   	 -35.61		
 10.99   	 73.85   	 27.45   	 157.68		 72.37   	 -30.52		
 10.68   	 76.90   	 28.08   	 167.85		 72.25   	 -35.61		
 10.99   	 81.79   	 28.75   	 183.11		 72.11   	 -35.61		
 11.60   	 84.84   	 29.48   	 208.54		 71.96   	 -35.61		
 12.82   	 84.84   	 30.32   	 244.15		 71.82   	 -35.61		
 13.73   	 83.31   	 31.29   	 274.67		 71.68   	 -35.61		
 14.34   	 81.79   	 32.39   	 300.10		 71.54   	 -35.61		
 14.34   	 81.48   	 33.59   	 310.27		 71.39   	 -35.61		
 14.95   	 82.09   	 34.83   	 300.10		 71.25   	 -30.52		
 15.87   	 83.31   	 36.03   	 279.75		 71.13   	 -30.52		
 17.09   	 84.53   	 37.15   	 233.98		 71.01   	 -30.52		
 18.31   	 85.75   	 38.09   	 178.03		 70.88   	 -25.43		
 19.23   	 86.36   	 38.80   	 106.82		 70.78   	 -30.52		
 19.53   	 86.36   	 39.23   	  35.61		 70.66   	 -25.43		
 18.01   	 85.75   	 39.37   	 -25.43		 70.56   	 -30.52		
 14.34   	 83.01   	 39.27   	 -76.30		 70.44   	 -25.43		
  8.24   	 76.60   	 38.96   	-111.90		 70.34   	 -30.52		
  4.58   	 64.39   	 38.51   	-127.16		 70.21   	 -30.52		
 14.04   	 47.00   	 38.01   	-132.25		 70.09   	 -30.52		
 48.83   	 29.60   	 37.48   	-122.07		 69.97   	 -30.52		
