  I     	  II     	  LVp     	  LVp'		  CH2     	  CH2'		
-91.55   	-276.18   	 10.40   	   5.09		 61.26   	 -25.43		
-90.94   	-276.49   	 10.42   	   5.09		 61.16   	 -20.35		
-92.16   	-275.57   	 10.44   	   5.09		 61.08   	 -15.26		
-92.16   	-277.10   	 10.46   	  10.17		 61.02   	 -10.17		
-91.55   	-276.18   	 10.50   	  10.17		 60.98   	 -10.17		
-93.08   	-274.96   	 10.54   	  15.26		 60.94   	  -5.09		
-94.30   	-274.05   	 10.60   	  15.26		 60.92   	 -10.17		
-93.69   	-272.52   	 10.66   	  20.35		 60.87   	  -5.09		
-94.60   	-273.74   	 10.74   	  25.43		 60.85   	 -10.17		
-96.13   	-273.13   	 10.84   	  30.52		 60.81   	 -10.17		
-94.30   	-274.05   	 10.97   	  30.52		 60.77   	  -5.09		
-95.52   	-273.13   	 11.09   	  40.69		 60.75   	 -10.17		
-95.52   	-271.00   	 11.25   	  40.69		 60.71   	  -5.09		
-97.35   	-271.91   	 11.41   	  45.78		 60.69   	  -5.09		
-97.96   	-271.00   	 11.60   	  45.78		 60.67   	 -10.17		
-98.88   	-271.61   	 11.78   	  50.86		 60.63   	  -5.09		
-102.23   	-274.05   	 11.98   	  45.78		 60.61   	  -5.09		
-99.79   	-273.13   	 12.17   	  40.69		 60.59   	 -10.17		
-102.23   	-272.52   	 12.33   	  40.69		 60.55   	 -10.17		
-103.76   	-273.44   	 12.49   	  35.61		 60.51   	 -10.17		
-104.68   	-273.13   	 12.63   	  25.43		 60.47   	 -10.17		
-107.12   	-272.52   	 12.74   	  25.43		 60.43   	 -10.17		
-106.51   	-272.52   	 12.84   	  25.43		 60.39   	 -10.17		
-106.20   	-272.22   	 12.94   	  20.35		 60.35   	  -5.09		
-104.98   	-270.08   	 13.02   	  20.35		 60.33   	   0.00		
-104.98   	-270.39   	 13.10   	  25.43		 60.33   	   0.00		
-107.73   	-273.44   	 13.20   	  25.43		 60.33   	   0.00		
-107.12   	-272.83   	 13.31   	  30.52		 60.33   	  -5.09		
-107.12   	-273.44   	 13.43   	  35.61		 60.30   	   0.00		
-107.73   	-274.66   	 13.57   	  40.69		 60.30   	 -10.17		
-106.81   	-272.22   	 13.73   	  40.69		 60.26   	 -10.17		
-106.51   	-271.00   	 13.90   	  50.86		 60.22   	  -5.09		
-108.95   	-271.61   	 14.10   	  55.95		 60.20   	  -5.09		
-109.25   	-271.91   	 14.32   	  66.12		 60.18   	   5.09		
-106.51   	-271.00   	 14.59   	  71.21		 60.20   	   5.09		
-108.03   	-273.13   	 14.87   	  81.38		 60.22   	   5.09		
-107.12   	-274.05   	 15.20   	  81.38		 60.24   	  10.17		
-108.03   	-273.44   	 15.52   	  86.47		 60.28   	   5.09		
-111.08   	-274.35   	 15.87   	  81.38		 60.30   	  10.17		
-110.17   	-273.44   	 16.20   	  81.38		 60.35   	   0.00		
-108.34   	-272.22   	 16.52   	  66.12		 60.35   	   5.09		
-107.12   	-272.22   	 16.79   	  55.95		 60.37   	   5.09		
-105.90   	-271.61   	 17.01   	  50.86		 60.39   	   0.00		
-105.90   	-271.91   	 17.21   	  35.61		 60.39   	   5.09		
-107.12   	-273.74   	 17.35   	  30.52		 60.41   	   5.09		
-107.42   	-274.35   	 17.48   	  25.43		 60.43   	   5.09		
-105.90   	-273.74   	 17.58   	  20.35		 60.45   	   5.09		
-107.42   	-275.88   	 17.66   	  25.43		 60.47   	   5.09		
