  I     	  II     	  PW     	  PW'		
-802.92   	-215.45   	 23.09   	-106.82		
-794.07   	-196.23   	 22.67   	-127.16		
-788.57   	-175.17   	 22.16   	-127.16		
-781.86   	-154.42   	 21.65   	-101.73		
-778.81   	-137.02   	 21.24   	 -66.12		
-777.89   	-119.63   	 20.98   	 -20.35		
-776.67   	-109.86   	 20.90   	  25.43		
-778.81   	-101.01   	 21.00   	  55.95		
-776.67   	-85.14   	 21.22   	  81.38		
-779.11   	-79.04   	 21.55   	  96.64		
-780.03   	-70.19   	 21.93   	  96.64		
-783.08   	-65.00   	 22.32   	  96.64		
-788.27   	-65.00   	 22.71   	  86.47		
-787.66   	-59.51   	 23.05   	  66.12		
-789.49   	-56.76   	 23.32   	  40.69		
-790.10   	-52.49   	 23.48   	  10.17		
-788.57   	-47.91   	 23.52   	 -15.26		
-790.10   	-46.69   	 23.46   	 -50.86		
-787.96   	-44.86   	 23.26   	 -91.56		
-786.44   	-45.47   	 22.89   	-116.99		
-787.66   	-49.13   	 22.42   	-132.25		
-788.27   	-50.96   	 21.89   	-132.25		
-789.49   	-50.35   	 21.36   	 -96.64		
-791.32   	-50.96   	 20.98   	 -50.86		
-790.10   	-53.10   	 20.77   	   5.09		
-787.96   	-51.57   	 20.79   	  45.78		
-786.74   	-52.80   	 20.98   	  76.30		
-786.13   	-56.15   	 21.28   	  76.30		
-786.74   	-55.24   	 21.59   	  50.86		
-789.79   	-60.73   	 21.79   	  25.43		
-789.79   	-65.31   	 21.89   	  -5.09		
-791.63   	-66.83   	 21.87   	 -25.43		
-789.18   	-66.53   	 21.77   	 -15.26		
-785.52   	-64.70   	 21.71   	  20.35		
-785.52   	-64.70   	 21.79   	  71.21		
-785.22   	-68.36   	 22.08   	 132.25		
-786.13   	-69.58   	 22.60   	 193.29		
-788.88   	-74.16   	 23.38   	 233.98		
-790.71   	-77.21   	 24.31   	 233.98		
-789.49   	-73.85   	 25.25   	 203.46		
-791.93   	-78.43   	 26.06   	 127.16		
-790.71   	-76.60   	 26.57   	  40.69		
-787.66   	-75.07   	 26.73   	 -50.86		
-788.88   	-78.43   	 26.53   	-116.99		
-787.96   	-76.60   	 26.06   	-152.59		
-789.79   	-78.13   	 25.45   	-157.68		
-794.68   	-83.31   	 24.82   	-127.16		
-792.85   	-81.79   	 24.31   	 -71.21		
-790.41   	-79.35   	 24.03   	  -5.09		
-790.71   	-80.87   	 24.01   	  50.86		
-788.57   	-75.38   	 24.21   	 101.73		
-789.49   	-75.99   	 24.62   	 122.07		
-793.15   	-80.87   	 25.11   	 122.07		
-787.96   	-76.90   	 25.60   	  86.47		
-785.83   	-76.29   	 25.94   	  35.61		
-782.47   	-73.24   	 26.08   	 -20.35		
-774.54   	-67.14   	 26.00   	 -86.47		
-765.38   	-61.95   	 25.66   	-132.25		
-750.73   	-59.20   	 25.13   	-162.77		
-734.86   	-52.49   	 24.48   	-167.85		
-720.83   	-49.44   	 23.80   	-157.68		
-708.31   	-49.13   	 23.17   	-122.07		
-703.43   	-46.39   	 22.69   	 -81.38		
-695.50   	-43.64   	 22.36   	 -35.61		
-691.83   	-39.98   	 22.22   	  -5.09		
-688.78   	-30.21   	 22.20   	  30.52		
-679.32   	-17.40   	 22.32   	  35.61		
-667.11   	 -8.85   	 22.46   	  40.69		
-642.40   	 -0.31   	 22.62   	  30.52		
-614.62   	  5.19   	 22.75   	  10.17		
-597.23   	  7.93   	 22.79   	 -15.26		
-601.20   	  8.24   	 22.73   	 -30.52		
-610.66   	 17.70   	 22.60   	 -50.86		
-618.29   	 36.62   	 22.40   	 -61.04		
-614.01   	 55.85   	 22.16   	 -55.95		
-590.82   	 76.60   	 21.93   	 -50.86		
-585.63   	 86.98   	 21.73   	 -35.61		
-591.74   	 76.90   	 21.59   	 -20.35		
-602.11   	 66.83   	 21.51   	   0.00		
-630.19   	 64.70   	 21.51   	   5.09		
-645.14   	 63.48   	 21.53   	  15.26		
-667.42   	 52.19   	 21.59   	   5.09		
-698.24   	 26.55   	 21.61   	 -10.17		
-731.51   	-18.62   	 21.57   	 -25.43		
-756.84   	-55.54   	 21.46   	 -50.86		
-775.15   	-67.44   	 21.26   	 -66.12		
-795.59   	-69.27   	 21.00   	 -86.47		
-801.39   	-65.00   	 20.65   	 -96.64		
-802.31   	-68.36   	 20.26   	-106.82		
-807.80   	-80.26   	 19.84   	-106.82		
-801.39   	-82.09   	 19.41   	 -96.64		
-800.48   	-78.74   	 19.02   	 -76.30		
-799.87   	-72.33   	 18.72   	 -45.78		
-798.34   	-69.27   	 18.54   	 -15.26		
-799.26   	-69.27   	 18.47   	  10.17		
-801.70   	-70.50   	 18.51   	  30.52		
-802.00   	-67.75   	 18.64   	  30.52		
-802.31   	-66.53   	 18.76   	  30.52		
-802.00   	-68.36   	 18.88   	  15.26		
-799.87   	-67.75   	 18.94   	   5.09		
-799.26   	-69.27   	 18.96   	   0.00		
-802.00   	-68.66   	 18.96   	   5.09		
-801.39   	-63.48   	 18.98   	  30.52		
-801.70   	-62.56   	 19.10   	  61.04		
-806.88   	-65.00   	 19.35   	  96.64		
-807.19   	-61.65   	 19.74   	 122.07		
-806.88   	-62.26   	 20.22   	 142.42		
-809.33   	-65.31   	 20.79   	 142.42		
-810.85   	-65.31   	 21.36   	 116.99		
-827.94   	-81.18   	 21.83   	  86.47		
-828.86   	-103.76   	 22.18   	  35.61		
-787.96   	-112.61   	 22.32   	 -15.26		
-716.25   	-108.03   	 22.26   	 -66.12		
-615.84   	-75.68   	 21.99   	-106.82		
-484.62   	 -4.58   	 21.57   	-127.16		
-381.47   	 67.75   	 21.06   	-132.25		
-271.00   	173.65   	 20.53   	-127.16		
-162.96   	309.14   	 20.02   	 -96.64		
-113.53   	470.89   	 19.63   	 -61.04		
-75.07   	635.68   	 19.39   	 -15.26		
-118.71   	676.57   	 19.33   	  30.52		
-334.47   	516.66   	 19.45   	  66.12		
-620.12   	211.49   	 19.72   	  96.64		
-918.58   	-187.38   	 20.10   	 111.90		
-1191.71(R)	-613.71   	 20.55   	 122.07		
-1295.47   	-872.80   	 21.04   	 111.90		
-1179.20   	-1037.29   	 21.49   	 101.73		
-1088.26   	-1116.64   	 21.89   	  81.38		
-1036.99   	-1055.60   	 22.22   	  55.95		
-977.17   	-943.30   	 22.44   	  35.61		
-1037.29   	-818.79   	 22.58   	  10.17		
-1115.72   	-721.74   	 22.62(A)	  -5.09		
-1124.88   	-667.11   	 22.60   	 -15.26		
-1156.62   	-659.79   	 22.54   	 -15.26		
-1171.88   	-668.34   	 22.48   	 -20.35		
-1190.19   	-674.74   	 22.40   	 -25.43		
-1191.41   	-666.50   	 22.30   	 -30.52		
-1210.94   	-657.65   	 22.18   	 -30.52		
-1239.93   	-662.54   	 22.05   	 -30.52		
-1235.35   	-634.46   	 21.93   	 -25.43		
-1220.70   	-603.03   	 21.83   	 -20.35		
-1194.46   	-555.42   	 21.75   	 -30.52		
-1140.75   	-481.57   	 21.63   	 -45.78		
-1089.78   	-401.31   	 21.44   	 -86.47		
-1032.10   	-321.35   	 21.10   	-132.25		
-982.36   	-255.74   	 20.57   	-172.94		
-946.66   	-202.33   	 19.88   	-208.54		
-921.94   	-170.90   	 19.04   	-233.98		
-911.87   	-152.89   	 18.11   	-223.80		
-903.93   	-137.63   	 17.21   	-188.20		
-895.39   	-128.17   	 16.46   	-127.16		
-891.42   	-122.68   	 15.95   	 -50.86		
-887.15   	-116.58   	 15.75   	  40.69		
-889.59   	-114.44   	 15.91   	 116.99		
-894.78   	-116.27   	 16.38   	 183.11		
-895.69   	-112.30   	 17.11   	 218.72		
-897.52   	-112.30   	 17.99   	 233.98		
-897.83   	-115.66   	 18.92   	 213.63		
-896.91   	-112.30   	 19.78   	 178.03		
-896.91   	-118.41   	 20.49   	 122.07		
-901.49   	-123.29   	 20.98   	  66.12		
-904.54   	-123.29   	 21.24   	  10.17		
-903.02   	-125.12   	 21.28   	 -35.61		
-901.79   	-124.82   	 21.14   	 -71.21		
-904.54   	-126.65   	 20.85   	 -81.38		
-901.18   	-127.56   	 20.53   	 -91.56		
-904.54   	-135.80   	 20.16   	 -81.38		
-914.00   	-145.57   	 19.84   	 -71.21		
-906.98   	-143.43   	 19.55   	 -76.30		
-910.03   	-148.32   	 19.25   	 -86.47		
-913.70   	-152.28   	 18.90   	-116.99		
-913.70   	-157.47   	 18.43   	-157.68		
-922.85   	-168.46   	 17.80   	-198.37		
-925.60   	-168.46   	 17.01   	-233.98		
-932.62   	-175.17   	 16.07   	-244.15		
-939.03   	-180.36   	 15.10   	-228.89		
-942.38   	-182.80   	 14.18   	-193.29		
-951.54   	-196.23   	 13.41   	-122.07		
-948.49   	-201.72   	 12.92   	 -50.86		
-949.40   	-207.52   	 12.72   	  20.35		
-961.00   	-220.03   	 12.80   	  71.21		
-965.58   	-229.19   	 13.08   	 106.82		
-975.95   	-242.31   	 13.51   	 111.90		
-986.02   	-250.85   	 13.96   	  91.56		
-981.14   	-254.21   	 14.32   	  55.95		
-984.19   	-264.59   	 14.55   	  20.35		
-982.36   	-270.69   	 14.63   	 -15.26		
-978.39   	-276.79   	 14.57   	 -40.69		
-980.22   	-281.68   	 14.40   	 -71.21		
-974.73   	-280.46   	 14.12   	 -81.38		
-974.43   	-280.46   	 13.79   	 -91.56		
-972.90   	-276.18   	 13.43   	-101.73		
-967.10   	-273.13   	 13.02   	 -91.56		
-962.83   	-271.30   	 12.66   	 -86.47		
-952.15   	-261.54   	 12.31   	 -55.95		
-940.86   	-250.85   	 12.09   	 -15.26		
-933.53   	-245.67   	 12.02   	  25.43		
-918.58   	-223.69   	 12.13   	  61.04		
-910.03   	-207.21   	 12.37   	  86.47		
-903.02   	-191.35   	 12.72   	 101.73		
-889.28   	-165.71   	 13.12   	 101.73		
-881.35   	-146.18   	 13.53   	  96.64		
-874.02   	-124.51   	 13.92   	  81.38		
-862.43   	-101.32   	 14.24   	  71.21		
-858.46   	-82.09   	 14.53   	  45.78		
-863.65   	-65.31   	 14.71   	  25.43		
-863.95   	-47.91   	 14.81   	  -5.09		
-870.36   	-36.32   	 14.79   	 -35.61		
-875.55   	-22.58   	 14.65   	 -50.86		
-881.65   	-13.73   	 14.45   	 -66.12		
-885.01   	 -5.19   	 14.18   	 -71.21		
-888.98   	 -0.31   	 13.90   	 -61.04		
-898.44   	  0.92   	 13.65   	 -45.78		
-901.79   	  7.02   	 13.47   	 -30.52		
-909.73   	  8.54   	 13.35   	  -5.09		
-923.16   	 10.07   	 13.33   	   5.09		
-922.85   	 17.40   	 13.35   	   5.09		
-927.73   	 21.06   	 13.37   	 -15.26		
-925.60   	 21.06   	 13.31   	 -45.78		
-929.57   	 21.06   	 13.12   	 -76.30		
-938.42   	 17.09   	 12.82   	-101.73		
-938.11   	 15.87   	 12.41   	-101.73		
-943.91   	 14.95   	 12.00   	 -86.47		
-946.66   	 16.17   	 11.66   	 -55.95		
-946.35   	 20.45   	 11.43   	 -20.35		
-956.42   	 12.51   	 11.35   	  10.17		
-962.22   	  8.85   	 11.39   	  10.17		
-957.64   	 10.68   	 11.43   	   5.09		
-958.56   	  5.49   	 11.45   	   0.00		
-957.64   	  8.54   	 11.45   	  10.17		
-959.17   	 11.60   	 11.50   	  35.61		
-964.66   	 10.07   	 11.64   	  71.21		
-970.15   	  7.32   	 11.92   	 116.99		
-969.85   	  9.77   	 12.39   	 162.77		
-975.34   	  5.80   	 13.04   	 188.20		
-987.24   	 -3.97   	 13.79   	 203.46		
-988.16   	  0.31   	 14.61   	 193.29		
-999.76   	-13.43   	 15.38   	 162.77		
-1000.98   	-14.34   	 16.03   	 111.90		
-1000.37   	-11.29   	 16.48   	  50.86		
-1006.16   	-18.01   	 16.68   	   5.09		
-1004.33   	 -8.54   	 16.70(V)	 -45.78		
-1010.13   	-10.38   	 16.52   	 -76.30		
-1013.79   	 -9.46   	 16.22   	-101.73		
-1018.07   	-11.29   	 15.81   	-122.07		
-1022.34   	-13.43   	 15.32   	-132.25		
-1024.17   	-16.48   	 14.79   	-147.51		
-1026.92   	-16.17   	 14.20   	-152.59		
-1025.39   	 -9.16   	 13.59   	-147.51		
-1031.19   	-11.90   	 13.00   	-147.51		
-1039.73   	 -7.02   	 12.41   	-122.07		
-1046.75   	-11.60   	 11.92   	-101.73		
-1052.25   	-15.87   	 11.52   	 -71.21		
-1056.82   	-13.43   	 11.23   	 -35.61		
-1055.30   	-15.56   	 11.09   	 -10.17		
-1049.80   	 -9.16   	 11.05   	   0.00		
