  I     	  II     	  LV     	  LV'		  AO     	  AO'		
 31.43   	252.08   	226.22   	 162.77		152.17   	 366.22		
 31.43   	214.54   	226.88   	 122.07		153.63   	 345.88		
 19.23   	169.37   	227.36   	  91.56		155.01   	 335.71		
  2.14   	134.58   	227.73   	  55.95		156.36   	 330.62		
  6.71   	101.01   	227.95   	  25.43		157.68   	 310.27		
-16.17   	 68.36   	228.06   	   0.00		158.92   	 305.19		
-37.84   	 46.08   	228.06   	 -25.43		160.14   	 289.93		
-43.03   	 24.72   	227.95   	 -50.86		161.30   	 274.67		
-40.89   	 10.07   	227.75   	 -86.47		162.40   	 259.41		
-47.61   	 -3.66   	227.41   	-116.99		163.44   	 244.15		
-48.83   	-20.75   	226.94   	-152.59		164.41   	 228.89		
-50.35   	-28.69   	226.33   	-188.20		165.33   	 208.54		
-66.83   	-42.11   	225.57   	-228.89		166.16   	 188.20		
-75.68   	-59.20   	224.66   	-264.50		166.92   	 167.85		
-64.09   	-59.20   	223.60   	-305.19		167.59   	 142.42		
-54.93   	-69.27   	222.38   	-340.79		168.16   	 122.07		
-54.32   	-69.89   	221.02   	-376.40		168.65   	 101.73		
-44.86   	-60.73   	219.51   	-417.09		169.05   	  76.30		
-47.91   	-63.48   	217.84   	-473.04		169.36   	  55.95		
-58.59   	-60.73   	215.95   	-518.82		169.58   	  25.43		
-72.94   	-59.81   	213.88   	-564.60		169.68   	   0.00		
-80.26   	-65.00   	211.62   	-615.46		169.68   	 -30.52		
-81.79   	-67.75   	209.15   	-651.07		169.56   	 -50.86		
-70.19   	-68.66   	206.55   	-696.84		169.36   	 -81.38		
-44.56   	-72.94   	203.76   	-737.54		169.03   	-111.90		
-26.25   	-78.13   	200.81   	-788.40		168.59   	-137.33		
-27.77   	-75.38   	197.66   	-844.35		168.04   	-167.85		
-43.64   	-74.16   	194.28   	-905.39		167.36   	-198.37		
-62.87   	-82.40   	190.66   	-971.51		166.57   	-233.98		
-69.27   	-77.21   	186.77   	-1042.72		165.64   	-274.67		
-72.63   	-89.42   	182.60   	-1098.67		164.54   	-315.36		
-66.53   	-98.57   	178.21   	-1164.80		163.28   	-350.97		
