  I     	  II     	  PW     	  PW'		
 -0.92   	-12.21   	  9.22   	 213.63		
 18.01   	 14.34   	 10.07   	 223.80		
 41.50   	 49.44   	 10.97   	 183.11		
 68.05   	 89.11   	 11.70   	 116.99		
 94.60   	130.31   	 12.17   	  35.61		
116.58   	168.46   	 12.31   	 -35.61		
125.43   	197.75   	 12.17   	 -76.30		
117.49   	212.71   	 11.86   	 -76.30		
101.32   	212.10   	 11.56   	 -55.95		
 99.49   	202.94   	 11.33   	  -5.09		
139.47   	200.20   	 11.31   	  40.69		
227.97   	219.42   	 11.48   	  76.30		
343.02   	267.33   	 11.78   	  96.64		
444.34   	337.83   	 12.17   	  96.64		
498.66   	411.38   	 12.55   	  86.47		
502.01   	467.53   	 12.90   	  61.04		
475.46   	493.47   	 13.14   	  45.78		
447.08   	490.42   	 13.33   	  35.61		
429.99   	471.50   	 13.47   	  35.61		
418.70   	451.05   	 13.61   	  45.78		
399.17   	432.43   	 13.79   	  55.95		
363.46   	410.16   	 14.02   	  76.30		
316.47   	376.28   	 14.32   	  81.38		
271.61   	328.98   	 14.65   	  86.47		
242.00   	276.18   	 14.99   	  81.38		
231.93   	226.14   	 15.32   	  71.21		
234.68   	180.05   	 15.61   	  66.12		
238.04   	130.62   	 15.87   	  55.95		
230.10   	 69.27   	 16.09   	  55.95		
207.52   	 -7.32   	 16.32   	  55.95		
175.78   	-91.55   	 16.54   	  61.04		
144.96   	-169.07   	 16.79   	  71.21		
124.51   	-226.44   	 17.07   	  81.38		
119.02   	-259.70   	 17.40   	 101.73		
125.43   	-274.96   	 17.80   	 127.16		
134.89   	-284.42   	 18.31   	 157.68		
136.41   	-293.27   	 18.94   	 178.03		
122.07   	-296.94   	 19.65   	 188.20		
 91.86   	-281.68   	 20.41   	 172.94		
 51.57   	-239.56   	 21.10   	 152.59		
 10.99   	-177.31   	 21.71   	 106.82		
-22.58   	-115.66   	 22.14   	  71.21		
-46.08   	-74.46   	 22.42   	  55.95		
-59.81   	-61.34   	 22.64   	  55.95		
-65.31   	-67.14   	 22.87   	  81.38		
-65.61   	-76.29   	 23.19   	 132.25		
-63.17   	-76.90   	 23.72   	 172.94		
-61.04   	-68.66   	 24.41   	 203.46		
-60.12   	-57.98   	 25.23   	 213.63		
-60.73   	-51.57   	 26.08   	 203.46		
-61.04   	-51.27   	 26.90   	 172.94		
-61.34   	-54.93   	 27.59   	 142.42		
-61.04   	-59.20   	 28.16   	 101.73		
-60.73   	-61.65   	 28.57   	  76.30		
-60.73   	-61.65   	 28.87   	  61.04		
-60.42   	-59.81   	 29.11   	  61.04		
-59.51   	-57.37   	 29.36   	  71.21		
-58.59   	-55.54   	 29.64   	  81.38		
-57.68   	-54.93   	 29.97   	  86.47		
-57.07   	-54.32   	 30.32   	  86.47		
-56.46   	-53.71   	 30.66   	  86.47		
-55.85   	-52.49   	 31.01   	  76.30		
-54.93   	-50.96   	 31.31   	  76.30		
-53.71   	-50.05   	 31.62   	  76.30		
-52.49   	-49.44   	 31.92   	  86.47		
-52.19   	-49.44   	 32.27   	 101.73		
-52.19   	-48.83   	 32.68   	 106.82		
-52.80   	-48.22   	 33.10   	 116.99		
-53.71   	-47.30   	 33.57   	 116.99		
-54.93   	-46.39   	 34.04   	 106.82		
-55.85   	-46.08   	 34.47   	  96.64		
-57.07   	-46.39   	 34.85   	  86.47		
-58.59   	-46.69   	 35.20   	  71.21		
-61.04   	-46.69   	 35.48   	  61.04		
-64.39   	-46.69   	 35.73   	  50.86		
-68.97   	-46.08   	 35.93   	  45.78		
-74.16   	-45.78   	 36.11   	  45.78		
-79.96   	-45.78   	 36.30   	  40.69		
-85.45   	-45.78   	 36.46   	  40.69		
-89.72   	-45.17   	 36.62   	  40.69		
-93.08   	-43.33   	 36.79   	  35.61		
-95.83   	-40.28   	 36.93   	  35.61		
-97.96   	-36.93   	 37.07   	  30.52		
-100.10   	-33.26   	 37.19   	  25.43		
-101.93   	-29.60   	 37.29   	  20.35		
-103.15   	-25.63   	 37.38   	  10.17		
-103.45   	-21.36   	 37.42   	   0.00		
-103.45   	-16.17   	 37.42   	  -5.09		
-102.23   	 -9.77   	 37.40   	  -5.09		
-99.49   	 -1.83   	 37.38   	  -5.09		
-95.21   	  7.02   	 37.35   	  -5.09		
-89.42   	 16.48   	 37.33   	  -5.09		
-82.70   	 26.25   	 37.31   	 -10.17		
-75.38   	 36.01   	 37.27   	 -15.26		
-67.75   	 46.39   	 37.21   	 -20.35		
-60.42   	 55.85   	 37.13   	 -30.52		
-53.71   	 64.70   	 37.01   	 -25.43		
-47.91   	 71.72   	 36.91   	 -25.43		
-42.72   	 77.82   	 36.81   	 -20.35		
-37.84   	 83.01   	 36.72   	 -25.43		
-33.26   	 87.59   	 36.62   	 -35.61		
-28.08   	 91.25   	 36.48   	 -61.04		
-22.89   	 93.08   	 36.24   	 -71.21		
-18.62   	 92.47   	 35.95   	 -55.95		
-15.87   	 88.81   	 35.73   	   0.00		
-14.34   	 83.31   	 35.73   	  66.12		
-13.73   	 75.99   	 35.99   	 142.42		
-13.43   	 68.05   	 36.56   	 188.20		
-13.43   	 59.51   	 37.31   	 178.03		
-13.43   	 50.96   	 38.03   	 111.90		
-13.73   	 42.11   	 38.47   	  10.17		
-14.95   	 33.87   	 38.51   	 -96.64		
-16.78   	 26.55   	 38.13   	-178.03		
-18.92   	 20.45   	 37.42   	-223.80		
-20.75   	 15.56   	 36.52   	-213.63		
-22.28   	 11.29   	 35.67   	-152.59		
-23.50   	  7.32   	 35.06   	 -66.12		
-25.02   	  3.97   	 34.79   	  25.43		
-26.55   	  0.92   	 34.89   	  91.56		
-28.38   	 -0.92   	 35.26   	 127.16		
-29.91   	 -2.14   	 35.77   	 122.07		
-31.43   	 -3.05   	 36.26   	  81.38		
-32.35   	 -3.36   	 36.58   	  30.52		
-32.35   	 -3.36   	 36.70   	 -25.43		
-32.35   	 -3.36   	 36.60   	 -66.12		
-32.04   	 -3.05   	 36.34   	 -81.38		
-32.35   	 -3.36   	 36.01   	 -76.30		
-33.26   	 -3.97   	 35.71   	 -40.69		
-34.79   	 -4.27   	 35.54   	 -15.26		
-36.01   	 -4.58   	 35.48   	  20.35		
-36.93   	 -4.58   	 35.56   	  30.52		
-37.23   	 -4.58   	 35.69   	  30.52		
-37.84   	 -4.58   	 35.81   	  20.35		
-38.45   	 -5.19   	 35.89   	   5.09		
-39.06   	 -5.49   	 35.91   	 -15.26		
-39.37   	 -6.10   	 35.85   	 -30.52		
-39.37   	 -6.10   	 35.73   	 -30.52		
-39.37   	 -6.41   	 35.61   	 -25.43		
-39.06   	 -6.41   	 35.50   	 -20.35		
-39.06   	 -6.10   	 35.42   	  -5.09		
-38.76   	 -5.80   	 35.40   	  10.17		
-37.84   	 -5.49   	 35.44   	  10.17		
-37.23   	 -5.19   	 35.48   	  20.35		
-36.62   	 -5.49   	 35.56   	  10.17		
-36.93   	 -6.10   	 35.61   	   5.09		
-37.23   	 -7.02   	 35.63   	   0.00		
-37.54   	 -7.93   	 35.63   	 -10.17		
-37.84   	 -8.85   	 35.58   	 -10.17		
-38.15   	 -9.77   	 35.54   	 -10.17		
-38.15   	-10.99   	 35.50   	  -5.09		
-38.15   	-12.21   	 35.48   	   0.00		
-37.84   	-13.12   	 35.48   	   0.00		
-37.54   	-13.43   	 35.48   	   5.09		
-37.23   	-13.43   	 35.50   	   0.00		
-36.93   	-13.12   	 35.50   	  -5.09		
-36.93   	-13.43   	 35.48   	 -15.26		
-36.93   	-14.34   	 35.42   	 -15.26		
-36.93   	-15.56   	 35.36   	 -20.35		
-36.62   	-15.87   	 35.28   	 -20.35		
-35.71   	-15.56   	 35.20   	 -20.35		
-34.79   	-14.95   	 35.12   	 -20.35		
-34.48   	-15.26   	 35.04   	 -15.26		
-34.48   	-16.78   	 34.97   	 -10.17		
-35.40   	-18.92   	 34.93   	 -10.17		
-36.01   	-20.45   	 34.89   	 -15.26		
-36.01   	-20.45   	 34.83   	 -10.17		
-34.79   	-18.62   	 34.79   	 -15.26		
-32.35   	-14.65   	 34.73   	 -15.26		
-28.99   	 -7.93   	 34.67   	 -15.26		
-25.02   	  1.83   	 34.61   	 -10.17		
-21.67   	 14.95   	 34.57   	 -10.17		
-19.84   	 29.91   	 34.53   	   0.00		
-20.45   	 46.39   	 34.53   	   5.09		
-22.89   	 63.48   	 34.55   	  10.17		
-25.94   	 80.26   	 34.59   	  15.26		
-27.16   	 97.05   	 34.65   	  10.17		
-25.94   	113.53   	 34.69   	  10.17		
-22.28   	128.78   	 34.73   	   5.09		
-17.09   	140.69   	 34.75   	  -5.09		
-12.21   	147.09   	 34.73   	  -5.09		
 -8.54   	146.48   	 34.71   	 -15.26		
 -6.41   	138.85   	 34.65   	 -15.26		
 -3.66   	126.95   	 34.59   	 -20.35		
  2.44   	112.00   	 34.51   	 -15.26		
 12.82   	 95.83   	 34.45   	 -15.26		
 26.86   	 78.13   	 34.38   	 -15.26		
 41.20   	 60.42   	 34.32   	 -10.17		
 51.57   	 45.17   	 34.28   	  -5.09		
 54.02   	 33.87   	 34.26   	   0.00		
 46.08   	 26.55   	 34.26   	   0.00		
 27.77   	 18.62   	 34.26   	   0.00		
  3.36   	  6.41   	 34.26   	  -5.09		
-19.53   	-11.29   	 34.24   	   0.00		
-34.48   	-31.13   	 34.24   	  -5.09		
-38.45   	-47.91   	 34.22   	   0.00		
-34.79   	-56.76   	 34.22   	  -5.09		
-28.99   	-57.68   	 34.20   	  -5.09		
-26.25   	-53.71   	 34.18   	  -5.09		
-27.16   	-50.35   	 34.16   	 -10.17		
-29.60   	-50.35   	 34.12   	 -15.26		
-31.43   	-52.80   	 34.06   	 -15.26		
-31.74   	-55.54   	 34.00   	 -20.35		
-30.82   	-57.07   	 33.92   	 -15.26		
-29.91   	-56.15   	 33.86   	 -10.17		
-29.91   	-54.32   	 33.81   	 -10.17		
-30.52   	-52.49   	 33.77   	 -15.26		
-31.13   	-51.57   	 33.71   	 -20.35		
-30.21   	-51.27   	 33.63   	 -30.52		
-25.94   	-49.44   	 33.51   	 -45.78		
-16.78   	-43.33   	 33.33   	 -45.78		
 -1.83   	-30.21   	 33.14   	 -45.78		
 17.40   	 -8.24   	 32.96   	 -30.52		
 39.67   	 22.28   	 32.84   	 -15.26		
 62.87   	 59.51   	 32.78   	   5.09		
 84.53   	 99.49   	 32.80   	  20.35		
100.71   	134.28   	 32.88   	  30.52		
105.29   	153.81   	 33.00   	  25.43		
 96.74   	151.98   	 33.10   	  25.43		
 85.75   	130.62   	 33.20   	  15.26		
 95.52   	102.84   	 33.27   	   5.09		
149.84   	 84.53   	 33.29   	   5.09		
252.99   	 86.67   	 33.31   	  15.26		
381.16   	111.39   	 33.37   	  25.43		
493.77   	151.06   	 33.47   	  30.52		
560.00   	191.35   	 33.59   	  40.69		
576.17   	219.42   	 33.75   	  40.69		
563.66   	225.83   	 33.92   	  40.69		
548.71   	210.57   	 34.08   	  30.52		
543.21   	183.41   	 34.20   	  25.43		
540.77   	155.94   	 34.30   	  20.35		
526.43   	133.97   	 34.38   	  20.35		
493.16   	113.22   	 34.47   	  25.43		
446.47   	 85.75   	 34.57   	  25.43		
401.92   	 46.69   	 34.67   	  25.43		
373.54   	  1.22   	 34.77   	  20.35		
366.82   	-40.28   	 34.85   	  10.17		
375.37   	-71.41   	 34.89   	  10.17		
387.57   	-92.77   	 34.93   	  -5.09		
392.76   	-109.25   	 34.91   	 -15.26		
386.35   	-126.04   	 34.85   	 -20.35		
370.18   	-141.91   	 34.77   	 -30.52		
346.07   	-151.37   	 34.65   	 -25.43		
316.77   	-149.23   	 34.55   	 -15.26		
283.20   	-135.50   	 34.49   	  -5.09		
245.36   	-117.80   	 34.47   	 -10.17		
203.86   	-107.73   	 34.43   	 -40.69		
159.00   	-112.00   	 34.26   	 -81.38		
112.00   	-128.48   	 33.94   	-116.99		
 64.09   	-144.96   	 33.47   	-127.16		
 18.01   	-147.71   	 32.96   	 -91.56		
-22.89   	-130.31   	 32.59   	 -10.17		
-56.76   	-100.10   	 32.55   	  91.56		
-83.01   	-70.80   	 32.92   	 178.03		
-100.71   	-53.10   	 33.63   	 223.80		
-109.25   	-47.91   	 34.53   	 223.80		
-110.17   	-48.52   	 35.42   	 162.77		
-106.81   	-48.22   	 36.07   	  66.12		
-103.76   	-45.47   	 36.34   	 -30.52		
-103.76   	-42.72   	 36.22   	-122.07		
-105.90   	-41.81   	 35.73   	-183.11		
-107.73   	-41.81   	 34.99   	-198.37		
-107.73   	-41.50   	 34.20   	-188.20		
-106.51   	-39.37   	 33.45   	-147.51		
-105.29   	-36.32   	 32.86   	 -91.56		
-104.98   	-34.18   	 32.49   	 -40.69		
-104.98   	-32.35   	 32.33   	 -10.17		
-104.37   	-31.13   	 32.29   	   5.09		
-103.15   	-30.52   	 32.31   	   5.09		
-101.32   	-30.52   	 32.33   	 -10.17		
-100.10   	-31.43   	 32.29   	 -30.52		
-98.88   	-32.35   	 32.17   	 -50.86		
-98.27   	-32.35   	 31.96   	 -61.04		
-97.35   	-30.82   	 31.72   	 -66.12		
-95.83   	-27.77   	 31.45   	 -66.12		
-93.69   	-25.02   	 31.19   	 -55.95		
-91.55   	-23.50   	 30.97   	 -40.69		
-89.72   	-22.89   	 30.80   	 -35.61		
-88.50   	-22.58   	 30.66   	 -30.52		
-87.89   	-21.67   	 30.54   	 -20.35		
-87.28   	-20.14   	 30.46   	 -10.17		
-86.67   	-18.01   	 30.42   	  -5.09		
-86.06   	-15.87   	 30.40   	   0.00		
-85.45   	-14.04   	 30.40   	   5.09		
-85.75   	-12.51   	 30.42   	  10.17		
-87.28   	-10.99   	 30.46   	  15.26		
-90.03   	 -9.16   	 30.52   	  20.35		
-93.38   	 -7.32   	 30.60   	  20.35		
-97.66   	 -5.80   	 30.68   	  20.35		
-101.32   	 -4.58   	 30.76   	  15.26		
-104.68   	 -3.36   	 30.82   	  15.26		
-107.12   	 -1.83   	 30.88   	   5.09		
-108.64   	  1.22   	 30.91   	  10.17		
-110.47   	  4.88   	 30.95   	   5.09		
-112.92   	  8.85   	 30.97   	   0.00		
-116.88   	 12.51   	 30.97   	   5.09		
-120.85   	 14.95   	 30.99   	   5.09		
-123.60   	 17.70   	 31.01   	  10.17		
-123.90   	 21.67   	 31.05   	  10.17		
-121.77   	 27.47   	 31.09   	  15.26		
-118.10   	 35.10   	 31.15   	  10.17		
-113.53   	 43.03   	 31.19   	   5.09		
-108.95   	 50.96   	 31.21   	   5.09		
-103.15   	 58.59   	 31.23   	   0.00		
-96.13   	 66.22   	 31.23   	  -5.09		
-88.81   	 73.85   	 31.21   	 -20.35		
-81.18   	 81.48   	 31.13   	 -30.52		
-74.16   	 88.81   	 31.01   	 -40.69		
-68.05   	 95.21   	 30.84   	 -45.78		
-61.65   	100.10   	 30.66   	 -61.04		
-55.24   	103.76   	 30.42   	 -66.12		
-49.13   	105.90   	 30.15   	 -71.21		
-43.95   	106.51   	 29.87   	 -45.78		
-39.67   	105.29   	 29.68   	  -5.09		
-36.32   	102.84   	 29.66   	  55.95		
-32.96   	 98.57   	 29.89   	 127.16		
-30.21   	 92.16   	 30.40   	 183.11		
-28.08   	 83.62   	 31.13   	 223.80		
-27.16   	 73.24   	 32.02   	 208.54		
-27.47   	 61.95   	 32.86   	 152.59		
-28.08   	 50.96   	 33.47   	  61.04		
-28.99   	 41.20   	 33.71   	 -40.69		
-30.21   	 32.65   	 33.55   	-127.16		
-32.35   	 24.72   	 33.04   	-178.03		
-34.48   	 17.40   	 32.33   	-178.03		
-36.01   	 10.99   	 31.62   	-142.42		
-36.62   	  5.49   	 31.05   	 -71.21		
-36.62   	  1.83   	 30.76   	   5.09		
-36.62   	 -0.92   	 30.78   	  66.12		
-37.23   	 -3.66   	 31.05   	 111.90		
-38.45   	 -6.41   	 31.50   	 122.07		
-39.98   	 -8.85   	 31.98   	 106.82		
-40.89   	-10.68   	 32.41   	  76.30		
-41.50   	-11.29   	 32.72   	  30.52		
-41.50   	-10.99   	 32.84   	 -10.17		
-41.50   	-10.07   	 32.80   	 -40.69		
-42.11   	 -9.16   	 32.63   	 -55.95		
-42.72   	 -8.54   	 32.41   	 -45.78		
-43.33   	 -8.54   	 32.23   	 -30.52		
-43.64   	 -8.54   	 32.11   	  -5.09		
-43.95   	 -8.54   	 32.09   	  15.26		
-43.64   	 -7.63   	 32.15   	  25.43		
-43.33   	 -7.02   	 32.25   	  25.43		
-43.64   	 -6.41   	 32.35   	   5.09		
-44.25   	 -6.41   	 32.37   	 -15.26		
-44.25   	 -6.71   	 32.31   	 -35.61		
-44.25   	 -6.10   	 32.17   	 -50.86		
-43.64   	 -5.19   	 31.96   	 -50.86		
-43.33   	 -3.36   	 31.76   	 -45.78		
-43.33   	 -2.14   	 31.58   	 -25.43		
-43.95   	 -1.22   	 31.47   	  -5.09		
-43.95   	 -0.61   	 31.45   	  10.17		
-42.72   	  0.00   	 31.50   	  25.43		
-40.89   	  0.61   	 31.60   	  30.52		
-39.37   	  1.22   	 31.72   	  25.43		
-39.06   	  1.83   	 31.82   	  15.26		
-40.28   	  1.53   	 31.88   	   5.09		
-41.50   	  0.31   	 31.90   	 -10.17		
-42.11   	 -1.83   	 31.86   	 -15.26		
-41.81   	 -3.97   	 31.80   	 -15.26		
-40.59   	 -5.19   	 31.74   	 -20.35		
-39.98   	 -4.88   	 31.66   	 -10.17		
-39.98   	 -3.05   	 31.62   	  -5.09		
-40.28   	 -0.92   	 31.60   	  -5.09		
-40.59   	  0.00   	 31.58   	   0.00		
-40.28   	 -0.92   	 31.58   	  -5.09		
-39.67   	 -2.75   	 31.56   	 -10.17		
-38.76   	 -4.58   	 31.52   	 -10.17		
-37.84   	 -5.49   	 31.47   	 -20.35		
-36.93   	 -4.27   	 31.39   	 -20.35		
-36.01   	 -2.44   	 31.31   	 -15.26		
-35.40   	 -0.92   	 31.25   	  -5.09		
-34.79   	  0.00   	 31.23   	   0.00		
-34.48   	  0.31   	 31.23   	  10.17		
-33.87   	  0.92   	 31.27   	  10.17		
-33.26   	  1.83   	 31.31   	  10.17		
-32.96   	  2.44   	 31.35   	   5.09		
-33.57   	  1.53   	 31.37   	   0.00		
-34.18   	 -0.61   	 31.37   	 -10.17		
-34.48   	 -3.36   	 31.33   	 -20.35		
-33.87   	 -5.49   	 31.25   	 -15.26		
-32.96   	 -5.80   	 31.19   	 -20.35		
-32.35   	 -4.58   	 31.11   	 -10.17		
-32.35   	 -2.44   	 31.07   	  -5.09		
-32.96   	  0.00   	 31.05   	   0.00		
-33.57   	  1.53   	 31.05   	  10.17		
-32.65   	  2.75   	 31.09   	  15.26		
-30.52   	  4.58   	 31.15   	  10.17		
-27.16   	  8.85   	 31.19   	  15.26		
-23.19   	 16.48   	 31.25   	  10.17		
-20.14   	 28.08   	 31.29   	   0.00		
-18.62   	 42.42   	 31.29   	  -5.09		
-19.23   	 58.90   	 31.27   	 -15.26		
-21.06   	 76.29   	 31.21   	 -20.35		
-23.19   	 93.69   	 31.13   	 -25.43		
-23.80   	110.47   	 31.03   	 -25.43		
-21.67   	126.65   	 30.93   	 -25.43		
-17.70   	141.60   	 30.82   	 -30.52		
-12.21   	153.81   	 30.70   	 -20.35		
 -6.71   	161.74   	 30.62   	 -25.43		
 -3.05   	163.27   	 30.52   	 -20.35		
 -1.22   	157.47   	 30.44   	 -15.26		
  0.92   	146.48   	 30.38   	 -15.26		
  6.41   	132.14   	 30.32   	 -10.17		
 17.40   	116.27   	 30.27   	  -5.09		
 32.35   	 99.49   	 30.25   	  -5.09		
 47.61   	 82.70   	 30.23   	   0.00		
 57.98   	 67.14   	 30.23   	   0.00		
 59.81   	 54.32   	 30.23   	   5.09		
 51.57   	 44.86   	 30.25   	   0.00		
 33.57   	 36.32   	 30.25   	   5.09		
 10.07   	 25.02   	 30.27   	  -5.09		
-12.51   	  9.77   	 30.25   	  -5.09		
-27.47   	 -8.24   	 30.23   	 -15.26		
-32.35   	-24.11   	 30.17   	 -20.35		
-29.91   	-33.26   	 30.09   	 -25.43		
-25.33   	-34.48   	 29.99   	 -30.52		
-23.19   	-31.13   	 29.87   	 -30.52		
-25.02   	-27.16   	 29.75   	 -25.43		
-27.77   	-25.94   	 29.64   	 -25.43		
-29.30   	-27.47   	 29.54   	 -15.26		
-28.99   	-29.91   	 29.48   	  -5.09		
-27.47   	-32.35   	 29.46   	   5.09		
-26.55   	-33.87   	 29.48   	  15.26		
-26.86   	-35.10   	 29.54   	  15.26		
-28.08   	-36.62   	 29.60   	  10.17		
-28.99   	-38.15   	 29.64   	   0.00		
-28.38   	-37.84   	 29.64   	 -15.26		
-24.72   	-34.79   	 29.58   	 -30.52		
-15.87   	-27.16   	 29.46   	 -40.69		
 -1.53   	-13.12   	 29.30   	 -40.69		
 17.70   	  8.24   	 29.14   	 -40.69		
 39.67   	 37.23   	 28.97   	 -30.52		
 63.17   	 72.94   	 28.85   	 -10.17		
 84.84   	112.00   	 28.81   	   0.00		
101.01   	145.87   	 28.81   	  20.35		
104.98   	165.10   	 28.89   	  30.52		
 95.83   	163.27   	 29.01   	  35.61		
 83.92   	141.60   	 29.16   	  35.61		
 93.08   	112.30   	 29.30   	  40.69		
147.09   	 91.55   	 29.46   	  50.86		
250.24   	 90.94   	 29.66   	  55.95		
379.03   	114.44   	 29.89   	  61.04		
492.86   	156.25   	 30.13   	  66.12		
560.00   	201.72   	 30.40   	  55.95		
576.78   	234.68   	 30.62   	  40.69		
563.66   	243.53   	 30.78   	  30.52		
547.49   	227.36   	 30.91   	  10.17		
540.77   	197.14   	 30.95   	   5.09		
537.41   	167.54   	 30.97   	   5.09		
522.16   	145.26   	 30.99   	   5.09		
487.98   	125.73   	 31.01   	  20.35		
440.67   	 98.88   	 31.09   	  30.52		
396.12   	 59.20   	 31.21   	  35.61		
368.65   	 10.68   	 31.35   	  35.61		
362.55   	-36.62   	 31.50   	  30.52		
370.48   	-74.77   	 31.62   	  20.35		
380.25   	-102.54   	 31.70   	  15.26		
381.47   	-122.07   	 31.76   	   0.00		
371.40   	-136.72   	 31.76   	 -10.17		
352.78   	-145.57   	 31.72   	 -15.26		
328.67   	-146.48   	 31.66   	 -15.26		
300.60   	-136.72   	 31.60   	  -5.09		
268.86   	-119.32   	 31.58   	  10.17		
233.76   	-101.01   	 31.62   	  15.26		
195.01   	-91.25   	 31.68   	  -5.09		
152.28   	-96.13   	 31.66   	 -35.61		
104.98   	-111.08   	 31.52   	 -66.12		
 55.54   	-123.90   	 31.25   	 -81.38		
  8.24   	-120.85   	 30.93   	 -55.95		
-31.74   	-97.35   	 30.70   	  10.17		
-62.26   	-62.26   	 30.74   	 101.73		
-85.14   	-31.13   	 31.15   	 188.20		
-101.32   	-15.87   	 31.90   	 254.32		
-111.69   	-16.78   	 32.92   	 269.58		
-115.66   	-24.41   	 34.00   	 239.06		
-114.75   	-28.99   	 34.95   	 162.77		
-112.61   	-26.55   	 35.61   	  61.04		
-111.69   	-19.84   	 35.85   	 -45.78		
-112.61   	-13.73   	 35.67   	-127.16		
-114.14   	-10.68   	 35.16   	-172.94		
-114.44   	-10.38   	 34.47   	-178.03		
-113.53   	-10.68   	 33.75   	-157.68		
-112.00   	 -9.77   	 33.12   	-106.82		
-111.39   	 -7.93   	 32.70   	 -61.04		
-112.00   	 -6.10   	 32.45   	 -10.17		
-112.92   	 -5.19   	 32.41   	  25.43		
-113.53   	 -5.19   	 32.51   	  45.78		
-113.53   	 -5.49   	 32.70   	  45.78		
-112.92   	 -5.19   	 32.88   	  40.69		
-111.69   	 -3.66   	 33.04   	  20.35		
-110.47   	 -1.83   	 33.12   	 -10.17		
-109.25   	 -0.61   	 33.08   	 -30.52		
-108.34   	  0.00   	 32.96   	 -50.86		
-107.42   	  0.31   	 32.76   	 -61.04		
-106.20   	  1.22   	 32.51   	 -61.04		
-105.29   	  2.44   	 32.27   	 -55.95		
-104.68   	  4.27   	 32.04   	 -40.69		
-104.37   	  6.41   	 31.88   	 -25.43		
-104.37   	  8.54   	 31.78   	 -20.35		
-104.06   	 10.99   	 31.70   	 -10.17		
