  I     	  II     	  AO     	  AO'		  AO     	  AO'		
 25.63   	-83.92   	103.93   	 -86.47		108.79   	-116.99		
 20.45   	-85.75   	103.58   	 -66.12		108.32   	-111.90		
 13.12   	-87.28   	103.32   	 -50.86		107.87   	-101.73		
 11.90   	-91.86   	103.11   	 -40.69		107.47   	-101.73		
 13.12   	-79.04   	102.95   	 -45.78		107.06   	 -96.64		
 13.73   	-71.11   	102.77   	 -50.86		106.67   	 -91.56		
 15.56   	-69.27   	102.56   	 -71.21		106.31   	 -86.47		
 20.75   	-43.64   	102.28   	 -86.47		105.96   	 -91.56		
 22.58   	  4.27   	101.93   	-106.82		105.59   	 -86.47		
 17.70   	 63.78   	101.51   	-127.16		105.25   	 -86.47		
 25.94   	129.39   	101.00   	-132.25		104.90   	 -91.56		
 25.63   	176.39   	100.47   	-142.42		104.54   	 -86.47		
 17.40   	194.09   	 99.90   	-142.42		104.19   	 -86.47		
 16.17   	201.42   	 99.33   	-137.33		103.84   	 -91.56		
 18.62   	198.67   	 98.78   	-132.25		103.48   	 -86.47		
 19.84   	202.94   	 98.25   	-116.99		103.13   	 -91.56		
 30.21   	220.64   	 97.78   	-106.82		102.77   	 -91.56		
 43.33   	225.83   	 97.35   	-101.73		102.40   	 -96.64		
 51.27   	240.78   	 96.95   	 -91.56		102.01   	 -91.56		
 57.37   	250.24   	 96.58   	 -96.64		101.65   	 -96.64		
 66.22   	260.93   	 96.19   	-101.73		101.26   	 -96.64		
 74.46   	277.40   	 95.79   	-101.73		100.87   	 -96.64		
 74.46   	292.05   	 95.38   	-106.82		100.49   	-101.73		
 74.77   	308.53   	 94.95   	-116.99		100.08   	-101.73		
 75.99   	309.75   	 94.49   	-122.07		 99.67   	-101.73		
 68.05   	297.55   	 94.00   	-116.99		 99.27   	-101.73		
 58.29   	275.57   	 93.53   	-122.07		 98.86   	-106.82		
 44.86   	241.70   	 93.04   	-111.90		 98.43   	-106.82		
 35.71   	213.93   	 92.59   	-106.82		 98.01   	-101.73		
 28.69   	202.64   	 92.17   	-101.73		 97.60   	-106.82		
 20.14   	193.48   	 91.76   	 -91.56		 97.17   	-106.82		
 19.23   	199.58   	 91.39   	 -86.47		 96.74   	-106.82		
 14.95   	211.49   	 91.05   	 -86.47		 96.32   	-101.73		
  6.71   	200.50   	 90.70   	 -81.38		 95.91   	-101.73		
  6.41   	184.63   	 90.38   	 -86.47		 95.50   	-106.82		
 10.07   	164.49   	 90.03   	 -91.56		 95.08   	-101.73		
  5.19   	131.84   	 89.66   	 -91.56		 94.67   	 -96.64		
  4.88   	 97.96   	 89.30   	 -96.64		 94.28   	-101.73		
 11.90   	 87.28   	 88.91   	 -91.56		 93.88   	 -96.64		
 11.60   	 78.43   	 88.54   	 -96.64		 93.49   	-101.73		
 20.14   	 75.38   	 88.16   	 -86.47		 93.08   	 -91.56		
 21.97   	100.10   	 87.81   	 -86.47		 92.72   	 -96.64		
 17.40   	111.08   	 87.47   	 -76.30		 92.33   	 -96.64		
 16.17   	118.71   	 87.16   	 -71.21		 91.94   	 -91.56		
 16.17   	127.87   	 86.88   	 -66.12		 91.58   	 -86.47		
 22.58   	128.48   	 86.61   	 -61.04		 91.23   	 -91.56		
 30.21   	127.56   	 86.37   	 -55.95		 90.86   	 -86.47		
 32.35   	114.75   	 86.14   	 -55.95		 90.52   	 -86.47		
 31.43   	101.62   	 85.92   	 -50.86		 90.17   	 -81.38		
 32.04   	 82.40   	 85.72   	 -55.95		 89.85   	 -81.38		
 35.71   	 66.83   	 85.49   	 -55.95		 89.52   	 -76.30		
 31.74   	 58.29   	 85.27   	 -61.04		 89.22   	 -81.38		
 28.08   	 40.89   	 85.03   	 -61.04		 88.89   	 -76.30		
 14.95   	 19.23   	 84.78   	 -61.04		 88.59   	 -71.21		
  0.31   	 -9.77   	 84.54   	 -66.12		 88.30   	 -71.21		
 -4.27   	-37.54   	 84.27   	 -66.12		 88.02   	 -71.21		
  2.14   	-55.54   	 84.01   	 -61.04		 87.73   	 -71.21		
