  I     	  II     	  AO     	  AO'		  AO     	  AO'		
 19.84   	 98.57   	123.44   	-447.61		133.69   	 -86.47		
 19.53   	100.71   	121.65   	-467.95		133.35   	-106.82		
 21.36   	100.71   	119.78   	-467.95		132.92   	-137.33		
 22.28   	104.68   	117.90   	-447.61		132.37   	-167.85		
 23.50   	104.06   	116.11   	-396.74		131.70   	-193.29		
 27.47   	106.51   	114.53   	-330.62		130.93   	-218.72		
 24.41   	106.81   	113.20   	-249.24		130.05   	-239.06		
 22.89   	106.51   	112.21   	-152.59		129.09   	-259.41		
 27.47   	108.95   	111.60   	 -66.12		128.06   	-269.58		
 24.72   	104.98   	111.33   	   0.00		126.98   	-279.75		
 27.47   	106.20   	111.33   	  50.86		125.86   	-284.84		
 26.55   	105.59   	111.54   	  66.12		124.72   	-279.75		
 26.25   	101.01   	111.80   	  55.95		123.60   	-274.67		
 24.72   	102.54   	112.02   	  25.43		122.50   	-269.58		
 25.02   	102.54   	112.13   	 -20.35		121.42   	-254.32		
 26.86   	104.98   	112.04   	 -76.30		120.41   	-244.15		
 26.25   	105.59   	111.74   	-116.99		119.43   	-233.98		
 31.43   	108.03   	111.27   	-157.68		118.49   	-218.72		
 29.91   	105.90   	110.64   	-183.11		117.62   	-198.37		
 33.57   	101.93   	109.91   	-178.03		116.83   	-193.29		
 35.40   	104.06   	109.20   	-172.94		116.05   	-178.03		
 29.60   	103.45   	108.50   	-142.42		115.34   	-162.77		
 32.96   	103.45   	107.93   	-111.90		114.69   	-152.59		
 28.99   	102.54   	107.49   	 -81.38		114.08   	-147.51		
 29.30   	101.01   	107.16   	 -50.86		113.49   	-132.25		
 29.30   	 98.88   	106.96   	 -30.52		112.96   	-132.25		
 28.69   	 94.60   	106.84   	 -25.43		112.43   	-122.07		
 31.74   	 88.20   	106.73   	 -35.61		111.94   	-116.99		
 28.08   	 86.36   	106.59   	 -45.78		111.47   	-111.90		
 32.04   	 83.62   	106.41   	 -76.30		111.03   	-111.90		
 32.96   	 83.62   	106.10   	 -96.64		110.58   	-106.82		
 32.96   	 88.81   	105.72   	-127.16		110.15   	-106.82		
 31.13   	 86.06   	105.21   	-147.51		109.72   	-106.82		
 28.99   	 85.45   	104.62   	-162.77		109.30   	-101.73		
 28.38   	 82.70   	103.97   	-167.85		108.89   	-106.82		
 25.33   	 79.96   	103.30   	-162.77		108.46   	-101.73		
 25.94   	 80.87   	102.64   	-157.68		108.06   	-106.82		
 29.60   	 79.96   	102.01   	-147.51		107.63   	-106.82		
 25.33   	 80.87   	101.42   	-132.25		107.20   	-106.82		
 29.91   	 85.14   	100.89   	-116.99		106.77   	-111.90		
 33.57   	 90.33   	100.43   	-111.90		106.33   	-106.82		
 32.96   	 90.94   	 99.98   	-101.73		105.90   	-111.90		
 35.71   	 95.83   	 99.57   	-101.73		105.45   	-106.82		
 36.93   	101.93   	 99.17   	-101.73		105.03   	-111.90		
 42.11   	109.25   	 98.76   	-106.82		104.58   	-116.99		
 44.56   	133.06   	 98.33   	-111.90		104.11   	-111.90		
 53.41   	160.22   	 97.88   	-122.07		103.66   	-116.99		
 65.61   	185.55   	 97.40   	-127.16		103.19   	-111.90		
 72.02   	210.57   	 96.89   	-127.16		102.75   	-116.99		
 79.04   	222.78   	 96.38   	-122.07		102.28   	-116.99		
 83.92   	226.75   	 95.89   	-116.99		101.81   	-116.99		
 87.28   	235.60   	 95.42   	-111.90		101.34   	-116.99		
 85.14   	243.23   	 94.97   	-101.73		100.87   	-116.99		
 91.25   	250.24   	 94.57   	 -96.64		100.41   	-116.99		
 93.99   	253.91   	 94.18   	 -86.47		 99.94   	-116.99		
 88.50   	240.78   	 93.83   	 -91.56		 99.47   	-111.90		
 82.40   	203.55   	 93.47   	 -86.47		 99.02   	-111.90		
 64.09   	158.39   	 93.12   	 -91.56		 98.58   	-111.90		
 50.35   	125.12   	 92.76   	 -96.64		 98.13   	-111.90		
 37.54   	 98.27   	 92.37   	-101.73		 97.68   	-111.90		
 28.69   	 91.55   	 91.96   	-101.73		 97.23   	-111.90		
 35.40   	 99.18   	 91.56   	-106.82		 96.78   	-106.82		
 25.94   	 87.28   	 91.13   	-101.73		 96.36   	-106.82		
 21.67   	 64.70   	 90.72   	-101.73		 95.93   	-106.82		
 22.89   	 42.11   	 90.32   	 -96.64		 95.50   	-106.82		
 18.31   	 15.56   	 89.93   	 -86.47		 95.08   	-101.73		
 20.75   	  5.49   	 89.58   	 -81.38		 94.67   	-106.82		
 21.97   	  1.22   	 89.26   	 -76.30		 94.24   	-101.73		
 23.50   	  0.61   	 88.95   	 -71.21		 93.83   	 -96.64		
 27.47   	  6.10   	 88.67   	 -71.21		 93.45   	-101.73		
 31.43   	  3.66   	 88.38   	 -66.12		 93.04   	 -91.56		
 36.32   	  7.63   	 88.12   	 -66.12		 92.68   	 -96.64		
 40.28   	 12.82   	 87.85   	 -71.21		 92.29   	 -91.56		
 37.84   	 14.34   	 87.57   	 -71.21		 91.92   	 -91.56		
 38.45   	 17.09   	 87.28   	 -71.21		 91.56   	 -86.47		
 40.28   	 23.80   	 87.00   	 -76.30		 91.21   	 -91.56		
 38.15   	 26.55   	 86.69   	 -76.30		 90.84   	 -81.38		
 42.42   	 24.41   	 86.39   	 -76.30		 90.52   	 -86.47		
 44.25   	 25.94   	 86.08   	 -71.21		 90.17   	 -81.38		
 48.83   	 23.19   	 85.80   	 -76.30		 89.85   	 -76.30		
 50.96   	 23.19   	 85.49   	 -71.21		 89.54   	 -81.38		
 44.86   	 25.33   	 85.21   	 -71.21		 89.22   	 -76.30		
 41.81   	 27.77   	 84.92   	 -66.12		 88.91   	 -76.30		
 29.91   	 27.16   	 84.66   	 -66.12		 88.61   	 -76.30		
 18.62   	 23.50   	 84.39   	 -66.12		 88.30   	 -71.21		
 17.40   	 22.58   	 84.13   	 -71.21		 88.02   	 -76.30		
 15.26   	 20.75   	 83.85   	 -66.12		 87.71   	 -76.30		
 13.73   	 25.33   	 83.58   	 -66.12		 87.41   	 -71.21		
 15.56   	 35.40   	 83.32   	 -66.12		 87.12   	 -71.21		
 16.78   	 42.11   	 83.05   	 -66.12		 86.84   	 -71.21		
  9.46   	 52.19   	 82.79   	 -61.04		 86.55   	 -71.21		
  8.54   	 54.32   	 82.54   	 -61.04		 86.27   	 -71.21		
 10.68   	 49.74   	 82.30   	 -61.04		 85.98   	 -71.21		
 10.38   	 52.49   	 82.05   	 -50.86		 85.70   	 -71.21		
  9.46   	 50.05   	 81.85   	 -50.86		 85.41   	 -66.12		
 15.87   	 50.05   	 81.65   	 -45.78		 85.15   	 -71.21		
 15.56   	 50.05   	 81.46   	 -45.78		 84.86   	 -66.12		
 14.65   	 54.32   	 81.28   	 -40.69		 84.60   	 -66.12		
 15.56   	 61.04   	 81.12   	 -45.78		 84.33   	 -61.04		
 18.01   	 71.41   	 80.94   	 -45.78		 84.09   	 -66.12		
 13.43   	113.22   	 80.75   	 -55.95		 83.82   	 -66.12		
 18.31   	178.83   	 80.53   	 -55.95		 83.56   	 -61.04		
 35.40   	268.86   	 80.30   	 -61.04		 83.32   	 -61.04		
 32.04   	424.50   	 80.06   	 -61.04		 83.07   	 -61.04		
 71.41   	591.74   	 79.82   	 -66.12		 82.83   	 -61.04		
114.14   	784.61   	 79.55   	 -66.12		 82.58   	 -61.04		
151.98   	1025.39   	 79.29   	 -66.12		 82.34   	 -61.04		
233.76   	1209.41   	 79.02   	 -61.04		 82.10   	 -55.95		
307.31   	1322.94(R)	 78.78   	 -61.04		 81.87   	 -61.04		
370.48   	1297.00   	 78.53   	 -55.95		 81.63   	 -55.95		
351.56   	1042.48   	 78.31   	 -55.95		 81.40   	 -61.04		
258.18   	641.17   	 78.09   	 -50.86		 81.16   	 -55.95		
153.50   	289.00   	 77.88   	 -45.78		 80.94   	 -55.95		
 72.33   	 -0.92   	 77.70   	 -50.86		 80.71   	 -61.04		
 68.05   	-154.42   	 77.50   	 -45.78		 80.47   	 -55.95		
142.21   	-84.84   	 77.31   	 -45.78		 80.24   	 -55.95		
186.46   	-94.91   	 77.13   	 -45.78		 80.02   	 -55.95		
164.79   	-103.45   	 76.95   	 -50.86		 79.80   	 -50.86		
107.12   	-60.12   	 76.74   	 -45.78		 79.59   	 -55.95		
 56.76   	-81.48   	 76.56   	 -50.86		 79.37   	 -55.95		
 14.34   	-46.39   	 76.36   	 -50.86		 79.15   	 -50.86		
 -7.63   	 -5.80   	 76.15   	 -45.78		 78.94   	 -55.95		
 -3.97   	 26.25   	 75.97   	 -45.78		 78.72   	 -50.86		
  0.92   	 19.84   	 75.79   	 -45.78		 78.51   	 -50.86		
 -3.97   	 13.43   	 75.60   	 -40.69		 78.31   	 -55.95		
 -2.75   	 15.26   	 75.44   	 -35.61		 78.09   	 -50.86		
  0.61   	 11.90   	 75.30   	 -35.61		 77.88   	 -50.86		
 -5.19   	 14.65   	 75.16   	 -25.43		 77.68   	 -45.78		
-10.99   	 18.62   	 75.06   	 -10.17		 77.50   	 -50.86		
 -5.80   	 20.14   	 75.01   	   0.00		 77.29   	 -50.86		
 -4.27   	 23.19   	 75.01   	  30.52		 77.09   	 -50.86		
 -7.32   	 20.45   	 75.14   	  61.04		 76.89   	 -45.78		
 -6.41   	 20.45   	 75.38   	  96.64		 76.70   	 -40.69		
 -6.71   	 21.67   	 75.77   	 142.42		 76.54   	 -40.69		
 -5.80   	 15.56   	 76.34   	 183.11		 76.38   	 -35.61		
 -2.14   	 18.62   	 77.07   	 223.80		 76.24   	 -25.43		
 -7.32   	 17.09   	 77.97   	 259.41		 76.13   	 -15.26		
 -8.54   	 17.09   	 79.00   	 289.93		 76.07   	 -10.17		
 -4.88   	 18.01   	 80.16   	 315.36		 76.03   	   5.09		
 -8.54   	 14.34   	 81.42   	 330.62		 76.05   	  20.35		
 -7.63   	 18.92   	 82.75   	 335.71		 76.13   	  35.61		
 -6.41   	 21.97   	 84.09   	 340.79		 76.28   	  55.95		
 -5.49   	 21.97   	 85.45   	 335.71		 76.50   	  76.30		
 -7.02   	 20.14   	 86.80   	 325.53		 76.81   	  91.56		
-10.99   	 16.78   	 88.10   	 320.45		 77.17   	 122.07		
-11.60   	 13.43   	 89.38   	 300.10		 77.66   	 137.33		
-16.48   	 12.82   	 90.58   	 300.10		 78.21   	 162.77		
-15.87   	 12.82   	 91.78   	 289.93		 78.86   	 178.03		
-12.82   	 10.38   	 92.94   	 289.93		 79.57   	 203.46		
-13.73   	 10.99   	 94.10   	 300.10		 80.39   	 223.80		
-13.43   	 10.38   	 95.30   	 305.19		 81.28   	 239.06		
-11.60   	 11.29   	 96.52   	 310.27		 82.24   	 254.32		
-15.26   	  9.77   	 97.76   	 625.63		 83.26   	 549.34		
-14.65   	 10.99   	100.26   	 310.27		 85.45   	 295.01		
-15.26   	  7.93   	101.51   	 300.10		 86.63   	 305.19		
-19.84   	  9.16   	102.71   	 295.01		 87.85   	 310.27		
-24.11   	  7.02   	103.89   	 289.93		 89.09   	 320.45		
-24.72   	  2.75   	105.05   	 279.75		 90.38   	 325.53		
-25.94   	 -0.92   	106.16   	 274.67		 91.68   	 335.71		
-23.19   	 -6.10   	107.26   	 264.50		 93.02   	 335.71		
-21.97   	-10.38   	108.32   	 254.32		 94.36   	 340.79		
-24.11   	-14.65   	109.34   	 244.15		 95.73   	 340.79		
-27.47   	-19.23   	110.31   	 239.06		 97.09   	 345.88		
-33.87   	-22.58   	111.27   	 244.15		 98.47   	 345.88		
-33.87   	-24.41   	112.25   	 244.15		 99.86   	 345.88		
-39.67   	-30.21   	113.22   	 244.15		101.24   	 340.79		
-40.89   	-34.18   	114.20   	 249.24		102.60   	 345.88		
-42.42   	-39.37   	115.20   	 254.32		103.99   	 335.71		
-51.57   	-48.83   	116.22   	 249.24		105.33   	 335.71		
-54.93   	-52.19   	117.21   	 254.32		106.67   	 330.62		
-61.04   	-53.41   	118.23   	 254.32		108.00   	 325.53		
-64.70   	-55.85   	119.25   	 254.32		109.30   	 320.45		
