  I     	  II     	  AO     	  AO'		  CH2     	  CH2'		
 49.44   	-61.34   	 86.73   	 -10.17		 -6.29   	 -10.17		
 49.44   	-59.51   	 86.69   	   0.00		 -6.33   	 -10.17		
 43.64   	-51.88   	 86.69   	  10.17		 -6.37   	 -15.26		
 47.30   	-49.44   	 86.73   	   0.00		 -6.43   	 -10.17		
 52.49   	-47.61   	 86.73   	 -15.26		 -6.47   	 -10.17		
 52.80   	-47.61   	 86.67   	 -30.52		 -6.51   	  -5.09		
 57.98   	-52.49   	 86.55   	 -50.86		 -6.53   	  -5.09		
 61.65   	-56.46   	 86.35   	 -71.21		 -6.55   	  -5.09		
 58.59   	-56.46   	 86.06   	 -96.64		 -6.57   	   0.00		
 61.04   	-54.32   	 85.68   	-106.82		 -6.57   	   0.00		
 58.29   	-47.00   	 85.25   	-116.99		 -6.57   	   5.09		
 49.74   	-40.89   	 84.78   	-116.99		 -6.55   	   5.09		
 39.37   	-41.50   	 84.31   	-111.90		 -6.53   	  10.17		
 28.38   	-45.78   	 83.87   	-106.82		 -6.49   	  15.26		
 23.19   	-47.00   	 83.44   	 -96.64		 -6.43   	  15.26		
 22.58   	-44.25   	 83.05   	 -81.38		 -6.37   	  20.35		
 23.80   	-35.40   	 82.73   	 -66.12		 -6.29   	  15.26		
 24.41   	-25.02   	 82.46   	 -55.95		 -6.23   	  20.35		
 25.33   	-21.06   	 82.24   	 -50.86		 -6.14   	  20.35		
 20.14   	-21.06   	 82.03   	 -40.69		 -6.06   	  20.35		
 18.01   	-21.97   	 81.87   	 -40.69		 -5.98   	  20.35		
 19.84   	-23.80   	 81.71   	 -45.78		 -5.90   	  20.35		
 19.53   	-17.70   	 81.53   	 -45.78		 -5.82   	  15.26		
 20.14   	-12.82   	 81.34   	 -50.86		 -5.76   	  15.26		
 22.28   	-15.87   	 81.14   	 -61.04		 -5.70   	  15.26		
 23.19   	-17.70   	 80.89   	 -66.12		 -5.64   	  10.17		
 21.36   	-17.70   	 80.63   	 -76.30		 -5.60   	  10.17		
 26.86   	-14.95   	 80.33   	 -86.47		 -5.55   	  10.17		
 27.47   	  6.71   	 79.98   	 -91.56		 -5.51   	   5.09		
 27.16   	 62.56   	 79.61   	 -91.56		 -5.49   	   5.09		
 40.89   	132.75   	 79.25   	 -86.47		 -5.47   	   0.00		
 50.66   	249.94   	 78.90   	 -66.12		 -5.47   	   5.09		
 62.87   	415.04   	 78.64   	 -50.86		 -5.45   	   0.00		
105.29   	580.14   	 78.43   	 -25.43		 -5.45   	   5.09		
146.79   	797.73   	 78.33   	   5.09		 -5.43   	   0.00		
195.01   	1028.75   	 78.35   	  20.35		 -5.43   	   0.00		
271.91   	1181.03   	 78.43   	  25.43		 -5.43   	   0.00		
349.73   	1266.78(R)	 78.53   	  30.52		 -5.43   	   0.00		
386.35   	1155.09   	 78.66   	  15.26		 -5.43   	   0.00		
328.98   	821.84   	 78.72   	 -10.17		 -5.43   	  -5.09		
232.54   	410.46   	 78.68   	 -35.61		 -5.45   	   0.00		
127.87   	102.23   	 78.53   	 -61.04		 -5.45   	 -10.17		
 76.29   	-179.44   	 78.29   	 -91.56		 -5.49   	  -5.09		
114.14   	-231.63   	 77.92   	-106.82		 -5.51   	 -10.17		
192.26   	-156.56   	 77.50   	-116.99		 -5.55   	 -15.26		
209.35   	-211.79   	 77.03   	-116.99		 -5.62   	 -15.26		
159.30   	-166.02   	 76.56   	-111.90		 -5.68   	 -15.26		
 99.49   	-137.63   	 76.11   	 -96.64		 -5.74   	 -20.35		
 46.69   	-144.65   	 75.73   	 -76.30		 -5.82   	 -25.43		
  8.54   	-94.91   	 75.42   	 -66.12		 -5.92   	 -20.35		
 -4.58   	-66.83   	 75.16   	 -45.78		 -6.00   	 -25.43		
  4.88   	-47.91   	 74.97   	 -45.78		 -6.10   	 -30.52		
  5.49   	-59.51   	 74.79   	 -35.61		 -6.23   	 -25.43		
  1.22   	-54.02   	 74.65   	 -35.61		 -6.33   	 -25.43		
  5.19   	-54.63   	 74.51   	 -40.69		 -6.43   	 -25.43		
  5.49   	-53.41   	 74.34   	 -40.69		 -6.53   	 -25.43		
 -8.24   	-55.85   	 74.18   	 -35.61		 -6.63   	 -25.43		
 -4.27   	-49.44   	 74.04   	 -25.43		 -6.73   	 -25.43		
  2.14   	-49.74   	 73.94   	   0.00		 -6.84   	 -20.35		
  4.27   	-48.22   	 73.94   	  35.61		 -6.92   	 -20.35		
  3.66   	-45.78   	 74.08   	  76.30		 -7.00   	 -20.35		
  5.80   	-47.61   	 74.38   	 127.16		 -7.08   	 -15.26		
  4.27   	-46.08   	 74.89   	 183.11		 -7.14   	 -15.26		
 10.07   	-47.91   	 75.63   	 233.98		 -7.20   	 -10.17		
  7.63   	-48.52   	 76.56   	 279.75		 -7.24   	 -10.17		
 -3.05   	-46.69   	 77.68   	 320.45		 -7.28   	 -10.17		
  2.75   	-43.33   	 78.96   	 345.88		 -7.32   	  -5.09		
  0.31   	-43.64   	 80.35   	 366.22		 -7.34   	   0.00		
 -3.36   	-47.00   	 81.81   	 376.40		 -7.34   	   0.00		
  8.54   	-47.00   	 83.32   	 371.31		 -7.34   	   5.09		
  3.66   	-52.49   	 84.80   	 361.14		 -7.32   	   5.09		
  2.14   	-50.96   	 86.25   	 340.79		 -7.30   	  10.17		
  0.61   	-51.27   	 87.61   	 320.45		 -7.26   	  10.17		
 -1.53   	-53.41   	 88.89   	 295.01		 -7.22   	  15.26		
 -1.53   	-48.83   	 90.07   	 274.67		 -7.16   	  15.26		
 -6.41   	-52.19   	 91.17   	 254.32		 -7.10   	  20.35		
 -3.05   	-52.80   	 92.19   	 254.32		 -7.02   	  20.35		
 -3.66   	-50.35   	 93.20   	 259.41		 -6.94   	  25.43		
-13.12   	-52.19   	 94.24   	 269.58		 -6.84   	  25.43		
 -6.41   	-50.96   	 95.32   	 295.01		 -6.73   	  25.43		
 -4.88   	-52.80   	 96.50   	 310.27		 -6.63   	  25.43		
-10.38   	-55.85   	 97.74   	 330.62		 -6.53   	  25.43		
 -3.36   	-55.54   	 99.06   	 340.79		 -6.43   	  25.43		
 -3.97   	-58.29   	100.43   	 345.88		 -6.33   	  25.43		
 -7.02   	-62.87   	101.81   	 340.79		 -6.23   	  20.35		
 -7.93   	-64.09   	103.17   	 330.62		 -6.14   	  20.35		
-13.12   	-67.75   	104.50   	 310.27		 -6.06   	  20.35		
-14.04   	-68.66   	105.74   	 295.01		 -5.98   	  10.17		
-25.02   	-67.14   	106.92   	 269.58		 -5.94   	  15.26		
-19.84   	-70.50   	108.00   	 239.06		 -5.88   	   5.09		
-20.45   	-74.16   	108.95   	 208.54		 -5.86   	   0.00		
-24.11   	-77.21   	109.79   	 178.03		 -5.86   	   0.00		
-22.28   	-78.43   	110.50   	 152.59		 -5.86   	  -5.09		
-24.41   	-83.31   	111.11   	 152.59		 -5.88   	 -10.17		
-26.55   	-86.98   	111.72   	 157.68		 -5.92   	 -15.26		
-30.21   	-90.03   	112.35   	 178.03		 -5.98   	 -20.35		
-32.35   	-98.27   	113.06   	 218.72		 -6.06   	 -15.26		
-38.76   	-102.84   	113.94   	 259.41		 -6.12   	 -25.43		
-48.52   	-106.51   	114.97   	 295.01		 -6.23   	 -20.35		
-56.46   	-112.61   	116.15   	 335.71		 -6.31   	 -25.43		
-61.34   	-117.49   	117.50   	 350.97		 -6.41   	 -20.35		
-64.09   	-118.41   	118.90   	 350.97		 -6.49   	 -20.35		
-65.92   	-120.24   	120.30   	 330.62		 -6.57   	 -20.35		
-70.19   	-121.77   	121.63   	 300.10		 -6.65   	 -15.26		
-70.80   	-121.46   	122.83   	 259.41		 -6.71   	 -10.17		
-73.55   	-118.10   	123.87   	 218.72		 -6.75   	 -10.17		
-78.74   	-117.80   	124.74   	 183.11		 -6.80   	   0.00		
-68.05   	-110.17   	125.47   	 157.68		 -6.80   	   0.00		
-65.31   	-102.84   	126.10   	 132.25		 -6.80   	   0.00		
-69.27   	-94.60   	126.63   	 116.99		 -6.80   	  10.17		
-64.09   	-78.43   	127.10   	 116.99		 -6.75   	  10.17		
-62.26   	-69.58   	127.57   	 116.99		 -6.71   	  10.17		
-62.87   	-55.54   	128.04   	 122.07		 -6.67   	  10.17		
-55.54   	-42.11   	128.52   	 127.16		 -6.63   	  15.26		
-43.64   	-28.69   	129.03   	 137.33		 -6.57   	  10.17		
-38.76   	-13.73   	129.58   	 137.33		 -6.53   	  10.17		
-31.74   	 -0.31   	130.13   	 132.25		 -6.49   	  10.17		
-17.40   	 15.56   	130.66   	 116.99		 -6.45   	  10.17		
-14.34   	 23.19   	131.13   	  91.56		 -6.41   	   5.09		
 -7.93   	 32.04   	131.49   	  71.21		 -6.39   	   0.00		
  4.27   	 42.42   	131.78   	  35.61		 -6.39   	   0.00		
  9.16   	 47.61   	131.92(S)	   0.00		 -6.39   	   0.00		
 15.26   	 54.02   	131.92   	 -25.43		 -6.39   	  -5.09		
 20.14   	 61.95   	131.82   	 -66.12		 -6.41   	  -5.09		
 23.80   	 62.87   	131.56   	 -86.47		 -6.43   	  -5.09		
 27.77   	 65.31   	131.21   	-122.07		 -6.45   	 -10.17		
 30.21   	 67.75   	130.72   	-142.42		 -6.49   	  -5.09		
 34.79   	 65.31   	130.15   	-167.85		 -6.51   	  -5.09		
 35.40   	 67.44   	129.48   	-198.37		 -6.53   	  -5.09		
 31.74   	 68.97   	128.69   	-228.89		 -6.55   	  -5.09		
 33.87   	 65.00   	127.77   	-264.50		 -6.57   	  -5.09		
 38.15   	 66.83   	126.71   	-310.27		 -6.59   	   0.00		
 40.28   	 69.58   	125.47   	-350.97		 -6.59   	   5.09		
 44.25   	 65.92   	124.07   	-396.74		 -6.57   	   5.09		
 38.45   	 67.14   	122.48   	-432.35		 -6.55   	   5.09		
 38.15   	 68.05   	120.75   	-457.78		 -6.53   	  15.26		
 37.23   	 68.05   	118.92   	-462.87		 -6.47   	  10.17		
 34.79   	 69.58   	117.07   	-442.52		 -6.43   	  20.35		
 39.67   	 71.11   	115.30   	-396.74		 -6.35   	  15.26		
 38.15   	 73.85   	113.71   	-330.62		 -6.29   	  20.35		
 32.04   	 78.13   	112.39   	-249.24		 -6.21   	  25.43		
 38.45   	 77.21   	111.39   	-157.68		 -6.10   	  20.35		
 41.20   	 83.01   	110.76   	 -81.38		 -6.02   	  25.43		
 39.98   	 84.23   	110.44   	 -15.26		 -5.92   	  20.35		
 39.67   	 83.31   	110.38   	  25.43		 -5.84   	  20.35		
 40.59   	 87.59   	110.48   	  35.61		 -5.76   	  20.35		
 37.84   	 86.06   	110.62   	  25.43		 -5.68   	  15.26		
 35.10   	 84.84   	110.72   	  -5.09		 -5.62   	  10.17		
 41.81   	 84.84   	110.70   	 -45.78		 -5.57   	  10.17		
 42.11   	 82.70   	110.52   	 -91.56		 -5.53   	   5.09		
 39.37   	 82.70   	110.15   	-132.25		 -5.51   	   5.09		
 45.17   	 84.53   	109.62   	-162.77		 -5.49   	  -5.09		
 43.33   	 81.18   	108.97   	-183.11		 -5.51   	  -5.09		
 38.15   	 77.82   	108.24   	-188.20		 -5.53   	  -5.09		
 44.86   	 77.82   	107.49   	-178.03		 -5.55   	 -10.17		
 40.28   	 76.60   	106.77   	-152.59		 -5.60   	  -5.09		
 45.17   	 75.99   	106.16   	-132.25		 -5.62   	 -10.17		
 43.03   	 76.29   	105.64   	-106.82		 -5.66   	 -10.17		
 34.48   	 73.85   	105.21   	 -86.47		 -5.70   	 -10.17		
 40.59   	 67.14   	104.86   	 -81.38		 -5.74   	 -10.17		
 38.45   	 66.53   	104.54   	 -81.38		 -5.78   	 -10.17		
 38.45   	 63.17   	104.21   	 -96.64		 -5.82   	 -10.17		
 46.69   	 59.51   	103.82   	-106.82		 -5.86   	 -10.17		
 41.50   	 60.42   	103.40   	-127.16		 -5.90   	 -20.35		
 39.67   	 56.76   	102.89   	-142.42		 -5.98   	 -20.35		
 36.62   	 54.93   	102.32   	-157.68		 -6.06   	 -30.52		
 32.96   	 55.85   	101.69   	-152.59		 -6.19   	 -40.69		
 35.71   	 53.10   	101.08   	-142.42		 -6.35   	 -45.78		
 33.57   	 51.27   	100.51   	-132.25		 -6.53   	 -50.86		
 40.89   	 49.74   	 99.98   	-111.90		 -6.73   	 -61.04		
 43.03   	 51.57   	 99.53   	 -96.64		 -6.98   	 -66.12		
 37.23   	 54.32   	 99.15   	 -76.30		 -7.24   	 -66.12		
 40.59   	 59.81   	 98.84   	 -55.95		 -7.51   	 -61.04		
 39.98   	 67.75   	 98.62   	 -35.61		 -7.75   	 -55.95		
 44.25   	 77.21   	 98.47   	 -10.17		 -7.98   	 -45.78		
 52.49   	 90.64   	 98.43   	  15.26		 -8.16   	 -30.52		
 56.76   	110.17   	 98.49   	  40.69		 -8.28   	 -20.35		
 65.31   	136.11   	 98.66   	  55.95		 -8.36   	   0.00		
 70.19   	162.66   	 98.88   	  61.04		 -8.36   	  20.35		
 83.31   	190.43   	 99.12   	  55.95		 -8.28   	  40.69		
 87.89   	202.64   	 99.35   	  25.43		 -8.12   	  55.95		
 95.21   	213.62   	 99.45   	  -5.09		 -7.89   	  71.21		
102.54   	220.34   	 99.43   	 -50.86		 -7.61   	  91.56		
101.32   	216.98   	 99.23   	-101.73		 -7.24   	 101.73		
106.81   	222.78   	 98.82   	-147.51		 -6.84   	 111.90		
103.45   	221.25   	 98.23   	-193.29		 -6.39   	 116.99		
 97.05   	197.75   	 97.46   	-228.89		 -5.92   	 127.16		
 83.92   	160.52   	 96.54   	-249.24		 -5.41   	 122.07		
 66.83   	118.41   	 95.54   	-254.32		 -4.92   	 122.07		
 54.63   	 84.23   	 94.53   	-249.24		 -4.44   	 116.99		
 40.28   	 60.12   	 93.53   	-228.89		 -3.97   	 106.82		
 36.01   	 57.98   	 92.61   	-208.54		 -3.54   	 106.82		
 34.79   	 64.39   	 91.78   	-178.03		 -3.11   	  91.56		
 33.26   	 48.52   	 91.07   	-147.51		 -2.75   	  86.47		
 33.26   	 30.82   	 90.48   	-116.99		 -2.40   	  76.30		
 32.96   	 12.21   	 90.01   	-101.73		 -2.10   	  66.12		
 33.57   	-10.38   	 89.60   	 -81.38		 -1.83   	  61.04		
 34.18   	-22.28   	 89.28   	 -76.30		 -1.59   	  45.78		
 32.65   	-25.94   	 88.97   	 -71.21		 -1.40   	  40.69		
 32.04   	-25.02   	 88.69   	 -66.12		 -1.24   	  30.52		
 36.01   	-28.08   	 88.42   	 -66.12		 -1.12   	  20.35		
 38.45   	-22.89   	 88.16   	 -71.21		 -1.04   	  10.17		
 42.72   	-14.04   	 87.87   	 -71.21		 -1.00   	   0.00		
 43.03   	-11.90   	 87.59   	 -76.30		 -1.00   	 -10.17		
 43.03   	 -5.19   	 87.28   	 -86.47		 -1.04   	 -20.35		
 44.86   	  0.00   	 86.94   	 -91.56		 -1.12   	 -35.61		
 45.47   	 -2.14   	 86.57   	-106.82		 -1.26   	 -50.86		
 51.57   	 -0.92   	 86.14   	-106.82		 -1.46   	 -66.12		
 57.37   	 -3.97   	 85.72   	-111.90		 -1.73   	 -76.30		
 57.37   	-10.07   	 85.27   	-111.90		 -2.03   	 -96.64		
 62.26   	 -7.93   	 84.82   	-106.82		 -2.42   	-106.82		
 58.90   	 -9.46   	 84.39   	 -96.64		 -2.85   	-116.99		
 52.80   	 -5.49   	 84.01   	 -91.56		 -3.32   	-127.16		
 44.86   	  0.92   	 83.64   	 -76.30		 -3.83   	-132.25		
 36.32   	  0.61   	 83.34   	 -71.21		 -4.35   	-137.33		
 30.52   	 -3.36   	 83.05   	 -61.04		 -4.90   	-137.33		
 24.11   	 -2.44   	 82.81   	 -55.95		 -5.45   	-137.33		
 23.50   	 -2.14   	 82.58   	 -50.86		 -6.00   	-137.33		
 22.28   	  7.32   	 82.38   	 -50.86		 -6.55   	-127.16		
