  I     	  II     	  PW     	  PW'		  CH2     	  CH2'		
-54.32   	-76.90   	 24.01   	  45.78		  0.63   	   0.00		
-55.85   	-76.90   	 24.19   	  40.69		  0.63   	   5.09		
-58.29   	-77.21   	 24.35   	  35.61		  0.65   	   0.00		
-60.42   	-78.43   	 24.50   	  25.43		  0.65   	   0.00		
-61.34   	-80.26   	 24.60   	  20.35		  0.65   	   0.00		
-61.65   	-83.31   	 24.68   	   0.00		  0.65   	   5.09		
-62.26   	-86.98   	 24.68   	 -10.17		  0.67   	   0.00		
-63.17   	-91.25   	 24.64   	 -25.43		  0.67   	   5.09		
-63.78   	-94.60   	 24.54   	 -30.52		  0.69   	   5.09		
-63.78   	-95.52   	 24.41   	 -35.61		  0.71   	   5.09		
-63.78   	-93.69   	 24.27   	 -30.52		  0.73   	   5.09		
-64.09   	-90.64   	 24.15   	 -30.52		  0.75   	   5.09		
-65.00   	-88.20   	 24.03   	 -20.35		  0.77   	  10.17		
-65.92   	-88.20   	 23.95   	 -10.17		  0.81   	   5.09		
-65.61   	-91.25   	 23.91   	   0.00		  0.83   	  10.17		
-64.39   	-94.91   	 23.91   	   5.09		  0.87   	   5.09		
-63.78   	-98.27   	 23.93   	  15.26		  0.90   	  10.17		
-65.31   	-100.10   	 23.99   	  15.26		  0.94   	   5.09		
-68.97   	-101.62   	 24.05   	  10.17		  0.96   	   5.09		
-73.55   	-103.76   	 24.09   	  15.26		  0.98   	  10.17		
-77.51   	-107.12   	 24.15   	   0.00		  1.02   	   5.09		
-79.65   	-111.39   	 24.15   	   0.00		  1.04   	   5.09		
-80.57   	-116.27   	 24.15   	 -15.26		  1.06   	   5.09		
-80.87   	-121.15   	 24.09   	 -15.26		  1.08   	   0.00		
-82.40   	-126.65   	 24.03   	 -25.43		  1.08   	   5.09		
-84.84   	-131.84   	 23.93   	 -25.43		  1.10   	   0.00		
-88.50   	-136.72   	 23.82   	 -20.35		  1.10   	   0.00		
-93.38   	-139.47   	 23.74   	 -25.43		  1.10   	   0.00		
-99.18   	-140.38   	 23.64   	 -20.35		  1.10   	  -5.09		
-104.98   	-138.55   	 23.56   	 -10.17		  1.08   	  -5.09		
-108.95   	-135.50   	 23.52   	 -10.17		  1.06   	  -5.09		
-110.17   	-132.45   	 23.48   	   0.00		  1.04   	  -5.09		
-109.56   	-129.70   	 23.48   	   0.00		  1.02   	  -5.09		
-108.95   	-127.87   	 23.48   	   0.00		  1.00   	  -5.09		
-109.25   	-125.73   	 23.48   	   5.09		  0.98   	  -5.09		
-110.47   	-122.07   	 23.50   	   5.09		  0.96   	  -5.09		
-111.08   	-115.66   	 23.52   	  10.17		  0.94   	  -5.09		
-109.56   	-105.59   	 23.56   	   5.09		  0.92   	  -5.09		
-105.90   	-93.08   	 23.58   	  15.26		  0.90   	  -5.09		
-100.71   	-79.35   	 23.64   	  15.26		  0.87   	  -5.09		
