  I     	  II     	  PW     	  PW'		  CH2     	  CH2'		
-54.63   	 -4.27   	 28.22   	 -96.64		  0.92   	  -5.09		
-55.54   	 -4.88   	 27.83   	 -96.64		  0.90   	   0.00		
-54.32   	-10.38   	 27.45   	 -96.64		  0.90   	   0.00		
-54.02   	-27.47   	 27.06   	 -96.64		  0.90   	   5.09		
-54.63   	-54.02   	 26.67   	 -86.47		  0.92   	   0.00		
-56.15   	-80.57   	 26.33   	 -76.30		  0.92   	   0.00		
-57.37   	-97.66   	 26.02   	 -71.21		  0.92   	   5.09		
-56.46   	-102.23   	 25.74   	 -55.95		  0.94   	   0.00		
-54.02   	-97.05   	 25.51   	 -50.86		  0.94   	   0.00		
-50.35   	-88.50   	 25.31   	 -40.69		  0.94   	   5.09		
-46.69   	-81.79   	 25.15   	 -35.61		  0.96   	   0.00		
-44.25   	-78.43   	 25.00   	 -30.52		  0.96   	   5.09		
-43.64   	-77.21   	 24.88   	 -30.52		  0.98   	   0.00		
-44.25   	-75.99   	 24.76   	 -25.43		  0.98   	   5.09		
-43.64   	-74.16   	 24.66   	 -30.52		  1.00   	   0.00		
-41.20   	-72.02   	 24.54   	 -35.61		  1.00   	   0.00		
-36.93   	-71.11   	 24.39   	 -40.69		  1.00   	   0.00		
-32.35   	-72.02   	 24.23   	 -40.69		  1.00   	   0.00		
-29.60   	-73.55   	 24.07   	 -50.86		  1.00   	   0.00		
-29.60   	-73.24   	 23.87   	 -50.86		  1.00   	   0.00		
-32.35   	-70.50   	 23.66   	 -50.86		  1.00   	   0.00		
-37.23   	-66.53   	 23.46   	 -50.86		  1.00   	   0.00		
-43.95   	-65.00   	 23.26   	 -50.86		  1.00   	   0.00		
-51.27   	-67.75   	 23.05   	 -50.86		  1.00   	   0.00		
-58.29   	-72.63   	 22.85   	 -45.78		  1.00   	   0.00		
-62.56   	-75.68   	 22.67   	 -40.69		  1.00   	  -5.09		
-64.39   	-72.02   	 22.50   	 -35.61		  0.98   	   0.00		
-64.09   	-60.73   	 22.36   	 -35.61		  0.98   	   0.00		
-63.17   	-46.69   	 22.22   	 -35.61		  0.98   	   0.00		
-63.17   	-37.23   	 22.08   	 -25.43		  0.98   	  -5.09		
-63.17   	-36.93   	 21.97   	 -30.52		  0.96   	   0.00		
-63.17   	-44.56   	 21.85   	 -25.43		  0.96   	   0.00		
-62.26   	-54.63   	 21.75   	 -25.43		  0.96   	  -5.09		
-61.34   	-60.12   	 21.65   	 -25.43		  0.94   	   0.00		
-60.73   	-59.20   	 21.55   	 -20.35		  0.94   	   0.00		
-61.04   	-53.71   	 21.46   	 -15.26		  0.94   	   0.00		
-61.65   	-47.61   	 21.40   	 -10.17		  0.94   	   0.00		
-61.95   	-42.11   	 21.36   	 -10.17		  0.94   	  -5.09		
-61.04   	-32.35   	 21.32   	  -5.09		  0.92   	   0.00		
-58.29   	 -9.16   	 21.30   	   0.00		  0.92   	   0.00		
-53.10   	 39.37   	 21.30   	   0.00		  0.92   	   0.00		
-45.17   	123.29   	 21.30   	   5.09		  0.92   	   0.00		
-32.65   	248.72   	 21.32   	   5.09		  0.92   	   0.00		
-12.21   	414.43   	 21.34   	   0.00		  0.92   	   0.00		
