  I     	  II     	  FA     	  FA'		  LV     	  LV'		
-27.47   	-46.69   	 66.10   	  -5.09		 89.72   	 600.20		
-24.41   	-43.64   	 66.08   	  30.52		 92.13   	 574.77		
-22.28   	-36.32   	 66.21   	  91.56		 94.42   	 549.34		
-21.67   	-27.77   	 66.57   	 162.77		 96.62   	 523.90		
-21.97   	-21.67   	 67.22   	 264.50		 98.72   	 488.30		
-22.58   	-19.84   	 68.28   	 366.22		100.67   	 457.78		
-21.06   	-21.67   	 69.75   	 473.04		102.50   	 432.35		
-15.87   	-23.50   	 71.64   	 554.42		104.23   	 396.74		
 -7.63   	-22.28   	 73.86   	 620.55		105.82   	 371.31		
  0.92   	-16.78   	 76.34   	 661.24		107.30   	 345.88		
  5.19   	 -9.77   	 78.98   	 686.67		108.69   	 320.45		
  3.66   	 -4.27   	 81.73   	 701.93		109.97   	 305.19		
 -1.83   	 -1.83   	 84.54   	 691.76		111.19   	 284.84		
 -7.63   	 -1.53   	 87.30   	 686.67		112.33   	 274.67		
 -9.77   	  0.31   	 90.05   	 676.50		113.43   	 264.50		
 -6.71   	  5.49   	 92.76   	 656.15		114.49   	 254.32		
  0.61   	 12.51   	 95.38   	 640.89		115.50   	 254.32		
 10.38   	 18.92   	 97.94   	 625.63		116.52   	 244.15		
 21.06   	 24.11   	100.45   	 605.29		117.50   	 244.15		
 31.13   	 29.30   	102.87   	 590.03		118.47   	 244.15		
 39.98   	 36.01   	105.23   	 569.68		119.45   	 244.15		
 48.52   	 44.56   	107.51   	 544.25		120.43   	 244.15		
 54.93   	 52.19   	109.68   	 528.99		121.40   	 239.06		
 59.20   	 58.90   	111.80   	 498.47		122.36   	 239.06		
 62.87   	 65.00   	113.79   	 478.13		123.32   	 239.06		
 66.53   	 71.72   	115.71   	 452.69		124.27   	 223.80		
 70.50   	 79.04   	117.52   	 427.26		125.17   	 218.72		
 75.07   	 86.98   	119.23   	 412.00		126.04   	 203.46		
 81.48   	 94.91   	120.87   	 386.57		126.86   	 198.37		
 90.33   	103.76   	122.42   	 371.31		127.65   	 188.20		
101.93   	115.05   	123.91   	 350.97		128.40   	 178.03		
113.53   	128.17   	125.31   	 335.71		129.11   	 172.94		
121.15   	141.30   	126.65   	 315.36		129.81   	 172.94		
123.60   	151.06   	127.91   	 295.01		130.50   	 162.77		
122.07   	156.25   	129.09   	 274.67		131.15   	 157.68		
119.93   	157.47   	130.19   	 254.32		131.78   	 147.51		
119.32   	156.86   	131.21   	 228.89		132.37   	 132.25		
118.41   	156.25   	132.13   	 213.63		132.90   	 116.99		
114.75   	157.47   	132.98   	 193.29		133.37   	  96.64		
106.81   	158.39   	133.75   	 172.94		133.75   	  86.47		
 94.91   	154.72   	134.45   	 157.68		134.10   	  71.21		
