  I     	  II     	  FA     	  FA'		  LVp     	  LVp'		
-42.72   	-28.69   	138.82   	-167.85		135.99   	-223.80		
-43.03   	-34.79   	138.15   	-178.03		135.10   	-264.50		
-40.59   	-39.98   	137.44   	-193.29		134.04   	-300.10		
-36.32   	-40.59   	136.66   	-208.54		132.84   	-340.79		
-31.13   	-36.62   	135.83   	-228.89		131.47   	-376.40		
-26.86   	-32.65   	134.91   	-244.15		129.97   	-422.18		
-24.72   	-31.13   	133.94   	-259.41		128.28   	-473.04		
-25.02   	-32.04   	132.90   	-274.67		126.39   	-528.99		
-27.77   	-32.96   	131.80   	-289.93		124.27   	-584.94		
-31.13   	-32.35   	130.64   	-305.19		121.93   	-645.98		
-32.96   	-30.21   	129.42   	-310.27		119.35   	-707.02		
-32.35   	-29.30   	128.18   	-325.53		116.52   	-773.14		
-31.74   	-31.74   	126.88   	-325.53		113.43   	-839.26		
-34.18   	-36.62   	125.57   	-330.62		110.07   	-900.30		
-39.37   	-41.50   	124.25   	-340.79		106.47   	-956.25		
-43.03   	-40.89   	122.89   	-345.88		102.64   	-1007.12		
-39.98   	-33.26   	121.51   	-356.05		 98.62   	-1032.55		
-29.91   	-21.97   	120.08   	-371.31		 94.49   	-1057.98		
-17.70   	-11.90   	118.60   	-386.57		 90.25   	-1068.15		
-12.21   	 -7.32   	117.05   	-401.83		 85.98   	-1063.07		
-17.40   	 -9.16   	115.44   	-417.09		 81.73   	-1047.81		
-28.69   	-13.43   	113.77   	-427.26		 77.54   	-1027.46		
-38.15   	-17.09   	112.06   	-417.09		 73.43   	-1012.20		
-39.37   	-18.62   	110.40   	-401.83		 69.38   	-986.77		
-32.04   	-17.09   	108.79   	-381.48		 65.43   	-961.34		Beg---------
-22.28   	-14.95   	107.26   	-356.05		 61.59   	-940.99		
-16.48   	-14.04   	105.84   	-325.53		 57.82   	-920.65		
-16.78   	-14.95   	104.54   	-300.10		 54.14   	-890.13		
-21.36   	-17.70   	103.34   	-274.67		 50.58   	-864.70		
-25.63   	-20.75   	102.24   	-249.24		 47.12   	-834.18		
-26.55   	-22.58   	101.24   	-228.89		 43.78   	-803.66		
-23.50   	-21.67   	100.33   	-218.72		 40.57   	-762.97		
-18.62   	-19.23   	 99.45   	-208.54		 37.52   	-732.45		
-15.26   	-17.70   	 98.62   	-198.37		 34.59   	-681.58		
-15.56   	-18.62   	 97.82   	-193.29		 31.86   	-645.98		
-18.62   	-22.28   	 97.05   	-188.20		 29.28   	-600.20		
-22.58   	-27.47   	 96.30   	-183.11		 26.88   	-554.42		
-24.72   	-32.04   	 95.56   	-178.03		 24.66   	-508.65		
-24.11   	-33.87   	 94.85   	-172.94		 22.62   	-467.95		
-22.58   	-32.65   	 94.16   	-167.85		 20.75   	-427.26		
-22.28   	-30.82   	 93.49   	-157.68		 19.04   	-376.40		
-24.11   	-30.52   	 92.86   	-152.59		 17.54   	-335.71		
-27.77   	-33.57   	 92.25   	-162.77		 16.20   	-289.93		
-30.52   	-39.37   	 91.60   	-172.94		 15.04   	-254.32		
-31.43   	-44.86   	 90.91   	-183.11		 14.02   	-213.63		
-31.74   	-47.30   	 90.17   	-162.77		 13.16   	-188.20		
-32.96   	-46.39   	 89.52   	-111.90		 12.41   	-152.59		
-34.48   	-44.56   	 89.07   	 -55.95		 11.80   	-127.16		
-35.71   	-43.64   	 88.85   	 -25.43		 11.29   	 -96.64		
-34.48   	-44.25   	 88.75   	 -15.26		 10.91   	 -76.30		
-31.13   	-44.56   	 88.69   	 -35.61		 10.60   	 -45.78		
-26.55   	-42.72   	 88.54   	 -55.95		 10.42   	 -30.52		
-24.41   	-40.89   	 88.32   	 -81.38		 10.29   	 -15.26		
-25.33   	-42.42   	 88.00   	-101.73		 10.23   	 -15.26		
-28.99   	-48.52   	 87.59   	-127.16		 10.17   	 -15.26		
-33.57   	-56.15   	 87.08   	-137.33		 10.11   	 -20.35		
-37.23   	-58.59   	 86.53   	-142.42		 10.03   	 -25.43		
-36.62   	-50.35   	 85.96   	-122.07		  9.93   	 -25.43		
-31.43   	-32.96   	 85.47   	-111.90		  9.83   	 -20.35		
-23.19   	-13.12   	 85.03   	 -96.64		  9.75   	 -20.35		
-15.26   	  1.53   	 84.64   	 -81.38		  9.66   	 -20.35		
-10.07   	  7.93   	 84.31   	 -55.95		  9.58   	 -15.26		
 -7.63   	  8.85   	 84.09   	 -50.86		  9.52   	 -25.43		
 -5.80   	  9.46   	 83.89   	 -50.86		  9.42   	 -25.43		
 -3.66   	 10.07   	 83.68   	 -71.21		  9.32   	 -30.52		
 -2.44   	  8.54   	 83.40   	 -81.38		  9.20   	 -30.52		
 -5.19   	  4.27   	 83.07   	 -91.56		  9.07   	 -35.61		
