  I     	  II     	  LV     	  LV'		
417.79   	-450.74   	  9.95   	  50.86		
396.42   	-463.87   	 10.15   	  50.86		
383.61   	-508.73   	 10.36   	  61.04		
378.72   	-578.61   	 10.60   	  61.04		
380.86   	-655.21   	 10.84   	  76.30		
387.57   	-721.44   	 11.15   	  91.56		
393.68   	-773.93   	 11.52   	 101.73		
394.90   	-817.87   	 11.92   	 122.07		
390.93   	-858.15   	 12.41   	 142.42		
386.66   	-895.69   	 12.98   	 167.85		
386.66   	-926.82   	 13.65   	 198.37		
392.76   	-946.96   	 14.45   	 223.80		
400.09   	-953.37   	 15.34   	 254.32		
401.00   	-944.82   	 16.36   	 284.84		
390.63   	-918.27   	 17.50   	 315.36		
365.91   	-867.31   	 18.76   	 340.79		
326.54   	-785.52   	 20.12   	 376.40		
271.30   	-670.17   	 21.63   	 396.74		
202.03   	-529.48   	 23.21   	 422.18		
125.73   	-384.52   	 24.90   	 442.52		
 51.88   	-258.48   	 26.67   	 462.87		
 -8.85   	-163.27   	 28.52   	 483.21		
-53.10   	-94.91   	 30.46   	 503.56		
-84.53   	-38.15   	 32.47   	 518.82		
-108.95   	 16.17   	 34.55   	 534.08		
-128.48   	 65.92   	 36.68   	 559.51		
-143.13   	101.93   	 38.92   	 590.03		
-151.37   	118.71   	 41.28   	 620.55		
-155.33   	121.77   	 43.76   	 656.15		
-157.78   	122.99   	 46.39   	 707.02		
-161.13   	129.70   	 49.22   	 737.54		
-165.41   	141.60   	 52.17   	 773.14		
-168.46   	154.42   	 55.26   	 783.31		
-169.98   	163.57   	 58.39   	 788.40		
-170.59   	168.15   	 61.55   	 778.23		
-171.81   	170.29   	 64.66   	 747.71		
-174.26   	171.81   	 67.65   	 722.28		
-177.61   	173.34   	 70.54   	 681.58		
-180.97   	174.87   	 73.27   	 656.15		
-183.11   	176.39   	 75.89   	 630.72		
-183.72   	177.92   	 78.41   	 615.46		
-183.41   	179.75   	 80.87   	 605.29		
-182.80   	181.88   	 83.30   	 595.11		
-183.72   	184.63   	 85.68   	 584.94		
-186.46   	188.60   	 88.02   	 574.77		
-189.82   	193.18   	 90.32   	 559.51		
-193.18   	197.14   	 92.55   	 539.16		
-196.23   	199.28   	 94.71   	 508.65		
-199.28   	199.58   	 96.74   	 483.21		
-202.94   	198.67   	 98.68   	 457.78		
-207.82   	198.67   	100.51   	 432.35		
-213.32   	200.81   	102.24   	 412.00		
-219.12   	205.08   	103.89   	 401.83		
-224.30   	210.27   	105.49   	 386.57		
-229.19   	214.84   	107.04   	 371.31		
-233.76   	216.98   	108.52   	 366.22		
-239.26   	217.29   	109.99   	 356.05		
-245.97   	216.67   	111.41   	 350.97		
-252.99   	216.67   	112.82   	 350.97		
-260.31   	218.51   	114.22   	 340.79		
-266.72   	222.17   	115.58   	 340.79		
-272.22   	226.44   	116.95   	 330.62		
-277.10   	230.10   	118.27   	 325.53		
-281.37   	233.15   	119.57   	 305.19		
-284.73   	235.90   	120.79   	 295.01		
-286.87   	238.95   	121.97   	 269.58		
-286.56   	243.23   	123.05   	 259.41		
-284.42   	248.11   	124.09   	 239.06		
-280.46   	253.91   	125.05   	 223.80		
-274.66   	260.01   	125.94   	 208.54		
-267.03   	265.50   	126.77   	 198.37		
-256.65   	269.78   	127.57   	 193.29		
-243.23   	273.74   	128.34   	 178.03		
-227.66   	277.40   	129.05   	 162.77		
-211.18   	279.85   	129.70   	 152.59		
-195.01   	279.85   	130.31   	 132.25		
-179.44   	277.10   	130.84   	 111.90		
-162.96   	271.91   	131.29   	 101.73		
-144.04   	264.59   	131.70   	  86.47		
-122.38   	256.04   	132.04   	  71.21		
-99.49   	245.36   	132.33   	  66.12		
-76.90   	232.24   	132.59   	  50.86		
-56.15   	216.06   	132.80   	  30.52		
-37.84   	198.67   	132.92   	  15.26		
-22.58   	180.97   	132.98(S)	  -5.09		
-10.68   	163.27   	132.96   	 -30.52		
 -1.53   	146.18   	132.84   	 -61.04		
  5.49   	130.62   	132.59   	 -86.47		
 11.90   	117.80   	132.25   	-111.90		
 17.70   	107.42   	131.80   	-137.33		
 21.67   	 97.96   	131.25   	-167.85		
 23.19   	 89.11   	130.58   	-193.29		
 21.97   	 79.96   	129.81   	-213.63		
 19.84   	 72.02   	128.95   	-233.98		
 18.62   	 66.53   	128.02   	-264.50		
 18.92   	 64.09   	126.96   	-279.75		
 20.14   	 62.87   	125.84   	-300.10		
 20.45   	 60.73   	124.64   	-320.45		
 18.31   	 57.37   	123.36   	-340.79		
 14.65   	 53.10   	121.99   	-350.97		
 11.29   	 49.13   	120.59   	-366.22		
 10.38   	 47.30   	119.12   	-381.48		
 11.60   	 46.69   	117.60   	-406.92		
 12.82   	 46.69   	115.97   	-432.35		
 12.21   	 46.08   	114.24   	-467.95		
  8.85   	 44.56   	112.37   	-503.56		
  4.88   	 42.11   	110.36   	-544.25		
  2.44   	 39.67   	108.18   	-590.03		
  2.44   	 37.23   	105.82   	-625.63		
  3.97   	 35.40   	103.32   	-666.32		
  5.19   	 34.48   	100.65   	-696.84		
  4.88   	 34.18   	 97.86   	-727.36		
  3.05   	 33.57   	 94.95   	-742.62		
  1.22   	 32.35   	 91.98   	-757.88		
  0.00   	 30.21   	 88.95   	-773.14		
 -0.61   	 28.08   	 85.86   	-773.14		
 -1.22   	 26.86   	 82.77   	-778.23		
 -1.83   	 26.55   	 79.65   	-783.31		
 -2.14   	 27.47   	 76.52   	-783.31		
 -2.14   	 28.08   	 73.39   	-778.23		
 -2.14   	 27.47   	 70.27   	-778.23		
 -2.44   	 25.94   	 67.16   	-768.05		
 -3.05   	 24.11   	 64.09   	-757.88		
 -4.27   	 22.89   	 61.06   	-742.62		
 -5.19   	 22.28   	 58.09   	-727.36		
 -5.49   	 21.97   	 55.18   	-712.10		
 -6.41   	 21.97   	 52.33   	-691.76		
 -7.63   	 21.67   	 49.56   	-671.41		
 -9.77   	 21.36   	 46.88   	-651.07		
-12.21   	 21.06   	 44.27   	-635.81		
-13.73   	 21.67   	 41.73   	-610.37		
-14.34   	 22.28   	 39.29   	-595.11		
-14.34   	 22.58   	 36.91   	-569.68		
-14.95   	 21.67   	 34.63   	-549.34		
-16.78   	 20.14   	 32.43   	-523.90		
-18.62   	 19.23   	 30.34   	-508.65		
-19.53   	 18.92   	 28.30   	-493.39		
-19.23   	 20.14   	 26.33   	-473.04		
-18.62   	 21.67   	 24.44   	-452.69		
-18.92   	 22.58   	 22.62   	-442.52		
-20.14   	 22.28   	 20.85   	-422.18		
-21.97   	 20.75   	 19.17   	-406.92		
-23.50   	 18.31   	 17.54   	-381.48		
-23.19   	 16.17   	 16.01   	-356.05		
-21.67   	 14.95   	 14.59   	-325.53		
-19.84   	 14.65   	 13.29   	-300.10		
