  I     	  II     	  AO     	  AO'		  FA     	  FA'		
-61.04   	-115.36   	 73.98   	-116.99		 75.14   	 -66.12		
-60.42   	-116.88   	 73.51   	-101.73		 74.87   	 -66.12		
-59.81   	-117.49   	 73.10   	 -81.38		 74.61   	 -66.12		
-58.90   	-118.41   	 72.78   	 -71.21		 74.34   	 -61.04		
-57.98   	-125.12   	 72.49   	 -71.21		 74.10   	 -55.95		
-56.46   	-144.04   	 72.21   	 -81.38		 73.88   	 -55.95		
-48.83   	-172.42   	 71.88   	 -76.30		 73.65   	 -50.86		
-22.28   	-190.43   	 71.58   	 -50.86		 73.45   	 -45.78		
 40.59   	-162.66   	 71.37   	 -20.35		 73.27   	 -40.69		
157.17   	-57.68   	 71.29   	   0.00		 73.10   	 -45.78		
334.17   	132.75   	 71.29   	  15.26		 72.92   	 -50.86		
562.13   	383.30   	 71.35   	  10.17		 72.72   	 -50.86		
809.33   	646.97   	 71.39   	  10.17		 72.51   	 -45.78		
1024.48   	878.60   	 71.43   	   0.00		 72.33   	 -81.38		
1098.02   	1133.12   	 71.43   	 -10.17		 72.00   	 -35.61		
859.99   	1105.96   	 71.39   	 -30.52		 71.86   	 -35.61		
470.58   	956.12   	 71.27   	 -40.69		 71.72   	 -35.61		
 43.03   	704.04   	 71.11   	 -45.78		 71.58   	 -35.61		
-284.12   	411.38   	 70.93   	 -61.04		 71.43   	 -30.52		
-416.87   	160.22   	 70.68   	 -66.12		 71.31   	 -35.61		
-361.63   	  6.71   	 70.42   	 -76.30		 71.17   	 -30.52		
-215.15   	-51.57   	 70.11   	 -86.47		 71.05   	 -30.52		
-90.64   	-59.20   	 69.77   	 -86.47		 70.93   	 -45.78		
-47.30   	-62.56   	 69.42   	 -76.30		 70.74   	 -45.78		
-72.02   	-80.26   	 69.11   	 -91.56		 70.56   	 -50.86		
-113.22   	-104.37   	 68.75   	-147.51		 70.36   	 -61.04		
-130.92   	-119.63   	 68.16   	-172.94		 70.11   	-106.82		
-120.24   	-121.15   	 67.47   	-106.82		 69.68   	-127.16		
-99.79   	-116.58   	 67.04   	  -5.09		 69.18   	 -96.64		
-87.59   	-114.14   	 67.02   	  50.86		 68.79   	 -50.86		
-86.98   	-115.66   	 67.22   	 101.73		 68.59   	 -10.17		
-91.86   	-118.41   	 67.63   	 218.72		 68.55   	  50.86		
-94.91   	-119.93   	 68.50   	 376.40		 68.75   	  71.21		
-93.69   	-119.93   	 70.01   	 539.16		 69.03   	  61.04		
-89.42   	-117.80   	 72.17   	 615.46		 69.28   	  71.21		
-84.53   	-115.36   	 74.63   	 691.76		 69.56   	  86.47		
-80.26   	-112.92   	 77.40   	 778.23		 69.91   	 101.73		
-77.51   	-111.69   	 80.51   	 762.97		 70.32   	 162.77		
-75.68   	-110.47   	 83.56   	 656.15		 70.97   	 213.63		
-74.16   	-108.34   	 86.18   	 574.77		 71.82   	 254.32		
-72.94   	-103.76   	 88.48   	 483.21		 72.84   	 350.97		
-71.41   	-97.96   	 90.42   	 401.83		 74.24   	 467.95		
-68.97   	-91.86   	 92.02   	 437.43		 76.11   	 559.51		
-65.92   	-87.28   	 93.77   	 528.99		 78.35   	 630.72		
-62.87   	-85.45   	 95.89   	 452.69		 80.87   	 666.32		
-60.42   	-85.45   	 97.70   	 295.01		 83.54   	 605.29		
-58.90   	-86.06   	 98.88   	 233.98		 85.96   	 549.34		
-57.37   	-84.84   	 99.82   	 345.88		 88.16   	 569.68		
-55.54   	-81.48   	101.20   	 508.65		 90.44   	 549.34		
-53.10   	-75.99   	103.23   	 503.56		 92.63   	 508.65		
-50.66   	-69.89   	105.25   	 345.88		 94.67   	 478.13		
-48.22   	-64.39   	106.63   	  86.47		 96.58   	 432.35		
-45.78   	-61.04   	106.98   	-289.93		 98.31   	 295.01		
-43.64   	-58.90   	105.82   	-732.45		 99.49   	 122.07		
-41.20   	-57.07   	102.89   	-1113.93		 99.98   	  30.52		
-38.45   	-53.71   	 98.43   	-1322.48		100.10   	  96.64		
-34.18   	-47.91   	 93.14   	-1088.50		100.49   	 193.29		
-28.99   	-39.67   	 88.79   	-442.52		101.26   	 264.50		
-22.58   	-30.52   	 87.02   	 254.32		102.32   	 432.35		
