  I     	  II     	  LV     	  LV'		  AO     	  AO'		
-46.39   	-26.25   	140.14   	-630.72		133.49   	 -81.38		
-49.44   	-30.82   	137.62   	-630.72		133.16   	-152.59		
-50.96   	-34.48   	135.10   	-620.55		132.55   	-111.90		
-51.88   	-37.54   	132.61   	-625.63		132.11   	-122.07		
-53.10   	-39.98   	130.11   	-666.32		131.62   	-213.63		
-55.24   	-41.50   	127.45   	-768.05		130.76   	-310.27		
-57.68   	-42.42   	124.37   	-935.91		129.52   	-350.97		
-59.51   	-42.42   	120.63   	-1078.33		128.12   	-437.43		
-60.42   	-42.11   	116.32   	-1159.71		126.37   	-478.13		
-60.42   	-41.50   	111.68   	-1281.79		124.46   	-467.95		
-60.73   	-40.89   	106.55   	-1536.11		122.58   	-549.34		
-61.65   	-40.89   	100.41   	-1917.59		120.39   	-727.36		
-63.48   	-41.81   	 92.74   	-2441.50		117.48   	-768.05		
-65.61   	-43.03   	 82.97   	-2660.21		114.40   	-457.78		
-66.53   	-44.25   	 72.33   	-2263.47		112.57   	  71.21		
-66.83   	-44.86   	 63.28   	-2441.50		112.86   	 259.41		
-66.83   	-44.25   	 53.51   	-2507.62		113.90   	  71.21		
-66.83   	-43.33   	 43.48   	-2080.36		114.18   	 -86.47		
-67.14   	-43.03   	 35.16   	-1815.86		113.83   	-239.06		
-66.53   	-43.03   	 27.89   	-1444.55		112.88   	 -61.04		
-65.61   	-42.72   	 22.12   	-935.91		112.63   	 106.82		
-64.39   	-41.81   	 18.37   	-549.34		113.06   	  66.12		
-62.87   	-40.59   	 16.17   	-300.10		113.33   	  86.47		
-61.34   	-39.67   	 14.97   	 -91.56		113.67   	  10.17		
-58.90   	-39.67   	 14.61   	  25.43		113.71   	 -81.38		
-55.85   	-40.28   	 14.71   	   5.09		113.39   	 -55.95		
-52.19   	-41.20   	 14.73   	 -91.56		113.16   	-152.59		
-49.74   	-42.11   	 14.36   	-162.77		112.55   	-198.37		
-48.52   	-42.11   	 13.71   	-203.46		111.76   	 -86.47		
-47.61   	-41.81   	 12.90   	-284.84		111.41   	 -20.35		
-46.69   	-41.20   	 11.76   	-381.48		111.33   	-106.82		
-45.17   	-40.59   	 10.23   	-452.69		110.90   	-178.03		
-43.33   	-40.28   	  8.42   	-467.95		110.19   	-111.90		
-41.81   	-39.98   	  6.55   	-427.26		109.75   	 -96.64		
-40.59   	-39.98   	  4.84   	-335.71		109.36   	-132.25		
-39.06   	-40.28   	  3.50   	-218.72		108.83   	-101.73		
-37.84   	-41.50   	  2.62   	 -96.64		108.42   	 -71.21		
-36.62   	-43.03   	  2.24   	   0.00		108.14   	 -76.30		
-36.01   	-44.25   	  2.24   	 101.73		107.83   	-101.73		
-36.32   	-45.47   	  2.64   	 203.46		107.43   	-101.73		
-37.23   	-46.39   	  3.46   	 269.58		107.02   	 -55.95		
-37.84   	-47.30   	  4.54   	 249.24		106.80   	 -30.52		
-38.76   	-48.52   	  5.53   	 213.63		106.67   	 -71.21		
-39.06   	-49.74   	  6.39   	 137.33		106.39   	 -86.47		
-38.76   	-50.05   	  6.94   	   5.09		106.04   	 -25.43		
-38.15   	-49.74   	  6.96   	-122.07		105.94   	 -76.30		
-37.23   	-48.83   	  6.47   	-223.80		105.64   	-162.77		
-37.23   	-48.52   	  5.57   	-305.19		104.98   	-167.85		
-38.45   	-48.52   	  4.35   	-310.27		104.31   	-142.42		
-40.28   	-48.83   	  3.11   	-228.89		103.74   	-142.42		
-41.50   	-49.13   	  2.20   	-111.90		103.17   	 -96.64		
-41.81   	-49.13   	  1.75   	   0.00		102.79   	 -61.04		
-41.50   	-49.13   	  1.75   	 111.90		102.54   	 -91.56		
-40.89   	-49.44   	  2.20   	 193.29		102.18   	-106.82		
-40.89   	-50.05   	  2.97   	 233.98		101.75   	 -86.47		
-40.89   	-50.05   	  3.91   	 244.15		101.40   	 -96.64		
-39.98   	-49.13   	  4.88   	 223.80		101.02   	-116.99		
-38.76   	-47.91   	  5.78   	 167.85		100.55   	-127.16		
-37.84   	-47.00   	  6.45   	 111.90		100.04   	-106.82		
-37.23   	-47.00   	  6.90   	  55.95		 99.61   	-111.90		
-37.84   	-47.91   	  7.12   	  -5.09		 99.17   	-106.82		
-38.76   	-49.13   	  7.10   	 -66.12		 98.74   	-116.99		
-39.98   	-49.74   	  6.84   	-106.82		 98.27   	-116.99		
-40.59   	-50.05   	  6.41   	-142.42		 97.80   	-106.82		
-40.89   	-50.35   	  5.84   	-152.59		 97.37   	-122.07		
-40.59   	-51.27   	  5.23   	-137.33		 96.89   	-127.16		
-39.67   	-51.88   	  4.68   	-101.73		 96.38   	-111.90		
-39.06   	-52.49   	  4.27   	 -55.95		 95.93   	-101.73		
-38.76   	-52.49   	  4.05   	   5.09		 95.52   	-106.82		
-38.76   	-51.88   	  4.07   	  61.04		 95.10   	-101.73		
-38.76   	-50.96   	  4.31   	 111.90		 94.69   	 -76.30		
-38.15   	-50.35   	  4.76   	 152.59		 94.38   	 -81.38		
-37.23   	-50.05   	  5.37   	 183.11		 94.06   	 -71.21		
-36.32   	-50.05   	  6.10   	 172.94		 93.77   	 -50.86		
-36.01   	-50.66   	  6.80   	 127.16		 93.57   	 -86.47		
-36.32   	-50.35   	  7.30   	  66.12		 93.22   	-122.07		
-36.32   	-49.44   	  7.57   	  20.35		 92.74   	-111.90		
-36.32   	-47.91   	  7.65   	 -25.43		 92.29   	-106.82		
-36.01   	-46.69   	  7.55   	 -50.86		 91.86   	 -96.64		
-35.40   	-46.08   	  7.34   	 -66.12		 91.47   	 -91.56		
-35.10   	-46.39   	  7.08   	 -61.04		 91.11   	-106.82		
-34.48   	-46.69   	  6.84   	 -50.86		 90.68   	 -86.47		
-33.26   	-46.39   	  6.63   	 -20.35		 90.34   	 -81.38		
-31.43   	-43.03   	  6.55   	   5.09		 90.01   	 -76.30		
-29.30   	-35.71   	  6.57   	  20.35		 89.70   	 -71.21		
-25.33   	-22.28   	  6.65   	  40.69		 89.42   	 -81.38		
-18.31   	 -2.75   	  6.82   	  66.12		 89.09   	 -91.56		
 -8.85   	 20.45   	  7.08   	  61.04		 88.73   	 -66.12		
  2.14   	 40.89   	  7.32   	  45.78		 88.46   	 -71.21		
 11.29   	 52.80   	  7.51   	  40.69		 88.18   	-101.73		
 18.01   	 53.10   	  7.67   	  20.35		 87.77   	 -91.56		
 23.19   	 46.39   	  7.75   	   5.09		 87.41   	 -76.30		
 29.91   	 41.50   	  7.77   	 -10.17		 87.10   	 -61.04		
 39.98   	 48.22   	  7.73   	 -15.26		 86.86   	 -66.12		
 53.10   	 67.75   	  7.67   	 -15.26		 86.59   	 -71.21		
 65.61   	 92.16   	  7.61   	 -15.26		 86.31   	 -66.12		
 74.46   	108.34   	  7.55   	 -15.26		 86.04   	 -66.12		
 78.43   	107.73   	  7.49   	 -30.52		 85.78   	 -66.12		
 78.74   	 92.77   	  7.37   	 -25.43		 85.51   	 -76.30		
 75.99   	 74.16   	  7.26   	 -20.35		 85.21   	 -76.30		
 70.50   	 61.95   	  7.18   	 -30.52		 84.90   	 -61.04		
 61.04   	 57.98   	  7.06   	 -45.78		 84.66   	 -71.21		
 47.00   	 55.24   	  6.88   	 -45.78		 84.37   	 -76.30		
 29.91   	 44.86   	  6.69   	 -61.04		 84.07   	 -71.21		
 11.60   	 24.11   	  6.45   	 -55.95		 83.78   	 -55.95		
 -5.80   	 -3.97   	  6.23   	 -40.69		 83.56   	 -50.86		
-21.06   	-32.65   	  6.06   	 -15.26		 83.36   	 -40.69		
-32.96   	-56.15   	  6.00   	  30.52		 83.19   	 -25.43		
-40.89   	-72.33   	  6.12   	 101.73		 83.09   	 -15.26		
-44.56   	-81.18   	  6.53   	 157.68		 83.03   	   5.09		
-44.86   	-85.45   	  7.16   	 208.54		 83.05   	   5.09		
-43.95   	-87.59   	  8.00   	 228.89		 83.07   	 -10.17		
-44.25   	-90.33   	  8.91   	 213.63		 83.03   	 -20.35		
-46.08   	-93.99   	  9.77   	 178.03		 82.95   	 -30.52		
-49.44   	-97.66   	 10.48   	 116.99		 82.83   	 -55.95		
-53.71   	-100.40   	 10.95   	  50.86		 82.60   	 -71.21		
-57.37   	-101.93   	 11.15   	   0.00		 82.32   	 -76.30		
-59.51   	-102.54   	 11.15   	 -40.69		 82.01   	 -86.47		
-59.81   	-102.54   	 10.99   	 -71.21		 81.67   	 -81.38		
