  I     	  II     	  CH1     	  CH1'		  PW     	  PW'		
-33.57   	-11.90   	 -0.41   	   0.00		  9.79   	  25.43		
-33.87   	-13.73   	 -0.41   	   0.00		  9.89   	   5.09		
-34.48   	-15.56   	 -0.41   	   0.00		  9.91   	  -5.09		
-35.40   	-17.40   	 -0.41   	  -5.09		  9.89   	 -10.17		
-35.71   	-18.92   	 -0.43   	   0.00		  9.85   	  -5.09		
-35.10   	-20.45   	 -0.43   	   0.00		  9.83   	 -10.17		
-34.18   	-22.28   	 -0.43   	  -5.09		  9.79   	   0.00		
-33.57   	-24.72   	 -0.45   	   0.00		  9.79   	   5.09		
-33.87   	-27.77   	 -0.45   	   0.00		  9.81   	   5.09		
-34.79   	-30.82   	 -0.45   	   0.00		  9.83   	   5.09		
-35.40   	-32.65   	 -0.45   	   0.00		  9.85   	   0.00		
-35.40   	-33.87   	 -0.45   	  -5.09		  9.85   	   0.00		
-35.10   	-34.48   	 -0.47   	   0.00		  9.85   	  -5.09		
-34.48   	-35.10   	 -0.47   	   0.00		  9.83   	 -10.17		
-34.79   	-36.32   	 -0.47   	   0.00		  9.79   	 -15.26		
-35.71   	-38.45   	 -0.47   	  -5.09		  9.73   	 -10.17		
-36.93   	-41.20   	 -0.49   	  -5.09		  9.68   	 -10.17		
-37.54   	-43.95   	 -0.51   	   5.09		  9.64   	 -10.17		
-37.54   	-46.08   	 -0.49   	  -5.09		  9.60   	  -5.09		
-37.23   	-47.61   	 -0.51   	   0.00		  9.58   	   0.00		
-36.93   	-48.83   	 -0.51   	   0.00		  9.58   	   0.00		
-36.93   	-49.44   	 -0.51   	   0.00		  9.58   	   5.09		
-37.54   	-50.35   	 -0.51   	   0.00		  9.60   	   0.00		
-38.45   	-51.27   	 -0.51   	   0.00		  9.60   	   0.00		
-39.06   	-52.49   	 -0.51   	  -5.09		  9.60   	   0.00		
-39.37   	-54.02   	 -0.53   	   0.00		  9.60   	  -5.09		
-39.37   	-55.85   	 -0.53   	   0.00		  9.58   	  -5.09		
-39.37   	-56.76   	 -0.53   	   5.09		  9.56   	 -10.17		
-39.37   	-57.07   	 -0.51   	   0.00		  9.52   	  -5.09		
-39.06   	-57.07   	 -0.51   	   0.00		  9.50   	 -10.17		
-39.06   	-57.37   	 -0.51   	   0.00		  9.46   	  -5.09		
-38.76   	-58.29   	 -0.51   	   0.00		  9.44   	  -5.09		
-38.76   	-59.81   	 -0.51   	   5.09		  9.42   	  -5.09		
-39.06   	-61.34   	 -0.49   	   0.00		  9.40   	   0.00		
-39.37   	-62.87   	 -0.49   	   0.00		  9.40   	   0.00		
-39.67   	-64.39   	 -0.49   	   0.00		  9.40   	   0.00		
-39.67   	-65.92   	 -0.49   	   5.09		  9.40   	   0.00		
-39.67   	-67.75   	 -0.47   	   0.00		  9.40   	   0.00		
-39.67   	-69.89   	 -0.47   	   0.00		  9.40   	   0.00		
-39.98   	-72.02   	 -0.47   	   0.00		  9.40   	   0.00		
-40.59   	-74.16   	 -0.47   	   5.09		  9.40   	   0.00		
-41.50   	-76.60   	 -0.45   	   0.00		  9.40   	   0.00		
-42.11   	-79.35   	 -0.45   	   0.00		  9.40   	  -5.09		
-42.42   	-82.09   	 -0.45   	   0.00		  9.38   	   0.00		
-41.81   	-84.53   	 -0.45   	   0.00		  9.38   	  -5.09		
-40.89   	-86.06   	 -0.45   	   5.09		  9.36   	   0.00		
-39.67   	-86.36   	 -0.43   	   0.00		  9.36   	  -5.09		
-37.84   	-83.01   	 -0.43   	   0.00		  9.34   	   0.00		
-34.18   	-73.85   	 -0.43   	   0.00		  9.34   	  -5.09		
-27.77   	-57.07   	 -0.43   	   0.00		  9.32   	   0.00		
-18.92   	-34.18   	 -0.43   	   0.00		  9.32   	  -5.09		
 -9.16   	-11.29   	 -0.43   	  -5.09		  9.30   	   0.00		
 -0.61   	  4.58   	 -0.45   	   0.00		  9.30   	   0.00		
  6.10   	  9.16   	 -0.45   	  -5.09		  9.30   	   0.00		
 11.90   	  3.97   	 -0.47   	   0.00		  9.30   	   0.00		
 19.53   	 -2.44   	 -0.47   	   0.00		  9.30   	   5.09		
 30.52   	 -0.31   	 -0.47   	   0.00		  9.32   	   5.09		
 43.95   	 16.48   	 -0.47   	   0.00		  9.34   	   5.09		
 57.37   	 42.11   	 -0.47   	   0.00		  9.36   	   5.09		
 67.44   	 64.70   	 -0.47   	   0.00		  9.38   	   5.09		
 72.02   	 71.72   	 -0.47   	   0.00		  9.40   	  10.17		
 72.33   	 61.04   	 -0.47   	  -5.09		  9.44   	   5.09		
 69.58   	 40.59   	 -0.49   	   0.00		  9.46   	   5.09		
 64.39   	 22.89   	 -0.49   	   0.00		  9.48   	  10.17		
 56.76   	 14.34   	 -0.49   	   0.00		  9.52   	   5.09		
 45.17   	 11.29   	 -0.49   	   0.00		  9.54   	   5.09		
 29.91   	  3.66   	 -0.49   	   0.00		  9.56   	  10.17		
 12.51   	-14.65   	 -0.49   	   0.00		  9.60   	  10.17		
 -5.80   	-42.11   	 -0.49   	   5.09		  9.64   	   5.09		
-22.58   	-72.33   	 -0.47   	   5.09		  9.66   	  10.17		
-36.62   	-98.27   	 -0.45   	   0.00		  9.70   	   5.09		
-47.30   	-116.27   	 -0.45   	   5.09		  9.73   	   0.00		
-53.41   	-126.34   	 -0.43   	   0.00		  9.73   	   0.00		
-55.24   	-130.62   	 -0.43   	   5.09		  9.73   	  -5.09		
-54.63   	-133.06   	 -0.41   	   0.00		  9.70   	  -5.09		
-53.71   	-135.50   	 -0.41   	  -5.09		  9.68   	 -15.26		
-54.63   	-139.47   	 -0.43   	  -5.09		  9.62   	 -20.35		
-57.37   	-143.74   	 -0.45   	   0.00		  9.54   	 -25.43		
-61.04   	-147.09   	 -0.45   	   0.00		  9.44   	 -25.43		
-63.48   	-148.62   	 -0.45   	   0.00		  9.34   	 -35.61		
-64.39   	-148.62   	 -0.45   	   0.00		  9.20   	 -35.61		
-63.78   	-148.01   	 -0.45   	   5.09		  9.05   	 -40.69		
-62.87   	-146.79   	 -0.43   	   0.00		  8.89   	 -35.61		
-62.56   	-144.96   	 -0.43   	   0.00		  8.75   	 -30.52		
-63.17   	-143.43   	 -0.43   	   0.00		  8.63   	 -20.35		
-64.39   	-145.57   	 -0.43   	   0.00		  8.55   	  -5.09		
-65.92   	-158.39   	 -0.43   	   5.09		  8.52   	  20.35		
-64.09   	-184.63   	 -0.41   	   0.00		  8.61   	  30.52		
-50.66   	-213.32   	 -0.41   	   0.00		  8.73   	  55.95		
-10.68   	-216.06   	 -0.41   	   0.00		  8.95   	  66.12		
 73.24   	-156.86   	 -0.41   	   0.00		  9.22   	  71.21		
