  I     	  II     	  AOp     	  AOp'		  FA     	  FA'		
  9.16   	 78.43   	 64.70   	 -20.35		 64.66   	 -20.35		
 11.29   	 86.67   	 64.62   	 -15.26		 64.58   	 -20.35		
 10.38   	 97.35   	 64.56   	 -20.35		 64.50   	 -15.26		
  7.93   	107.73   	 64.48   	 -10.17		 64.44   	 -20.35		
  6.10   	113.83   	 64.44   	 -15.26		 64.35   	 -15.26		
  7.32   	114.44   	 64.37   	 -10.17		 64.29   	 -20.35		
 14.34   	112.92   	 64.33   	 -15.26		 64.21   	 -15.26		
 27.16   	112.92   	 64.27   	 -10.17		 64.15   	 -20.35		
 41.81   	112.92   	 64.23   	  -5.09		 64.07   	 -15.26		
 51.57   	105.90   	 64.21   	 -10.17		 64.01   	 -20.35		
 50.66   	 87.89   	 64.17   	 -10.17		 63.93   	 -15.26		
 38.15   	 60.73   	 64.13   	 -10.17		 63.87   	 -20.35		
 18.62   	 31.43   	 64.09   	  -5.09		 63.78   	 -15.26		
 -0.61   	  7.32   	 64.07   	 -10.17		 63.72   	 -20.35		
-13.73   	-11.90   	 64.03   	 -10.17		 63.64   	 -15.26		
-18.62   	-32.65   	 63.99   	 -10.17		 63.58   	 -15.26		
-16.78   	-59.51   	 63.95   	 -10.17		 63.52   	 -15.26		
-11.90   	-89.42   	 63.91   	 -10.17		 63.46   	 -15.26		
 -7.93   	-113.22   	 63.87   	 -10.17		 63.40   	 -15.26		
 -7.02   	-124.51   	 63.82   	  -5.09		 63.34   	 -10.17		
 -9.16   	-122.68   	 63.80   	 -15.26		 63.30   	 -15.26		
-12.82   	-113.83   	 63.74   	 -10.17		 63.23   	 -10.17		
-14.95   	-105.59   	 63.70   	 -10.17		 63.19   	 -10.17		
-15.26   	-103.15   	 63.66   	 -10.17		 63.15   	  -5.09		
-14.65   	-106.20   	 63.62   	 -15.26		 63.13   	 -10.17		
-15.56   	-111.39   	 63.56   	 -15.26		 63.09   	 -10.17		
-19.23   	-114.44   	 63.50   	 -20.35		 63.05   	  -5.09		
-24.11   	-113.53   	 63.42   	 -20.35		 63.03   	 -10.17		
-26.55   	-108.95   	 63.34   	 -20.35		 62.99   	 -10.17		
-23.80   	-102.84   	 63.26   	 -20.35		 62.95   	  -5.09		
-16.17   	-98.27   	 63.17   	 -25.43		 62.93   	 -10.17		
 -7.63   	-96.44   	 63.07   	 -25.43		 62.89   	 -10.17		
 -3.05   	-97.96   	 62.97   	 -20.35		 62.85   	 -10.17		
 -4.58   	-101.93   	 62.89   	 -25.43		 62.81   	 -15.26		
-10.07   	-105.59   	 62.79   	 -20.35		 62.75   	 -10.17		
-15.87   	-105.90   	 62.71   	 -25.43		 62.71   	 -15.26		
-18.62   	-101.93   	 62.60   	 -20.35		 62.64   	 -15.26		
-18.01   	-95.21   	 62.52   	 -20.35		 62.58   	 -15.26		
-15.87   	-88.81   	 62.44   	 -15.26		 62.52   	 -15.26		
-14.04   	-86.36   	 62.38   	 -20.35		 62.46   	 -15.26		
-13.73   	-87.28   	 62.30   	 -20.35		 62.40   	 -20.35		
-14.34   	-88.50   	 62.22   	 -15.26		 62.32   	 -15.26		
-15.26   	-86.98   	 62.16   	 -15.26		 62.26   	 -20.35		
-16.78   	-83.01   	 62.10   	 -20.35		 62.18   	 -20.35		
-18.62   	-78.13   	 62.01   	 -15.26		 62.10   	 -15.26		
-20.14   	-75.38   	 61.95   	 -20.35		 62.03   	 -20.35		
-20.45   	-75.99   	 61.87   	 -15.26		 61.95   	 -20.35		
-19.23   	-78.13   	 61.81   	 -20.35		 61.87   	 -15.26		
-17.40   	-78.74   	 61.73   	 -20.35		 61.81   	 -20.35		
-15.87   	-75.68   	 61.65   	 -20.35		 61.73   	 -20.35		
-14.65   	-69.27   	 61.57   	 -25.43		 61.65   	 -20.35		
-13.43   	-63.17   	 61.46   	 -20.35		 61.57   	 -20.35		
-11.60   	-59.81   	 61.38   	 -20.35		 61.49   	 -20.35		
 -9.77   	-61.04   	 61.30   	 -25.43		 61.40   	 -15.26		
 -9.77   	-66.22   	 61.20   	 -25.43		 61.34   	 -20.35		
-12.21   	-72.63   	 61.10   	 -25.43		 61.26   	 -20.35		
-15.26   	-76.29   	 61.00   	 -20.35		 61.18   	 -20.35		
-18.31   	-75.68   	 60.92   	 -25.43		 61.10   	 -20.35		
-19.53   	-71.41   	 60.81   	 -20.35		 61.02   	 -20.35		
-18.92   	-65.31   	 60.73   	 -25.43		 60.94   	 -20.35		
-17.40   	-60.42   	 60.63   	 -20.35		 60.85   	 -20.35		
-14.65   	-58.59   	 60.55   	 -20.35		 60.77   	 -20.35		
-12.21   	-60.12   	 60.47   	 -20.35		 60.69   	 -20.35		
-12.51   	-63.48   	 60.39   	 -20.35		 60.61   	 -25.43		
-16.17   	-66.53   	 60.30   	 -20.35		 60.51   	 -20.35		
-21.36   	-67.14   	 60.22   	 -15.26		 60.43   	 -25.43		
-25.94   	-63.48   	 60.16   	 -15.26		 60.33   	 -20.35		
-29.91   	-53.41   	 60.10   	 -15.26		 60.24   	 -20.35		
-36.32   	-35.71   	 60.04   	 -15.26		 60.16   	 -25.43		
-48.52   	 -8.85   	 59.98   	 -10.17		 60.06   	 -20.35		
-64.39   	 33.87   	 59.94   	 -15.26		 59.98   	 -20.35		
-76.29   	104.37   	 59.88   	 -10.17		 59.90   	 -20.35		
-72.02   	216.37   	 59.84   	 -15.26		 59.82   	 -20.35		
-40.28   	375.06   	 59.78   	 -15.26		 59.74   	 -20.35		
 25.33   	567.02   	 59.71   	 -15.26		 59.65   	 -20.35		
123.60   	754.39   	 59.65   	 -15.26		 59.57   	 -20.35		
247.19   	874.33   	 59.59   	 -10.17		 59.49   	 -20.35		
381.47   	857.85   	 59.55   	 -15.26		 59.41   	 -15.26		
508.73   	666.81   	 59.49   	 -15.26		 59.35   	 -20.35		
609.13   	318.91   	 59.43   	 -10.17		 59.27   	 -15.26		
668.03   	-119.02   	 59.39   	 -10.17		 59.21   	 -15.26		
677.19   	-549.62   	 59.35   	 -10.17		 59.15   	 -20.35		
638.73   	-892.33   	 59.31   	 -10.17		 59.06   	 -15.26		
567.32   	-1110.84   	 59.27   	  -5.09		 59.00   	 -15.26		
484.31   	-1202.70(R)	 59.25   	 -10.17		 58.94   	 -15.26		
407.41   	-1179.50   	 59.21   	  -5.09		 58.88   	 -15.26		
343.93   	-1062.01   	 59.19   	 -10.17		 58.82   	 -15.26		
288.39   	-881.04   	 59.15   	   0.00		 58.76   	 -15.26		
228.27   	-673.52   	 59.15   	  -5.09		 58.70   	 -10.17		
155.33   	-473.63   	 59.12   	   0.00		 58.66   	 -15.26		
 74.16   	-304.26   	 59.12   	  10.17		 58.60   	 -10.17		
 -0.61   	-170.90   	 59.17   	  15.26		 58.56   	 -10.17		
-54.02   	-72.94   	 59.23   	  30.52		 58.51   	 -10.17		
-78.13   	-10.38   	 59.35   	  61.04		 58.47   	  -5.09		
-76.90   	 16.48   	 59.59   	  86.47		 58.45   	  -5.09		
-64.70   	 17.70   	 59.94   	 137.33		 58.43   	  -5.09		
-55.24   	 10.07   	 60.49   	 188.20		 58.41   	  -5.09		
-55.54   	  8.24   	 61.24   	 244.15		 58.39   	   0.00		
-63.48   	 16.78   	 62.22   	 305.19		 58.39   	  10.17		
-71.72   	 32.04   	 63.44   	 361.14		 58.43   	  10.17		
-75.38   	 44.56   	 64.88   	 417.09		 58.47   	  25.43		
-74.16   	 49.74   	 66.55   	 467.95		 58.58   	  40.69		
-71.41   	 48.22   	 68.42   	 523.90		 58.74   	  61.04		
-70.50   	 45.17   	 70.52   	 579.86		 58.98   	  91.56		
-71.41   	 45.78   	 72.84   	 640.89		 59.35   	 132.25		
-72.02   	 51.57   	 75.40   	 691.76		 59.88   	 172.94		
-71.11   	 59.81   	 78.17   	 732.45		 60.57   	 228.89		
-70.19   	 66.22   	 81.10   	 773.14		 61.49   	 289.93		
-70.19   	 70.50   	 84.19   	 803.66		 62.64   	 356.05		
-70.19   	 75.38   	 87.41   	 818.92		 64.07   	 427.26		
-68.66   	 83.62   	 90.68   	 839.26		 65.78   	 493.39		
-64.70   	 93.69   	 94.04   	 839.26		 67.75   	 559.51		
-60.73   	101.32   	 97.40   	 824.00		 69.99   	 630.72		
-60.12   	103.76   	100.69   	 803.66		 72.51   	 691.76		
-64.39   	102.54   	103.91   	 778.23		 75.28   	 742.62		
-71.72   	103.76   	107.02   	 757.88		 78.25   	 798.57		
-77.82   	111.69   	110.05   	 757.88		 81.44   	 849.44		
-79.04   	124.82   	113.08   	 768.05		 84.84   	 885.04		
-75.38   	139.47   	116.15   	 778.23		 88.38   	 920.65		
-68.66   	152.89   	119.27   	 783.31		 92.06   	 956.25		
-62.87   	164.49   	122.40   	 788.40		 95.89   	 976.60		
-61.04   	175.78   	125.55   	 783.31		 99.80   	 996.94		
-63.78   	186.77   	128.69   	 773.14		103.78   	1012.20		
-68.05   	195.62   	131.78   	 762.97		107.83   	1022.38		
-71.11   	201.72   	134.83   	 757.88		111.92   	1022.38		
-70.80   	208.13   	137.86   	 732.45		116.01   	1022.38		
-68.36   	218.51   	140.79   	 717.19		120.10   	1012.20		
-66.53   	235.60   	143.66   	 686.67		124.15   	1002.03		
-67.14   	256.65   	146.41   	 656.15		128.16   	 991.86		
-68.97   	278.32   	149.03   	 625.63		132.13   	 966.43		
-69.89   	296.63   	151.54   	 590.03		135.99   	 940.99		
-69.58   	312.81   	153.90   	 554.42		139.76   	 920.65		
-69.27   	329.59   	156.11   	 523.90		143.44   	 885.04		
-70.50   	348.51   	158.21   	 493.39		146.98   	 849.44		
-73.55   	368.96   	160.18   	 462.87		150.38   	 813.83		
-75.99   	389.71   	162.03   	 437.43		153.63   	 783.31		
-75.68   	409.55   	163.78   	 412.00		156.76   	 737.54		
-73.24   	429.38   	165.43   	 386.57		159.71   	 701.93		
-71.41   	449.83   	166.98   	 371.31		162.52   	 656.15		
-72.63   	471.19   	168.46   	 345.88		165.15   	 620.55		
-75.38   	492.86   	169.85   	 325.53		167.63   	 579.86		
-77.51   	514.83   	171.15   	 305.19		169.95   	 539.16		
-77.51   	535.89   	172.37   	 274.67		172.11   	 503.56		
-75.99   	555.11   	173.47   	 254.32		174.12   	 457.78		
-76.90   	571.90   	174.49   	 223.80		175.95   	 422.18		
-82.70   	586.55   	175.38   	 198.37		177.64   	 386.57		
-91.55   	599.98   	176.17   	 162.77		179.19   	 345.88		
-98.27   	612.79   	176.83   	 127.16		180.57   	 305.19		
-99.49   	623.78   	177.33   	  96.64		181.79   	 269.58		
-94.91   	631.71   	177.72   	  55.95		182.87   	 228.89		
-87.89   	635.07   	177.94   	  20.35		183.78   	 188.20		
-82.70   	634.16   	178.03(S)	 -15.26		184.54   	 152.59		
-81.18   	628.66   	177.96   	 -55.95		185.15   	 111.90		
-82.09   	617.98   	177.74   	 -96.64		185.59   	  76.30		
-82.09   	601.20   	177.35   	-132.25		185.90   	  30.52		
-79.96   	578.61   	176.83   	-167.85		186.02(S)	  -5.09		
-74.77   	551.15   	176.15   	-198.37		186.00   	 -45.78		
-67.44   	519.41   	175.36   	-233.98		185.82   	 -86.47		
-60.42   	483.70   	174.42   	-264.50		185.47   	-127.16		
-54.32   	442.81   	173.37   	-295.01		184.96   	-162.77		
-49.13   	397.95   	172.19   	-315.36		184.31   	-198.37		
-44.56   	353.09   	170.93   	-345.88		183.52   	-239.06		
-39.98   	311.28   	169.54   	-371.31		182.56   	-274.67		
-35.10   	273.13   	168.06   	-391.66		181.46   	-305.19		
-29.91   	237.12   	166.49   	-406.92		180.24   	-340.79		
-24.72   	200.20   	164.86   	-427.26		178.88   	-366.22		
-20.75   	160.52   	163.15   	-442.52		177.42   	-401.83		
-18.01   	119.02   	161.38   	-442.52		175.81   	-422.18		
-16.78   	 80.26   	159.61   	-452.69		174.12   	-447.61		
-15.26   	 47.91   	157.80   	-447.61		172.33   	-473.04		
-13.12   	 24.72   	156.01   	-442.52		170.44   	-493.39		
-10.07   	  9.46   	154.24   	-437.43		168.46   	-508.65		
 -7.02   	 -1.83   	152.49   	-422.18		166.43   	-518.82		
 -5.19   	-13.43   	150.80   	-412.00		164.35   	-534.08		
 -4.88   	-25.94   	149.16   	-396.74		162.22   	-539.16		
 -5.80   	-37.84   	147.57   	-386.57		160.06   	-544.25		
 -6.71   	-47.00   	146.02   	-366.22		157.88   	-544.25		
 -6.71   	-52.49   	144.56   	-350.97		155.71   	-539.16		
 -4.88   	-55.85   	143.15   	-335.71		153.55   	-539.16		
 -1.83   	-58.90   	141.81   	-325.53		151.39   	-528.99		
  0.31   	-62.87   	140.51   	-310.27		149.28   	-518.82		
 -0.31   	-67.75   	139.27   	-300.10		147.20   	-503.56		
 -3.97   	-71.72   	138.07   	-289.93		145.19   	-498.47		
 -8.54   	-74.46   	136.91   	-279.75		143.19   	-478.13		
-11.60   	-75.07   	135.79   	-274.67		141.28   	-462.87		
-11.29   	-75.68   	134.69   	-264.50		139.43   	-447.61		
 -8.54   	-77.51   	133.63   	-264.50		137.64   	-432.35		
 -5.80   	-80.57   	132.57   	-259.41		135.91   	-417.09		
 -5.19   	-83.62   	131.54   	-254.32		134.24   	-401.83		
 -6.10   	-85.14   	130.52   	-249.24		132.63   	-386.57		
 -7.63   	-83.62   	129.52   	-249.24		131.09   	-366.22		
 -8.54   	-78.43   	128.52   	-249.24		129.62   	-356.05		
 -9.46   	-70.50   	127.53   	-244.15		128.20   	-345.88		
-10.38   	-60.12   	126.55   	-239.06		126.82   	-325.53		
-10.07   	-48.83   	125.59   	-233.98		125.51   	-315.36		
 -7.93   	-36.32   	124.66   	-239.06		124.25   	-305.19		
 -3.97   	-22.28   	123.70   	-228.89		123.03   	-289.93		
 -0.92   	 -7.32   	122.79   	-228.89		121.87   	-284.84		
 -1.22   	  9.16   	121.87   	-228.89		120.73   	-269.58		
 -5.80   	 25.33   	120.96   	-218.72		119.65   	-259.41		
-11.90   	 38.76   	120.08   	-223.80		118.62   	-249.24		
-14.95   	 48.22   	119.19   	-213.63		117.62   	-239.06		
-13.12   	 53.10   	118.33   	-213.63		116.66   	-228.89		
 -7.93   	 55.24   	117.48   	-213.63		115.75   	-223.80		
 -2.75   	 57.07   	116.62   	-203.46		114.85   	-213.63		
 -1.83   	 60.12   	115.81   	-396.74		114.00   	-406.92		
 -8.85   	 68.36   	114.22   	-193.29		112.37   	-193.29		
-10.38   	 69.89   	113.45   	-188.20		111.60   	-183.11		
 -7.02   	 69.89   	112.70   	-183.11		110.86   	-183.11		
  0.92   	 71.72   	111.96   	-178.03		110.13   	-172.94		
