  I     	  II     	  LV     	  LV'		  FA     	  FA'		
-37.23   	-97.35   	 24.98   	-279.75		129.22   	-239.06		
-38.76   	-126.34   	 23.87   	-249.24		128.26   	-218.72		
-39.98   	-143.13   	 22.87   	-218.72		127.39   	-203.46		
-39.98   	-147.09   	 21.99   	-183.11		126.57   	-193.29		
-38.45   	-143.43   	 21.26   	-162.77		125.80   	-188.20		
-37.23   	-139.16   	 20.61   	-132.25		125.05   	-178.03		
-36.32   	-138.24   	 20.08   	-111.90		124.33   	-183.11		
-36.32   	-141.30   	 19.63   	 -91.56		123.60   	-183.11		
-36.01   	-145.87   	 19.27   	 -81.38		122.87   	-183.11		
-35.10   	-149.84   	 18.94   	 -71.21		122.14   	-188.20		
-33.87   	-152.28   	 18.66   	 -66.12		121.38   	-188.20		
-33.57   	-153.20   	 18.39   	 -61.04		120.63   	-183.11		
-34.79   	-153.20   	 18.15   	 -55.95		119.90   	-183.11		
-36.01   	-152.28   	 17.92   	 -45.78		119.17   	-178.03		
-35.71   	-151.67   	 17.74   	 -50.86		118.45   	-172.94		
-34.48   	-151.67   	 17.54   	 -40.69		117.76   	-157.68		
-32.65   	-151.37   	 17.38   	 -45.78		117.13   	-152.59		
-30.82   	-149.54   	 17.19   	 -35.61		116.52   	-132.25		
-28.69   	-146.18   	 17.05   	 -30.52		115.99   	-127.16		
-25.94   	-142.21   	 16.93   	 -20.35		115.48   	-122.07		
-23.50   	-138.55   	 16.85   	 -10.17		114.99   	-111.90		
-23.19   	-136.72   	 16.81   	  15.26		114.55   	-101.73		
-25.94   	-136.41   	 16.87   	  30.52		114.14   	-101.73		
-29.30   	-136.72   	 16.99   	  55.95		113.73   	 -96.64		
-30.52   	-136.72   	 17.21   	  76.30		113.35   	 -91.56		
-28.38   	-135.80   	 17.52   	  91.56		112.98   	 -81.38		
-24.11   	-134.28   	 17.88   	 111.90		112.65   	 -81.38		
-21.06   	-132.75   	 18.33   	 116.99		112.33   	 -81.38		
-21.67   	-131.84   	 18.80   	 122.07		112.00   	 -71.21		
-24.72   	-130.31   	 19.29   	 116.99		111.72   	 -66.12		
-27.47   	-127.56   	 19.76   	 106.82		111.45   	 -71.21		
-28.38   	-123.90   	 20.18   	  96.64		111.17   	 -66.12		
-26.86   	-120.24   	 20.57   	  86.47		110.90   	 -66.12		
-24.11   	-118.41   	 20.92   	  61.04		110.64   	 -71.21		
-22.28   	-117.80   	 21.16   	  50.86		110.36   	 -71.21		
-21.97   	-116.88   	 21.36   	  30.52		110.07   	 -76.30		
-24.11   	-115.36   	 21.49   	  15.26		109.77   	 -81.38		
-27.47   	-112.92   	 21.55   	   5.09		109.44   	 -91.56		
-30.82   	-111.08   	 21.57   	   0.00		109.07   	 -96.64		
-31.74   	-111.39   	 21.57   	 -15.26		108.69   	-106.82		
-29.60   	-112.61   	 21.51   	 -15.26		108.26   	-111.90		
-25.33   	-113.22   	 21.44   	 -25.43		107.81   	-122.07		
-20.75   	-112.00   	 21.34   	 -30.52		107.32   	-127.16		
-18.31   	-108.34   	 21.22   	 -25.43		106.82   	-137.33		
-18.31   	-104.37   	 21.12   	 -35.61		106.27   	-142.42		
-21.06   	-101.93   	 20.98   	 -30.52		105.70   	-152.59		
-24.72   	-101.01   	 20.85   	 -25.43		105.09   	-152.59		
-27.16   	-101.62   	 20.75   	 -25.43		104.48   	-157.68		
-27.47   	-102.23   	 20.65   	 -25.43		103.84   	-162.77		
-26.55   	-102.54   	 20.55   	 -20.35		103.19   	-162.77		
-25.02   	-102.23   	 20.47   	 -15.26		102.54   	-167.85		
-24.11   	-101.32   	 20.41   	 -15.26		101.87   	-162.77		
-23.50   	-100.40   	 20.35   	 -10.17		101.22   	-167.85		
-22.89   	-99.49   	 20.31   	  -5.09		100.55   	-162.77		
-21.67   	-99.18   	 20.28   	   0.00		 99.90   	-157.68		
-20.45   	-98.27   	 20.28   	   0.00		 99.27   	-157.68		
-20.14   	-96.74   	 20.28   	   5.09		 98.64   	-152.59		
-21.06   	-94.60   	 20.31   	   5.09		 98.03   	-147.51		
-22.89   	-92.77   	 20.33   	   5.09		 97.44   	-147.51		
-25.94   	-92.77   	 20.35   	   5.09		 96.85   	-137.33		
-32.35   	-97.05   	 20.37   	   5.09		 96.30   	-132.25		
-44.25   	-108.03   	 20.39   	   5.09		 95.77   	-127.16		
-60.42   	-124.82   	 20.41   	   5.09		 95.26   	-122.07		
-73.24   	-134.89   	 20.43   	   5.09		 94.77   	-122.07		
-69.27   	-107.12   	 20.45   	   0.00		 94.28   	-106.82		
-36.01   	  2.44   	 20.45   	   5.09		 93.86   	-106.82		
 32.65   	231.63   	 20.47   	   0.00		 93.43   	-101.73		
132.45   	581.67   	 20.47   	   5.09		 93.02   	 -96.64		
249.63   	993.65   	 20.49   	   5.09		 92.63   	 -91.56		
363.77   	1354.68   	 20.51   	  20.35		 92.27   	-167.85		
486.15   	1536.87(R)	 20.59(E)	  25.43		 91.60   	 -81.38		
453.19   	1343.69   	 20.69   	  30.52		 91.27   	 -76.30		
354.31   	1059.88   	 20.81   	  45.78		 90.97   	 -71.21		
213.01   	773.62   	 21.00   	  61.04		 90.68   	 -66.12		
 68.66   	526.12   	 21.24   	  86.47		 90.42   	 -66.12		
-41.20   	315.86   	 21.59   	 116.99		 90.15   	 -66.12		
-98.27   	135.50   	 22.05   	 157.68		 89.89   	 -66.12		
-109.56   	 -8.24   	 22.69   	 203.46		 89.62   	 -61.04		
-95.83   	-106.20   	 23.50   	 259.41		 89.38   	 -55.95		
-77.21   	-157.78   	 24.54   	 330.62		 89.16   	 -61.04		
-63.17   	-173.65   	 25.86   	 396.74		 88.91   	 -61.04		
-53.41   	-169.37   	 27.45   	 483.21		 88.67   	 -55.95		
-44.86   	-157.78   	 29.38   	 564.60		 88.44   	 -55.95		
-36.93   	-145.87   	 31.64   	 661.24		 88.22   	 -61.04		
-31.43   	-137.02   	 34.28   	 747.71		 87.98   	 -55.95		
-28.99   	-134.28   	 37.27   	 834.18		 87.75   	 -50.86		
-28.99   	-136.41   	 40.61   	 915.56		 87.55   	 -55.95		
-28.99   	-139.16   	 44.27   	 986.77		 87.32   	 -55.95		
-28.38   	-140.08   	 48.22   	1037.64		 87.10   	 -45.78		
-27.47   	-139.47   	 52.37   	1073.24		 86.92   	 -50.86		
-26.55   	-138.85   	 56.66   	1098.67		 86.71   	 -40.69		
-25.63   	-137.94   	 61.06   	1108.85		 86.55   	 -40.69		
-25.02   	-134.58   	 65.49   	1113.93		 86.39   	 -35.61		
-25.33   	-129.70   	 69.95   	1124.11		 86.25   	 -25.43		
-26.86   	-125.43   	 74.45   	1129.19		 86.14   	 -15.26		
-28.99   	-123.29   	 78.96   	1154.62		 86.08   	  -5.09		
-30.82   	-122.38   	 83.58   	1169.88		 86.06   	  15.26		
-30.82   	-120.54   	 88.26   	1190.23		 86.12   	  40.69		
-28.69   	-116.88   	 93.02   	1190.23		 86.29   	  61.04		
-25.33   	-112.00   	 97.78   	1195.32		 86.53   	  91.56		
-21.67   	-107.42   	102.56   	1195.32		 86.90   	 132.25		
-18.92   	-104.98   	107.34   	1200.40		 87.43   	 167.85		
-18.31   	-103.76   	112.15   	1185.14		 88.10   	 213.63		
-19.23   	-102.84   	116.89   	1164.80		 88.95   	 259.41		
-20.45   	-100.10   	121.55   	1124.11		 89.99   	 305.19		
-20.14   	-94.30   	126.04   	1063.07		 91.21   	 350.97		
-17.40   	-85.75   	130.29   	 991.86		 92.61   	 401.83		
-12.82   	-76.60   	134.26   	 930.82		 94.22   	 447.61		
 -8.85   	-68.66   	137.99   	 879.96		 96.01   	 493.39		
 -7.93   	-63.48   	141.51   	 844.35		 97.99   	 534.08		
-10.07   	-60.42   	144.88   	 808.75		100.12   	 579.86		
-13.43   	-57.37   	148.12   	 773.14		102.44   	 610.37		
-14.65   	-52.49   	151.21   	 722.28		104.88   	 651.07		
-12.51   	-44.56   	154.10   	 681.58		107.49   	 676.50		
 -7.63   	-34.18   	156.83   	 630.72		110.19   	 707.02		
 -2.44   	-22.89   	159.35   	 590.03		113.02   	 732.45		
  1.83   	-12.51   	161.71   	 559.51		115.95   	 747.71		
  3.36   	 -3.05   	163.95   	 534.08		118.94   	 762.97		
  2.44   	  4.88   	166.08   	 503.56		121.99   	 773.14		
  1.22   	 13.12   	168.10   	 478.13		125.09   	 783.31		
  2.14   	 22.28   	170.01   	 457.78		128.22   	 783.31		
  7.02   	 33.87   	171.84   	 437.43		131.35   	 788.40		
 14.65   	 48.52   	173.59   	 417.09		134.51   	 778.23		
 22.58   	 65.31   	175.26   	 406.92		137.62   	 773.14		
 28.08   	 82.40   	176.89   	 391.66		140.71   	 762.97		
 31.43   	 97.96   	178.45   	 376.40		143.76   	 752.79		
 33.57   	110.47   	179.96   	 361.14		146.77   	 737.54		
 36.01   	120.24   	181.40   	 356.05		149.72   	 717.19		
 39.37   	128.17   	182.83   	 350.97		152.59   	 707.02		
 43.95   	136.41   	184.23   	 340.79		155.42   	 681.58		
 49.74   	145.26   	185.59   	 335.71		158.15   	 666.32		
 56.46   	154.11   	186.94   	 315.36		160.81   	 640.89		
 62.87   	161.13   	188.20   	 305.19		163.38   	 620.55		
 66.22   	164.49   	189.42   	 284.84		165.86   	 600.20		
 66.53   	164.49   	190.56   	 269.58		168.26   	 574.77		
 65.00   	162.66   	191.64   	 254.32		170.56   	 549.34		
 63.17   	160.52   	192.65   	 233.98		172.76   	 523.90		
 61.95   	158.39   	193.59   	 208.54		174.85   	 498.47		
 60.73   	155.03   	194.42   	 188.20		176.85   	 473.04		
 58.59   	148.93   	195.18   	 162.77		178.74   	 452.69		
 54.93   	138.85   	195.83   	 147.51		180.55   	 417.09		
 50.05   	123.90   	196.42   	 127.16		182.22   	 396.74		
 43.95   	104.98   	196.93   	 111.90		183.80   	 371.31		
 36.32   	 84.53   	197.37   	  96.64		185.29   	 340.79		
 27.77   	 64.70   	197.76   	  71.21		186.65   	 310.27		
 19.23   	 47.00   	198.05   	  50.86		187.89   	 289.93		
 11.60   	 30.52   	198.25   	  35.61		189.05   	 254.32		
  5.19   	 14.04   	198.39   	  10.17		190.07   	 233.98		
  0.61   	 -2.75   	198.43(S)	 -10.17		191.01   	 203.46		
 -3.66   	-18.92   	198.39   	 -45.78		191.82   	 178.03		
 -7.93   	-33.57   	198.21   	 -86.47		192.53   	 147.51		
-12.51   	-45.78   	197.86   	-116.99		193.12   	 116.99		
-16.48   	-54.93   	197.39   	-162.77		193.59   	  91.56		
-18.92   	-61.65   	196.74   	-198.37		193.96   	  66.12		
-19.53   	-66.22   	195.95   	-249.24		194.22   	  30.52		
-18.92   	-69.58   	194.95   	-300.10		194.34   	   5.09		
-19.53   	-73.85   	193.75   	-356.05		194.36(S)	 -30.52		
-21.97   	-79.04   	192.33   	-417.09		194.24   	 -55.95		
-25.02   	-84.84   	190.66   	-478.13		194.02   	 -91.56		
-26.86   	-89.42   	188.75   	-544.25		193.65   	-127.16		
-27.16   	-92.16   	186.57   	-610.37		193.14   	-162.77		
-26.55   	-93.38   	184.13   	-686.67		192.49   	-193.29		
-26.25   	-93.99   	181.38   	-768.05		191.72   	-233.98		
-26.86   	-93.69   	178.31   	-849.44		190.78   	-274.67		
-27.77   	-92.77   	174.91   	-946.08		189.68   	-305.19		
-28.08   	-91.55   	171.13   	-1037.64		188.46   	-345.88		
-28.08   	-91.25   	166.98   	-1124.11		187.08   	-381.48		
-27.47   	-92.77   	162.48   	-1215.66		185.55   	-412.00		
-27.16   	-95.52   	157.62   	-1291.96		183.91   	-447.61		
-26.86   	-98.27   	152.45   	-1363.17		182.12   	-473.04		
-26.55   	-99.18   	147.00   	-1424.21		180.22   	-498.47		
-26.86   	-98.57   	141.30   	-1464.90		178.23   	-518.82		
-28.08   	-96.44   	135.44   	-1505.59		176.15   	-539.16		
-29.60   	-93.99   	129.42   	-1520.85		174.00   	-544.25		
-32.04   	-92.16   	123.34   	-1536.11		171.82   	-559.51		
-35.10   	-91.55   	117.19   	-1536.11		169.58   	-554.42		
-37.84   	-91.55   	111.05   	-1531.02		167.36   	-564.60		
-39.37   	-91.55   	104.92   	-1510.68		165.11   	-554.42		
-38.15   	-89.72   	 98.88   	-1480.16		162.89   	-549.34		
-34.79   	-83.92   	 92.96   	-1449.64		160.69   	-539.16		
-31.43   	-74.16   	 87.16   	-1414.03		158.53   	-534.08		
-30.21   	-60.42   	 81.51   	-1363.17		156.40   	-513.73		
-32.04   	-43.64   	 76.05   	-1322.48		154.34   	-503.56		
-34.79   	-25.02   	 70.76   	-1266.53		152.33   	-483.21		
-36.32   	 -5.49   	 65.70   	-1215.66		150.40   	-467.95		
-35.71   	 12.51   	 60.83   	-1139.36		148.52   	-452.69		
-32.35   	 26.55   	 56.28   	-1073.24		146.71   	-437.43		
