  I     	  II     	  LV     	  LV'		  FA     	  FA'		
-10.99   	 28.08   	 28.22   	-417.09		131.60   	-284.84		
 -4.27   	 24.41   	 26.55   	-371.31		130.46   	-269.58		
  6.71   	 33.26   	 25.07   	-330.62		129.38   	-264.50		
 18.92   	 50.35   	 23.74   	-300.10		128.32   	-254.32		
 26.55   	 65.00   	 22.54   	-269.58		127.30   	-244.15		
 27.16   	 66.83   	 21.46   	-239.06		126.33   	-239.06		
 21.36   	 53.41   	 20.51   	-213.63		125.37   	-228.89		
 11.29   	 29.60   	 19.65   	-193.29		124.46   	-218.72		
 -0.61   	  0.31   	 18.88   	-172.94		123.58   	-218.72		
-13.12   	-31.43   	 18.19   	-147.51		122.71   	-208.54		
-23.80   	-65.31   	 17.60   	-132.25		121.87   	-203.46		
-30.21   	-98.27   	 17.07   	-111.90		121.06   	-198.37		
-30.82   	-126.34   	 16.62   	-101.73		120.26   	-193.29		
-27.77   	-144.04   	 16.22   	 -76.30		119.49   	-188.20		
-24.11   	-151.06   	 15.91   	 -66.12		118.74   	-183.11		
-22.89   	-150.45   	 15.65   	 -55.95		118.01   	-178.03		
-24.11   	-147.71   	 15.42   	 -35.61		117.29   	-172.94		
-26.25   	-145.87   	 15.28   	 -25.43		116.60   	-167.85		
-28.08   	-146.18   	 15.18   	 -15.26		115.93   	-162.77		
-28.99   	-147.09   	 15.12   	   0.00		115.28   	-157.68		
-29.30   	-148.01   	 15.12   	  15.26		114.65   	-157.68		
-29.60   	-149.23   	 15.18   	  20.35		114.02   	-152.59		
-29.60   	-151.06   	 15.26   	  25.43		113.41   	-142.42		
-30.52   	-153.81   	 15.36   	  30.52		112.84   	-147.51		
-31.74   	-156.56   	 15.48   	  30.52		112.25   	-137.33		
-33.87   	-157.78   	 15.61   	  30.52		111.70   	-137.33		
-34.79   	-155.64   	 15.73   	  25.43		111.15   	-137.33		
-33.57   	-150.76   	 15.83   	  20.35		110.60   	-127.16		
-30.52   	-144.65   	 15.91   	  20.35		110.09   	-132.25		
-27.16   	-140.69   	 15.99   	  10.17		109.56   	-127.16		
-25.33   	-139.16   	 16.03   	  10.17		109.05   	-127.16		
-25.02   	-139.47   	 16.07   	  10.17		108.54   	-127.16		
-25.94   	-139.16   	 16.11   	   5.09		108.04   	-122.07		
-26.55   	-137.02   	 16.13   	  10.17		107.55   	-122.07		
-26.86   	-133.67   	 16.17   	  15.26		107.06   	-122.07		
-27.47   	-130.92   	 16.24   	  30.52		106.57   	-122.07		
-28.69   	-129.70   	 16.36   	  45.78		106.08   	-116.99		
-29.60   	-128.78   	 16.54   	  61.04		105.62   	-116.99		
-29.60   	-127.87   	 16.79   	  76.30		105.15   	-116.99		
-29.30   	-126.95   	 17.09   	  96.64		104.68   	-116.99		
-29.60   	-126.65   	 17.48   	 106.82		104.21   	-111.90		
-30.82   	-127.26   	 17.90   	 116.99		103.76   	-111.90		
-32.35   	-127.26   	 18.37   	 116.99		103.32   	-111.90		
-31.74   	-124.82   	 18.84   	 111.90		102.87   	-106.82		
-28.08   	-119.02   	 19.29   	 101.73		102.44   	-106.82		
-23.50   	-112.30   	 19.69   	  91.56		102.01   	-106.82		
-20.75   	-107.73   	 20.06   	  81.38		101.59   	-101.73		
-21.97   	-106.81   	 20.39   	  66.12		101.18   	-106.82		
-25.63   	-109.56   	 20.65   	  50.86		100.75   	-101.73		
-29.30   	-114.14   	 20.85   	  30.52		100.35   	-101.73		
-30.82   	-117.80   	 20.98   	  15.26		 99.94   	 -96.64		
-30.52   	-118.71   	 21.04   	  -5.09		 99.55   	-101.73		
-28.99   	-115.97   	 21.02   	 -15.26		 99.15   	-101.73		
-27.16   	-110.17   	 20.96   	 -25.43		 98.74   	 -96.64		
-25.33   	-103.76   	 20.85   	 -25.43		 98.35   	-101.73		
-23.19   	-99.49   	 20.75   	 -30.52		 97.94   	 -96.64		
-21.97   	-99.18   	 20.63   	 -20.35		 97.56   	-101.73		
-22.58   	-102.84   	 20.55   	 -10.17		 97.15   	-101.73		
-25.02   	-106.51   	 20.51   	 -10.17		 96.74   	 -96.64		
-27.77   	-107.73   	 20.47   	   0.00		 96.36   	-101.73		
-28.99   	-104.98   	 20.47   	 -10.17		 95.95   	-101.73		
-28.38   	-100.40   	 20.43   	 -25.43		 95.54   	-101.73		
-25.63   	-96.74   	 20.33   	 -45.78		 95.14   	 -96.64		
-22.28   	-94.91   	 20.14   	 -66.12		 94.75   	-101.73		
-19.53   	-94.30   	 19.88   	 -81.38		 94.34   	 -96.64		
-18.62   	-92.77   	 19.55   	 -81.38		 93.96   	-101.73		
-19.23   	-89.72   	 19.23   	 -71.21		 93.55   	 -96.64		
-21.06   	-86.06   	 18.94   	 -55.95		 93.16   	-101.73		
-23.19   	-83.92   	 18.72   	 -35.61		 92.76   	 -96.64		
-25.63   	-85.14   	 18.58   	 -25.43		 92.37   	 -96.64		
-31.43   	-90.33   	 18.47   	 -10.17		 91.98   	 -96.64		
-42.42   	-100.40   	 18.43   	  -5.09		 91.60   	 -96.64		
-57.37   	-114.14   	 18.41   	  -5.09		 91.21   	 -91.56		
-68.36   	-122.68   	 18.39   	   0.00		 90.84   	 -96.64		
-64.39   	-101.62   	 18.39(E)	  10.17		 90.46   	 -91.56		
-34.48   	-12.51   	 18.43   	  10.17		 90.09   	 -96.64		
 28.38   	186.46   	 18.47   	  10.17		 89.70   	 -91.56		
124.21   	507.81   	 18.51   	  15.26		 89.34   	 -91.56		
243.23   	908.81   	 18.58   	  20.35		 88.97   	 -91.56		
364.99   	1285.10   	 18.66   	  30.52		 88.61   	-178.03		
511.17   	1537.48(R)	 18.78   	  15.26		 87.89   	 -91.56		
489.50   	1366.58   	 18.84   	  25.43		 87.53   	 -86.47		
398.86   	1089.48   	 18.94   	  30.52		 87.18   	 -86.47		
260.01   	804.75   	 19.06   	  40.69		 86.84   	 -81.38		
109.86   	563.96   	 19.23   	  55.95		 86.51   	 -81.38		
-13.43   	364.38   	 19.45   	  76.30		 86.18   	 -81.38		
-85.14   	191.04   	 19.76   	 111.90		 85.86   	 -76.30		
-105.29   	 44.56   	 20.20   	 142.42		 85.55   	 -76.30		
-93.08   	-64.39   	 20.77   	 193.29		 85.25   	 -76.30		
-72.63   	-128.78   	 21.55   	 249.24		 84.94   	 -71.21		
-58.59   	-153.81   	 22.54   	 320.45		 84.66   	 -71.21		
-52.80   	-155.94   	 23.82   	 386.57		 84.37   	 -66.12		
-49.74   	-149.84   	 25.37   	 467.95		 84.11   	 -66.12		
-45.17   	-143.13   	 27.24   	 554.42		 83.85   	 -66.12		
-40.28   	-137.94   	 29.46   	 635.81		 83.58   	 -66.12		
-37.54   	-137.02   	 32.00   	 727.36		 83.32   	 -61.04		
-36.93   	-140.08   	 34.91   	 808.75		 83.07   	 -55.95		
-36.93   	-143.43   	 38.15   	 900.30		 82.85   	 -55.95		
-35.71   	-142.82   	 41.75   	 981.68		 82.62   	 -55.95		
-34.48   	-138.55   	 45.68   	1057.98		 82.40   	 -50.86		
-33.87   	-132.14   	 49.91   	1113.93		 82.20   	 -45.78		
-34.18   	-126.65   	 54.36   	1154.62		 82.01   	 -40.69		
-34.18   	-122.07   	 58.98   	1190.23		 81.85   	 -35.61		
-33.26   	-119.93   	 63.74   	1200.40		 81.71   	 -30.52		
-32.04   	-119.32   	 68.55   	1205.49		 81.59   	 -20.35		
-32.04   	-117.80   	 73.37   	1195.32		 81.51   	 -10.17		
-32.04   	-113.22   	 78.15   	1185.14		 81.46   	   5.09		
-31.13   	-104.98   	 82.89   	1169.88		 81.48   	  20.35		
-28.99   	-96.13   	 87.57   	1180.06		 81.57   	  45.78		
-26.25   	-91.25   	 92.29   	1210.58		 81.75   	  71.21		
-25.02   	-92.77   	 97.13   	1246.18		 82.03   	 106.82		
-26.25   	-97.96   	102.12   	1286.87		 82.46   	 147.51		
-28.08   	-101.62   	107.26   	1297.04		 83.05   	 183.11		
-28.08   	-100.10   	112.45   	1281.79		 83.78   	 233.98		
-25.63   	-93.99   	117.58   	1236.01		 84.72   	 279.75		
-22.28   	-86.98   	122.52   	1185.14		 85.84   	 330.62		
-21.06   	-81.79   	127.26   	1134.28		 87.16   	 381.48		
-23.50   	-79.35   	131.80   	1073.24		 88.69   	 427.26		
-27.16   	-77.51   	136.09   	1012.20		 90.40   	 478.13		
-29.30   	-73.85   	140.14   	 956.25		 92.31   	 528.99		
-27.77   	-68.05   	143.97   	 900.30		 94.42   	 569.68		
-22.89   	-60.73   	147.57   	 849.44		 96.70   	 610.37		
-16.48   	-53.10   	150.97   	 813.83		 99.15   	 651.07		
-11.90   	-46.69   	154.22   	 778.23		101.75   	 686.67		
 -9.46   	-39.98   	157.33   	 727.36		104.50   	 722.28		
 -8.54   	-32.04   	160.24   	 676.50		107.39   	 742.62		
 -9.16   	-22.89   	162.95   	 630.72		110.36   	 773.14		
-10.38   	-13.73   	165.47   	 584.94		113.45   	 788.40		
-11.90   	 -4.88   	167.81   	 544.25		116.60   	 803.66		
-11.60   	  3.05   	169.99   	 513.73		119.82   	 818.92		
 -8.24   	 11.29   	172.04   	 493.39		123.09   	 829.09		
 -1.53   	 21.67   	174.02   	 467.95		126.41   	 829.09		
  6.41   	 35.10   	175.89   	 452.69		129.72   	 834.18		
 12.51   	 50.05   	177.70   	 432.35		133.06   	 824.00		
 15.56   	 64.70   	179.43   	 417.09		136.36   	 818.92		
 16.78   	 79.04   	181.10   	 406.92		139.63   	 813.83		
 19.23   	 93.99   	182.73   	 386.57		142.89   	 793.49		
 25.02   	110.47   	184.27   	 376.40		146.06   	 783.31		
 34.79   	126.95   	185.78   	 350.97		149.20   	 762.97		
 44.86   	140.38   	187.18   	 340.79		152.25   	 742.62		
 51.27   	147.71   	188.54   	 330.62		155.22   	 727.36		
 52.19   	148.93   	189.87   	 325.53		158.13   	 696.84		
 48.83   	147.09   	191.17   	 320.45		160.91   	 676.50		
 45.47   	146.48   	192.45   	 310.27		163.62   	 651.07		
 47.30   	149.84   	193.69   	 300.10		166.23   	 620.55		
 54.93   	155.33   	194.89   	 279.75		168.71   	 600.20		
 64.70   	159.00   	196.01   	 264.50		171.11   	 574.77		
 70.50   	157.17   	197.07   	 254.32		173.41   	 544.25		
 68.97   	149.23   	198.09   	 228.89		175.58   	 518.82		
 61.34   	137.02   	199.00   	 213.63		177.66   	 488.30		
 52.19   	124.21   	199.86   	 188.20		179.61   	 467.95		
 45.17   	111.08   	200.61   	 162.77		181.48   	 437.43		
 40.59   	 96.74   	201.26   	 142.42		183.23   	 406.92		
 35.71   	 79.96   	201.83   	 116.99		184.86   	 381.48		
 28.99   	 61.34   	202.30   	 106.82		186.39   	 356.05		
 21.06   	 43.95   	202.73   	  91.56		187.81   	 325.53		
 14.04   	 28.99   	203.09   	  76.30		189.11   	 300.10		
  7.32   	 16.17   	203.40   	  45.78		190.31   	 269.58		
  0.31   	  3.36   	203.58   	  25.43		191.39   	 244.15		
 -6.71   	-11.29   	203.68(S)	  -5.09		192.37   	 213.63		
-13.43   	-27.47   	203.66   	 -40.69		193.22   	 188.20		
-17.40   	-43.03   	203.50   	 -71.21		193.98   	 157.68		
-17.70   	-55.24   	203.21   	-106.82		194.61   	 127.16		
-17.09   	-63.78   	202.79   	-147.51		195.12   	  96.64		
-18.62   	-69.89   	202.20   	-188.20		195.50   	  71.21		
-24.11   	-75.99   	201.44   	-233.98		195.79   	  45.78		
-31.74   	-83.31   	200.51   	-284.84		195.97   	  10.17		
-37.54   	-90.64   	199.37   	-335.71		196.01(S)	 -20.35		
-38.76   	-95.52   	198.03   	-391.66		195.93   	 -50.86		
-35.40   	-97.05   	196.46   	-447.61		195.73   	 -81.38		
-30.52   	-95.52   	194.67   	-508.65		195.40   	-116.99		
-28.08   	-93.69   	192.63   	-574.77		194.93   	-147.51		
-29.91   	-93.38   	190.33   	-640.89		194.34   	-188.20		
-33.87   	-93.69   	187.77   	-717.19		193.59   	-223.80		
-36.93   	-93.99   	184.90   	-793.49		192.70   	-259.41		
-37.54   	-94.60   	181.73   	-879.96		191.66   	-300.10		
-36.93   	-97.05   	178.21   	-966.43		190.46   	-340.79		
-36.93   	-101.93   	174.34   	-1073.24		189.09   	-371.31		
-38.45   	-107.42   	170.05   	-1169.88		187.61   	-406.92		
-39.98   	-110.47   	165.37   	-1266.53		185.98   	-442.52		
-39.98   	-109.86   	160.30   	-1363.17		184.21   	-467.95		
