  I     	  II     	  LV     	  LV'		  PA     	  PA'		
-18.92   	-95.52   	150.99   	-1358.08		 29.42   	 -25.43		
-24.72   	-96.74   	145.55   	-1408.95		 29.32   	 -25.43		
-26.86   	-96.13   	139.92   	-1454.72		 29.22   	 -25.43		
-25.02   	-93.08   	134.10   	-1485.24		 29.11   	 -30.52		
-20.75   	-88.81   	128.16   	-1510.68		 28.99   	 -35.61		
-17.09   	-85.75   	122.12   	-1520.85		 28.85   	 -35.61		
-17.09   	-85.14   	116.03   	-1515.76		 28.71   	 -40.69		
-20.14   	-87.89   	109.97   	-1510.68		 28.55   	 -45.78		
-23.50   	-91.55   	103.93   	-1490.33		 28.36   	 -40.69		
-25.33   	-94.60   	 97.97   	-1464.90		 28.20   	 -35.61		
-25.94   	-95.52   	 92.11   	-1434.38		 28.06   	 -30.52		
-25.94   	-94.60   	 86.37   	-1393.69		 27.93   	 -30.52		
-26.25   	-91.25   	 80.79   	-1342.82		 27.81   	 -20.35		
-26.25   	-85.75   	 75.42   	-1291.96		 27.73   	 -20.35		
-24.72   	-77.21   	 70.25   	-1225.83		 27.65   	 -20.35		
-22.28   	-64.39   	 65.35   	-1159.71		 27.57   	 -15.26		
-20.45   	-48.22   	 60.71   	-1093.59		 27.51   	 -15.26		
-20.45   	-28.99   	 56.34   	-1017.29		 27.45   	 -25.43		
-21.97   	 -9.16   	 52.27   	-946.08		 27.34   	 -25.43		
-24.11   	  9.77   	 48.48   	-879.96		 27.24   	 -25.43		
-25.02   	 26.25   	 44.96   	-808.75		 27.14   	 -35.61		
-23.50   	 39.37   	 41.73   	-742.62		 27.00   	 -30.52		
-19.84   	 47.00   	 38.76   	-666.32		 26.88   	 -35.61		
-14.04   	 50.05   	 36.09   	-605.29		 26.73   	 -30.52		
 -7.93   	 50.05   	 33.67   	-544.25		 26.61   	 -30.52		
 -3.36   	 50.05   	 31.50   	-488.30		 26.49   	 -30.52		
 -2.14   	 49.44   	 29.54   	-437.43		 26.37   	 -25.43		
 -3.36   	 46.39   	 27.79   	-396.74		 26.27   	 -20.35		
 -6.10   	 37.84   	 26.21   	-350.97		 26.19   	 -20.35		
 -6.41   	 25.94   	 24.80   	-320.45		 26.10   	 -15.26		
 -1.83   	 18.62   	 23.52   	-279.75		 26.04   	 -15.26		
  7.63   	 22.89   	 22.40   	-254.32		 25.98   	 -10.17		
 19.23   	 39.37   	 21.38   	-223.80		 25.94   	 -10.17		
 28.69   	 58.59   	 20.49   	-203.46		 25.90   	 -15.26		
 32.04   	 68.36   	 19.67   	-183.11		 25.84   	 -10.17		
 28.08   	 62.26   	 18.94   	-167.85		 25.80   	 -10.17		
 18.31   	 40.59   	 18.27   	-142.42		 25.76   	 -10.17		
  6.41   	 10.68   	 17.70   	-132.25		 25.72   	 -15.26		
 -4.58   	-22.58   	 17.17   	-111.90		 25.66   	 -10.17		
-12.21   	-56.46   	 16.72   	 -91.56		 25.62   	 -15.26		
-15.56   	-89.72   	 16.36   	 -81.38		 25.55   	 -20.35		
-16.17   	-119.32   	 16.03   	 -61.04		 25.47   	 -25.43		
-15.56   	-141.91   	 15.79   	 -50.86		 25.37   	 -25.43		
-16.48   	-154.72   	 15.58   	 -40.69		 25.27   	 -30.52		
-18.92   	-158.08   	 15.42   	 -20.35		 25.15   	 -40.69		
-21.36   	-156.56   	 15.34   	 -15.26		 24.98   	 -45.78		
-22.58   	-154.11   	 15.28   	  -5.09		 24.80   	 -50.86		
-22.58   	-154.42   	 15.26   	   5.09		 24.60   	 -55.95		
-22.58   	-156.56   	 15.28   	  15.26		 24.37   	 -55.95		
-22.89   	-159.61   	 15.34   	  15.26		 24.15   	 -55.95		
-23.80   	-161.74   	 15.40   	  20.35		 23.93   	 -55.95		
-23.80   	-162.66   	 15.48   	  25.43		 23.70   	 -50.86		
-21.67   	-162.35   	 15.58   	  25.43		 23.50   	 -40.69		
-18.62   	-160.83   	 15.69   	  25.43		 23.34   	 -30.52		
-17.40   	-158.39   	 15.79   	  30.52		 23.21   	 -20.35		
-19.23   	-155.94   	 15.91   	  30.52		 23.13   	 -15.26		
-23.19   	-154.11   	 16.03   	  35.61		 23.07   	   0.00		
-26.25   	-153.50   	 16.17   	  35.61		 23.07   	   5.09		
-26.25   	-153.81   	 16.32   	  40.69		 23.09   	  10.17		
-23.19   	-153.81   	 16.48   	  45.78		 23.13   	  10.17		
-19.23   	-153.20   	 16.66   	  55.95		 23.17   	  10.17		
-16.78   	-151.98   	 16.89   	  71.21		 23.21   	  10.17		
-16.17   	-149.54   	 17.17   	  81.38		 23.26   	   5.09		
-15.87   	-146.18   	 17.50   	  96.64		 23.28   	   0.00		
-15.87   	-142.82   	 17.88   	 111.90		 23.28   	   0.00		
-16.48   	-140.69   	 18.33   	 116.99		 23.28   	  -5.09		
-18.01   	-139.77   	 18.80   	 116.99		 23.26   	 -10.17		
-19.53   	-138.85   	 19.27   	 122.07		 23.21   	 -15.26		
-19.84   	-136.72   	 19.76   	 106.82		 23.15   	 -15.26		
-18.62   	-133.97   	 20.18   	 101.73		 23.09   	 -20.35		
-17.09   	-132.45   	 20.59   	  86.47		 23.01   	 -15.26		
-17.09   	-133.06   	 20.94   	  76.30		 22.95   	 -20.35		
-19.53   	-135.19   	 21.24   	  61.04		 22.87   	 -15.26		
-22.28   	-135.80   	 21.49   	  50.86		 22.81   	 -20.35		
-23.19   	-133.36   	 21.69   	  40.69		 22.73   	 -10.17		
-20.45   	-128.78   	 21.85   	  25.43		 22.69   	 -10.17		
-14.95   	-122.99   	 21.95   	  10.17		 22.64   	  -5.09		
-10.07   	-118.41   	 21.99   	   5.09		 22.62   	  -5.09		
 -8.85   	-116.27   	 22.01   	 -10.17		 22.60   	   5.09		
-12.21   	-116.27   	 21.97   	 -15.26		 22.62   	   5.09		
-17.70   	-117.80   	 21.91   	 -20.35		 22.64   	  10.17		
-21.97   	-119.02   	 21.83   	 -25.43		 22.69   	  15.26		
-23.50   	-118.71   	 21.73   	 -30.52		 22.75   	  10.17		
-21.06   	-116.27   	 21.61   	 -30.52		 22.79   	  15.26		
-16.48   	-112.30   	 21.49   	 -35.61		 22.85   	  15.26		
-13.73   	-108.95   	 21.34   	 -35.61		 22.91   	  10.17		
-14.65   	-108.03   	 21.20   	 -30.52		 22.95   	   5.09		
-19.23   	-110.47   	 21.08   	 -30.52		 22.97   	   5.09		
-24.41   	-114.14   	 20.96   	 -30.52		 22.99   	   5.09		
-25.94   	-115.97   	 20.83   	 -25.43		 23.01   	   0.00		
-22.28   	-114.44   	 20.73   	 -25.43		 23.01   	   0.00		
-15.56   	-110.17   	 20.63   	 -25.43		 23.01   	   0.00		
-10.07   	-106.51   	 20.53   	 -20.35		 23.01   	   0.00		
 -9.46   	-105.90   	 20.45   	 -15.26		 23.01   	   5.09		
-13.12   	-108.03   	 20.39   	 -10.17		 23.03   	   0.00		
-17.40   	-110.17   	 20.35   	 -10.17		 23.03   	   0.00		
-19.23   	-110.17   	 20.31   	 -10.17		 23.03   	   0.00		
-18.31   	-108.03   	 20.26   	  -5.09		 23.03   	 -10.17		
-17.09   	-105.59   	 20.24   	   0.00		 22.99   	 -10.17		
-19.84   	-107.42   	 20.24   	  -5.09		 22.95   	 -25.43		
-29.60   	-116.27   	 20.22   	   0.00		 22.85   	 -30.52		
-44.56   	-131.53   	 20.22   	   0.00		 22.73   	 -40.69		
-56.76   	-144.04   	 20.22   	   0.00		 22.56   	 -50.86		
-56.15   	-130.62   	 20.22   	   0.00		 22.36   	 -66.12		
-32.04   	-54.32   	 20.22   	   0.00		 22.10   	 -71.21		
 21.06   	126.65   	 20.22(E)	   5.09		 21.81   	 -86.47		
104.37   	431.52   	 20.24   	   0.00		 21.46   	 -86.47		
211.49   	830.08   	 20.24   	  10.17		 21.12   	 -96.64		
328.67   	1228.64   	 20.28   	  30.52		 20.73   	-188.20		
498.05   	1575.32(R)	 20.41   	  25.43		 19.98   	 -81.38		
495.61   	1442.26   	 20.51   	  35.61		 19.65   	 -76.30		
418.70   	1179.50   	 20.65   	  45.78		 19.35   	 -55.95		
285.03   	886.54   	 20.83   	  66.12		 19.13   	 -45.78		
132.75   	627.44   	 21.10   	  91.56		 18.94   	 -25.43		
