  I     	  II     	  LV     	  LV'		  RA     	  RA'		
137.63   	651.86   	 21.46   	   0.00		 10.15   	  10.17		
255.43   	1078.19   	 21.46   	  10.17		 10.19   	  40.69		
456.54   	1629.64   	 21.51   	  20.35		 10.36   	  20.35		
489.20   	1595.46   	 21.59   	  25.43		 10.44   	  20.35		
452.58   	1381.84   	 21.69   	  40.69		 10.52   	  20.35		
350.04   	1084.59   	 21.85   	  55.95		 10.60   	  15.26		
206.91   	793.46   	 22.08   	  81.38		 10.66   	  10.17		
 63.48   	546.26   	 22.40   	 111.90		 10.70   	   5.09		
-43.33   	336.30   	 22.85   	 147.51		 10.72   	   0.00		
-96.74   	155.03   	 23.44   	 193.29		 10.72   	   0.00		
-105.29   	  8.85   	 24.21   	 244.15		 10.72   	  -5.09		
-90.94   	-91.55   	 25.19   	 305.19		 10.70   	  -5.09		
-72.94   	-144.35   	 26.41   	 376.40		 10.68   	  -5.09		
-58.90   	-159.61   	 27.91   	 457.78		 10.66   	   0.00		
-47.91   	-153.81   	 29.75   	 539.16		 10.66   	   0.00		
-38.45   	-139.47   	 31.90   	 620.55		 10.66   	  10.17		
-31.43   	-123.90   	 34.38   	 712.10		 10.70   	  15.26		
-28.38   	-113.22   	 37.23   	 793.49		 10.76   	  10.17		
-27.47   	-110.78   	 40.41   	 869.78		 10.80   	  15.26		
-25.94   	-114.75   	 43.89   	 930.82		 10.86   	  10.17		
-21.97   	-118.71   	 47.61   	 986.77		 10.91   	  10.17		
-17.40   	-118.10   	 51.56   	1017.29		 10.95   	   0.00		
-14.65   	-113.83   	 55.63   	1047.81		 10.95   	   0.00		
-15.26   	-110.17   	 59.82   	1063.07		 10.95   	  -5.09		
-17.40   	-109.56   	 64.07   	1083.41		 10.93   	 -10.17		
-19.23   	-110.17   	 68.40   	1103.76		 10.89   	 -10.17		
-19.53   	-109.56   	 72.82   	1134.28		 10.84   	 -20.35		
-18.31   	-106.81   	 77.35   	1154.62		 10.76   	 -20.35		
-17.09   	-101.93   	 81.97   	1180.06		 10.68   	 -25.43		
-16.48   	-96.74   	 86.69   	1185.14		 10.58   	 -25.43		
-16.48   	-92.77   	 91.43   	1200.40		 10.48   	 -30.52		
-16.48   	-90.03   	 96.24   	1210.58		 10.36   	 -35.61		
-16.17   	-88.20   	101.08   	1220.75		 10.21   	 -30.52		
-15.87   	-86.36   	105.96   	1215.66		 10.09   	 -30.52		
-15.56   	-83.92   	110.82   	1180.06		  9.97   	 -25.43		
-15.26   	-80.26   	115.54   	1129.19		  9.87   	 -25.43		
-15.56   	-75.68   	120.06   	1078.33		  9.77   	 -20.35		
-16.17   	-70.80   	124.37   	1037.64		  9.68   	 -20.35		
-15.87   	-65.92   	128.52   	 991.86		  9.60   	 -15.26		
-14.95   	-62.56   	132.49   	 966.43		  9.54   	 -10.17		
-13.73   	-60.12   	136.36   	 915.56		  9.50   	 -15.26		
-12.21   	-57.37   	140.02   	 864.70		  9.44   	 -20.35		
-10.38   	-52.19   	143.48   	 803.66		  9.36   	 -15.26		
 -7.93   	-43.64   	146.69   	 747.71		  9.30   	 -20.35		
 -5.19   	-32.35   	149.68   	 701.93		  9.22   	 -20.35		
 -2.44   	-20.75   	152.49   	 671.41		  9.14   	 -20.35		
 -1.22   	-11.90   	155.18   	 635.81		  9.05   	 -15.26		
 -2.14   	 -5.80   	157.72   	 605.29		  8.99   	  -5.09		
 -4.27   	 -1.83   	160.14   	 554.42		  8.97   	   0.00		
 -5.49   	  3.05   	162.36   	 513.73		  8.97   	   5.09		
 -4.27   	 10.68   	164.41   	 478.13		  8.99   	  15.26		
  0.31   	 21.67   	166.33   	 462.87		  9.05   	  25.43		
  6.71   	 34.48   	168.18   	 447.61		  9.16   	  25.43		
 13.12   	 47.91   	169.97   	 437.43		  9.26   	  25.43		
 17.70   	 61.34   	171.72   	 427.26		  9.36   	  20.35		
 19.53   	 74.46   	173.43   	 417.09		  9.44   	  15.26		
 19.53   	 87.89   	175.10   	 406.92		  9.50   	  10.17		
 20.14   	101.01   	176.72   	 396.74		  9.54   	   5.09		
 22.58   	113.83   	178.31   	 391.66		  9.56   	 -10.17		
 27.77   	126.34   	179.88   	 386.57		  9.52   	 -10.17		
 35.10   	139.16   	181.42   	 391.66		  9.48   	 -10.17		
 42.72   	153.50   	182.99   	 381.48		  9.44   	 -15.26		
 49.13   	168.15   	184.52   	 376.40		  9.38   	  -5.09		
 53.71   	180.66   	186.02   	 361.14		  9.36   	   0.00		
 56.46   	189.21   	187.47   	 345.88		  9.36   	  10.17		
 57.98   	192.57   	188.85   	 325.53		  9.40   	  20.35		
 59.81   	192.87   	190.15   	 310.27		  9.48   	  20.35		
 62.56   	192.57   	191.39   	 305.19		  9.56   	  30.52		
 66.22   	193.18   	192.61   	 279.75		  9.68   	  35.61		
 69.58   	194.09   	193.73   	 264.50		  9.83   	  25.43		
 71.11   	193.18   	194.79   	 239.06		  9.93   	  30.52		
 69.58   	188.90   	195.75   	 213.63		 10.05   	  20.35		
 65.31   	181.27   	196.60   	 198.37		 10.13   	  15.26		
 59.51   	170.29   	197.39   	 172.94		 10.19   	   5.09		
 54.02   	156.25   	198.09   	 147.51		 10.21   	   5.09		
 49.13   	138.85   	198.68   	 122.07		 10.23   	   0.00		
 43.95   	118.10   	199.17   	  96.64		 10.23   	  -5.09		
 37.23   	 94.60   	199.55   	  81.38		 10.21   	  -5.09		
 28.99   	 70.80   	199.88   	  55.95		 10.19   	   0.00		
 20.75   	 49.13   	200.10   	  35.61		 10.19   	   5.09		
 13.43   	 30.52   	200.24   	  15.26		 10.21   	   5.09		
  7.93   	 14.65   	200.30(S)	 -10.17		 10.23   	  10.17		
  4.27   	 -0.31   	200.26   	 -40.69		 10.27   	  10.17		
  1.53   	-14.95   	200.10   	 -66.12		 10.32   	  10.17		
 -1.83   	-29.30   	199.84   	 -96.64		 10.36   	  15.26		
 -5.80   	-42.11   	199.45   	-127.16		 10.42   	  10.17		
 -9.77   	-53.10   	198.94   	-167.85		 10.46   	  10.17		
-13.12   	-62.26   	198.27   	-213.63		 10.50   	  10.17		
-14.95   	-69.89   	197.42   	-264.50		 10.54   	   5.09		
-14.95   	-75.99   	196.36   	-315.36		 10.56   	   5.09		
-14.65   	-80.57   	195.10   	-376.40		 10.58   	   0.00		
-14.95   	-83.01   	193.59   	-432.35		 10.58   	   0.00		
-16.17   	-84.23   	191.86   	-493.39		 10.58   	   0.00		
-17.70   	-85.45   	189.89   	-549.34		 10.58   	  -5.09		
-18.92   	-87.59   	187.69   	-610.37		 10.56   	   0.00		
-19.53   	-90.64   	185.25   	-671.41		 10.56   	   0.00		
-20.14   	-93.69   	182.56   	-737.54		 10.56   	  -5.09		
-21.36   	-95.83   	179.61   	-808.75		 10.54   	  -5.09		
-23.19   	-96.13   	176.38   	-885.04		 10.52   	 -10.17		
-24.72   	-94.60   	172.84   	-971.51		 10.48   	 -15.26		
-24.72   	-92.77   	168.95   	-1057.98		 10.42   	 -15.26		
-23.19   	-91.55   	164.72   	-1134.28		 10.36   	 -20.35		
-20.75   	-91.25   	160.18   	-1220.75		 10.27   	 -20.35		
-18.62   	-90.94   	155.30   	-1291.96		 10.19   	 -20.35		
-18.62   	-90.94   	150.13   	-1353.00		 10.11   	 -20.35		
-21.06   	-90.33   	144.72   	-1408.95		 10.03   	 -10.17		
-25.33   	-90.03   	139.08   	-1454.72		  9.99   	  -5.09		
-28.69   	-88.81   	133.26   	-1490.33		  9.97   	   5.09		
-30.21   	-86.98   	127.30   	-1510.68		  9.99   	  15.26		
-29.30   	-83.01   	121.26   	-1520.85		 10.05   	  20.35		
-27.77   	-77.51   	115.18   	-1515.76		 10.13   	  30.52		
-26.86   	-69.89   	109.11   	-1500.50		 10.25   	  35.61		
-26.86   	-59.51   	103.11   	-1480.16		 10.40   	  35.61		
-27.16   	-45.17   	 97.19   	-1444.55		 10.54   	  35.61		
-26.86   	-26.25   	 91.41   	-1408.95		 10.68   	  35.61		
-26.25   	 -4.58   	 85.78   	-1368.26		 10.82   	  25.43		
-25.94   	 17.40   	 80.30   	-1327.56		 10.93   	  15.26		
-25.94   	 36.01   	 74.99   	-1281.79		 10.99   	  10.17		
-25.63   	 48.52   	 69.87   	-1230.92		 11.03   	   0.00		
-23.50   	 54.02   	 64.94   	-1164.80		 11.03   	 -10.17		
-19.23   	 54.32   	 60.28   	-1098.67		 10.99   	 -15.26		
-14.04   	 53.41   	 55.89   	-1032.55		 10.93   	 -15.26		
 -9.77   	 55.85   	 51.76   	-956.25		 10.86   	 -20.35		
 -7.93   	 61.65   	 47.93   	-885.04		 10.78   	 -10.17		
 -7.63   	 67.14   	 44.39   	-808.75		 10.74   	  -5.09		
 -7.93   	 67.75   	 41.16   	-737.54		 10.72   	   5.09		
 -7.93   	 61.34   	 38.21   	-676.50		 10.74   	  15.26		
 -7.02   	 52.49   	 35.50   	-605.29		 10.80   	  25.43		
 -3.97   	 49.44   	 33.08   	-544.25		 10.91   	  45.78		
  3.36   	 57.68   	 30.91   	-488.30		 11.09   	  50.86		
 14.34   	 73.55   	 28.95   	-432.35		 11.29   	  55.95		
 25.33   	 87.89   	 27.22   	-381.48		 11.52   	  66.12		
 29.91   	 90.64   	 25.70   	-340.79		 11.78   	  66.12		
 24.41   	 77.82   	 24.33   	-295.01		 12.04   	  66.12		
 10.07   	 52.19   	 23.15   	-264.50		 12.31   	  55.95		
 -6.41   	 19.84   	 22.10   	-233.98		 12.53   	  50.86		
-18.92   	-14.95   	 21.16   	-198.37		 12.74   	  40.69		
-24.41   	-49.13   	 20.37   	-178.03		 12.90   	  30.52		
-24.41   	-80.26   	 19.65   	-147.51		 13.02   	  20.35		
-22.28   	-104.37   	 19.06   	-132.25		 13.10   	  10.17		
-20.75   	-119.02   	 18.54   	-111.90		 13.14   	   5.09		
-21.36   	-125.12   	 18.09   	 -96.64		 13.16   	  -5.09		
-24.11   	-126.95   	 17.70   	 -81.38		 13.14   	  -5.09		
-27.47   	-127.87   	 17.38   	 -71.21		 13.12   	 -10.17		
-29.30   	-129.09   	 17.09   	 -61.04		 13.08   	 -10.17		
-28.99   	-130.31   	 16.85   	 -45.78		 13.04   	 -20.35		
-26.55   	-131.23   	 16.66   	 -35.61		 12.96   	 -25.43		
-23.50   	-131.53   	 16.52   	 -30.52		 12.86   	 -35.61		
-21.97   	-132.45   	 16.40   	 -25.43		 12.72   	 -45.78		
-22.58   	-134.58   	 16.30   	 -20.35		 12.53   	 -55.95		
-25.02   	-137.94   	 16.22   	 -20.35		 12.31   	 -71.21		
-28.08   	-140.99   	 16.13   	 -25.43		 12.02   	 -76.30		
-29.91   	-141.91   	 16.03   	 -25.43		 11.72   	 -81.38		
-29.91   	-139.77   	 15.93   	 -30.52		 11.39   	 -71.21		
-27.47   	-135.80   	 15.81   	 -35.61		 11.11   	 -61.04		
-25.02   	-131.84   	 15.67   	 -30.52		 10.86   	 -45.78		
-24.41   	-130.31   	 15.54   	 -25.43		 10.68   	 -25.43		
-25.63   	-131.23   	 15.44   	 -15.26		 10.58   	 -10.17		
-27.16   	-132.75   	 15.38   	  -5.09		 10.54   	   5.09		
-27.77   	-133.06   	 15.36(D)	  10.17		 10.56   	  10.17		
-26.86   	-132.14   	 15.40   	  35.61		 10.60   	  10.17		
-25.63   	-130.92   	 15.54   	  55.95		 10.64   	   5.09		
-24.72   	-130.31   	 15.77   	  76.30		 10.66   	   0.00		
-25.02   	-129.39   	 16.07   	 106.82		 10.66   	 -10.17		
-25.63   	-128.48   	 16.50   	 116.99		 10.62   	 -20.35		
-25.94   	-126.65   	 16.97   	 127.16		 10.54   	 -35.61		
-26.25   	-125.12   	 17.48   	 132.25		 10.40   	 -35.61		
-25.63   	-123.90   	 18.01   	 127.16		 10.25   	 -45.78		
-24.41   	-122.38   	 18.51   	 122.07		 10.07   	 -45.78		
-23.19   	-119.93   	 19.00   	 111.90		  9.89   	 -35.61		
-22.58   	-116.88   	 19.45   	  96.64		  9.75   	 -30.52		
-22.28   	-113.53   	 19.84   	  81.38		  9.62   	 -15.26		
-22.58   	-111.08   	 20.16   	  61.04		  9.56   	 -10.17		
-22.28   	-108.64   	 20.41   	  45.78		  9.52   	   5.09		
-21.36   	-105.90   	 20.59   	  30.52		  9.54   	  15.26		
-20.14   	-102.84   	 20.71   	  20.35		  9.60   	  25.43		
-18.92   	-99.79   	 20.79   	   5.09		  9.70   	  25.43		
-18.01   	-97.66   	 20.81   	   0.00		  9.81   	  25.43		
-18.01   	-97.05   	 20.81   	 -10.17		  9.91   	  25.43		
-18.62   	-97.35   	 20.77   	 -15.26		 10.01   	  20.35		
-19.23   	-97.35   	 20.71   	 -20.35		 10.09   	  20.35		
-19.53   	-96.44   	 20.63   	 -25.43		 10.17   	  10.17		
-18.92   	-95.52   	 20.53   	 -30.52		 10.21   	  10.17		
