  I     	  II     	  LV     	  LV'		  RV     	  RV'		
-71.11   	-129.70   	 35.85   	 798.57		 15.48   	  81.38		
-50.96   	-128.48   	 39.04   	 859.61		 15.81   	  91.56		
-35.10   	-121.46   	 42.48   	 915.56		 16.17   	 106.82		
-25.94   	-118.10   	 46.14   	 956.25		 16.60   	 116.99		
-21.97   	-119.63   	 49.97   	 986.77		 17.07   	 132.25		
-20.45   	-120.54   	 53.92   	1022.38		 17.60   	 147.51		
-18.62   	-116.88   	 58.01   	1057.98		 18.19   	 162.77		
-14.95   	-108.64   	 62.24   	1093.59		 18.84   	 178.03		
-10.68   	-99.79   	 66.61   	1108.85		 19.55   	 188.20		
 -8.54   	-94.91   	 71.05   	1119.02		 20.31   	 198.37		
 -9.77   	-96.44   	 75.52   	1124.11		 21.10   	 208.54		
-12.82   	-101.93   	 80.02   	1124.11		 21.93   	 213.63		
-14.95   	-106.20   	 84.52   	1134.28		 22.79   	 208.54		
-14.04   	-105.90   	 89.05   	1144.45		 23.62   	 198.37		
-11.29   	-101.32   	 93.63   	1139.36		 24.41   	 193.29		
 -8.85   	-94.91   	 98.19   	1134.28		 25.19   	 178.03		
 -7.93   	-90.33   	102.73   	1103.76		 25.90   	 162.77		
 -8.24   	-88.50   	107.14   	1073.24		 26.55   	 147.51		
 -8.54   	-88.20   	111.43   	1042.72		 27.14   	 127.16		
 -8.54   	-86.67   	115.60   	1017.29		 27.65   	 111.90		
 -8.85   	-83.31   	119.67   	 981.68		 28.10   	  96.64		
 -8.85   	-77.82   	123.60   	 946.08		 28.48   	  81.38		
 -7.32   	-72.33   	127.39   	 890.13		 28.81   	  71.21		
 -4.27   	-67.14   	130.95   	 834.18		 29.09   	  66.12		
 -0.61   	-62.56   	134.28   	 778.23		 29.36   	  61.04		
  1.53   	-57.37   	137.40   	 742.62		 29.60   	  55.95		
  1.83   	-51.57   	140.37   	 696.84		 29.83   	  61.04		
  1.83   	-44.86   	143.15   	 661.24		 30.07   	  66.12		
  4.27   	-37.54   	145.80   	 620.55		 30.34   	  66.12		
  9.46   	-29.91   	148.28   	 574.77		 30.60   	  66.12		
 15.56   	-21.67   	150.58   	 544.25		 30.86   	  71.21		
 20.14   	-13.43   	152.76   	 513.73		 31.15   	  71.21		
 21.36   	 -6.10   	154.81   	 488.30		 31.43   	  76.30		
 19.84   	 -0.61   	156.76   	 462.87		 31.74   	  71.21		
 17.70   	  4.27   	158.62   	 442.52		 32.02   	  71.21		
 17.40   	 10.68   	160.39   	 427.26		 32.31   	  71.21		
 20.75   	 19.84   	162.09   	 406.92		 32.59   	  66.12		
 27.47   	 31.74   	163.72   	 401.83		 32.86   	  66.12		
 35.40   	 44.25   	165.33   	 386.57		 33.12   	  61.04		
 41.81   	 57.07   	166.88   	 376.40		 33.37   	  61.04		
 45.78   	 69.89   	168.38   	 366.22		 33.61   	  61.04		
 47.91   	 83.31   	169.85   	 356.05		 33.86   	  55.95		
 50.35   	 96.74   	171.27   	 340.79		 34.08   	  50.86		
 54.93   	108.64   	172.63   	 335.71		 34.28   	  55.95		
 61.65   	119.32   	173.98   	 320.45		 34.51   	  50.86		
 69.27   	128.48   	175.26   	 305.19		 34.71   	  50.86		
 75.07   	137.02   	176.48   	 295.01		 34.91   	  50.86		
 78.43   	145.26   	177.66   	 279.75		 35.12   	  50.86		
 79.96   	151.67   	178.78   	 264.50		 35.32   	  50.86		
 80.87   	155.33   	179.84   	 244.15		 35.52   	  45.78		
 81.79   	155.94   	180.81   	 223.80		 35.71   	  45.78		
 82.40   	155.03   	181.71   	 203.46		 35.89   	  45.78		
 82.70   	153.81   	182.52   	 183.11		 36.07   	  45.78		
 82.09   	153.20   	183.25   	 162.77		 36.26   	  35.61		
 81.18   	151.98   	183.91   	 147.51		 36.40   	  35.61		
 79.96   	148.01   	184.50   	 132.25		 36.54   	  35.61		
 77.21   	138.85   	185.02   	 116.99		 36.68   	  25.43		
 72.63   	124.51   	185.49   	 101.73		 36.79   	  20.35		
 66.53   	106.81   	185.90   	  81.38		 36.87   	  15.26		
 59.51   	 89.11   	186.23   	  66.12		 36.93   	  10.17		
 50.96   	 72.63   	186.49   	  45.78		 36.97   	   5.09		
 41.20   	 57.37   	186.67   	  20.35		 36.99(S)	   0.00		
 30.52   	 41.81   	186.75(S)	  -5.09		 36.99   	  -5.09		
 18.92   	 25.63   	186.73   	 -35.61		 36.97   	 -10.17		
  8.54   	  9.46   	186.59   	 -76.30		 36.93   	 -15.26		
  1.22   	 -4.58   	186.29   	-106.82		 36.87   	 -20.35		
 -2.14   	-15.26   	185.86   	-142.42		 36.79   	 -30.52		
 -2.75   	-22.58   	185.29   	-183.11		 36.66   	 -30.52		
 -2.75   	-28.08   	184.56   	-228.89		 36.54   	 -35.61		
 -4.88   	-33.26   	183.64   	-274.67		 36.40   	 -40.69		
-10.38   	-39.67   	182.54   	-320.45		 36.24   	 -45.78		
-18.62   	-47.00   	181.26   	-371.31		 36.05   	 -55.95		
-26.55   	-54.02   	179.78   	-422.18		 35.83   	 -55.95		
-31.74   	-59.20   	178.09   	-473.04		 35.61   	 -66.12		
-32.04   	-61.04   	176.19   	-523.90		 35.34   	 -71.21		
-28.38   	-60.73   	174.10   	-584.94		 35.06   	 -81.38		
-23.50   	-60.12   	171.76   	-651.07		 34.73   	 -91.56		
-21.06   	-60.73   	169.15   	-717.19		 34.36   	 -96.64		
-22.28   	-63.78   	166.29   	-788.40		 33.98   	-106.82		
-26.55   	-67.44   	163.13   	-874.87		 33.55   	-116.99		
-31.13   	-69.58   	159.63   	-951.17		 33.08   	-127.16		
-34.18   	-69.27   	155.83   	-1042.72		 32.57   	-137.33		
-35.40   	-67.14   	151.66   	-1134.28		 32.02   	-147.51		
-35.71   	-65.00   	147.12   	-1210.58		 31.43   	-152.59		
-35.71   	-64.09   	142.28   	-1291.96		 30.82   	-162.77		
-35.10   	-64.70   	137.11   	-1358.08		 30.17   	-172.94		
-34.48   	-65.92   	131.68   	-1403.86		 29.48   	-178.03		
-33.57   	-66.22   	126.06   	-1439.47		 28.77   	-188.20		
-32.96   	-65.31   	120.30   	-1459.81		 28.02   	-188.20		
-32.35   	-64.09   	114.47   	-1464.90		 27.26   	-203.46		
-32.35   	-63.48   	108.61   	-1464.90		 26.45   	-203.46		
-33.26   	-64.70   	102.75   	-1449.64		 25.64   	-213.63		
-35.10   	-66.53   	 96.95   	-1429.29		 24.78   	-213.63		
-36.62   	-67.14   	 91.23   	-1403.86		 23.93   	-218.72		
-36.01   	-64.39   	 85.62   	-1363.17		 23.05   	-218.72		
-32.35   	-59.20   	 80.16   	-1327.56		 22.18   	-223.80		
-26.86   	-53.41   	 74.85   	-1266.53		 21.28   	-213.63		
-22.28   	-49.74   	 69.79   	-1215.66		 20.43   	-213.63		
-21.36   	-49.74   	 64.92   	-1144.45		 19.57   	-203.46		
-24.41   	-52.19   	 60.35   	-1083.41		 18.76   	-198.37		
-28.69   	-54.32   	 56.01   	-1017.29		 17.97   	-183.11		
-30.82   	-54.93   	 51.94   	-946.08		 17.23   	-167.85		
-30.21   	-53.71   	 48.16   	-874.87		 16.56   	-162.77		
-28.38   	-50.96   	 44.66   	-808.75		 15.91   	-142.42		
-26.55   	-48.52   	 41.42   	-732.45		 15.34   	-137.33		
-25.63   	-47.30   	 38.49   	-661.24		 14.79   	-132.25		
-24.72   	-47.30   	 35.85   	-600.20		 14.26   	-116.99		
-23.19   	-47.91   	 33.45   	-539.16		 13.79   	-111.90		
-21.67   	-48.83   	 31.29   	-478.13		 13.35   	-106.82		
-21.06   	-48.52   	 29.38   	-437.43		 12.92   	 -96.64		
-21.67   	-47.00   	 27.63   	-386.57		 12.53   	 -91.56		
-22.28   	-45.17   	 26.08   	-350.97		 12.17   	 -81.38		
-21.97   	-43.95   	 24.68   	-315.36		 11.84   	 -71.21		
-20.75   	-43.64   	 23.42   	-289.93		 11.56   	 -66.12		
-20.14   	-44.56   	 22.26   	-254.32		 11.29   	 -55.95		
-21.67   	-46.08   	 21.24   	-233.98		 11.07   	 -50.86		
-23.80   	-46.39   	 20.31   	-208.54		 10.86   	 -40.69		
-25.02   	-45.78   	 19.47   	-188.20		 10.70   	 -30.52		
-23.19   	-44.56   	 18.72   	-167.85		 10.58   	 -25.43		
-19.23   	-43.64   	 18.05   	-147.51		 10.48   	 -20.35		
-16.48   	-43.33   	 17.46   	-132.25		 10.40   	 -20.35		
-16.78   	-43.64   	 16.93   	-122.07		 10.32   	 -10.17		
-18.62   	-44.25   	 16.44   	-106.82		 10.27   	 -10.17		
-19.53   	-44.56   	 16.01   	 -96.64		 10.23   	  -5.09		
-18.31   	-44.86   	 15.63   	 -81.38		 10.21   	  -5.09		
-15.87   	-46.08   	 15.30   	 -76.30		 10.19   	  -5.09		
-14.95   	-48.52   	 14.99   	 -61.04		 10.17(D)	   0.00		
-16.48   	-50.96   	 14.75   	 -55.95		 10.17   	   0.00		
-19.23   	-52.49   	 14.53   	 -50.86		 10.17   	   5.09		
-21.97   	-51.88   	 14.32   	 -40.69		 10.19   	   5.09		
-22.89   	-47.91   	 14.16   	 -40.69		 10.21   	  10.17		
-22.58   	-39.37   	 14.00   	 -35.61		 10.25   	   5.09		
-21.36   	-25.94   	 13.86   	 -30.52		 10.27   	  10.17		
-19.84   	 -7.02   	 13.73   	 -25.43		 10.32   	  10.17		
-18.31   	 14.95   	 13.63   	 -25.43		 10.36   	  10.17		
-18.01   	 36.93   	 13.53   	 -20.35		 10.40   	  10.17		
-18.31   	 56.15   	 13.45   	 -20.35		 10.44   	  10.17		
-17.40   	 71.72   	 13.37   	 -15.26		 10.48   	  10.17		
-14.65   	 82.70   	 13.31   	 -15.26		 10.52   	  15.26		
-10.38   	 87.89   	 13.25   	  -5.09		 10.58   	  10.17		
 -6.41   	 86.06   	 13.22   	  -5.09		 10.62   	  10.17		
 -4.58   	 78.74   	 13.20   	  -5.09		 10.66   	  10.17		
 -4.27   	 70.80   	 13.18(D)	   0.00		 10.70   	  10.17		
 -3.05   	 66.83   	 13.18   	   5.09		 10.74   	  10.17		
 -0.31   	 66.83   	 13.20   	  10.17		 10.78   	  10.17		
  2.75   	 68.05   	 13.25   	   5.09		 10.82   	  10.17		
  3.97   	 66.22   	 13.27   	  15.26		 10.86   	   5.09		
  4.58   	 63.17   	 13.33   	  10.17		 10.89   	   5.09		
  7.02   	 64.09   	 13.37   	  15.26		 10.91   	   0.00		
 14.04   	 72.33   	 13.43   	  10.17		 10.91   	   0.00		
 24.11   	 84.53   	 13.47   	  15.26		 10.91   	   0.00		
 32.04   	 91.86   	 13.53   	  10.17		 10.91   	  -5.09		
 32.65   	 87.89   	 13.57   	  15.26		 10.89   	  -5.09		
 24.11   	 72.02   	 13.63   	  10.17		 10.86   	 -10.17		
  9.77   	 49.13   	 13.67   	  20.35		 10.82   	  -5.09		
 -6.10   	 24.11   	 13.75   	  15.26		 10.80   	 -10.17		
-19.23   	 -3.05   	 13.81   	  25.43		 10.76   	  -5.09		
-27.47   	-32.65   	 13.92   	  25.43		 10.74   	   5.09		
-29.91   	-61.95   	 14.02   	  30.52		 10.76   	   5.09		
-27.47   	-84.23   	 14.14   	  35.61		 10.78   	  15.26		
-22.58   	-94.91   	 14.28   	  40.69		 10.84   	  25.43		
-18.31   	-95.21   	 14.45   	  45.78		 10.95   	  30.52		
-17.70   	-91.86   	 14.63   	  50.86		 11.07   	  35.61		
-20.14   	-91.25   	 14.83   	  55.95		 11.21   	  40.69		
-23.19   	-95.21   	 15.06   	  61.04		 11.37   	  35.61		
-25.02   	-100.71   	 15.30   	  71.21		 11.52   	  25.43		
-25.33   	-103.76   	 15.58   	  71.21		 11.62   	  25.43		
-26.25   	-103.76   	 15.87   	  81.38		 11.72   	  10.17		
-28.38   	-101.62   	 16.20   	  76.30		 11.76   	   0.00		
-31.13   	-100.10   	 16.50   	  76.30		 11.76   	 -10.17		
-32.65   	-99.79   	 16.81   	  71.21		 11.72   	  -5.09		
-32.04   	-99.79   	 17.09   	  71.21		 11.70   	 -10.17		
-29.60   	-99.49   	 17.38   	  61.04		 11.66   	   0.00		
-26.55   	-97.96   	 17.62   	  55.95		 11.66   	   5.09		
-24.41   	-95.83   	 17.84   	  55.95		 11.68   	  20.35		
-24.41   	-94.30   	 18.07   	  50.86		 11.76   	  35.61		
-25.94   	-93.38   	 18.27   	  50.86		 11.90   	  45.78		
-27.16   	-92.47   	 18.47   	  50.86		 12.09   	  55.95		
-27.16   	-90.94   	 18.68   	  66.12		 12.31   	  55.95		
-25.33   	-88.81   	 18.94   	  71.21		 12.53   	  61.04		
-22.58   	-85.45   	 19.23   	  86.47		 12.78   	  55.95		
-19.53   	-81.79   	 19.57   	  96.64		 13.00   	  50.86		
-16.78   	-78.13   	 19.96   	 106.82		 13.20   	  40.69		
-14.95   	-75.38   	 20.39   	 116.99		 13.37   	  35.61		
-14.34   	-73.55   	 20.85   	 111.90		 13.51   	  20.35		
-16.48   	-73.24   	 21.30   	 111.90		 13.59   	  20.35		
-20.45   	-73.55   	 21.75   	 106.82		 13.67   	   5.09		
-25.02   	-72.63   	 22.18   	  96.64		 13.69   	   5.09		
-27.16   	-69.89   	 22.56   	  91.56		 13.71   	   0.00		
-25.33   	-65.92   	 22.93   	  76.30		 13.71   	 -10.17		
-20.45   	-63.17   	 23.23   	  61.04		 13.67   	  -5.09		
-14.95   	-62.26   	 23.48   	  50.86		 13.65   	 -10.17		
-11.90   	-62.56   	 23.68   	  35.61		 13.61   	 -15.26		
-13.43   	-63.17   	 23.82   	  25.43		 13.55   	 -10.17		
-17.40   	-62.26   	 23.93   	  15.26		 13.51   	 -15.26		
-21.36   	-59.81   	 23.99   	   0.00		 13.45   	 -15.26		
-23.19   	-56.76   	 23.99   	  -5.09		 13.39   	 -20.35		
-22.28   	-54.02   	 23.97   	 -10.17		 13.31   	 -20.35		
-20.14   	-52.80   	 23.93   	 -25.43		 13.22   	 -20.35		
-18.31   	-52.49   	 23.82   	 -25.43		 13.14   	 -15.26		
-17.70   	-52.80   	 23.72   	 -35.61		 13.08   	 -15.26		
-18.01   	-53.41   	 23.58   	 -30.52		 13.02   	  -5.09		
-18.62   	-53.41   	 23.46   	 -35.61		 13.00   	  -5.09		
-18.92   	-52.80   	 23.32   	 -35.61		 12.98   	  10.17		
-18.62   	-50.35   	 23.17   	 -30.52		 13.02   	  10.17		
