  I     	  II     	  LVp     	  LVp'		  FA     	  FA'		
-80.87   	 60.73   	 25.70   	 361.14		 56.42   	 -20.35		
-79.65   	-69.58   	 27.14   	 437.43		 56.34   	 -15.26		
-67.44   	-125.73   	 28.89   	 534.08		 56.28   	 -15.26		
-54.63   	-132.75   	 31.03   	 635.81		 56.22   	 -15.26		
-42.42   	-124.82   	 33.57   	 752.79		 56.15   	 -10.17		
-28.99   	-121.77   	 36.58   	 885.04		 56.11   	 -15.26		
-15.26   	-122.99   	 40.12   	1017.29		 56.05   	 -10.17		
 -4.88   	-121.77   	 44.19   	1154.62		 56.01   	 -10.17		
  0.00   	-117.49   	 48.81   	1276.70		 55.97   	 -10.17		
  0.00   	-115.97   	 53.92   	1363.17		 55.93   	  -5.09		
 -1.83   	-118.41   	 59.37   	1414.03		 55.91   	   0.00		
 -3.66   	-121.15   	 65.03   	1434.38		 55.91   	   0.00		
 -4.88   	-120.85   	 70.76   	1419.12		 55.91   	  15.26		
 -7.02   	-118.10   	 76.44   	1388.60		 55.97   	  20.35		
-10.07   	-115.05   	 81.99   	1347.91		 56.05   	  35.61		
-12.21   	-112.92   	 87.39   	1302.13		 56.20   	  55.95		
-11.90   	-111.39   	 92.59   	1251.27		 56.42   	  86.47		
 -9.16   	-111.39   	 97.60   	1195.32		 56.76   	 122.07		
 -5.49   	-112.00   	102.38   	1139.36		 57.25   	 167.85		
 -2.14   	-111.08   	106.94   	1088.50		 57.92   	 223.80		
  0.31   	-106.81   	111.29   	1052.90		 58.82   	 279.75		
  1.83   	-100.10   	115.50   	1037.64		 59.94   	 350.97		
  2.75   	-93.69   	119.65   	1057.98		 61.34   	 422.18		
  2.44   	-90.03   	123.89   	1093.59		 63.03   	 503.56		
  0.31   	-89.72   	128.26   	1129.19		 65.05   	 574.77		
 -2.75   	-90.64   	132.78   	1134.28		 67.34   	 645.98		
 -4.27   	-90.94   	137.31   	1098.67		 69.93   	 717.19		
 -3.66   	-89.11   	141.71   	1027.46		 72.80   	 773.14		
 -0.61   	-85.75   	145.82   	 951.17		 75.89   	 834.18		
  1.83   	-82.09   	149.62   	 874.87		 79.23   	 879.96		
  2.14   	-77.51   	153.12   	 818.92		 82.75   	 920.65		
 -0.31   	-71.41   	156.40   	 783.31		 86.43   	 951.17		
 -3.66   	-63.48   	159.53   	 747.71		 90.23   	 976.60		
 -4.88   	-55.85   	162.52   	 707.02		 94.14   	 996.94		
 -2.14   	-50.35   	165.35   	 656.15		 98.13   	1002.03		
  3.05   	-48.52   	167.97   	 595.11		102.14   	1012.20		
  7.93   	-47.91   	170.36   	 549.34		106.18   	1012.20		
 10.07   	-45.47   	172.55   	 498.47		110.23   	1007.12		
  8.54   	-38.45   	174.55   	 462.87		114.26   	 996.94		
  6.10   	-27.47   	176.40   	 432.35		118.25   	 986.77		
  5.80   	-15.56   	178.13   	 406.92		122.20   	 971.51		
  8.85   	 -6.10   	179.76   	 376.40		126.08   	 946.08		
 13.43   	 -0.31   	181.26   	 350.97		129.87   	 925.73		
 16.48   	  3.05   	182.66   	 315.36		133.57   	 895.22		
 17.09   	  5.80   	183.93   	 289.93		137.15   	 869.78		
 16.48   	 10.38   	185.09   	 264.50		140.63   	 834.18		
 15.87   	 16.17   	186.14   	 244.15		143.97   	 808.75		
 16.17   	 23.19   	187.12   	 223.80		147.20   	 768.05		
 17.40   	 29.91   	188.02   	 193.29		150.27   	 732.45		
 19.53   	 35.40   	188.79   	 162.77		153.20   	 691.76		
 23.19   	 39.67   	189.44   	 127.16		155.97   	 661.24		
 28.38   	 43.33   	189.95   	  96.64		158.62   	 620.55		
 32.35   	 46.39   	190.33   	  76.30		161.10   	 579.86		
 33.26   	 48.52   	190.64   	  50.86		163.42   	 544.25		
 29.60   	 48.83   	190.84   	  20.35		165.59   	 508.65		
 25.02   	 46.08   	190.92(S)	 -10.17		167.63   	 462.87		
 22.58   	 42.11   	190.88   	 -40.69		169.48   	 432.35		
 23.80   	 37.84   	190.72   	 -76.30		171.21   	 391.66		
 27.47   	 35.40   	190.42   	-106.82		172.78   	 356.05		
 29.60   	 35.10   	189.99   	-137.33		174.20   	 315.36		
 28.69   	 36.01   	189.44   	-183.11		175.46   	 284.84		
 26.55   	 36.32   	188.71   	-218.72		176.60   	 244.15		
 25.63   	 35.10   	187.83   	-269.58		177.58   	 208.54		
 27.47   	 31.74   	186.75   	-310.27		178.41   	 172.94		
 30.82   	 28.08   	185.51   	-356.05		179.10   	 137.33		
 32.35   	 25.33   	184.09   	-391.66		179.65   	  96.64		
 30.52   	 22.89   	182.52   	-432.35		180.04   	  55.95		
 27.16   	 20.45   	180.79   	-467.95		180.26   	  20.35		
 24.41   	 17.09   	178.92   	-503.56		180.35(S)	 -20.35		
 24.72   	 12.51   	176.91   	-534.08		180.26   	 -61.04		
 27.47   	  7.02   	174.77   	-564.60		180.02   	-101.73		
 29.91   	  3.05   	172.51   	-579.86		179.61   	-137.33		
 28.99   	  1.22   	170.19   	-605.29		179.06   	-178.03		
 23.50   	  0.92   	167.77   	-625.63		178.35   	-218.72		
 16.17   	  2.44   	165.27   	-651.07		177.48   	-254.32		
 10.68   	  4.88   	162.66   	-666.32		176.46   	-289.93		
  9.77   	  6.10   	160.00   	-686.67		175.30   	-325.53		
 13.43   	  4.27   	157.25   	-712.10		174.00   	-356.05		
 17.09   	 -0.92   	154.40   	-742.62		172.57   	-386.57		
 17.09   	 -8.85   	151.43   	-778.23		171.03   	-412.00		
 12.51   	-16.17   	148.32   	-818.92		169.38   	-442.52		
  5.19   	-20.14   	145.05   	-874.87		167.61   	-462.87		
 -1.22   	-18.92   	141.55   	-920.65		165.76   	-483.21		
 -3.97   	-15.26   	137.86   	-976.60		163.82   	-498.47		
 -3.66   	-11.29   	133.96   	-1017.29		161.83   	-508.65		
 -2.44   	 -9.46   	129.89   	-1063.07		159.80   	-523.90		
 -1.83   	-10.38   	125.64   	-1093.59		157.70   	-528.99		
 -3.05   	-13.73   	121.26   	-1124.11		155.58   	-528.99		
 -5.19   	-17.40   	116.76   	-1159.71		153.47   	-534.08		
 -6.41   	-18.92   	112.13   	-1174.97		151.33   	-528.99		
 -5.49   	-18.31   	107.43   	-1195.32		149.22   	-528.99		
 -2.75   	-15.26   	102.64   	-1200.40		147.10   	-518.82		
 -0.31   	-12.51   	 97.84   	-1200.40		145.02   	-503.56		
 -0.92   	-12.51   	 93.04   	-1190.23		143.01   	-498.47		
 -4.58   	-15.87   	 88.28   	-1185.14		141.02   	-488.30		
 -9.16   	-20.45   	 83.54   	-1169.88		139.06   	-473.04		
-12.21   	-23.80   	 78.86   	-1149.54		137.17   	-452.69		
-12.82   	-23.80   	 74.26   	-1124.11		135.36   	-442.52		
-12.21   	-21.97   	 69.77   	-1103.76		133.59   	-427.26		
-11.60   	-20.45   	 65.35   	-1068.15		131.88   	-412.00		
-11.29   	-21.97   	 61.08   	-1022.38		130.23   	-396.74		
-11.29   	-25.94   	 56.99   	-981.68		128.65   	-381.48		
-10.68   	-29.30   	 53.06   	-935.91		127.12   	-371.31		
 -9.46   	-26.55   	 49.32   	-879.96		125.64   	-350.97		
 -7.02   	-14.95   	 45.80   	-824.00		124.23   	-340.79		
 -4.58   	  2.75   	 42.50   	-773.14		122.87   	-325.53		
 -2.44   	 21.36   	 39.41   	-717.19		121.57   	-315.36		
 -2.14   	 35.10   	 36.54   	-661.24		120.30   	-300.10		
 -4.27   	 43.03   	 33.90   	-610.37		119.10   	-289.93		
 -7.32   	 49.13   	 31.45   	-549.34		117.94   	-279.75		
 -8.54   	 57.07   	 29.26   	-503.56		116.83   	-269.58		
 -6.10   	 66.22   	 27.24   	-452.69		115.75   	-259.41		
  0.00   	 73.55   	 25.43   	-406.92		114.71   	-249.24		
  6.41   	 76.29   	 23.80   	-361.14		113.71   	-239.06		
 10.68   	 76.90   	 22.36   	-330.62		112.76   	-228.89		
 11.29   	 79.65   	 21.04   	-295.01		111.84   	-218.72		
  8.24   	 85.14   	 19.86   	-264.50		110.97   	-213.63		
  3.97   	 90.03   	 18.80   	-233.98		110.11   	-203.46		
  2.44   	 90.94   	 17.86   	-208.54		109.30   	-198.37		
  6.10   	 90.03   	 17.03   	-188.20		108.50   	-188.20		
 15.26   	 93.08   	 16.28   	-162.77		107.75   	-183.11		
 27.47   	104.37   	 15.63   	-142.42		107.02   	-178.03		
 37.84   	121.46   	 15.06   	-132.25		106.31   	-172.94		
 41.50   	136.41   	 14.53   	-116.99		105.62   	-167.85		
 38.15   	140.38   	 14.06   	-106.82		104.94   	-157.68		
 29.60   	128.48   	 13.63   	-101.73		104.31   	-157.68		
 19.23   	102.23   	 13.22   	 -91.56		103.68   	-147.51		
 10.07   	 66.22   	 12.86   	 -81.38		103.09   	-147.51		
  3.05   	 24.72   	 12.53   	 -71.21		102.50   	-142.42		
 -2.14   	-15.56   	 12.25   	 -55.95		101.93   	-142.42		
 -6.41   	-49.13   	 12.02   	 -40.69		101.36   	-132.25		
 -9.77   	-72.94   	 11.86   	 -25.43		100.83   	-127.16		
-12.51   	-86.98   	 11.76   	 -10.17		100.33   	-127.16		
-14.04   	-94.60   	 11.72(D)	   5.09		 99.82   	-122.07		
-14.34   	-99.18   	 11.74   	  15.26		 99.33   	-116.99		
-14.95   	-104.68   	 11.80   	  20.35		 98.86   	-116.99		
-16.78   	-110.47   	 11.88   	  20.35		 98.39   	-106.82		
-19.53   	-114.14   	 11.96   	  25.43		 97.97   	-111.90		
-21.36   	-113.83   	 12.07   	  25.43		 97.52   	-101.73		
-20.75   	-109.56   	 12.17   	  30.52		 97.11   	-101.73		
-17.70   	-104.37   	 12.29   	  25.43		 96.70   	-101.73		
-14.34   	-103.15   	 12.39   	  25.43		 96.30   	 -96.64		
-12.82   	-108.03   	 12.49   	  25.43		 95.91   	 -96.64		
-13.73   	-116.27   	 12.59   	  20.35		 95.52   	 -96.64		
-16.48   	-122.99   	 12.68   	  10.17		 95.14   	 -96.64		
-19.23   	-123.60   	 12.72   	  10.17		 94.75   	 -91.56		
-20.45   	-118.41   	 12.76   	  10.17		 94.38   	 -91.56		
-20.14   	-112.00   	 12.80   	  10.17		 94.02   	 -91.56		
-18.01   	-107.42   	 12.84   	  15.26		 93.65   	 -91.56		
-14.95   	-105.59   	 12.90   	  15.26		 93.29   	 -91.56		
-11.90   	-104.68   	 12.96   	  20.35		 92.92   	 -91.56		
-10.07   	-103.76   	 13.04   	  25.43		 92.55   	 -91.56		
 -9.46   	-101.93   	 13.14   	  25.43		 92.19   	 -86.47		
-10.07   	-101.32   	 13.25   	  40.69		 91.84   	 -91.56		
-12.21   	-101.62   	 13.41   	  50.86		 91.47   	 -86.47		
-15.56   	-102.23   	 13.61   	  66.12		 91.13   	 -86.47		
-19.53   	-100.71   	 13.88   	  76.30		 90.78   	 -86.47		
-22.89   	-97.05   	 14.18   	  81.38		 90.44   	 -81.38		
-23.80   	-93.08   	 14.51   	  71.21		 90.11   	 -86.47		
-21.36   	-90.03   	 14.79   	  66.12		 89.77   	 -81.38		
-17.09   	-87.59   	 15.06   	  55.95		 89.44   	 -76.30		
-13.12   	-85.14   	 15.28   	  50.86		 89.13   	 -81.38		
-10.68   	-82.70   	 15.48   	  40.69		 88.81   	 -81.38		
-10.38   	-80.26   	 15.65   	  35.61		 88.48   	 -76.30		
-11.29   	-77.82   	 15.79   	  35.61		 88.18   	 -76.30		
-12.21   	-77.21   	 15.93   	  25.43		 87.87   	 -76.30		
-13.43   	-78.13   	 16.03   	  20.35		 87.57   	 -81.38		
-14.95   	-79.04   	 16.11   	  10.17		 87.24   	 -81.38		
-16.48   	-78.43   	 16.15   	   5.09		 86.92   	 -76.30		
-16.78   	-75.99   	 16.17   	  -5.09		 86.61   	 -86.47		
-15.87   	-72.63   	 16.15   	 -10.17		 86.27   	 -81.38		
-14.34   	-70.50   	 16.11   	 -15.26		 85.94   	 -86.47		
-13.73   	-71.11   	 16.05   	 -10.17		 85.59   	 -81.38		
-15.26   	-74.46   	 16.01   	 -15.26		 85.27   	 -86.47		
-18.01   	-77.82   	 15.95   	 -10.17		 84.92   	 -91.56		
-19.23   	-78.43   	 15.91   	 -10.17		 84.56   	 -86.47		
-18.01   	-76.29   	 15.87   	 -10.17		 84.21   	 -86.47		
