  I     	  II     	  AOp     	  AOp'		  AO     	  AO'		
-13.12   	-99.79   	 66.51   	 -30.52		 68.20   	 -35.61		
-10.99   	-99.79   	 66.39   	 -40.69		 68.06   	 -30.52		
 -8.54   	-99.49   	 66.23   	 -35.61		 67.93   	 -35.61		
 -7.63   	-100.40   	 66.08   	 -35.61		 67.79   	 -35.61		
 -8.54   	-102.84   	 65.94   	 -40.69		 67.65   	 -35.61		
-10.99   	-105.59   	 65.78   	 -40.69		 67.51   	 -40.69		
-13.43   	-108.03   	 65.62   	 -40.69		 67.34   	 -35.61		
-14.34   	-108.95   	 65.45   	 -40.69		 67.20   	 -35.61		
-13.73   	-108.64   	 65.29   	 -40.69		 67.06   	 -40.69		
-11.90   	-107.73   	 65.13   	 -45.78		 66.90   	 -35.61		
-10.07   	-107.12   	 64.94   	 -40.69		 66.75   	 -40.69		
 -8.85   	-106.81   	 64.78   	 -45.78		 66.59   	 -40.69		
 -8.24   	-105.90   	 64.60   	 -40.69		 66.43   	 -35.61		
 -8.24   	-105.29   	 64.44   	 -45.78		 66.29   	 -40.69		
 -8.24   	-104.68   	 64.25   	 -40.69		 66.12   	 -40.69		
 -7.93   	-104.68   	 64.09   	 -45.78		 65.96   	 -40.69		
 -7.93   	-105.29   	 63.91   	 -45.78		 65.80   	 -40.69		
 -8.54   	-106.20   	 63.72   	 -45.78		 65.64   	 -40.69		
 -9.77   	-107.12   	 63.54   	 -45.78		 65.47   	 -40.69		
-10.68   	-107.73   	 63.36   	 -45.78		 65.31   	 -40.69		
-11.29   	-108.03   	 63.17   	 -50.86		 65.15   	 -40.69		
-11.29   	-108.03   	 62.97   	 -45.78		 64.98   	 -40.69		
-10.38   	-108.03   	 62.79   	 -50.86		 64.82   	 -40.69		
 -9.77   	-108.03   	 62.58   	 -50.86		 64.66   	 -40.69		
 -9.16   	-107.73   	 62.38   	 -50.86		 64.50   	 -40.69		
 -8.54   	-106.81   	 62.18   	 -50.86		 64.33   	 -45.78		
 -7.93   	-104.98   	 61.97   	 -50.86		 64.15   	 -40.69		
 -7.32   	-102.84   	 61.77   	 -50.86		 63.99   	 -45.78		
 -7.32   	-101.62   	 61.57   	 -50.86		 63.80   	 -40.69		
 -7.93   	-101.32   	 61.36   	 -45.78		 63.64   	 -45.78		
 -9.16   	-101.62   	 61.18   	 -50.86		 63.46   	 -40.69		
-10.07   	-102.23   	 60.98   	 -45.78		 63.30   	 -45.78		
-10.07   	-102.84   	 60.79   	 -45.78		 63.11   	 -40.69		
 -9.16   	-103.45   	 60.61   	 -40.69		 62.95   	 -40.69		
 -8.54   	-104.37   	 60.45   	 -40.69		 62.79   	 -40.69		
 -8.54   	-104.98   	 60.28   	 -40.69		 62.62   	 -40.69		
 -8.85   	-104.68   	 60.12   	 -35.61		 62.46   	 -35.61		
 -9.77   	-102.54   	 59.98   	 -30.52		 62.32   	 -40.69		
 -9.77   	-100.10   	 59.86   	 -35.61		 62.16   	 -35.61		
 -9.46   	-97.66   	 59.71   	 -30.52		 62.01   	 -35.61		
 -8.85   	-97.05   	 59.59   	 -25.43		 61.87   	 -35.61		
 -8.85   	-97.96   	 59.49   	 -30.52		 61.73   	 -35.61		
 -9.16   	-99.79   	 59.37   	 -30.52		 61.59   	 -30.52		
-10.38   	-101.93   	 59.25   	 -30.52		 61.46   	 -35.61		
-10.99   	-102.54   	 59.12   	 -25.43		 61.32   	 -30.52		
-10.99   	-101.62   	 59.02   	 -30.52		 61.20   	 -30.52		
 -9.16   	-98.88   	 58.90   	 -30.52		 61.08   	 -30.52		
 -6.41   	-96.44   	 58.78   	 -30.52		 60.96   	 -30.52		
 -4.27   	-94.91   	 58.66   	 -30.52		 60.83   	 -30.52		
 -3.36   	-94.91   	 58.53   	 -30.52		 60.71   	 -30.52		
 -4.58   	-95.52   	 58.41   	 -35.61		 60.59   	 -30.52		
 -6.41   	-95.52   	 58.27   	 -30.52		 60.47   	 -35.61		
 -7.93   	-93.99   	 58.15   	 -30.52		 60.33   	 -30.52		
 -7.93   	-91.55   	 58.03   	 -30.52		 60.20   	 -30.52		
 -7.63   	-89.42   	 57.90   	 -30.52		 60.08   	 -30.52		
 -7.63   	-89.42   	 57.78   	 -35.61		 59.96   	 -30.52		
 -8.54   	-91.25   	 57.64   	 -30.52		 59.84   	 -30.52		
 -9.46   	-94.30   	 57.52   	 -30.52		 59.71   	 -35.61		
 -9.77   	-97.05   	 57.40   	 -30.52		 59.57   	 -30.52		
