  I     	  II     	  AO     	  AO'		  FAC     	  FAC'		
 -7.02   	-128.78   	 63.99   	 361.14		 44.19   	 -30.52		
-12.21   	-134.28   	 65.43   	 356.05		 44.07   	 -20.35		
-17.40   	-140.38   	 66.86   	 335.71		 43.99   	  -5.09		
-19.23   	-143.13   	 68.20   	 305.19		 43.97   	   5.09		
-16.78   	-141.91   	 69.42   	 274.67		 43.99   	  15.26		
-11.90   	-137.33   	 70.52   	 244.15		 44.05   	  40.69		
 -9.16   	-132.14   	 71.50   	 213.63		 44.21   	  61.04		
-10.38   	-128.17   	 72.35   	 193.29		 44.46   	 111.90		
-13.73   	-127.87   	 73.12   	 178.03		 44.90   	 183.11		
-16.48   	-131.23   	 73.83   	 162.77		 45.64   	 284.84		
-17.40   	-136.41   	 74.49   	 152.59		 46.77   	 401.83		
-16.78   	-140.69   	 75.10   	 147.51		 48.38   	 544.25		
-16.48   	-142.52   	 75.69   	 147.51		 50.56   	 656.15		
-16.78   	-141.60   	 76.28   	 147.51		 53.18   	 666.32		
-17.09   	-139.77   	 76.87   	 152.59		 55.85   	 630.72		
-18.01   	-138.24   	 77.48   	 172.94		 58.37   	 549.34		
-20.75   	-137.33   	 78.17   	 198.37		 60.57   	 467.95		
-24.11   	-135.19   	 78.96   	 233.98		 62.44   	 447.61		
-26.86   	-131.53   	 79.90   	 269.58		 64.23   	 493.39		
-26.86   	-127.26   	 80.98   	 310.27		 66.21   	 498.47		
-22.28   	-122.99   	 82.22   	 340.79		 68.20   	 478.13		
-15.87   	-118.71   	 83.58   	 356.05		 70.11   	 483.21		
-10.99   	-115.97   	 85.00   	 366.22		 72.04   	 473.04		
 -9.16   	-114.75   	 86.47   	 345.88		 73.94   	 462.87		
-10.99   	-114.75   	 87.85   	 330.62		 75.79   	 488.30		
-14.04   	-114.75   	 89.18   	 295.01		 77.74   	 493.39		
-17.09   	-113.83   	 90.36   	 259.41		 79.71   	 488.30		
-19.84   	-112.00   	 91.39   	 239.06		 81.67   	 503.56		
-22.28   	-108.03   	 92.35   	 213.63		 83.68   	 503.56		
-23.50   	-102.84   	 93.20   	 198.37		 85.70   	 483.21		
-24.41   	-96.13   	 94.00   	 193.29		 87.63   	 442.52		
-25.02   	-88.20   	 94.77   	 198.37		 89.40   	 447.61		
-26.25   	-80.87   	 95.56   	 203.46		 91.19   	 452.69		
-28.69   	-75.68   	 96.38   	 203.46		 93.00   	 406.92		
-32.96   	-72.63   	 97.19   	 208.54		 94.63   	 356.05		
-38.45   	-70.50   	 98.03   	 198.37		 96.05   	 315.36		
-43.33   	-67.14   	 98.82   	 193.29		 97.31   	 279.75		
-46.08   	-61.04   	 99.59   	 178.03		 98.43   	 249.24		
-44.86   	-53.71   	100.30   	 172.94		 99.43   	 274.67		
-39.67   	-46.39   	101.00   	 157.68		100.53   	 274.67		
-32.96   	-40.28   	101.63   	 147.51		101.63   	 218.72		
-29.60   	-35.71   	102.22   	 137.33		102.50   	 147.51		
-32.04   	-32.65   	102.77   	 122.07		103.09   	 127.16		
-38.45   	-29.60   	103.25   	 111.90		103.60   	 122.07		
-45.17   	-25.63   	103.70   	 111.90		104.09   	 122.07		
-49.44   	-20.45   	104.15   	 106.82		104.58   	 122.07		
-49.74   	-13.73   	104.58   	 101.73		105.07   	  86.47		
-48.22   	 -6.71   	104.98   	  96.64		105.41   	  35.61		
-46.08   	  0.00   	105.37   	  91.56		105.55   	  20.35		
-42.72   	  6.71   	105.74   	  71.21		105.64(S)	   0.00		
-36.93   	 13.73   	106.02   	  55.95		105.64   	 -30.52		
-29.30   	 20.45   	106.25   	  25.43		105.51   	 -40.69		
-21.97   	 25.33   	106.35   	   5.09		105.35   	 -50.86		
-17.40   	 27.47   	106.37(S)	 -25.43		105.15   	 -76.30		
-14.34   	 27.47   	106.27   	 -55.95		104.84   	 -96.64		
 -9.77   	 27.47   	106.04   	 -76.30		104.46   	-101.73		
 -1.53   	 29.91   	105.74   	 -96.64		104.05   	 -96.64		
 10.68   	 34.79   	105.35   	-116.99		103.66   	-111.90		
 23.80   	 41.20   	104.88   	-132.25		103.21   	-132.25		
 33.26   	 46.39   	104.35   	-142.42		102.69   	-178.03		
 36.32   	 47.61   	103.78   	-152.59		101.97   	-233.98		
