  I     	  II     	  FA     	  FA'		  AO     	  AO'		
-18.92   	-12.51   	  3.68   	 -40.69		 -2.48   	  -5.09		
-16.48   	-11.60   	  3.52   	 -35.61		 -2.50   	  -5.09		
-15.87   	-11.90   	  3.38   	 -35.61		 -2.52   	  -5.09		
-17.70   	-13.73   	  3.23   	 -30.52		 -2.54   	  -5.09		
-20.75   	-15.56   	  3.11   	 -25.43		 -2.56   	  -5.09		
-22.89   	-16.48   	  3.01   	 -15.26		 -2.58   	   0.00		
-22.58   	-15.87   	  2.95   	 -15.26		 -2.58   	 -10.17		
-20.45   	-14.34   	  2.89   	 -10.17		 -2.62   	  -5.09		
-18.01   	-13.43   	  2.85   	   0.00		 -2.64   	  -5.09		
-17.40   	-13.43   	  2.85   	   0.00		 -2.67   	  -5.09		
-18.01   	-14.34   	  2.85   	  10.17		 -2.69   	  -5.09		
-18.92   	-15.26   	  2.89   	  10.17		 -2.71   	  -5.09		
-18.92   	-16.17   	  2.93   	  20.35		 -2.73   	  -5.09		
-17.09   	-16.17   	  3.01   	  20.35		 -2.75   	  -5.09		
-15.26   	-16.17   	  3.09   	  25.43		 -2.77   	  -5.09		
-14.04   	-16.48   	  3.19   	  25.43		 -2.79   	   0.00		
-14.04   	-17.09   	  3.30   	  30.52		 -2.79   	  -5.09		
-14.95   	-18.01   	  3.42   	  35.61		 -2.81   	  -5.09		
-16.48   	-19.23   	  3.56   	  35.61		 -2.83   	   0.00		
-18.01   	-20.14   	  3.70   	  35.61		 -2.83   	   0.00		
-18.92   	-20.14   	  3.85   	  35.61		 -2.83   	   0.00		
-18.62   	-19.53   	  3.99   	  35.61		 -2.83   	   0.00		
-17.40   	-18.31   	  4.13   	  30.52		 -2.83   	   0.00		
-15.26   	-17.70   	  4.25   	  30.52		 -2.83   	   5.09		
-14.04   	-18.31   	  4.37   	  25.43		 -2.81   	   0.00		
-14.65   	-19.84   	  4.48   	  25.43		 -2.81   	   0.00		
-16.78   	-20.75   	  4.58   	  20.35		 -2.81   	   5.09		
-18.62   	-20.45   	  4.66   	  10.17		 -2.79   	   5.09		
-19.23   	-18.62   	  4.70   	  10.17		 -2.77   	   5.09		
-18.01   	-16.17   	  4.74   	   5.09		 -2.75   	   5.09		
-15.87   	-14.95   	  4.76   	  -5.09		 -2.73   	   5.09		
-14.65   	-15.26   	  4.74   	  -5.09		 -2.71   	   0.00		
-14.95   	-17.09   	  4.72   	 -10.17		 -2.71   	   5.09		
-15.87   	-19.23   	  4.68   	 -20.35		 -2.69   	   5.09		
-16.17   	-20.14   	  4.60   	 -20.35		 -2.67   	   5.09		
-14.95   	-19.23   	  4.52   	 -20.35		 -2.64   	   0.00		
-12.82   	-17.40   	  4.44   	 -25.43		 -2.64   	   5.09		
-10.99   	-15.87   	  4.33   	 -25.43		 -2.62   	   0.00		
-10.38   	-14.65   	  4.23   	 -25.43		 -2.62   	  10.17		
-10.68   	-14.34   	  4.13   	 -30.52		 -2.58   	   0.00		
-11.60   	-14.04   	  4.01   	 -25.43		 -2.58   	   0.00		
-12.51   	-13.73   	  3.91   	 -20.35		 -2.58   	   0.00		
-12.82   	-12.82   	  3.83   	 -25.43		 -2.58   	   0.00		
-12.51   	-11.90   	  3.72   	 -20.35		 -2.58   	   0.00		
-11.90   	-10.99   	  3.64   	 -15.26		 -2.58   	   0.00		
-11.29   	-10.99   	  3.58   	 -10.17		 -2.58   	   0.00		
-10.99   	-11.60   	  3.54   	 -10.17		 -2.58   	   0.00		
-11.29   	-12.51   	  3.50   	  -5.09		 -2.58   	   0.00		
-11.29   	-13.43   	  3.48   	  -5.09		 -2.58   	   5.09		
-11.60   	-14.34   	  3.46   	   5.09		 -2.56   	   0.00		
-12.51   	-14.95   	  3.48   	   5.09		 -2.56   	   0.00		
-13.43   	-15.26   	  3.50   	   5.09		 -2.56   	   0.00		
-14.34   	-15.26   	  3.52   	  15.26		 -2.56   	   0.00		
-14.04   	-14.65   	  3.58   	  10.17		 -2.56   	   0.00		
-12.82   	-13.12   	  3.62   	  20.35		 -2.56   	   0.00		
-11.60   	-11.90   	  3.70   	  15.26		 -2.56   	   0.00		
-10.68   	-10.99   	  3.76   	  20.35		 -2.56   	   0.00		
-10.38   	-10.99   	  3.85   	  15.26		 -2.56   	   0.00		
-10.99   	-12.21   	  3.91   	  20.35		 -2.56   	  -5.09		
-11.60   	-14.34   	  3.99   	  20.35		 -2.58   	   0.00		
