  I     	  II     	  LVp     	  LVp'		  AO     	  AO'		
-23.80   	-19.23   	 16.85   	  10.17		 70.76   	 -55.95		
-20.45   	-10.07   	 16.89   	  10.17		 70.54   	 -50.86		
-16.48   	 -4.88   	 16.93   	  10.17		 70.34   	 -55.95		
-12.82   	 -1.22   	 16.97   	  10.17		 70.11   	 -55.95		
 -8.85   	  3.36   	 17.01   	   5.09		 69.89   	 -50.86		
 -5.49   	 10.38   	 17.03   	   5.09		 69.68   	 -55.95		
 -2.75   	 18.92   	 17.05   	   5.09		 69.46   	 -50.86		
 -0.61   	 26.55   	 17.07   	   5.09		 69.26   	 -55.95		
  1.22   	 33.26   	 17.09   	   0.00		 69.03   	 -50.86		
  3.05   	 38.45   	 17.09   	   5.09		 68.83   	 -50.86		
  5.80   	 42.42   	 17.11   	   0.00		 68.63   	 -50.86		
 10.07   	 45.17   	 17.11   	  -5.09		 68.42   	 -50.86		
 15.87   	 45.47   	 17.09   	   0.00		 68.22   	 -50.86		
 23.19   	 43.33   	 17.09   	   0.00		 68.02   	 -50.86		
 31.43   	 41.50   	 17.09   	  -5.09		 67.81   	 -50.86		
 39.37   	 40.89   	 17.07   	   0.00		 67.61   	 -45.78		
 45.17   	 40.89   	 17.07   	  -5.09		 67.43   	 -50.86		
 46.69   	 37.54   	 17.05   	  -5.09		 67.22   	 -55.95		
 42.72   	 25.94   	 17.03   	   0.00		 67.00   	 -50.86		
 33.26   	  5.49   	 17.03   	   0.00		 66.80   	 -50.86		
 20.75   	-18.62   	 17.03   	  -5.09		 66.59   	 -50.86		
  8.24   	-38.45   	 17.01   	   0.00		 66.39   	 -50.86		
 -3.05   	-48.83   	 17.01   	   5.09		 66.18   	 -50.86		
-13.73   	-51.27   	 17.03   	   0.00		 65.98   	 -55.95		
-25.02   	-52.80   	 17.03   	   5.09		 65.76   	 -50.86		
-35.40   	-60.42   	 17.05   	   5.09		 65.55   	 -50.86		
-42.72   	-75.99   	 17.07   	  10.17		 65.35   	 -50.86		
-44.86   	-95.83   	 17.11   	  10.17		 65.15   	 -50.86		
-42.72   	-112.92   	 17.15   	  10.17		 64.94   	 -50.86		
-40.28   	-123.29   	 17.19   	  15.26		 64.74   	 -45.78		
-40.28   	-126.34   	 17.25   	  15.26		 64.56   	 -45.78		
-43.64   	-125.73   	 17.31   	  25.43		 64.37   	 -45.78		
-47.30   	-124.51   	 17.42   	  20.35		 64.19   	 -40.69		
-48.52   	-124.21   	 17.50   	  25.43		 64.03   	 -45.78		
-46.39   	-124.51   	 17.60   	  30.52		 63.85   	 -40.69		
-43.33   	-124.21   	 17.72   	  30.52		 63.68   	 -40.69		
-42.42   	-122.99   	 17.84   	  30.52		 63.52   	 -45.78		
-44.86   	-122.68   	 17.97   	  30.52		 63.34   	 -40.69		
-49.13   	-123.90   	 18.09   	  35.61		 63.17   	 -40.69		
-52.80   	-126.65   	 18.23   	  35.61		 63.01   	 -40.69		
-54.02   	-128.78   	 18.37   	  35.61		 62.85   	 -40.69		
-53.41   	-127.87   	 18.51   	  40.69		 62.69   	 -40.69		
-55.24   	-123.60   	 18.68   	  40.69		 62.52   	 -35.61		
-64.39   	-118.71   	 18.84   	  40.69		 62.38   	 -40.69		
-82.40   	-114.75   	 19.00   	  40.69		 62.22   	 -40.69		
-104.98   	-110.78   	 19.17   	  45.78		 62.05   	 -35.61		
-120.54   	-99.79   	 19.35   	  50.86		 61.91   	 -40.69		
-115.66   	-73.85   	 19.55   	  45.78		 61.75   	 -35.61		
-80.87   	-28.69   	 19.74   	  50.86		 61.61   	 -35.61		
-14.34   	 32.35   	 19.94   	  50.86		 61.46   	 -40.69		
 80.87   	102.84   	 20.14   	  55.95		 61.30   	 -40.69		
205.08   	182.80   	 20.37   	  55.95		 61.14   	 -35.61		
364.07   	283.20   	 20.59   	  55.95		 61.00   	 -40.69		
557.25   	415.95   	 20.81   	  61.04		 60.83   	 -40.69		
763.24   	567.32   	 21.06   	 122.07		 60.67   	 -86.47		
996.70   	700.38(R)	 21.55(E)	  66.12		 60.33   	 -40.69		
931.70   	565.80   	 21.81   	  71.21		 60.16   	 -45.78		
761.41   	304.57   	 22.10   	  76.30		 59.98   	 -40.69		
557.86   	 -0.31   	 22.40   	  86.47		 59.82   	 -40.69		
395.20   	-262.15   	 22.75   	  91.56		 59.65   	 -40.69		
305.79   	-439.76   	 23.11   	 116.99		 59.49   	 -40.69		
265.81   	-544.74   	 23.58   	 132.25		 59.33   	 -35.61		
227.05   	-606.38   	 24.11   	 157.68		 59.19   	 -35.61		
157.78   	-632.63   	 24.74   	 188.20		 59.04   	 -30.52		
 60.73   	-609.13   	 25.49   	 213.63		 58.92   	 -25.43		
-40.89   	-532.84   	 26.35   	 228.89		 58.82   	 -20.35		
-126.34   	-433.04   	 27.26   	 239.06		 58.74   	 -25.43		
-190.12   	-351.87   	 28.22   	 239.06		 58.64   	 -30.52		
-237.43   	-310.67   	 29.18   	 223.80		 58.51   	 -30.52		
-273.44   	-299.99   	 30.07   	 208.54		 58.39   	 -40.69		
-297.55   	-291.44   	 30.91   	 203.46		 58.23   	 -50.86		
-307.31   	-265.50   	 31.72   	 198.37		 58.03   	 -50.86		
-304.26   	-227.97   	 32.51   	 208.54		 57.82   	 -61.04		
-290.83   	-197.45   	 33.35   	 228.89		 57.58   	 -50.86		
-268.55   	-184.94   	 34.26   	 254.32		 57.38   	 -50.86		
-238.04   	-184.02   	 35.28   	 300.10		 57.17   	 -35.61		
-201.11   	-179.14   	 36.48   	 340.79		 57.03   	 -25.43		
-162.66   	-160.52   	 37.84   	 391.66		 56.93   	  -5.09		
-128.78   	-131.53   	 39.41   	 442.52		 56.91   	  15.26		
-104.98   	-106.20   	 41.18   	 483.21		 56.97   	  45.78		
-91.55   	-95.83   	 43.11   	 523.90		 57.15   	  66.12		
-85.45   	-99.49   	 45.21   	 554.42		 57.42   	 101.73		
-82.09   	-107.73   	 47.43   	 574.77		 57.82   	 127.16		
-78.43   	-110.17   	 49.73   	 584.94		 58.33   	 152.59		
-74.77   	-105.90   	 52.06   	 584.94		 58.94   	 183.11		
-72.02   	-101.01   	 54.40   	 579.86		 59.67   	 203.46		
-70.50   	-100.71   	 56.72   	 569.68		 60.49   	 223.80		
-70.19   	-105.59   	 59.00   	 549.34		 61.38   	 244.15		
-69.89   	-112.30   	 61.20   	 528.99		 62.36   	 259.41		
-69.58   	-116.88   	 63.32   	 503.56		 63.40   	 274.67		
-70.19   	-118.71   	 65.33   	 478.13		 64.50   	 279.75		
-71.41   	-118.71   	 67.24   	 447.61		 65.62   	 289.93		
-72.94   	-117.80   	 69.03   	 427.26		 66.77   	 295.01		
-73.85   	-117.19   	 70.74   	 406.92		 67.95   	 289.93		
-73.24   	-115.97   	 72.37   	 381.48		 69.11   	 295.01		
-71.11   	-113.53   	 73.90   	 356.05		 70.29   	 295.01		
-68.05   	-110.78   	 75.32   	 340.79		 71.47   	 295.01		
-65.61   	-108.64   	 76.68   	 325.53		 72.65   	 289.93		
-65.61   	-107.42   	 77.99   	 310.27		 73.81   	 284.84		
-68.05   	-108.03   	 79.23   	 300.10		 74.95   	 289.93		
-72.02   	-109.25   	 80.43   	 289.93		 76.11   	 289.93		
-74.77   	-110.47   	 81.59   	 279.75		 77.27   	 295.01		
-75.07   	-112.00   	 82.71   	 284.84		 78.45   	 295.01		
-72.94   	-112.61   	 83.85   	 274.67		 79.63   	 305.19		
-69.58   	-112.00   	 84.94   	 279.75		 80.85   	 310.27		
-67.14   	-109.86   	 86.06   	 284.84		 82.10   	 320.45		
-66.22   	-107.73   	 87.20   	 284.84		 83.38   	 335.71		
-66.53   	-106.51   	 88.34   	 284.84		 84.72   	 340.79		
-67.44   	-106.20   	 89.48   	 284.84		 86.08   	 350.97		
-68.05   	-105.59   	 90.62   	 289.93		 87.49   	 361.14		
-69.27   	-104.37   	 91.78   	 289.93		 88.93   	 366.22		
-70.50   	-102.54   	 92.94   	 279.75		 90.40   	 371.31		
-70.80   	-101.62   	 94.06   	 279.75		 91.88   	 376.40		
-70.19   	-101.62   	 95.18   	 279.75		 93.39   	 376.40		
-68.05   	-101.32   	 96.30   	 269.58		 94.89   	 376.40		
-65.31   	-100.40   	 97.37   	 269.58		 96.40   	 376.40		
-64.09   	-98.57   	 98.45   	 264.50		 97.90   	 371.31		
-65.00   	-96.74   	 99.51   	 264.50		 99.39   	 371.31		
-66.22   	-94.30   	100.57   	 269.58		100.87   	 376.40		
-66.22   	-89.72   	101.65   	 274.67		102.38   	 366.22		
-63.78   	-81.18   	102.75   	 274.67		103.84   	 371.31		
-59.51   	-70.80   	103.84   	 284.84		105.33   	 371.31		
-55.85   	-63.78   	104.98   	 289.93		106.82   	 371.31		
