  I     	  II     	  AO     	  AO'		  FAC     	  FAC'		
-25.63   	-42.11   	 59.00   	 -66.12		 51.13   	 -45.78		
-27.16   	-44.56   	 58.74   	 -61.04		 50.95   	 -45.78		
-27.16   	-42.72   	 58.49   	 -55.95		 50.76   	 -30.52		
-31.74   	-37.84   	 58.27   	 -55.95		 50.64   	 -30.52		
-43.64   	-30.82   	 58.05   	 -45.78		 50.52   	 -30.52		
-57.07   	-21.06   	 57.86   	 -45.78		 50.40   	 -25.43		
-60.42   	 -6.41   	 57.68   	 -40.69		 50.29   	 -15.26		
-40.89   	 14.65   	 57.52   	 -45.78		 50.23   	 -45.78		
  9.46   	 45.47   	 57.33   	 -50.86		 50.05   	 -61.04		
 93.99   	 90.03   	 57.13   	 -45.78		 49.81   	 -55.95		
213.62   	152.89   	 56.95   	 -50.86		 49.58   	 -40.69		
366.82   	241.09   	 56.74   	 -50.86		 49.42   	 -35.61		
549.32   	365.60   	 56.54   	 -50.86		 49.28   	 -40.69		
744.63   	528.26   	 56.34   	 -50.86		 49.11   	 -45.78		
913.09   	704.96   	 56.13   	 -91.56		 48.93   	-101.73		
968.93   	874.33   	 55.77   	 -40.69		 48.52   	 -55.95		
800.48   	771.48   	 55.61   	 -40.69		 48.30   	 -55.95		
533.14   	558.47   	 55.44   	 -40.69		 48.08   	 -40.69		
240.78   	306.70   	 55.28   	 -35.61		 47.91   	 -40.69		
 -1.83   	 89.72   	 55.14   	 -35.61		 47.75   	 -45.78		
-150.45   	-56.15   	 54.99   	 -40.69		 47.57   	 -40.69		
-203.25   	-136.72   	 54.83   	 -30.52		 47.41   	 -35.61		
-193.48   	-175.78   	 54.71   	 -20.35		 47.26   	 -40.69		
-162.96   	-192.57   	 54.63   	 -10.17		 47.10   	 -45.78		
-138.85   	-195.92   	 54.59   	  15.26		 46.92   	 -45.78		
-124.51   	-190.73   	 54.65   	  50.86		 46.73   	 -40.69		
-113.22   	-178.53   	 54.85   	  91.56		 46.57   	 -40.69		
-101.93   	-159.00   	 55.22   	 147.51		 46.41   	 -40.69		
-92.77   	-131.53   	 55.81   	 203.46		 46.25   	 -30.52		
-89.72   	-100.40   	 56.62   	 264.50		 46.12   	 -30.52		
-90.94   	-74.16   	 57.68   	 325.53		 46.00   	 -30.52		
-90.33   	-60.42   	 58.98   	 381.48		 45.88   	 -35.61		
-84.84   	-58.90   	 60.51   	 427.26		 45.74   	 -50.86		
-77.51   	-62.56   	 62.22   	 457.78		 45.53   	 -40.69		
-75.99   	-66.22   	 64.05   	 457.78		 45.37   	 -30.52		
-83.31   	-70.80   	 65.88   	 447.61		 45.25   	 -20.35		
-94.60   	-77.21   	 67.67   	 406.92		 45.17   	 -20.35		
-101.01   	-83.01   	 69.30   	 361.14		 45.09   	 -35.61		
-99.79   	-84.23   	 70.74   	 310.27		 44.94   	 -45.78		
-92.77   	-79.96   	 71.98   	 259.41		 44.76   	 -35.61		
-86.06   	-75.38   	 73.02   	 233.98		 44.62   	   0.00		
-83.92   	-75.38   	 73.96   	 218.72		 44.62   	  25.43		
-87.89   	-81.79   	 74.83   	 228.89		 44.72   	  30.52		
-93.99   	-90.33   	 75.75   	 264.50		 44.84   	  55.95		
-97.35   	-96.44   	 76.81   	 300.10		 45.07   	 116.99		
-95.52   	-96.44   	 78.01   	 356.05		 45.53   	 218.72		
-90.03   	-90.94   	 79.43   	 406.92		 46.41   	 386.57		
-84.84   	-82.40   	 81.06   	 452.69		 47.96   	 610.37		
-80.87   	-72.94   	 82.87   	 493.39		 50.40   	 813.83		
-78.43   	-65.92   	 84.84   	 513.73		 53.65   	 930.82		
-75.07   	-61.95   	 86.90   	 523.90		 57.38   	 946.08		
-68.97   	-60.42   	 88.99   	 528.99		 61.16   	 895.22		
-64.09   	-60.73   	 91.11   	 518.82		 64.74   	 859.61		
-64.09   	-62.26   	 93.18   	 498.47		 68.18   	 834.18		
-68.05   	-63.78   	 95.18   	 473.04		 71.52   	 839.26		
-72.63   	-64.39   	 97.07   	 432.35		 74.87   	 829.09		
-74.46   	-62.87   	 98.80   	 386.57		 78.19   	 818.92		
-71.41   	-57.98   	100.35   	 340.79		 81.46   	 834.18		
-64.70   	-49.74   	101.71   	 310.27		 84.80   	 849.44		
-57.37   	-38.45   	102.95   	 284.84		 88.20   	 824.00		
-50.66   	-26.55   	104.09   	 284.84		 91.50   	 793.49		
-44.25   	-17.09   	105.23   	 295.01		 94.67   	 778.23		
-36.32   	-10.38   	106.41   	 330.62		 97.78   	 757.88		
-25.94   	 -4.27   	107.73   	 381.48		100.81   	 742.62		
-13.12   	  5.49   	109.26   	 437.43		103.78   	 681.58		
 -0.31   	 19.53   	111.01   	 483.21		106.51   	 605.29		
 11.90   	 36.93   	112.94   	 513.73		108.93   	 498.47		
 25.02   	 57.07   	114.99   	 523.90		110.93   	 401.83		
 41.20   	 79.35   	117.09   	 508.65		112.53   	 350.97		
 60.73   	104.68   	119.12   	 462.87		113.94   	 320.45		
 79.96   	130.31   	120.98   	 391.66		115.22   	 178.03		
 91.55   	148.62   	122.54   	 320.45		115.93   	 106.82		
 90.94   	153.50   	123.82   	 239.06		116.36   	 269.58		
 82.70   	147.71   	124.78   	 162.77		117.44   	 523.90		
 76.29   	141.30   	125.43   	 106.82		119.53   	 803.66		
 79.65   	144.65   	125.86   	  66.12		122.75   	1022.38		
 91.86   	159.00   	126.12   	  55.95		126.84   	 518.82		
105.59   	176.09   	126.35   	  66.12		128.91   	-412.00		
110.17   	184.33   	126.61   	  91.56		127.26   	-584.94		
102.23   	178.53   	126.98   	 122.07		124.92   	 162.77		
 85.75   	162.96   	127.47   	 162.77		125.57   	1063.07		
 69.27   	145.87   	128.12   	 188.20		129.83   	1068.15		
 57.37   	133.06   	128.87   	 203.46		134.10   	 157.68		
 48.52   	122.38   	129.68   	 218.72		134.73   	-391.66		
