  I     	  II     	  LV     	  LV'		  FA     	  FA'		
-57.68   	-101.01   	  9.46   	 -20.35		 72.15   	 -91.56		
-58.29   	-101.01   	  9.38   	 -25.43		 71.78   	 -81.38		
-59.20   	-101.32   	  9.28   	 -20.35		 71.45   	 -81.38		
-59.81   	-104.98   	  9.20   	 -20.35		 71.13   	 -81.38		
-63.48   	-112.92   	  9.11   	 -25.43		 70.80   	 -96.64		
-64.39   	-115.97   	  9.01   	 -25.43		 70.42   	-127.16		
-63.48   	-112.92   	  8.91   	 -25.43		 69.91   	-137.33		
-65.00   	-108.95   	  8.81   	 -25.43		 69.36   	-111.90		
-64.09   	-108.34   	  8.71   	 -20.35		 68.91   	 -86.47		
-64.70   	-110.47   	  8.63   	 -20.35		 68.57   	 -55.95		
-68.97   	-117.49   	  8.55   	 -10.17		 68.34   	 -30.52		
-69.89   	-128.17   	  8.50   	 -10.17		 68.22   	 -10.17		
-69.27   	-138.24   	  8.46   	  -5.09		 68.18   	 -35.61		
-68.66   	-151.06   	  8.44   	  -5.09		 68.04   	 -91.56		
-73.85   	-166.32   	  8.42   	 -10.17		 67.67   	-132.25		
-75.38   	-175.78   	  8.38   	 -10.17		 67.14   	-157.68		
-73.55   	-181.27   	  8.34   	 -10.17		 66.51   	-162.77		
-78.74   	-192.26   	  8.30   	 -20.35		 65.86   	-137.33		
-75.07   	-202.03   	  8.22   	 -20.35		 65.31   	 -91.56		
-66.83   	-197.45   	  8.14   	 -25.43		 64.94   	 -61.04		
-69.58   	-194.09   	  8.04   	 -25.43		 64.70   	 -55.95		
-61.34   	-178.22   	  7.93   	 -25.43		 64.48   	 -50.86		
-41.20   	-155.03   	  7.83   	 -25.43		 64.27   	 -40.69		
-25.94   	-155.33   	  7.73   	 -20.35		 64.11   	 -35.61		
 -6.41   	-147.40   	  7.65   	 -15.26		 63.97   	 -45.78		
  7.32   	-142.21   	  7.59   	 -15.26		 63.78   	 -81.38		
  7.02   	-133.97   	  7.53   	 -10.17		 63.46   	-101.73		
 -8.85   	-116.58   	  7.49   	 -15.26		 63.05   	-116.99		
-25.94   	-102.54   	  7.43   	 -10.17		 62.58   	-127.16		
-36.62   	-109.25   	  7.39   	 -15.26		 62.08   	-116.99		
-49.74   	-112.30   	  7.32   	 -20.35		 61.61   	-106.82		
-57.68   	-122.07   	  7.24   	 -15.26		 61.18   	 -96.64		
-59.81   	-138.24   	  7.18   	 -15.26		 60.79   	 -66.12		
-66.53   	-130.31   	  7.12   	 -10.17		 60.53   	 -40.69		
-67.44   	-122.99   	  7.08   	   0.00		 60.37   	 -25.43		
