  I     	  II     	  LVp     	  LVp'		  CH2     	  CH2'		
-63.48   	-42.11   	170.05   	 630.72		107.81   	-676.50		
-34.18   	-18.01   	172.57   	 569.68		105.11   	1113.93		
-37.84   	  5.19   	174.85   	 508.65		109.56   	 320.45		
-30.21   	 34.79   	176.89   	 462.87		110.84   	-1459.81		
-21.06   	 48.22   	178.74   	 427.26		105.00   	-513.73		
-29.91   	 44.56   	180.45   	 401.83		102.95   	1342.82		
-16.48   	 52.49   	182.05   	 396.74		108.32   	1291.96		
 -0.92   	 64.70   	183.64   	 386.57		113.49   	 696.84		
  8.24   	 86.67   	185.19   	 376.40		116.28   	1144.45		
  2.14   	 99.18   	186.69   	 371.31		120.85   	1378.43		
 14.95   	113.83   	188.18   	 345.88		126.37   	 956.25		
 32.65   	125.73   	189.56   	 315.36		130.19   	 239.06		
 32.96   	137.02   	190.82   	 269.58		131.15   	-747.71		
 45.17   	146.79   	191.90   	 213.63		128.16   	-696.84		
 46.39   	155.03   	192.76   	 167.85		125.37   	-350.97		
 37.54   	155.33   	193.43   	 116.99		123.97   	-671.41		
 43.64   	159.91   	193.90   	  76.30		121.28   	-590.03		
 60.12   	170.29   	194.20   	  40.69		118.92   	  55.95		
 67.75   	167.54   	194.36   	  10.17		119.15   	 493.39		
 63.48   	171.81   	194.40   	 -20.35		121.12   	 696.84		
 65.31   	163.88   	194.32   	 -40.69		123.91   	 549.34		
 64.39   	144.96   	194.16   	 -71.21		126.10   	 106.82		
 49.13   	130.62   	193.88   	 -91.56		126.53   	  91.56		
 32.65   	111.39   	193.51   	-127.16		126.90   	 101.73		
 13.12   	 79.35   	193.00   	-152.59		127.30   	  81.38		
-11.60   	 50.96   	192.39   	-188.20		127.63   	  25.43		
  3.05   	 46.39   	191.64   	-213.63		127.73   	-457.78		
 24.11   	 32.96   	190.78   	-244.15		125.90   	-116.99		
 12.21   	 16.17   	189.81   	-264.50		125.43   	 300.10		
  8.24   	  2.14   	188.75   	-284.84		126.63   	 127.16		
-20.14   	-31.43   	187.61   	-300.10		127.14   	-122.07		
-45.47   	-57.37   	186.41   	-315.36		126.65   	 452.69		
-42.72   	-70.50   	185.15   	-330.62		128.46   	 442.52		
-36.01   	-71.72   	183.82   	-335.71		130.23   	-172.94		
-42.42   	-80.87   	182.48   	-350.97		129.54   	  -5.09		
-55.85   	-88.81   	181.08   	-361.14		129.52   	  91.56		
-61.95   	-88.20   	179.63   	-371.31		129.89   	  25.43		
-63.78   	-102.23   	178.15   	-381.48		129.99   	-198.37		
-67.75   	-109.56   	176.62   	-396.74		129.20   	-172.94		
-53.10   	-113.22   	175.03   	-412.00		128.50   	-183.11		
-44.86   	-117.80   	173.39   	-427.26		127.77   	-340.79		
-50.96   	-112.00   	171.68   	-447.61		126.41   	-127.16		
-46.39   	-102.54   	169.89   	-467.95		125.90   	-228.89		
-44.25   	-99.49   	168.02   	-503.56		124.98   	-356.05		
-43.33   	-100.71   	166.00   	-528.99		123.56   	-325.53		
-41.50   	-95.52   	163.89   	-569.68		122.26   	-681.58		
-38.76   	-97.05   	161.61   	-600.20		119.53   	-783.31		
-52.19   	-102.84   	159.21   	-640.89		116.40   	-412.00		
-66.22   	-107.73   	156.64   	-676.50		114.75   	-478.13		
-66.83   	-113.53   	153.94   	-717.19		112.84   	-452.69		
-45.78   	-91.25   	151.07   	-747.71		111.03   	 -71.21		
-26.25   	-78.13   	148.08   	-788.40		110.74   	-325.53		
-16.78   	-66.83   	144.92   	-824.00		109.44   	-473.04		
-23.50   	-65.92   	141.63   	-854.52		107.55   	-289.93		
-49.44   	-93.99   	138.21   	-885.04		106.39   	-483.21		
-59.81   	-99.18   	134.67   	-910.47		104.46   	-640.89		
-48.83   	-99.49   	131.03   	-946.08		101.89   	-569.68		
-27.77   	-95.83   	127.24   	-966.43		 99.61   	-625.63		
-22.58   	-90.03   	123.38   	-986.77		 97.11   	-696.84		
-34.18   	-93.38   	119.43   	-1007.12		 94.32   	-432.35		
-44.56   	-85.75   	115.40   	-1027.46		 92.59   	-193.29		
-64.70   	-86.06   	111.29   	-1047.81		 91.82   	-284.84		
-70.19   	-83.62   	107.10   	-1057.98		 90.68   	-254.32		
-65.92   	-78.74   	102.87   	-1073.24		 89.66   	 -40.69		
-50.35   	-81.48   	 98.58   	-1088.50		 89.50   	 -15.26		
-41.50   	-72.33   	 94.22   	-1098.67		 89.44   	-116.99		
-41.20   	-63.78   	 89.83   	-1103.76		 88.97   	 -66.12		
-33.87   	-58.29   	 85.41   	-1108.85		 88.71   	 -55.95		
-39.06   	-55.24   	 80.98   	-1113.93		 88.48   	-213.63		
-55.54   	-68.66   	 76.52   	-1108.85		 87.63   	-264.50		
-47.91   	-69.27   	 72.09   	-1093.59		 86.57   	-228.89		
-25.33   	-56.46   	 67.71   	-1073.24		 85.66   	-193.29		
-28.69   	-60.73   	 63.42   	-1047.81		 84.88   	-142.42		
-25.33   	-50.05   	 59.23   	-1017.29		 84.31   	 -61.04		
-28.69   	-42.11   	 55.16   	-971.51		 84.07   	  10.17		
-53.41   	-52.19   	 51.27   	-930.82		 84.11   	 -10.17		
-55.54   	-57.07   	 47.55   	-879.96		 84.07   	   5.09		
-43.33   	-52.19   	 44.03   	-824.00		 84.09   	  50.86		
-32.96   	-66.53   	 40.73   	-773.14		 84.29   	 -76.30		
-32.04   	-76.60   	 37.64   	-717.19		 83.99   	-228.89		
-40.59   	-74.16   	 34.77   	-661.24		 83.07   	-203.46		
-42.42   	-75.68   	 32.13   	-610.37		 82.26   	 -45.78		
-37.84   	-70.80   	 29.68   	-559.51		 82.07   	  15.26		
-39.67   	-69.58   	 27.45   	-513.73		 82.14   	 -71.21		
-36.01   	-75.07   	 25.39   	-473.04		 81.85   	-106.82		
-37.23   	-71.41   	 23.50   	-437.43		 81.42   	  10.17		
-40.59   	-80.87   	 21.75   	-396.74		 81.46   	   5.09		
-38.76   	-83.01   	 20.16   	-371.31		 81.48   	-122.07		
-48.83   	-85.14   	 18.68   	-335.71		 81.00   	-193.29		
-47.30   	-85.14   	 17.33   	-310.27		 80.22   	-193.29		
-35.40   	-61.65   	 16.09   	-284.84		 79.45   	-152.59		
-29.60   	-63.48   	 14.95   	-259.41		 78.84   	-122.07		
-15.56   	-58.90   	 13.92   	-233.98		 78.35   	-111.90		
-17.09   	-58.90   	 12.98   	-213.63		 77.90   	-106.82		
-47.91   	-93.99   	 12.13   	-188.20		 77.48   	-127.16		
-59.20   	-91.86   	 11.37   	-172.94		 76.97   	-137.33		
-56.15   	-83.62   	 10.68   	-142.42		 76.42   	-142.42		
-43.64   	-88.50   	 10.11   	-127.16		 75.85   	-111.90		
-29.60   	-79.96   	  9.60   	-106.82		 75.40   	 -45.78		
-25.33   	-83.01   	  9.18   	 -91.56		 75.22   	  -5.09		
-25.02   	-86.67   	  8.81   	 -71.21		 75.20   	  10.17		
-32.35   	-90.64   	  8.52   	 -55.95		 75.24   	  -5.09		
-42.72   	-89.11   	  8.30   	 -45.78		 75.22   	 -25.43		
-39.67   	-89.11   	  8.12   	 -35.61		 75.12   	 -61.04		
-43.03   	-91.86   	  7.98   	 -30.52		 74.87   	-127.16		
-35.71   	-85.14   	  7.85   	 -20.35		 74.36   	-178.03		
-24.41   	-89.42   	  7.77   	 -25.43		 73.65   	-188.20		
-32.65   	-91.25   	  7.67   	 -20.35		 72.90   	-167.85		
-36.01   	-93.38   	  7.59   	 -15.26		 72.23   	-142.42		
-42.11   	-102.84   	  7.53   	 -20.35		 71.66   	 -96.64		
-48.83   	-117.80   	  7.45   	 -15.26		 71.27   	 -61.04		
-38.76   	-123.90   	  7.39   	 -15.26		 71.03   	 -50.86		
-27.16   	-108.34   	  7.32   	 -15.26		 70.82   	 -55.95		
