  I     	  II     	  PW     	  PW'		
-22.58   	-44.86   	 20.35   	-386.57		
-37.54   	-51.27   	 18.80   	-279.75		
-42.11   	-49.44   	 17.68   	-264.50		
-37.23   	-38.76   	 16.62   	-233.98		
-32.04   	-23.50   	 15.69   	 -35.61		
-33.87   	-10.07   	 15.54   	 183.11		
-40.28   	 -4.88   	 16.28   	 264.50		
-43.64   	-10.68   	 17.33   	 295.01		
-40.28   	-23.50   	 18.51   	 335.71		
-32.35   	-35.40   	 19.86   	 305.19		
-23.80   	-37.84   	 21.08   	 208.54		
-17.40   	-29.60   	 21.91   	 132.25		
-12.82   	-15.87   	 22.44   	  45.78		
 -8.24   	 -3.97   	 22.62   	 -76.30		
 -3.66   	  1.83   	 22.32   	-188.20		
 -1.22   	  1.83   	 21.57   	-218.72		
 -1.53   	 -0.61   	 20.69   	-203.46		
 -3.66   	 -4.27   	 19.88   	-198.37		
 -5.49   	 -8.85   	 19.08   	-183.11		
 -5.49   	-12.21   	 18.35   	-137.33		
 -4.88   	-11.29   	 17.80   	 -45.78		
 -7.63   	 -3.66   	 17.62   	  61.04		
-18.92   	  8.85   	 17.86   	 147.51		
-39.67   	 24.11   	 18.45   	 188.20		
-61.95   	 39.98   	 19.21   	 172.94		
-68.36   	 60.12   	 19.90   	 157.68		
-41.20   	 90.94   	 20.53   	 157.68		
 28.08   	138.24   	 21.16   	 142.42		
135.19   	204.77   	 21.73   	  86.47		
271.00   	293.27   	 22.08   	 -55.95		
426.64   	409.24   	 21.85   	-183.11		
596.01   	556.34   	 21.12   	-193.29		
761.11   	719.91   	 20.35   	-457.78		
910.03   	899.96(R)	 18.51   	-233.98		
814.82   	805.36   	 17.58   	-193.29		
605.47   	582.58   	 16.81   	-172.94		
336.61   	306.40   	 16.11   	-116.99		
 80.87   	 74.77   	 15.65   	 -10.17		
-104.98   	-50.96   	 15.61   	  71.21		
-197.45   	-76.29   	 15.89   	 116.99		
-207.52   	-53.71   	 16.36   	 162.77		
-166.63   	-36.62   	 17.01   	 183.11		
-110.78   	-42.11   	 17.74   	 137.33		
-65.61   	-59.20   	 18.29   	  66.12		
-42.72   	-69.27   	 18.56   	  55.95		
-41.20   	-65.00   	 18.78   	  96.64		
-52.19   	-51.57   	 19.17   	  81.38		
-65.31   	-39.37   	 19.49   	 -61.04		
-73.24   	-35.71   	 19.25   	-269.58		
-74.46   	-41.81   	 18.17   	-396.74		
-71.41   	-52.19   	 16.58   	-391.66		
-69.27   	-59.81   	 15.02   	-345.88		
-70.50   	-61.04   	 13.63   	-320.45		
-73.55   	-56.46   	 12.35   	-320.45		
-74.46   	-50.96   	 11.07   	-284.84		
-70.80   	-50.05   	  9.93   	-137.33		
-65.00   	-53.41   	  9.38   	  50.86		
-61.95   	-58.29   	  9.58   	 244.15		
-64.70   	-61.95   	 10.56   	 508.65		
-71.41   	-64.09   	 12.59   	 778.23		
-78.43   	-65.61   	 15.71   	 925.73		
-82.09   	-67.75   	 19.41   	 859.61		
-81.79   	-70.80   	 22.85   	 528.99		
-78.43   	-73.55   	 24.96   	 106.82		
-74.77   	-74.16   	 25.39(A)	-188.20		
-70.80   	-70.50   	 24.64   	-350.97		
-65.00   	-62.87   	 23.23   	-427.26		
-58.29   	-55.24   	 21.53   	-513.73		
-54.32   	-52.19   	 19.47   	-590.03		
-57.07   	-56.76   	 17.11   	-549.34		
-65.31   	-66.22   	 14.91   	-406.92		
-72.94   	-72.63   	 13.29   	-284.84		
-72.02   	-68.36   	 12.15   	-127.16		
-60.12   	-51.57   	 11.64   	  66.12		
-44.25   	-28.69   	 11.90   	 162.77		
-33.26   	 -9.16   	 12.55   	 152.59		
-30.21   	  1.53   	 13.16   	 223.80		
-29.91   	  4.88   	 14.06   	 412.00		
-24.72   	  7.32   	 15.71   	 432.35		
-13.73   	 15.26   	 17.44   	 259.41		
 -2.14   	 30.82   	 18.47   	  55.95		
  5.49   	 51.57   	 18.70   	-111.90		
 10.38   	 73.24   	 18.25   	-183.11		
 18.01   	 93.38   	 17.52   	-254.32		
 33.57   	111.39   	 16.50   	-330.62		
 56.46   	128.48   	 15.18   	-345.88		
 80.26   	145.57   	 13.79   	-228.89		
 97.05   	162.66   	 12.88   	  20.35		
103.15   	178.83   	 12.96   	  61.04		
101.32   	193.18   	 13.20   	 -66.12		
 97.66   	204.77   	 12.94   	   0.00		
 98.57   	212.40   	 12.94   	 157.68		
105.90   	217.59   	 13.57   	 147.51		
116.27   	221.86   	 14.16   	  66.12		
121.77   	225.52   	 14.43   	  61.04		
117.49   	225.52   	 14.67   	  91.56		
103.45   	217.29   	 15.04   	  91.56		
 84.53   	197.14   	 15.40   	  40.69		
 64.70   	167.85   	 15.56   	 -35.61		
 47.30   	136.72   	 15.42   	 -81.38		
 32.35   	112.00   	 15.10   	-111.90		
 18.92   	 95.21   	 14.65   	-111.90		
  7.63   	 80.87   	 14.20   	 -61.04		
 -0.31   	 62.87   	 13.96   	 -15.26		
 -5.19   	 39.37   	 13.90   	 -10.17		
 -9.46   	 13.12   	 13.86   	  10.17		
-16.78   	-11.29   	 13.90   	  66.12		
-29.91   	-31.43   	 14.16   	  61.04		
-46.69   	-47.30   	 14.40   	  50.86		
-61.65   	-60.12   	 14.61   	  71.21		
-69.58   	-69.89   	 14.89   	  55.95		
-69.27   	-75.99   	 15.12   	   5.09		
