  I     	  II     	  LVp     	  LVp'		  AO     	  AO'		
-57.98   	-79.04   	 11.88   	  15.26		 70.34   	 -30.52		
-61.65   	-80.26   	 11.94   	  10.17		 70.21   	 -25.43		
-63.48   	-81.48   	 11.98   	  15.26		 70.11   	 -25.43		
-62.87   	-81.18   	 12.04   	  15.26		 70.01   	 -25.43		
-59.81   	-79.65   	 12.11   	  15.26		 69.91   	 -25.43		
-57.07   	-78.74   	 12.17   	  10.17		 69.81   	 -25.43		
-56.76   	-79.96   	 12.21   	  15.26		 69.70   	 -20.35		
-59.51   	-82.40   	 12.27   	  10.17		 69.62   	 -20.35		
-62.87   	-84.53   	 12.31   	  15.26		 69.54   	 -25.43		
-64.09   	-84.84   	 12.37   	  15.26		 69.44   	 -20.35		
-61.95   	-82.70   	 12.43   	  10.17		 69.36   	 -25.43		
-57.07   	-79.65   	 12.47   	  10.17		 69.26   	 -20.35		
-52.80   	-76.90   	 12.51   	  15.26		 69.18   	 -15.26		
-50.66   	-75.38   	 12.57   	  10.17		 69.11   	 -25.43		
-51.27   	-75.68   	 12.61   	  10.17		 69.01   	 -20.35		
-53.71   	-77.51   	 12.66   	  10.17		 68.93   	 -15.26		
-55.54   	-79.96   	 12.70   	  10.17		 68.87   	 -15.26		
-54.63   	-82.09   	 12.74   	  10.17		 68.81   	 -20.35		
-51.88   	-82.40   	 12.78   	  10.17		 68.73   	 -15.26		
-48.83   	-81.18   	 12.82   	   5.09		 68.67   	 -25.43		
-48.22   	-78.43   	 12.84   	  10.17		 68.57   	 -30.52		
-50.35   	-75.99   	 12.88   	   5.09		 68.44   	 -20.35		
-54.02   	-74.77   	 12.90   	  10.17		 68.36   	 -25.43		
-57.37   	-75.38   	 12.94   	   5.09		 68.26   	 -15.26		
-57.98   	-76.90   	 12.96   	   5.09		 68.20   	 -15.26		
-55.54   	-77.82   	 12.98   	   5.09		 68.14   	 -25.43		
-50.96   	-77.21   	 13.00   	   5.09		 68.04   	 -30.52		
-47.00   	-74.46   	 13.02   	   5.09		 67.91   	 -25.43		
-45.78   	-71.11   	 13.04   	   5.09		 67.81   	 -15.26		
-47.30   	-68.97   	 13.06   	   5.09		 67.75   	 -25.43		
-50.66   	-68.66   	 13.08   	   5.09		 67.65   	 -25.43		
-52.49   	-70.19   	 13.10   	   5.09		 67.55   	 -20.35		
-51.57   	-72.02   	 13.12   	   5.09		 67.47   	 -20.35		
-48.22   	-73.85   	 13.14   	   0.00		 67.39   	 -20.35		
-44.86   	-75.07   	 13.14   	   5.09		 67.30   	 -20.35		
-43.95   	-75.07   	 13.16   	   5.09		 67.22   	 -20.35		
-45.47   	-73.55   	 13.18   	   5.09		 67.14   	 -20.35		
-47.30   	-70.19   	 13.20   	   5.09		 67.06   	 -20.35		
-47.00   	-65.92   	 13.22   	   0.00		 66.98   	 -15.26		
-44.25   	-62.26   	 13.22   	   5.09		 66.92   	 -15.26		
-40.28   	-60.12   	 13.25   	   5.09		 66.86   	 -20.35		
-37.23   	-60.12   	 13.27   	   5.09		 66.77   	 -15.26		
-35.71   	-61.34   	 13.29   	   5.09		 66.71   	 -15.26		
-35.71   	-63.48   	 13.31   	   0.00		 66.65   	 -15.26		
-36.93   	-66.22   	 13.31   	   5.09		 66.59   	 -15.26		
-39.37   	-68.97   	 13.33   	   5.09		 66.53   	 -15.26		
-43.03   	-71.41   	 13.35   	   5.09		 66.47   	 -15.26		
-46.69   	-72.94   	 13.37   	   5.09		 66.41   	 -15.26		
-48.52   	-72.94   	 13.39   	   5.09		 66.35   	 -20.35		
-46.69   	-71.41   	 13.41   	   0.00		 66.27   	 -15.26		
-42.11   	-69.58   	 13.41   	   5.09		 66.21   	 -15.26		
-38.15   	-68.97   	 13.43   	   5.09		 66.14   	 -20.35		
-37.84   	-70.19   	 13.45   	   5.09		 66.06   	 -15.26		
-40.89   	-73.55   	 13.47   	   0.00		 66.00   	 -20.35		
-45.78   	-76.29   	 13.47   	   5.09		 65.92   	 -20.35		
-48.22   	-76.60   	 13.49   	   0.00		 65.84   	 -10.17		
-46.69   	-73.24   	 13.49   	   0.00		 65.80   	 -15.26		
-41.50   	-67.75   	 13.49   	   5.09		 65.74   	 -20.35		
-35.71   	-62.56   	 13.51   	   0.00		 65.66   	 -25.43		
-31.74   	-60.12   	 13.51   	   5.09		 65.55   	 -15.26		
-31.13   	-60.42   	 13.53   	   0.00		 65.49   	 -15.26		
-33.26   	-62.26   	 13.53   	   5.09		 65.43   	 -20.35		
-36.62   	-63.17   	 13.55   	   0.00		 65.35   	 -20.35		
-39.98   	-62.87   	 13.55   	   5.09		 65.27   	 -20.35		
-41.20   	-61.95   	 13.57   	   0.00		 65.19   	 -20.35		
-40.59   	-61.65   	 13.57   	   5.09		 65.11   	 -15.26		
-39.06   	-62.56   	 13.59   	   5.09		 65.05   	 -10.17		
-36.93   	-63.78   	 13.61   	   5.09		 65.00   	 -15.26		
-35.10   	-61.95   	 13.63   	   5.09		 64.94   	 -15.26		
-32.65   	-54.32   	 13.65   	   5.09		 64.88   	 -10.17		
-29.30   	-41.20   	 13.67   	   5.09		 64.84   	 -10.17		
-25.63   	-23.50   	 13.69   	   5.09		 64.80   	 -15.26		
-21.97   	 -5.19   	 13.71   	   0.00		 64.74   	  -5.09		
-19.84   	 11.29   	 13.71   	   5.09		 64.72   	 -10.17		
-18.92   	 24.11   	 13.73   	   5.09		 64.68   	 -15.26		
-18.62   	 32.35   	 13.75   	   5.09		 64.62   	 -15.26		
-16.78   	 35.71   	 13.77   	   5.09		 64.56   	 -10.17		
-12.51   	 34.79   	 13.79   	   5.09		 64.52   	 -15.26		
 -5.80   	 33.87   	 13.81   	   5.09		 64.46   	 -15.26		
  2.44   	 37.23   	 13.84   	   5.09		 64.39   	 -20.35		
  9.46   	 49.13   	 13.86   	   5.09		 64.31   	 -10.17		
 14.34   	 69.27   	 13.88   	   5.09		 64.27   	 -20.35		
 15.87   	 90.03   	 13.90   	   5.09		 64.19   	 -15.26		
 16.48   	101.93   	 13.92   	   5.09		 64.13   	 -10.17		
 18.62   	 98.57   	 13.94   	   5.09		 64.09   	 -10.17		
 23.50   	 79.35   	 13.96   	   5.09		 64.05   	 -15.26		
 29.91   	 52.19   	 13.98   	   5.09		 63.99   	 -15.26		
 36.62   	 28.08   	 14.00   	   0.00		 63.93   	 -20.35		
 41.81   	 14.34   	 14.00   	   5.09		 63.85   	 -10.17		
 42.72   	  9.77   	 14.02   	   0.00		 63.80   	 -20.35		
 37.23   	  8.24   	 14.02   	   5.09		 63.72   	 -20.35		
