  I     	  II     	  LVp     	  LVp'		
-48.52   	-208.44   	 95.77   	 366.22		
-36.01   	-211.79   	 97.23   	 361.14		
-36.93   	-212.71   	 98.68   	 356.05		
-45.47   	-208.74   	100.10   	 356.05		
-51.57   	-200.50   	101.53   	 350.97		
-49.44   	-190.73   	102.93   	 350.97		
-42.72   	-184.63   	104.33   	 345.88		
-40.28   	-187.07   	105.72   	 340.79		
-46.39   	-197.14   	107.08   	 330.62		
-56.46   	-208.74   	108.40   	 330.62		
-64.70   	-215.76   	109.72   	 320.45		
-66.53   	-216.37   	111.01   	 315.36		
-63.17   	-211.49   	112.27   	 310.27		
-57.68   	-204.77   	113.51   	 300.10		
-52.80   	-198.36   	114.71   	 300.10		
-48.83   	-191.65   	115.91   	 289.93		
-45.78   	-184.02   	117.07   	 284.84		
-44.25   	-175.17   	118.21   	 284.84		
-44.56   	-164.18   	119.35   	 279.75		
-45.78   	-153.20   	120.47   	 269.58		
-47.00   	-143.74   	121.55   	 269.58		
-49.74   	-136.72   	122.62   	 259.41		
-53.10   	-130.31   	123.66   	 249.24		
-55.24   	-121.77   	124.66   	 239.06		
-52.80   	-108.95   	125.61   	 239.06		
-43.95   	-93.08   	126.57   	 233.98		
-28.99   	-75.07   	127.51   	 233.98		
-13.43   	-56.15   	128.44   	 228.89		
 -2.75   	-36.62   	129.36   	 223.80		
  1.22   	-17.09   	130.25   	 218.72		
  0.00   	 -0.61   	131.13   	 213.63		
 -5.19   	  9.46   	131.98   	 208.54		
-11.90   	 12.82   	132.82   	 198.37		
-17.70   	 13.12   	133.61   	 198.37		
-20.45   	 16.17   	134.40   	 193.29		
-18.62   	 25.94   	135.18   	 193.29		
-12.21   	 41.50   	135.95   	 183.11		
 -3.66   	 58.29   	136.68   	 178.03		
  6.10   	 73.55   	137.40   	 172.94		
 16.17   	 87.28   	138.09   	 162.77		
 24.72   	 99.18   	138.74   	 152.59		
 30.21   	108.95   	139.35   	 152.59		
 29.91   	114.44   	139.96   	 142.42		
 23.50   	114.14   	140.53   	 137.33		
 15.56   	109.25   	141.08   	 132.25		
 11.90   	104.37   	141.61   	 127.16		
 15.56   	102.54   	142.12   	 116.99		
 24.41   	104.37   	142.58   	 111.90		
 32.96   	108.03   	143.03   	 101.73		
 36.01   	109.86   	143.44   	  91.56		
 31.43   	107.42   	143.80   	  86.47		
 22.28   	 99.49   	144.15   	  76.30		
 13.73   	 88.50   	144.46   	  66.12		
 10.07   	 76.90   	144.72   	  55.95		
 11.90   	 68.66   	144.94   	  45.78		
 18.31   	 66.83   	145.13   	  30.52		
 24.41   	 69.58   	145.25   	  20.35		
 26.25   	 72.02   	145.33   	  10.17		
 20.45   	 67.75   	145.37   	   0.00		
  6.71   	 52.80   	145.37   	 -15.26		
 -8.85   	 29.91   	145.31   	 -25.43		
-17.70   	  8.24   	145.21   	 -40.69		
-14.95   	 -3.66   	145.05   	 -61.04		
 -3.66   	 -4.58   	144.80   	 -81.38		
  8.54   	  0.61   	144.48   	-101.73		
 13.43   	  3.05   	144.07   	-132.25		
  8.85   	 -1.22   	143.54   	-152.59		
 -0.92   	 -9.46   	142.93   	-193.29		
-10.38   	-17.70   	142.16   	-213.63		
-17.40   	-22.58   	141.30   	-244.15		
-20.14   	-24.41   	140.32   	-269.58		
-19.53   	-25.33   	139.25   	-300.10		
-16.78   	-27.47   	138.05   	-350.97		
-13.43   	-31.74   	136.64   	-427.26		
-11.29   	-38.15   	134.93   	-528.99		
-10.68   	-45.17   	132.82   	-640.89		
-10.07   	-49.44   	130.25   	-762.97		
 -8.85   	-49.74   	127.20   	-869.78		
 -9.16   	-47.91   	123.72   	-961.34		
-12.21   	-47.00   	119.88   	-1042.72		
-18.31   	-48.52   	115.71   	-1103.76		
-23.50   	-52.49   	111.29   	-1139.36		
-23.50   	-54.32   	106.73   	-1174.97		
-18.92   	-51.88   	102.03   	-1195.32		
-14.04   	-47.61   	 97.25   	-1200.40		
-14.34   	-48.22   	 92.45   	-1205.49		
