  I     	  II     	  PW     	  PW'		
 10.07   	-146.79   	 12.70   	 -30.52		
 15.26   	-133.67   	 12.57   	 -25.43		
 18.01   	-122.38   	 12.47   	 -30.52		
 22.58   	-115.97   	 12.35   	 -20.35		
 30.82   	-112.30   	 12.27   	 -20.35		
 39.37   	-109.25   	 12.19   	 -15.26		
 40.28   	-106.51   	 12.13   	 -15.26		
 30.52   	-106.51   	 12.07   	 -15.26		
 12.21   	-108.95   	 12.00   	 -15.26		
 -6.71   	-111.39   	 11.94   	 -10.17		
-17.40   	-109.86   	 11.90   	 -10.17		
-15.56   	-102.84   	 11.86   	 -10.17		
 -4.58   	-95.21   	 11.82   	 -10.17		
  7.63   	-93.08   	 11.78   	  -5.09		
 15.87   	-101.62   	 11.76   	 -10.17		
 16.48   	-121.46   	 11.72   	  -5.09		
  8.85   	-142.21   	 11.70   	  -5.09		
 -6.10   	-152.89   	 11.68   	 -10.17		
-25.33   	-148.01   	 11.64   	 -10.17		
-42.42   	-130.31   	 11.60   	 -10.17		
-50.05   	-112.30   	 11.56   	  -5.09		
-44.56   	-105.29   	 11.54   	  -5.09		
-31.74   	-110.47   	 11.52   	   0.00		
-20.75   	-121.15   	 11.52   	   5.09		
-16.48   	-130.62   	 11.54   	  10.17		
-15.87   	-137.63   	 11.58   	  15.26		
-16.78   	-143.13   	 11.64   	  20.35		
-18.92   	-146.18   	 11.72   	  20.35		
-25.02   	-141.91   	 11.80   	  25.43		
-35.40   	-128.78   	 11.90   	  25.43		
-45.47   	-117.80   	 12.00   	  25.43		
-44.86   	-119.02   	 12.11   	  25.43		
-27.47   	-129.70   	 12.21   	  30.52		
  3.66   	-127.26   	 12.33   	  25.43		
 41.50   	-82.70   	 12.43   	  30.52		
 78.13   	 14.65   	 12.55   	  30.52		
109.56   	148.62   	 12.68   	  35.61		
143.13   	290.83   	 12.82   	  35.61		
188.60   	421.75   	 12.96   	  76.30		
318.91   	627.14   	 13.27   	  40.69		
372.31   	677.49(R)	 13.43   	  40.69		
387.27   	661.32   	 13.59   	  40.69		
352.48   	562.44   	 13.75   	  40.69		
272.52   	391.85   	 13.92   	  40.69		
169.37   	189.82   	 14.08   	  35.61		
 71.11   	  9.46   	 14.22   	  35.61		
  0.92   	-106.51   	 14.36   	  40.69		
-31.13   	-144.96   	 14.53   	  30.52		
-30.82   	-127.56   	 14.65   	  35.61		
-14.04   	-95.83   	 14.79   	  30.52		
  2.75   	-84.23   	 14.91   	  30.52		
  7.93   	-102.54   	 15.04   	  30.52		
 -1.83   	-137.63   	 15.16   	  30.52		
-23.50   	-171.20   	 15.28   	  25.43		
-48.83   	-193.79   	 15.38   	  25.43		
-68.05   	-205.08   	 15.48   	  25.43		
-75.68   	-208.74   	 15.58   	  20.35		
-72.63   	-207.52   	 15.67   	  15.26		
-63.48   	-204.16   	 15.73   	   5.09		
-52.19   	-203.55   	 15.75   	   0.00		
-42.72   	-207.21   	 15.75   	 -10.17		
-36.01   	-210.57   	 15.71   	 -15.26		
-32.04   	-206.91   	 15.65   	 -15.26		
-34.18   	-197.45   	 15.58   	 -20.35		
-40.89   	-190.43   	 15.50   	 -10.17		
-47.00   	-195.01   	 15.46   	   0.00		
-50.05   	-211.79   	 15.46   	  15.26		
-48.83   	-231.32   	 15.52   	  25.43		
-43.95   	-242.61   	 15.63   	  40.69		
-36.32   	-240.17   	 15.79   	  55.95		
-28.69   	-227.36   	 16.01   	  61.04		
-24.11   	-213.01   	 16.26   	  61.04		
-25.02   	-205.69   	 16.50   	  55.95		
-32.65   	-208.13   	 16.72   	  45.78		
-44.25   	-216.67   	 16.91   	  35.61		
-52.19   	-222.78   	 17.05   	  20.35		
-51.57   	-221.56   	 17.13   	  15.26		
-43.64   	-215.15   	 17.19   	   5.09		
-35.10   	-209.96   	 17.21   	  10.17		
-31.74   	-211.49   	 17.25   	  10.17		
-36.01   	-219.42   	 17.29   	  10.17		
-45.17   	-229.80   	 17.33   	  15.26		
-53.41   	-238.65   	 17.40   	   5.09		
-57.07   	-244.45   	 17.42(A)	 -15.26		
-54.63   	-246.28   	 17.35   	 -40.69		
-47.61   	-242.31   	 17.19   	 -81.38		
-41.81   	-234.07   	 16.87   	-122.07		
-40.89   	-224.91   	 16.38   	-147.51		
-43.33   	-220.03   	 15.79   	-167.85		
-43.95   	-221.86   	 15.12   	-172.94		
-37.54   	-227.66   	 14.43   	-162.77		
-24.72   	-231.93   	 13.77   	-142.42		
-16.48   	-233.46   	 13.20   	-111.90		
-20.14   	-234.07   	 12.76   	 -71.21		
-32.04   	-234.07   	 12.47   	 -45.78		
-40.28   	-233.15   	 12.29   	 -20.35		
-39.06   	-230.41   	 12.21   	  -5.09		
-31.43   	-226.75   	 12.19   	   5.09		
-25.63   	-224.00   	 12.21   	   0.00		
-27.16   	-222.47   	 12.21   	 -10.17		
-30.82   	-218.20   	 12.17   	 -25.43		
-27.16   	-204.16   	 12.07   	 -30.52		
-18.31   	-180.66   	 11.94   	 -35.61		
-11.60   	-155.33   	 11.80   	 -40.69		
-11.90   	-136.11   	 11.64   	 -40.69		
-16.78   	-126.34   	 11.48   	 -30.52		
-18.01   	-120.85   	 11.35   	 -20.35		
 -9.77   	-110.47   	 11.27   	 -10.17		
