  I     	  AOp     	  AOp'		  AO     	  AO'		
106.51   	 96.22   	 -66.12		 95.89   	 167.85		
 86.98   	 95.95   	 -96.64		 96.56   	 167.85		
 69.58   	 95.56   	-132.25		 97.23   	 152.59		
 51.88   	 95.04   	-157.68		 97.84   	 142.42		
 31.43   	 94.40   	-172.94		 98.41   	 132.25		
  9.77   	 93.71   	-167.85		 98.94   	 106.82		
 -9.16   	 93.04   	-152.59		 99.37   	  91.56		
-22.28   	 92.43   	-127.16		 99.74   	  71.21		
-29.91   	 91.92   	 -96.64		100.02   	  45.78		
-36.01   	 91.54   	 -55.95		100.20   	  30.52		
-44.56   	 91.31   	 -20.35		100.33   	   5.09		
-55.54   	 91.23   	  10.17		100.35   	 -10.17		
-66.53   	 91.27   	  30.52		100.30   	 -25.43		
-73.85   	 91.39   	  35.61		100.20   	 -35.61		
-76.60   	 91.54   	  25.43		100.06   	 -50.86		
-75.38   	 91.64   	  25.43		 99.86   	 -55.95		
-72.63   	 91.74   	  25.43		 99.63   	 -66.12		
-71.11   	 91.84   	  30.52		 99.37   	 -61.04		
-72.94   	 91.96   	  25.43		 99.12   	 -66.12		
-78.13   	 92.06   	  10.17		 98.86   	 -61.04		
-84.53   	 92.11   	 -30.52		 98.62   	 -61.04		
-88.50   	 91.98   	 -76.30		 98.37   	 -55.95		
-87.89   	 91.68   	-116.99		 98.15   	 -55.95		
-83.31   	 91.21   	-157.68		 97.92   	 -50.86		
-77.51   	 90.58   	-172.94		 97.72   	 -50.86		
-74.46   	 89.89   	-178.03		 97.52   	 -40.69		
-75.38   	 89.18   	-172.94		 97.35   	 -45.78		
-78.43   	 88.48   	-162.77		 97.17   	 -35.61		
-81.79   	 87.83   	-157.68		 97.03   	 -35.61		
-83.01   	 87.20   	-162.77		 96.89   	 -35.61		
-81.48   	 86.55   	-167.85		 96.74   	 -35.61		
-77.51   	 85.88   	-178.03		 96.60   	 -40.69		
-73.55   	 85.17   	-188.20		 96.44   	 -50.86		
-71.11   	 84.41   	-183.11		 96.24   	 -55.95		
-71.72   	 83.68   	-162.77		 96.01   	 -76.30		
-73.85   	 83.03   	-137.33		 95.71   	 -86.47		
-74.16   	 82.48   	 -96.64		 95.36   	-101.73		
-71.41   	 82.10   	 -55.95		 94.95   	-122.07		
-67.14   	 81.87   	 -15.26		 94.47   	-132.25		
-65.61   	 81.81   	  20.35		 93.94   	-142.42		
-68.05   	 81.89   	  55.95		 93.37   	-152.59		
-71.11   	 82.12   	  76.30		 92.76   	-152.59		
-70.19   	 82.42   	  86.47		 92.15   	-152.59		
-64.09   	 82.77   	  91.56		 91.54   	-147.51		
-56.76   	 83.13   	  86.47		 90.95   	-137.33		
-53.10   	 83.48   	  91.56		 90.40   	-122.07		
-55.54   	 83.85   	  91.56		 89.91   	-111.90		
-60.73   	 84.21   	  91.56		 89.46   	 -91.56		
-64.09   	 84.58   	  91.56		 89.09   	 -71.21		
-63.78   	 84.94   	  96.64		 88.81   	 -55.95		
-61.34   	 85.33   	  96.64		 88.59   	 -40.69		
-58.90   	 85.72   	  91.56		 88.42   	 -20.35		
-57.37   	 86.08   	  86.47		 88.34   	 -10.17		
-56.76   	 86.43   	  76.30		 88.30   	   5.09		
-58.29   	 86.73   	  66.12		 88.32   	  10.17		
-62.26   	 87.00   	  55.95		 88.36   	  25.43		
-67.44   	 87.22   	  55.95		 88.46   	  25.43		
-70.50   	 87.45   	  45.78		 88.57   	  25.43		
-69.27   	 87.63   	  50.86		 88.67   	  35.61		
-64.39   	 87.83   	  55.95		 88.81   	  30.52		
-59.81   	 88.06   	  55.95		 88.93   	  30.52		
-58.59   	 88.28   	  61.04		 89.05   	  35.61		
-60.12   	 88.52   	  66.12		 89.20   	  30.52		
-61.95   	 88.79   	  50.86		 89.32   	  30.52		
-61.34   	 88.99   	  30.52		 89.44   	  25.43		
-59.51   	 89.11   	 -10.17		 89.54   	  30.52		
-58.59   	 89.07   	 -50.86		 89.66   	  20.35		
-58.90   	 88.87   	 -91.56		 89.75   	  15.26		
-60.73   	 88.50   	-116.99		 89.81   	  10.17		
-63.17   	 88.04   	-122.07		 89.85   	   0.00		
-65.00   	 87.55   	-106.82		 89.85   	 -10.17		
-66.53   	 87.12   	 -81.38		 89.81   	 -15.26		
-67.44   	 86.80   	 -61.04		 89.75   	 -30.52		
-67.14   	 86.55   	 -40.69		 89.62   	 -30.52		
-65.61   	 86.39   	 -25.43		 89.50   	 -40.69		
-63.17   	 86.29   	 -20.35		 89.34   	 -45.78		
-61.34   	 86.21   	 -15.26		 89.16   	 -45.78		
-61.34   	 86.14   	 -15.26		 88.97   	 -45.78		
