  I     	  LV     	  LV'		  AO     	  AO'		
107.12   	125.90   	 498.47		 91.68   	 279.75		
115.05   	127.89   	 473.04		 92.80   	 289.93		
124.82   	129.79   	 447.61		 93.96   	 295.01		
137.33   	131.58   	 417.09		 95.14   	 289.93		
151.67   	133.24   	 386.57		 96.30   	 284.84		
167.24   	134.79   	 350.97		 97.44   	 279.75		
182.50   	136.19   	 325.53		 98.56   	 274.67		
196.84   	137.50   	 289.93		 99.65   	 259.41		
209.35   	138.66   	 259.41		100.69   	 249.24		
219.73   	139.69   	 228.89		101.69   	 239.06		
228.58   	140.61   	 198.37		102.64   	 223.80		
235.90   	141.40   	 162.77		103.54   	 208.54		
241.39   	142.05   	 137.33		104.37   	 198.37		
242.92   	142.60   	 116.99		105.17   	 183.11		
239.26   	143.07   	  86.47		105.90   	 172.94		
229.80   	143.42   	  66.12		106.59   	 157.68		
214.54   	143.68   	  40.69		107.22   	 152.59		
195.92   	143.84   	  15.26		107.83   	 137.33		
175.17   	143.91   	 -15.26		108.38   	 132.25		
154.72   	143.84   	 -45.78		108.91   	 127.16		
134.58   	143.66   	 -91.56		109.42   	 111.90		
115.05   	143.30   	-137.33		109.87   	  96.64		
 94.60   	142.75   	-183.11		110.25   	  86.47		
 72.94   	142.01   	-223.80		110.60   	  66.12		
 50.35   	141.12   	-254.32		110.86   	  50.86		
 28.08   	140.10   	-269.58		111.07   	  35.61		
  8.24   	139.02   	-269.58		111.21   	  20.35		
 -7.63   	137.94   	-259.41		111.29   	   5.09		
-19.53   	136.91   	-244.15		111.31   	   0.00		
-28.99   	135.93   	-233.98		111.31   	 -10.17		
-37.84   	134.99   	-223.80		111.27   	 -20.35		
-46.39   	134.10   	-223.80		111.19   	 -20.35		
-54.02   	133.20   	-223.80		111.11   	 -30.52		
-59.20   	132.31   	-228.89		110.99   	 -30.52		
-62.56   	131.39   	-244.15		110.86   	 -30.52		
-65.31   	130.42   	-264.50		110.74   	 -25.43		
-68.05   	129.36   	-279.75		110.64   	 -25.43		
-71.41   	128.24   	-295.01		110.54   	 -20.35		
-73.85   	127.06   	-315.36		110.46   	 -10.17		
