  I     	  LV     	  LV'		  AO     	  AO'		
-73.24   	 54.67   	-1480.16		 93.02   	-193.29		
-73.85   	 48.75   	-1403.86		 92.25   	-172.94		
-75.68   	 43.13   	-1276.70		 91.56   	-137.33		
-77.21   	 38.03   	-1129.19		 91.01   	-106.82		
-77.51   	 33.51   	-971.51		 90.58   	 -71.21		
-76.90   	 29.62   	-829.09		 90.29   	 -40.69		
-75.38   	 26.31   	-701.93		 90.13   	 -15.26		
-73.85   	 23.50   	-620.55		 90.07   	  10.17		
-72.63   	 21.02   	-564.60		 90.11   	  25.43		
-71.72   	 18.76   	-528.99		 90.21   	  35.61		
-71.11   	 16.64   	-523.90		 90.36   	  45.78		
-70.50   	 14.55   	-508.65		 90.54   	  40.69		
-69.58   	 12.51   	-493.39		 90.70   	  45.78		
-68.97   	 10.54   	-462.87		 90.88   	  35.61		
-68.66   	  8.69   	-406.92		 91.03   	  35.61		
-69.27   	  7.06   	-340.79		 91.17   	  35.61		
-70.50   	  5.70   	-249.24		 91.31   	  35.61		
-72.33   	  4.70   	-167.85		 91.45   	  30.52		
-73.55   	  4.03   	 -76.30		 91.58   	  35.61		
-74.16   	  3.72   	 -10.17		 91.72   	  35.61		
-74.16   	  3.68   	  40.69		 91.86   	  40.69		
-73.24   	  3.85   	  76.30		 92.02   	  35.61		
-72.02   	  4.15   	  86.47		 92.17   	  35.61		
-70.50   	  4.50   	  81.38		 92.31   	  35.61		
-69.27   	  4.82   	  71.21		 92.45   	  25.43		
-68.97   	  5.11   	  50.86		 92.55   	  25.43		
-69.89   	  5.31   	  40.69		 92.65   	  20.35		
-71.72   	  5.47   	  35.61		 92.74   	  10.17		
-73.24   	  5.62   	  40.69		 92.78   	   5.09		
-74.77   	  5.78   	  50.86		 92.80   	   0.00		
-75.38   	  5.98   	  76.30		 92.80   	 -10.17		
-75.68   	  6.29   	 106.82		 92.76   	 -15.26		
-75.38   	  6.71   	 132.25		 92.70   	 -15.26		
-74.46   	  7.24   	 157.68		 92.63   	 -20.35		
-72.94   	  7.87   	 178.03		 92.55   	 -20.35		
-71.72   	  8.59   	 188.20		 92.47   	 -25.43		
-71.11   	  9.34   	 193.29		 92.37   	 -25.43		
-71.72   	 10.11   	 183.11		 92.27   	 -30.52		
-72.63   	 10.84   	 157.68		 92.15   	 -30.52		
-72.94   	 11.48   	 127.16		 92.02   	 -45.78		
-72.94   	 11.98   	  81.38		 91.84   	 -50.86		
-72.63   	 12.31   	  50.86		 91.64   	 -66.12		
-72.33   	 12.51   	  10.17		 91.37   	 -76.30		
-72.02   	 12.55   	 -15.26		 91.07   	 -86.47		
-71.72   	 12.49   	 -25.43		 90.72   	 -96.64		
-70.19   	 12.39   	 -30.52		 90.34   	-106.82		
-68.05   	 12.27   	 -15.26		 89.91   	-106.82		
-64.70   	 12.21   	   0.00		 89.48   	-106.82		
-59.51   	 12.21   	  20.35		 89.05   	-101.73		
-52.80   	 12.29   	  35.61		 88.65   	 -91.56		
-45.47   	 12.43   	  40.69		 88.28   	 -86.47		
-39.06   	 12.59   	  50.86		 87.93   	 -71.21		
-35.71   	 12.80   	  45.78		 87.65   	 -66.12		
-34.48   	 12.98   	  40.69		 87.39   	 -50.86		
-32.96   	 13.14   	  40.69		 87.18   	 -40.69		
-27.77   	 13.31   	  30.52		 87.02   	 -30.52		
-17.40   	 13.43   	  30.52		 86.90   	 -20.35		
 -1.83   	 13.55   	  25.43		 86.82   	 -15.26		
 14.95   	 13.65   	  30.52		 86.75   	 -10.17		
 28.38   	 13.77   	  30.52		 86.71   	  -5.09		
 35.40   	 13.90   	  30.52		 86.69   	 -10.17		
 34.79   	 14.02   	  35.61		 86.65   	 -10.17		
 28.08   	 14.16   	  30.52		 86.61   	 -15.26		
 19.23   	 14.28   	  30.52		 86.55   	 -15.26		
 11.90   	 14.40   	  30.52		 86.49   	 -25.43		
  7.02   	 14.53   	  25.43		 86.39   	 -35.61		
  2.75   	 14.63   	  20.35		 86.25   	 -35.61		
 -4.27   	 14.71   	  20.35		 86.10   	 -45.78		
-17.09   	 14.79   	  20.35		 85.92   	 -55.95		
-36.01   	 14.87   	  15.26		 85.70   	 -55.95		
-57.68   	 14.93   	  10.17		 85.47   	 -61.04		
