  I     	  LV     	  LV'		  PA     	  PA'		
-78.13   	  8.89   	 137.33		 25.74   	 -10.17		
-78.43   	  9.44   	 116.99		 25.70   	 -15.26		
-78.74   	  9.91   	 101.73		 25.64   	 -30.52		
-79.04   	 10.32   	  86.47		 25.51   	 -35.61		
-79.04   	 10.66   	  61.04		 25.37   	 -40.69		
-78.13   	 10.91   	  50.86		 25.21   	 -50.86		
-77.21   	 11.11   	  35.61		 25.00   	 -45.78		
-76.90   	 11.25   	  25.43		 24.82   	 -45.78		
-77.51   	 11.35   	  25.43		 24.64   	 -35.61		
-78.43   	 11.45   	  20.35		 24.50   	 -20.35		
-78.43   	 11.54   	  25.43		 24.41   	 -15.26		
-75.99   	 11.64   	  35.61		 24.35   	   0.00		
-71.72   	 11.78   	  50.86		 24.35   	  10.17		
-66.83   	 11.98   	  61.04		 24.39   	  10.17		
-62.56   	 12.23   	  71.21		 24.44   	  15.26		
-58.90   	 12.51   	  86.47		 24.50   	  10.17		
-55.54   	 12.86   	  86.47		 24.54   	   5.09		
-52.19   	 13.20   	  96.64		 24.56   	 -10.17		
-48.52   	 13.59   	  91.56		 24.52   	 -25.43		
-44.56   	 13.96   	  86.47		 24.41   	 -35.61		
-39.06   	 14.30   	  76.30		 24.27   	 -55.95		
-29.60   	 14.61   	  61.04		 24.05   	 -61.04		
-15.56   	 14.85   	  50.86		 23.80   	 -76.30		
  0.92   	 15.06   	  35.61		 23.50   	 -81.38		
 15.56   	 15.20   	  20.35		 23.17   	 -86.47		
 24.11   	 15.28   	  10.17		 22.83   	 -81.38		
 24.41   	 15.32   	 -10.17		 22.50   	 -86.47		
 18.01   	 15.28   	 -15.26		 22.16   	 -81.38		
  8.54   	 15.22   	 -20.35		 21.83   	 -81.38		
  0.31   	 15.14   	 -25.43		 21.51   	 -76.30		
 -5.49   	 15.04   	 -25.43		 21.20   	 -76.30		
-10.07   	 14.93   	 -30.52		 20.90   	 -71.21		
-17.09   	 14.81   	 -20.35		 20.61   	 -76.30		
-28.69   	 14.73   	 -15.26		 20.31   	 -71.21		
-45.17   	 14.67   	 -10.17		 20.02   	 -76.30		
-64.09   	 14.63   	  -5.09		 19.72   	 -71.21		
-80.87   	 14.61   	  10.17		 19.43   	 -66.12		
-92.77   	 14.65   	  10.17		 19.17   	 -55.95		
-97.66   	 14.69   	  20.35		 18.94   	 -50.86		
-97.96   	 14.77   	  25.43		 18.74   	 -35.61		
-95.83   	 14.87   	  30.52		 18.60   	 -15.26		
-94.30   	 14.99   	  35.61		 18.54   	   5.09		
-94.30   	 15.14   	  35.61		 18.56   	  20.35		
-94.30   	 15.28   	  35.61		 18.64   	  40.69		
-94.30   	 15.42   	  35.61		 18.80   	  45.78		
-93.38   	 15.56   	  35.61		 18.98   	  61.04		
-91.86   	 15.71   	  35.61		 19.23   	  61.04		
-90.33   	 15.85   	  35.61		 19.47   	  61.04		
-88.50   	 15.99   	  35.61		 19.72   	  55.95		
-86.67   	 16.13   	  40.69		 19.94   	  55.95		
-85.75   	 16.30   	  40.69		 20.16   	  61.04		
-85.75   	 16.46   	  40.69		 20.41   	  55.95		
-86.67   	 16.62   	  40.69		 20.63   	  55.95		
-90.64   	 16.79   	  35.61		 20.85   	  55.95		
-100.10   	 16.93   	  30.52		 21.08   	  45.78		
-117.19   	 17.05   	  20.35		 21.26   	  40.69		
-140.38   	 17.13   	  10.17		 21.42   	  25.43		
-165.71   	 17.17   	   0.00		 21.53   	  15.26		
-187.07   	 17.17   	 -10.17		 21.59   	   5.09		
-196.53   	 17.13   	 -20.35		 21.61   	   5.09		
-184.94   	 17.05   	 -30.52		 21.63   	  -5.09		
-139.47   	 16.93   	 -35.61		 21.61   	   5.09		
-45.78   	 16.79   	 -35.61		 21.63   	   5.09		
101.62   	 16.64   	 -30.52		 21.65   	  15.26		
292.66   	 16.52   	 -30.52		 21.71   	  20.35		
490.42   	 16.40   	 -20.35		 21.79   	  20.35		
632.63   	 16.32   	  -5.09		 21.87   	  10.17		
660.40(R)	 16.30(E)	  10.17		 21.91   	   0.00		
555.42   	 16.34   	  30.52		 21.91   	 -15.26		
361.63   	 16.46   	  55.95		 21.85   	 -35.61		
169.37   	 16.68   	  76.30		 21.71   	 -45.78		
 61.95   	 16.99   	 111.90		 21.53   	 -55.95		
 61.65   	 17.44   	 137.33		 21.30   	 -50.86		
122.68   	 17.99   	 172.94		 21.10   	 -45.78		
172.73   	 18.68   	 208.54		 20.92   	 -30.52		
166.02   	 19.51   	 249.24		 20.79   	 -15.26		
104.98   	 20.51   	 305.19		 20.73   	   0.00		
 23.50   	 21.73   	 366.22		 20.73   	   5.09		
-44.56   	 23.19   	 437.43		 20.75   	  10.17		
-81.18   	 24.94   	 518.82		 20.79   	  -5.09		
-86.67   	 27.02   	 605.29		 20.77   	 -20.35		
-71.11   	 29.44   	 686.67		 20.69   	 -35.61		
-49.74   	 32.19   	 762.97		 20.55   	 -50.86		
-35.71   	 35.24   	 844.35		 20.35   	 -61.04		
-34.48   	 38.62   	 915.56		 20.10   	 -55.95		
-41.20   	 42.28   	 986.77		 19.88   	 -40.69		
-46.69   	 46.23   	1057.98		 19.72   	 -20.35		
-45.17   	 50.46   	1134.28		 19.63   	  10.17		
-39.06   	 54.99   	1210.58		 19.67   	  50.86		
-33.26   	 59.84   	1261.44		 19.88   	  91.56		
-30.21   	 64.88   	1291.96		 20.24   	 127.16		
-29.30   	 70.05   	1291.96		 20.75   	 172.94		
-27.77   	 75.22   	1256.35		 21.44   	 203.46		
-24.41   	 80.24   	1180.06		 22.26   	 233.98		
-20.14   	 84.96   	1083.41		 23.19   	 264.50		
-15.56   	 89.30   	 971.51		 24.25   	 279.75		
-10.99   	 93.18   	 854.52		 25.37   	 284.84		
 -7.02   	 96.60   	 747.71		 26.51   	 289.93		
 -2.44   	 99.59   	 666.32		 27.67   	 279.75		
  3.66   	102.26   	 600.20		 28.79   	 264.50		
 10.99   	104.66   	 564.60		 29.85   	 239.06		
 18.62   	106.92   	 559.51		 30.80   	 218.72		
 25.63   	109.16   	 569.68		 31.68   	 198.37		
 31.13   	111.43   	 600.20		 32.47   	 172.94		
 36.93   	113.83   	 620.55		 33.16   	 157.68		
 43.03   	116.32   	 651.07		 33.79   	 147.51		
 51.27   	118.92   	 656.15		 34.38   	 142.42		
 60.73   	121.55   	 640.89		 34.95   	 142.42		
 71.72   	124.11   	 610.37		 35.52   	 137.33		
 83.01   	126.55   	 554.42		 36.07   	 147.51		
 93.69   	128.77   	 483.21		 36.66   	 147.51		
103.76   	130.70   	 391.66		 37.25   	 147.51		
113.22   	132.27   	 315.36		 37.84   	 147.51		
123.60   	133.53   	 233.98		 38.43   	 152.59		
135.80   	134.47   	 178.03		 39.04   	 147.51		
149.23   	135.18   	 142.42		 39.63   	 142.42		
163.57   	135.75   	 132.25		 40.20   	 142.42		
177.61   	136.28   	 142.42		 40.77   	 147.51		
191.04   	136.85   	 167.85		 41.36   	 137.33		
202.33   	137.52   	 203.46		 41.91   	 142.42		
210.57   	138.33   	 223.80		 42.48   	 142.42		
215.76   	139.23   	 244.15		 43.05   	 137.33		
216.67   	140.20   	 239.06		 43.60   	 132.25		
213.32   	141.16   	 213.63		 44.13   	 132.25		
204.47   	142.01   	 167.85		 44.66   	 122.07		
190.43   	142.69   	 101.73		 45.15   	 116.99		
171.51   	143.09   	  15.26		 45.62   	 101.73		
149.23   	143.15(S)	 -76.30		 46.02   	  96.64		
125.73   	142.85   	-157.68		 46.41   	  81.38		
102.54   	142.22   	-244.15		 46.73   	  71.21		
 80.87   	141.24   	-315.36		 47.02   	  61.04		
 59.81   	139.98   	-371.31		 47.26   	  50.86		
 39.37   	138.49   	-417.09		 47.47   	  45.78		
 19.53   	136.83   	-447.61		 47.65   	  40.69		
  1.22   	135.04   	-462.87		 47.81   	  40.69		
-15.87   	133.18   	-457.78		 47.98   	  35.61		
-30.52   	131.35   	-432.35		 48.12   	  30.52		
-43.33   	129.62   	-396.74		 48.24   	  25.43		
-54.32   	128.04   	-345.88		 48.34   	  15.26		
-64.09   	126.65   	-289.93		 48.40   	  10.17		
-72.33   	125.49   	-228.89		 48.44(S)	  -5.09		
-79.04   	124.58   	-183.11		 48.42   	 -15.26		
-84.23   	123.84   	-152.59		 48.36   	 -25.43		
-88.81   	123.23   	-147.51		 48.26   	 -40.69		
-92.47   	122.64   	-167.85		 48.10   	 -50.86		
-95.52   	121.97   	-198.37		 47.89   	 -55.95		
-97.05   	121.18   	-254.32		 47.67   	 -61.04		
-97.35   	120.16   	-300.10		 47.43   	 -55.95		
-96.44   	118.96   	-350.97		 47.20   	 -55.95		
-95.83   	117.56   	-396.74		 46.98   	 -50.86		
-95.83   	115.97   	-442.52		 46.77   	 -40.69		
-96.13   	114.20   	-483.21		 46.61   	 -30.52		
-96.13   	112.27   	-534.08		 46.49   	 -20.35		
-95.83   	110.13   	-584.94		 46.41   	 -15.26		
-95.21   	107.79   	-656.15		 46.35   	 -15.26		
-94.91   	105.17   	-717.19		 46.29   	 -20.35		
-94.91   	102.30   	-793.49		 46.21   	 -20.35		
-94.60   	 99.12   	-854.52		 46.12   	 -25.43		
-94.30   	 95.71   	-900.30		 46.02   	 -35.61		
-93.69   	 92.11   	-956.25		 45.88   	 -50.86		
-93.08   	 88.28   	-1007.12		 45.68   	 -55.95		
-93.08   	 84.25   	-1068.15		 45.45   	 -61.04		
-92.77   	 79.98   	-1139.36		 45.21   	 -66.12		
-91.55   	 75.42   	-1200.40		 44.94   	 -71.21		
-89.72   	 70.62   	-1266.53		 44.66   	 -61.04		
-87.89   	 65.55   	-1307.22		 44.41   	 -61.04		
-86.36   	 60.33   	-1327.56		 44.17   	 -61.04		
-85.14   	 55.02   	-1307.22		 43.93   	 -50.86		
-84.53   	 49.79   	-1256.35		 43.72   	 -45.78		
-84.23   	 44.76   	-1169.88		 43.54   	 -40.69		
