  I     	  LV     	  LV'		  RA     	  RA'		
  4.27   	140.89   	-178.03		 10.68   	  15.26		
 -7.63   	140.18   	-183.11		 10.74   	  20.35		
-19.84   	139.45   	-183.11		 10.82   	  25.43		
-32.35   	138.72   	-193.29		 10.93   	  30.52		
-44.56   	137.94   	-218.72		 11.05   	  35.61		
-55.85   	137.07   	-233.98		 11.19   	  35.61		
-65.31   	136.13   	-264.50		 11.33   	  30.52		
-72.33   	135.08   	-279.75		 11.45   	  40.69		
-77.51   	133.96   	-295.01		 11.62   	  35.61		
-81.18   	132.78   	-300.10		 11.76   	  35.61		
-83.62   	131.58   	-310.27		 11.90   	  35.61		
-85.75   	130.34   	-310.27		 12.04   	  35.61		
-87.28   	129.09   	-310.27		 12.19   	  40.69		
-88.20   	127.85   	-305.19		 12.35   	  35.61		
-89.11   	126.63   	-295.01		 12.49   	  45.78		
-90.03   	125.45   	-289.93		 12.68   	  40.69		
-90.33   	124.29   	-274.67		 12.84   	  45.78		
-89.72   	123.19   	-274.67		 13.02   	  45.78		
-87.59   	122.10   	-289.93		 13.20   	  40.69		
-85.14   	120.94   	-335.71		 13.37   	  45.78		
-83.31   	119.59   	-391.66		 13.55   	  40.69		
-82.70   	118.03   	-483.21		 13.71   	  40.69		
-82.70   	116.09   	-584.94		 13.88   	  35.61		
-83.31   	113.75   	-686.67		 14.02   	  30.52		
-83.31   	111.01   	-793.49		 14.14   	  25.43		
-83.01   	107.83   	-869.78		 14.24   	  25.43		
-83.01   	104.35   	-930.82		 14.34   	  25.43		
-82.70   	100.63   	-956.25		 14.45   	  20.35		
-81.79   	 96.81   	-966.43		 14.53   	  20.35		
-80.57   	 92.94   	-981.68		 14.61   	  15.26		
-79.04   	 89.01   	-1002.03		 14.67   	  20.35		
-78.13   	 85.00   	-1037.64		 14.75   	  20.35		
-77.51   	 80.85   	-1073.24		 14.83   	  15.26		
-77.21   	 76.56   	-1124.11		 14.89   	  15.26		
-75.38   	 72.06   	-1164.80		 14.95   	  15.26		
-72.94   	 67.41   	-1190.23		 15.02   	  10.17		
-70.19   	 62.64   	-1190.23		 15.06   	  10.17		
