  I     	  LV     	  LV'		  RV     	  RV'		
-29.30   	100.00   	 142.42		 26.49   	 -61.04		
-29.91   	100.57   	 127.16		 26.25   	 -66.12		
-30.52   	101.08   	 116.99		 25.98   	 -71.21		
-31.43   	101.55   	 106.82		 25.70   	 -71.21		
-32.65   	101.97   	  81.38		 25.41   	 -76.30		
-33.26   	102.30   	  61.04		 25.11   	 -76.30		
-31.74   	102.54   	  30.52		 24.80   	 -76.30		
-28.08   	102.66   	  -5.09		 24.50   	 -81.38		
-23.19   	102.64   	 -35.61		 24.17   	 -81.38		
-17.40   	102.50   	 -71.21		 23.85   	 -86.47		
-11.90   	102.22   	-106.82		 23.50   	 -81.38		
 -6.41   	101.79   	-137.33		 23.17   	 -91.56		
 -1.53   	101.24   	-162.77		 22.81   	 -86.47		
  2.44   	100.59   	-183.11		 22.46   	 -91.56		
  5.19   	 99.86   	-203.46		 22.10   	 -91.56		
  6.71   	 99.04   	-218.72		 21.73   	 -96.64		
  6.71   	 98.17   	-233.98		 21.34   	 -96.64		
  5.19   	 97.23   	-239.06		 20.96   	-101.73		
  2.14   	 96.28   	-249.24		 20.55   	 -96.64		
 -3.66   	 95.28   	-259.41		 20.16   	-101.73		
-11.90   	 94.24   	-269.58		 19.76   	 -91.56		
-22.28   	 93.16   	-284.84		 19.39   	 -91.56		
-34.48   	 92.02   	-300.10		 19.02   	 -91.56		
-47.00   	 90.82   	-315.36		 18.66   	 -81.38		
-58.29   	 89.56   	-335.71		 18.33   	 -76.30		
-68.05   	 88.22   	-350.97		 18.03   	 -71.21		
-75.99   	 86.82   	-361.14		 17.74   	 -71.21		
-83.31   	 85.37   	-371.31		 17.46   	 -61.04		
-90.33   	 83.89   	-376.40		 17.21   	 -61.04		
-98.57   	 82.38   	-376.40		 16.97   	 -55.95		
-106.81   	 80.87   	-386.57		 16.74   	 -55.95		
-114.14   	 79.33   	-396.74		 16.52   	 -55.95		
-120.24   	 77.74   	-437.43		 16.30   	 -50.86		
-123.90   	 75.99   	-483.21		 16.09   	 -50.86		
-125.73   	 74.06   	-544.25		 15.89   	 -45.78		
-125.73   	 71.88   	-600.20		 15.71   	 -45.78		
-125.43   	 69.48   	-651.07		 15.52   	 -45.78		
-125.43   	 66.88   	-696.84		 15.34   	 -45.78		
-126.34   	 64.09   	-717.19		 15.16   	 -45.78		
-127.26   	 61.22   	-732.45		 14.97   	 -45.78		
-128.17   	 58.29   	-727.36		 14.79   	 -55.95		
-128.17   	 55.38   	-701.93		 14.57   	 -55.95		
-127.26   	 52.57   	-671.41		 14.34   	 -61.04		
-125.73   	 49.89   	-625.63		 14.10   	 -71.21		
-125.12   	 47.39   	-584.94		 13.81   	 -71.21		
-125.43   	 45.05   	-544.25		 13.53   	 -76.30		
-125.43   	 42.87   	-503.56		 13.22   	 -81.38		
-125.12   	 40.85   	-467.95		 12.90   	 -86.47		
-123.60   	 38.98   	-447.61		 12.55   	 -81.38		
-121.46   	 37.19   	-422.18		 12.23   	 -81.38		
-120.24   	 35.50   	-417.09		 11.90   	 -76.30		
-120.24   	 33.84   	-401.83		 11.60   	 -76.30		
-120.85   	 32.23   	-391.66		 11.29   	 -66.12		
-121.15   	 30.66   	-386.57		 11.03   	 -61.04		
-120.54   	 29.11   	-371.31		 10.78   	 -55.95		
-118.71   	 27.63   	-366.22		 10.56   	 -50.86		
-117.19   	 26.16   	-340.79		 10.36   	 -45.78		
-116.27   	 24.80   	-325.53		 10.17   	 -40.69		
-115.97   	 23.50   	-305.19		 10.01   	 -35.61		
-115.66   	 22.28   	-274.67		  9.87   	 -30.52		
-114.75   	 21.18   	-254.32		  9.75   	 -20.35		
-113.53   	 20.16   	-218.72		  9.66   	 -10.17		
-112.30   	 19.29   	-193.29		  9.62   	 -10.17		
-112.00   	 18.51   	-167.85		  9.58   	   0.00		
-112.30   	 17.84   	-142.42		  9.58   	  10.17		
-112.61   	 17.27   	-122.07		  9.62   	  10.17		
-112.00   	 16.79   	 -96.64		  9.66   	  15.26		
-110.47   	 16.40   	 -76.30		  9.73   	  20.35		
-108.34   	 16.09   	 -61.04		  9.81   	  20.35		
