  I     	  LVp     	  LVp'		  AO     	  AO'		
-62.56   	 14.91   	 -10.17		 82.03   	 -40.69		
-75.99   	 14.87   	 -10.17		 81.87   	 -40.69		
-81.79   	 14.83   	 -15.26		 81.71   	 -40.69		
-81.79   	 14.77   	 -15.26		 81.55   	 -40.69		
-79.65   	 14.71   	 -20.35		 81.38   	 -40.69		
-78.74   	 14.63   	 -25.43		 81.22   	 -35.61		
-79.04   	 14.53   	 -25.43		 81.08   	 -40.69		
-79.04   	 14.43   	 -25.43		 80.92   	 -35.61		
-77.21   	 14.32   	 -20.35		 80.77   	 -40.69		
-73.24   	 14.24   	 -20.35		 80.61   	 -35.61		
-70.19   	 14.16   	 -15.26		 80.47   	 -40.69		
-70.19   	 14.10   	 -15.26		 80.30   	 -35.61		
-73.24   	 14.04   	 -10.17		 80.16   	 -35.61		
-78.13   	 14.00   	 -20.35		 80.02   	 -40.69		
-80.87   	 13.92   	 -20.35		 79.86   	 -40.69		
-78.43   	 13.84   	 -30.52		 79.69   	 -35.61		
-71.11   	 13.71   	 -30.52		 79.55   	 -40.69		
-64.39   	 13.59   	 -40.69		 79.39   	 -40.69		
-65.61   	 13.43   	 -40.69		 79.23   	 -40.69		
-80.26   	 13.27   	 -40.69		 79.06   	 -40.69		
-105.59   	 13.10   	 -40.69		 78.90   	 -40.69		
-132.75   	 12.94   	 -30.52		 78.74   	 -40.69		
-152.89   	 12.82   	 -20.35		 78.58   	 -40.69		
-162.05   	 12.74   	 -10.17		 78.41   	 -40.69		
-160.83   	 12.70   	   0.00		 78.25   	 -35.61		
-144.96   	 12.70(E)	  10.17		 78.11   	 -40.69		
-101.01   	 12.74   	  20.35		 77.94   	 -35.61		
-12.21   	 12.82   	  20.35		 77.80   	 -35.61		
129.70   	 12.90   	  25.43		 77.66   	 -35.61		
311.28   	 13.00   	  25.43		 77.52   	 -35.61		
488.28   	 13.10   	  25.43		 77.38   	 -30.52		
593.87(R)	 13.20   	  25.43		 77.25   	 -35.61		
574.65   	 13.31   	  30.52		 77.11   	 -35.61		
428.77   	 13.43   	  35.61		 76.97   	 -35.61		
217.29   	 13.57   	  40.69		 76.83   	 -35.61		
 38.15   	 13.73   	  61.04		 76.68   	 -40.69		
-34.48   	 13.98   	  76.30		 76.52   	 -35.61		
  1.22   	 14.28   	 106.82		 76.38   	 -40.69		
