  I     	  II     	  LV     	  LV'		
-235.90   	-24.41   	 27.10   	-528.99		
-244.75   	-28.99   	 24.98   	-498.47		
-227.36   	-30.82   	 22.99   	-462.87		
-199.28   	-28.69   	 21.14   	-412.00		
-169.37   	-24.72   	 19.49   	-361.14		
-140.99   	-22.58   	 18.05   	-315.36		
-119.63   	-24.41   	 16.79   	-269.58		
-117.19   	-28.38   	 15.71   	-223.80		
-143.74   	-30.52   	 14.81   	-193.29		
-192.26   	-30.21   	 14.04   	-162.77		
-235.60   	-28.99   	 13.39   	-142.42		
-242.92   	-29.60   	 12.82   	-132.25		
-205.99   	-34.18   	 12.29   	-122.07		
-141.30   	-41.50   	 11.80   	-111.90		
-79.04   	-47.00   	 11.35   	-106.82		
-49.44   	-47.30   	 10.93   	-101.73		
-69.89   	-40.89   	 10.52   	 -86.47		
-136.11   	-29.91   	 10.17   	 -71.21		
-221.86   	-18.62   	  9.89   	 -55.95		
-285.34   	-11.29   	  9.66   	 -40.69		
-294.49   	-10.38   	  9.50   	 -25.43		
-248.72   	-15.87   	  9.40   	 -15.26		
-178.22   	-23.80   	  9.34   	   0.00		
-122.99   	-31.43   	  9.34   	   5.09		
-105.29   	-35.10   	  9.36   	  10.17		
-118.41   	-34.79   	  9.40   	  10.17		
-134.58   	-32.04   	  9.44   	   5.09		
-134.28   	-28.69   	  9.46   	   5.09		
-118.71   	-25.63   	  9.48   	   0.00		
-100.71   	-21.97   	  9.48   	   0.00		
-96.13   	-18.01   	  9.48   	   0.00		
-115.66   	-14.95   	  9.48   	   0.00		
-152.89   	-14.95   	  9.48   	   5.09		
-191.65   	-18.31   	  9.50   	  10.17		
-214.23   	-23.19   	  9.54   	  15.26		
-209.35   	-27.16   	  9.60   	  20.35		
-178.22   	-28.38   	  9.68   	  25.43		
-137.63   	-26.25   	  9.79   	  30.52		
-112.61   	-21.67   	  9.91   	  25.43		
-119.32   	-15.87   	 10.01   	  25.43		
-150.76   	 -9.46   	 10.11   	  20.35		
-179.14   	 -2.14   	 10.19   	  15.26		
-176.39   	  7.02   	 10.25   	   5.09		
-141.30   	 19.53   	 10.27   	   5.09		
-99.79   	 34.18   	 10.29   	  -5.09		
-82.40   	 47.30   	 10.27   	 -10.17		
-102.84   	 55.85   	 10.23   	 -15.26		
-145.87   	 60.73   	 10.17   	 -10.17		
-182.80   	 67.14   	 10.13   	 -10.17		
-195.92   	 78.43   	 10.09   	 -10.17		
-184.63   	 93.99   	 10.05   	  -5.09		
-157.47   	105.90   	 10.03   	  -5.09		
-123.60   	107.73   	 10.01   	   0.00		
-94.30   	 98.57   	 10.01   	   5.09		
-76.60   	 84.53   	 10.03   	   0.00		
-71.41   	 74.46   	 10.03   	   5.09		
-76.60   	 72.02   	 10.05   	   5.09		
-83.31   	 74.16   	 10.07   	   0.00		
-83.31   	 73.24   	 10.07   	   0.00		
-76.60   	 63.78   	 10.07   	   0.00		
-72.63   	 47.30   	 10.07   	   0.00		
-81.18   	 29.91   	 10.07   	  -5.09		
-103.15   	 16.78   	 10.05   	  -5.09		
-131.23   	  8.24   	 10.03   	  -5.09		
-156.25   	  0.92   	 10.01   	  -5.09		
-172.12   	 -9.46   	  9.99   	   0.00		
-180.05   	-22.28   	  9.99   	   0.00		
-185.24   	-32.35   	  9.99   	   0.00		
