  I     	  II     	  LV     	  LV'		  RV     	  RV'		
 -3.97   	 32.35   	 52.59   	-544.25		 34.83   	-188.20		
 -1.83   	 35.10   	 50.42   	-539.16		 34.08   	-198.37		
 -0.61   	 34.18   	 48.26   	-523.90		 33.29   	-213.63		
 -0.61   	 30.52   	 46.16   	-518.82		 32.43   	-218.72		
 -1.83   	 25.94   	 44.09   	-508.65		 31.56   	-228.89		
 -5.49   	 22.58   	 42.05   	-488.30		 30.64   	-239.06		
-10.38   	 21.06   	 40.10   	-478.13		 29.68   	-244.15		
-14.65   	 22.89   	 38.19   	-452.69		 28.71   	-254.32		
-15.87   	 26.86   	 36.38   	-437.43		 27.69   	-254.32		
-13.73   	 32.96   	 34.63   	-417.09		 26.67   	-254.32		
 -9.46   	 38.76   	 32.96   	-401.83		 25.66   	-249.24		
 -6.10   	 43.03   	 31.35   	-386.57		 24.66   	-249.24		
 -4.88   	 45.47   	 29.81   	-366.22		 23.66   	-239.06		
 -4.58   	 47.00   	 28.34   	-345.88		 22.71   	-223.80		
 -2.44   	 49.44   	 26.96   	-330.62		 21.81   	-218.72		
  1.53   	 52.19   	 25.64   	-305.19		 20.94   	-203.46		
  5.49   	 53.10   	 24.41   	-284.84		 20.12   	-188.20		
  7.32   	 49.44   	 23.28   	-264.50		 19.37   	-178.03		
  5.49   	 41.20   	 22.22   	-239.06		 18.66   	-157.68		
  1.22   	 30.52   	 21.26   	-213.63		 18.03   	-147.51		
 -3.05   	 20.45   	 20.41   	-198.37		 17.44   	-142.42		
 -5.80   	 13.73   	 19.61   	-172.94		 16.87   	-127.16		
 -5.80   	 10.38   	 18.92   	-162.77		 16.36   	-122.07		
 -4.27   	  8.24   	 18.27   	-147.51		 15.87   	-116.99		
 -3.05   	  5.19   	 17.68   	-127.16		 15.40   	-111.90		
 -3.05   	  0.92   	 17.17   	-122.07		 14.95   	-106.82		
 -5.49   	 -5.19   	 16.68   	-106.82		 14.53   	-101.73		
 -9.77   	-11.90   	 16.26   	 -91.56		 14.12   	-101.73		
-14.34   	-18.62   	 15.89   	 -81.38		 13.71   	 -91.56		
-18.01   	-22.89   	 15.56   	 -66.12		 13.35   	 -76.30		
-18.92   	-22.58   	 15.30   	 -61.04		 13.04   	 -71.21		
-17.09   	-16.78   	 15.06   	 -45.78		 12.76   	 -50.86		
-14.34   	 -6.10   	 14.87   	 -35.61		 12.55   	 -35.61		
-12.51   	  5.49   	 14.73   	 -30.52		 12.41   	 -20.35		
-13.43   	 14.65   	 14.61   	 -15.26		 12.33   	   0.00		
-16.48   	 18.31   	 14.55   	 -15.26		 12.33   	  10.17		
-20.14   	 18.01   	 14.49   	   0.00		 12.37   	  25.43		
-21.06   	 16.17   	 14.49   	   5.09		 12.47   	  35.61		
-18.92   	 15.56   	 14.51   	  10.17		 12.61   	  45.78		
-14.04   	 17.70   	 14.55   	  20.35		 12.80   	  50.86		
 -9.16   	 21.36   	 14.63   	  30.52		 13.00   	  55.95		
 -6.41   	 24.11   	 14.75   	  35.61		 13.22   	  66.12		
 -6.71   	 24.11   	 14.89   	  40.69		 13.49   	  66.12		
