  I     	  II     	  FA     	  FA'		  AOp     	  AOp'		
-30.21   	-69.58   	 77.40   	 -71.21		 79.82   	-137.33		
-32.96   	-79.96   	 77.11   	 -66.12		 79.27   	-183.11		
-35.10   	-88.50   	 76.85   	 -71.21		 78.53   	-208.54		
-38.76   	-96.74   	 76.56   	 -71.21		 77.70   	-223.80		
-44.56   	-105.29   	 76.28   	 -71.21		 76.81   	-203.46		
-49.13   	-112.30   	 75.99   	 -66.12		 75.99   	-152.59		
-49.74   	-115.36   	 75.73   	 -71.21		 75.38   	 -76.30		
-47.30   	-113.53   	 75.44   	 -71.21		 75.08   	  25.43		
-45.78   	-110.47   	 75.16   	 -71.21		 75.18   	 127.16		
-48.83   	-111.08   	 74.87   	 -71.21		 75.69   	 218.72		
-56.76   	-116.88   	 74.59   	 -71.21		 76.56   	 295.01		
-66.53   	-124.82   	 74.30   	 -66.12		 77.74   	 335.71		
-73.24   	-130.00   	 74.04   	 -71.21		 79.08   	 340.79		
-74.46   	-128.17   	 73.75   	 -66.12		 80.45   	 315.36		
-69.89   	-119.93   	 73.49   	 -71.21		 81.71   	 259.41		
-62.26   	-109.56   	 73.20   	 -66.12		 82.75   	 178.03		
-56.15   	-102.84   	 72.94   	 -66.12		 83.46   	 101.73		
-54.63   	-102.84   	 72.68   	 -61.04		 83.87   	  20.35		
-58.59   	-109.56   	 72.43   	 -61.04		 83.95   	 -50.86		
-66.83   	-118.10   	 72.19   	 -55.95		 83.74   	-111.90		
-75.07   	-114.44   	 71.96   	 -55.95		 83.30   	-157.68		
-75.38   	-83.92   	 71.74   	 -50.86		 82.66   	-188.20		
-57.68   	-22.28   	 71.54   	 -45.78		 81.91   	-203.46		
-11.29   	 60.42   	 71.35   	 -40.69		 81.10   	-213.63		
 69.58   	144.04   	 71.19   	 -30.52		 80.24   	-208.54		
180.36   	212.71   	 71.07   	 -30.52		 79.41   	-198.37		
303.34   	270.08   	 70.95   	 -20.35		 78.62   	-183.11		
416.87   	339.36   	 70.86   	 -20.35		 77.88   	-162.77		
494.38   	435.79   	 70.78   	 -20.35		 77.23   	-152.59		
509.34   	540.16   	 70.70   	 -15.26		 76.62   	-142.42		
446.47   	607.30(R)	 70.64   	 -20.35		 76.05   	-142.42		
312.19   	596.62   	 70.56   	 -25.43		 75.48   	-147.51		
138.55   	496.52   	 70.46   	 -25.43		 74.89   	-167.85		
-23.80   	337.22   	 70.36   	 -25.43		 74.22   	-178.03		
-127.87   	173.34   	 70.25   	 -35.61		 73.51   	-198.37		
-157.17   	 42.72   	 70.11   	 -35.61		 72.72   	-203.46		
-133.67   	-44.25   	 69.97   	 -40.69		 71.90   	-213.63		
